Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,64.049,54.6320235971013,,54922.0,32417.0,59.0236701687155
YR1961,,180.0,,308.766666666667,,,,,,,,,,,,,,,,,,,,64.215,54.9538040789154,1.18734426572715,55578.0,32831.0,59.0727998569268
YR1962,,180.0,,312.888888888889,,,,,,,,,,,,,,,,,,,,64.602,55.2308238636364,1.32622723498415,56320.0,33348.0,59.2122712335815
YR1963,,180.0,,316.677777777778,,,,,,,,,,,,,,,,,,,,64.944,55.6187117882863,1.20366430885019,57002.0,33878.0,59.4323593543099
YR1964,,180.0,,320.105555555556,,,,,,,,,,,,,,,,,,,,65.303,56.1316579600479,1.07660194824525,57619.0,34412.0,59.7233404762133
YR1965,,180.0,,323.277777777778,,,,,,,,,,,,,,,,,,,,65.615,56.7039010139199,0.986114424783721,58190.0,34958.0,60.075490856393
YR1966,,180.0,,326.077777777778,,,,,,,,,,,,,,,,,,,,66.126,57.2770872909728,0.862398829043227,58694.0,35498.0,60.4790867519502
YR1967,,180.0,,327.722222222222,,,,,,,,,,,,,,,,,,,,66.385,57.6465702104576,0.503043105597307,58990.0,35939.0,60.9244044199862
YR1968,,180.0,,328.161111111111,,,,,,,,,,,,,,,,,,,,66.744,57.7971711289244,0.133831409365337,59069.0,36269.0,61.4017201176024
YR1969,,180.0,,328.066666666667,,,,,,,,,,,,,,,,,,,,67.098,57.9243717401612,-0.0287840436795769,59052.0,36554.0,61.9013101019
YR1970,,180.0,,327.5,,,,,,,,,,,,,,,,,,,,67.44,58.074995123027,-0.172878468846149,58950.0,36793.0,62.4134506299803
YR1971,,180.0,,326.561111111111,,,,,,,,,,,,,,,,,,,,67.783,58.3059007664106,-0.287095354800503,58781.0,36990.0,62.9284179589446
YR1972,,180.0,,322.483333333333,,,,,,,,,,,,,,,,,,,,68.335,58.8890492482448,-1.25656462134736,58047.0,36823.0,63.4364883458941
YR1973,,180.0,,323.883333333333,,,,,,,,,,,,,,,,,,,,68.862,59.7841357437895,0.433191332877477,58299.0,37269.0,63.9279380479301
YR1974,,180.0,,324.161111111111,,,,,,,,,,,,,,,,,,,,69.278,60.6907621170287,0.0857280074449621,58349.0,37573.0,64.393043322154
YR1975,,180.0,,323.861111111111,,,,,,,,,,,,,,,,,,,,69.564,61.5876670092497,-0.0925894239870965,58295.0,37788.0,64.822080425667
YR1976,,180.0,,324.266666666667,,,,,,,,,,,,,,,,,,,,69.808,62.4895954040247,0.125146806661145,58368.0,38059.0,65.2053256155704
YR1977,,180.0,,325.444444444444,,,,,,,,,,,,,,,,,,,,70.054,63.3285103477427,0.362554694772122,58580.0,38389.0,65.5330551489654
YR1978,,180.0,,326.533333333333,,,,,,,,,,,,,,,,,,,,70.271,64.0378165556798,0.334026691838903,58776.0,38672.0,65.7955452829535
YR1979,,180.0,,328.838888888889,,,,,,,,,,,,,,,,,,,,70.507,64.6390719917281,0.703589498767673,59191.0,39056.0,65.9830722746357
YR1980,,180.0,,332.827777777778,,,,,,,,,,,,,,,,,,,,70.771,65.0953432518255,1.20572409466493,59909.0,39591.0,66.0859123811135
YR1981,,180.0,,336.461111111111,,,,,,,,,,,,,,,,,,,,71.344,65.3149391321106,1.08574012985549,60563.0,40032.0,66.0991174416016
YR1982,,180.0,,340.422222222222,,,,,,,,,,,,,,,,,,,,71.485,65.4815488731405,1.17041035995923,61276.0,40485.0,66.0706191076215
YR1983,,180.0,,345.711111111111,,,,,,,,,,,,,,,,,,,,71.606,65.7199686194955,1.54168100744254,62228.0,41080.0,66.0149065385293
YR1984,,180.0,,349.45,,,,,,,,,,,,,,,,,,,,71.711,65.9860247835575,1.07570026063362,62901.0,41477.0,65.9393526607032
YR1985,,180.0,,342.933333333333,4.03225805628627,,,,,,,,,,,,,,,,,,,71.792,66.3619298948344,-1.88244251078928,61728.0,40648.0,65.85044772886
YR1986,,180.0,0.0,332.95,1.07396640826828,,,,,,,,,,405586592.178771,726000000.0,,6767.55922942669,712900000.0,,,,,71.831,66.8351107723018,-2.95437362586139,59931.0,39407.0,65.7546819977163
YR1987,,180.0,0.223058133218786,328.661111111111,3.64304545817705,,,,,,,,,3.59197006652872,487709497.206704,873000000.0,16.0784313755902,8244.04566011433,847200000.0,,,,,72.448,67.3203696694423,-1.29651660780176,59159.0,38843.0,65.6585457219888
YR1988,,180.0,2.05548592827715,329.616666666667,3.12186849610722,,,,,,,,,3.10843918798423,596648044.692737,1068000000.0,18.6486486682331,10056.2613927414,1037500000.0,10670.0,,,,72.519,67.6877071681157,0.290320062131051,59331.0,38902.0,65.5685291563943
YR1989,,180.0,0.186907630522088,335.794444444444,3.99162804604575,,,,,,,,,3.96254301358969,695530726.256983,1245000000.0,12.1298405451924,11507.2171509849,1224800000.0,11870.0,,,,72.531,67.7709417889257,1.85688371673627,60443.0,39585.0,65.4911225556494
YR1990,,180.0,17.063550036523,348.627777777778,5.83668775158165,,,,,,,,,5.76986990784422,764804469.273743,1369000000.0,3.96140172360629,12187.5363611898,1355100000.0,12120.0,,,,72.546,67.3901572175749,3.75056134586705,62753.0,41061.0,65.4328161744708
YR1991,,180.0,21.1851377322229,366.088888888889,5.55555555555579,,,,,,,,,5.61485982807162,872067039.106145,1561000000.0,7.96287173232642,13233.9905169683,1547100000.0,12940.0,,,,72.592,66.5614715296876,4.88713560049167,65896.0,43097.0,65.4009220636969
YR1992,,180.0,-3.85780885780885,383.361111111111,3.87337536996479,,,,,,,,,3.82233511678332,958659217.877095,1716000000.0,5.88235395341866,13892.6051427736,1698700000.0,13840.0,,,,72.717,66.2097904128584,4.61012241010557,69005.0,45123.0,65.3905890889858
YR1993,,180.0,-1.65549252191851,409.361111111111,5.2155599603571,,,,,,,,,5.30031405765243,1083240223.46369,1939000000.0,7.30769324531406,14700.9598081521,1907000000.0,14380.0,,,,72.777,66.4795311763506,6.5620284925223,73685.0,48179.0,65.3844666218501
YR1994,,180.0,-5.8744394618834,431.083333333333,6.31107971270439,,,,,,,,,6.28797536126895,1245810055.86592,2230000000.0,8.20390129312089,16055.2877874337,2194200000.0,15460.0,,,,72.796,66.7592365705573,5.17037414583618,77595.0,50732.0,65.3800478100985
YR1995,,180.0,-0.418781725888323,443.361111111111,3.36139107320898,,,263687150.837989,2401000000.0,171.362098138748,15.3963620981387,1915700000.0,81.0363790186125,3.37583749127457,1320670391.06145,2364000000.0,2.54714368704694,16548.7173868987,2336800000.0,16340.0,,,,72.832,67.3628125082326,2.80831670109337,79805.0,52174.0,65.376703433065
YR1996,,180.0,6.16194331983805,461.227777777778,3.22528797213979,,,278212290.502793,2521000000.0,175.344129554656,14.9874493927126,2000090000.0,80.9753036437247,3.25948642303557,1379888268.15642,2470000000.0,1.18578851134656,16620.9545555513,2438100000.0,16410.0,,,,72.856,68.1793277439413,3.95074287081186,83021.0,54274.0,65.3738042700838
YR1997,,180.0,12.9139314369073,479.45,2.99994809778412,,,361452513.96648,2843000000.0,168.781911013858,17.1338439095551,2182310000.0,79.5882567469001,3.70423775271973,1531843575.41899,2742000000.0,7.04687499241221,17750.0095644198,2700500000.0,17050.0,,,,72.904,68.7965822714579,3.87475976651232,86301.0,56416.0,65.3707211004889
YR1998,,180.0,6.81314994968126,491.394444444444,1.8694885361554,,,365921787.709497,3100000000.0,163.267359946327,17.5109023817511,2368880000.0,79.4659510231466,6.59295050184228,1665363128.49162,2981000000.0,1.99198444906199,18828.0870594071,2971000000.0,17390.0,,,,72.94,69.2546880408704,2.4607540856619,88451.0,57818.0,65.3668247036146
YR1999,,180.0,27.1368352788586,498.105555555556,2.28037198258753,,,376536312.849162,3228000000.0,164.559014267185,15.5483138780804,2493580000.0,80.8553826199741,2.19006066092493,1722905027.93296,3084000000.0,1.2380418420716,19216.1972354472,3007600000.0,17750.0,106.373519897461,,,72.857,69.6044361437005,1.35648590551186,89659.0,58602.0,65.3614858587949
YR2000,,180.0,-6.82872717296655,503.266666666667,4.04402131190512,,,401284916.201117,3229430000.0,145.072879516204,13.1759545308158,2652255000.0,79.0896322626048,1.03610080269524,1873452513.96648,3353480000.0,7.62292064930222,20681.0230269625,3310445800.0,20060.0,108.88680267334,,,72.939,69.7746207533672,1.03081685259869,90588.0,59203.0,65.3545497799987
YR2001,,180.0,-14.0750555726085,507.994444444444,2.88360430316263,,,471117318.435754,3340260000.0,140.391108618306,13.0540690696972,2692719000.0,79.3222468949744,-2.83550241253081,1896456983.24022,3394658000.0,4.1820016304779,20740.1325828172,3292181400.0,20340.0,110.349670410156,,,73.044,69.8178395437683,0.93503293482838,91439.0,59742.0,65.3351137913914
YR2002,,180.0,16.9490560127573,511.522222222222,3.31524678585423,,,488307262.569832,3655755000.0,133.230771421249,13.2416208673862,2787421000.0,79.3752598456588,4.43468813342022,1961843575.41899,3511700000.0,-0.944953481157384,21307.2482505267,3268788800.0,19220.0,115.669448852539,,,73.135,69.8922613087324,0.692051826700269,92074.0,60108.0,65.2820691308217
YR2003,,180.0,7.81642871198372,517.377777777778,3.65636507938418,,,499675977.653631,3927230000.0,132.794291274023,14.8922098082515,2832367000.0,77.40907252334,3.04904620110997,2044111731.84358,3658960000.0,1.11050459944282,21949.4859960868,3563538200.0,21020.0,115.985000610352,,,73.236,69.9913335499946,1.13822893851655,93128.0,60718.0,65.1982922587168
YR2004,,180.0,-4.68763897846137,528.544444444444,2.52912946932762,,,516055865.921788,4161260000.0,132.430929795173,15.5965082540353,3085900000.0,76.456580991723,2.80990970893053,2254830726.25698,4036147000.0,7.29372807096192,23700.6319899197,3903108100.0,23610.0,117.217170715332,,,73.223,70.0812659246346,2.13535781849357,95138.0,61924.0,65.0886533661558
