Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,24900001500.0,,,,,,,,,,24699998200.0,,,,252.4,32.799,55.2298835085852,,9035043.0,733876.0,8.12255149340207
YR1961,327.0,652860.0,,14.127045674072,,,,,25600000200.0,,,,,,,,,,25200001000.0,,,,249.2,33.291,55.1620546504736,1.9622391202036,9214083.0,773024.0,8.38959494931345
YR1962,327.0,652860.0,,14.4188491789706,,,,,25700002300.0,,,,,,,,,,25100001300.0,,,,246.4,33.757,55.0943515199152,2.0445228359303,9404406.0,814672.0,8.66266423654956
YR1963,327.0,652860.0,,14.7256136638916,,,,,36400003600.0,,,,,,,,,,34500001800.0,,,,243.6,34.201,54.9889910830219,2.1052082248002,9604487.0,858901.0,8.94270943787613
YR1964,327.0,652860.0,,15.0473268632231,,,,,39300000200.0,,,,,,,,,,36700000300.0,,,,240.6,34.673,54.8326689638547,2.16119547210755,9814318.0,905973.0,9.23113447844093
YR1965,327.0,652860.0,,15.3872222988823,,,,,49900000300.0,,,,,,,,,,46200000500.0,,,,237.7,35.124,54.616090649983,2.23370858013984,10036008.0,956366.0,9.52934328339171
YR1966,327.0,652860.0,,15.7404519877957,,,,,69299999700.0,,,,,,,,,,64299999200.0,,,,235.0,35.583,54.3629579808686,2.26965142881696,10266395.0,1010084.0,9.83873977787624
YR1967,327.0,652860.0,,16.1077518666728,,,,,80899999500.0,,,,,,,,,,76899999700.0,,,,232.4,36.042,54.1143364446787,2.30666800699098,10505959.0,1067482.0,10.1607278870423
YR1968,327.0,652860.0,,16.4925287091977,,,,,65700001800.0,,,,,,,,,,63099998200.0,,,,229.6,36.51,53.8705242015571,2.36068343389987,10756922.0,1129123.0,10.4967115360376
YR1969,327.0,652860.0,,16.8919077625991,,,,,66500000000.0,,,,,,,,,,64699998200.0,,,,226.6,36.979,53.6316796444609,2.39272037816067,11017409.0,1195179.0,10.84809465001
YR1970,327.0,652860.0,,17.3100409364795,,1282500000.0,1.62960609911055,,80399903800.0,,,,,,,,,,80299999200.0,,31.6514205932617,,223.8,37.46,53.4023508591909,2.4452057451213,11290128.0,1267855.0,11.2297657038792
YR1971,327.0,652860.0,,17.7355641414838,,,,,86699895800.0,,,,,,,,,,84099899400.0,,32.5397186279297,,249.0,37.932,53.1840321309374,2.42851631309344,11567667.0,1349488.0,11.6660355418459
YR1972,327.0,652860.0,,18.1741042270365,,,,,74200002600.0,,,,,,,,,,73399902200.0,,32.9628715515137,,245.2,38.423,52.9729335052966,2.44258389899974,11853696.0,1441645.0,12.1619847549558
YR1973,327.0,652860.0,,18.6406620363982,,1457750000.0,1.86891025641026,,79399999400.0,,,,,,,,,,79699902500.0,,33.4245185852051,,214.8,38.951,52.7674598111309,2.53475893911385,12157999.0,1543056.0,12.6916916731915
YR1974,327.0,652860.0,,19.1176839458473,,1562500000.0,1.61082474226804,,97800000500.0,,,,,,,,,,99100000300.0,,33.9628105163574,,211.6,39.469,52.5641391159196,2.5268442145866,12469127.0,1650260.0,13.2347712388712
YR1975,327.0,652860.0,,19.5850451527835,,1834000000.0,1.72206572769953,,108200003600.0,,,,,,,,,,108800000000.0,,34.8824882507324,,208.3,39.994,52.3650116479204,2.41525048462279,12773954.0,1759081.0,13.7708383943132
