Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,37.933,55.5745659021029,,5231654.0,543417.0,10.3871038748875
YR1961,1010.0,1246700.0,,4.25249298147108,,,,,,,,,,,,,,,,,,,,36.902,55.1971877836122,1.32779747379503,5301583.0,573130.0,10.8105449526381
YR1962,1010.0,1246700.0,,4.29478623566215,,,,,,,,,,,,,,,,,,,,37.168,54.7869057625451,0.989638884942996,5354310.0,600061.0,11.2070600250908
YR1963,1010.0,1246700.0,,4.33810860672175,,,,,,,,,,,,,,,,,,,,37.419,54.3252803088575,1.00366645307032,5408320.0,626376.0,11.5817203164711
YR1964,1010.0,1246700.0,,4.38292051014679,,,,,,,,,,,,,,,,,,,,37.704,53.7806081673266,1.02768371068476,5464187.0,652707.0,11.9451804039409
YR1965,1010.0,1246700.0,,4.42927809416861,,,,,,,,,,,,,,,,,,,,37.968,53.2260071159245,1.0521327025144,5521981.0,679651.0,12.308094864662
YR1966,1010.0,1246700.0,,4.47692788962862,,,,,,,,,,,,,,,,,,,,38.258,52.7194183739112,1.07004599273081,5581386.0,707782.0,12.6811182757965
YR1967,1010.0,1246700.0,,4.52539263656052,,,,,,,,,,,,,,,,,,,,38.616,52.2652139642494,1.07672716199246,5641807.0,737661.0,13.0749052145061
YR1968,1010.0,1246700.0,,4.57423518087752,,,,,,,,,,,,,,,,,,,,38.968,51.8746867163525,1.07351672755809,5702699.0,769871.0,13.5001102579529
YR1969,1010.0,1246700.0,,4.62315312424801,,,,,,,,,,,,,,,,,,,,39.329,51.5451226081925,1.06374555524786,5763685.0,805036.0,13.9673879832988
YR1970,1010.0,1246700.0,,4.69462420790888,,,,,,,,,,,,,,,,,,,,39.688,51.1759694695929,1.53411018165866,5852788.0,848013.0,14.4890356191567
YR1971,1010.0,1246700.0,,4.80556830031283,,,,,,,,,,,,,,,,,62.5541801452637,,,40.076,50.914347644223,2.33572395835657,5991102.0,903210.0,15.0758622803081
YR1972,1010.0,1246700.0,,4.95248415817759,,,,,,,,,,,,,,,,,67.9116897583008,,,40.469,50.9815139864883,3.01139927064505,6174262.0,973223.0,15.7625860843817
YR1973,1010.0,1246700.0,,5.12435068581054,,,,,,,,,,,,,,,,,70.0399017333984,,,40.871,51.2305651630548,3.41145207135026,6388528.0,1056984.0,16.5450304427496
YR1974,1010.0,1246700.0,,5.3046980027272,,,,,,,,,,,,,,,,,75.951171875,,,41.26,51.5039540373308,3.45890219863504,6613367.0,1151808.0,17.4163699403863
YR1975,1010.0,1246700.0,,5.48884815914013,,,,,,,,,,,,,,,,,,,,40.817,51.7697164518238,3.4125582897881,6842947.0,1257034.0,18.369779162266
YR1976,1010.0,1246700.0,,5.67471244084383,,,,,,,,,,,,,,,,,,,,40.812,52.0186929005609,3.33014644361355,7074664.0,1372374.0,19.3984326933631
YR1977,1010.0,1246700.0,,5.86975936472287,,,,,,,,,,,,,,,,,,,,41.215,52.2781174390576,3.37937480483443,7317829.0,1499826.0,20.4955051186518
YR1978,1010.0,1246700.0,,6.07743161947541,,10.27,,,,,,,,,,,,,,,,,,41.573,52.5402668577428,3.4768536806595,7576734.0,1640679.0,21.6541710231065
YR1979,1010.0,1246700.0,,6.29438277051416,,15.1,,,,,,,,,,,,,,,,,,41.913,52.7686920964363,3.50754362150738,7847207.0,1794468.0,22.8676049917016
YR1980,1010.0,1246700.0,0.630975103967161,6.52432180957728,,14.88,,,,,,,,,5930503400.96263,177.42880075,,729.111965489822,,,159.810211181641,,124.7,42.242,52.9738698232447,3.58793986406709,8133872.0,1962620.0,24.1289816094112
YR1981,1010.0,1246700.0,0.883706869873758,6.76634876072832,,18.516,,,,,,,,-2.10030616696147,5550483035.96497,166.05935147,-4.40000121865036,657.982648547398,,,142.36149597168,,123.0,42.556,53.1404260535134,3.64246045254538,8435607.0,2145299.0,25.4314754612098
YR1982,1010.0,1246700.0,2.08648507255308,7.01985080612818,,20.0,,,,,,,,0.0,5550483035.96497,166.05935147,0.0,634.221467312782,,,133.382141113281,,121.7,42.857,53.2641364652614,3.67803500207566,8751648.0,2342664.0,26.7682611320717
YR1983,1010.0,1246700.0,1.80366249575565,7.2856204379562,,23.295,,,,,,,,0.0127635583865811,5784341596.36339,173.05593188,4.20000142853753,636.83281102292,,,120.500518798828,,120.2,41.972,53.3675474988529,3.71606373976317,9082983.0,2555271.0,28.1325132069711
YR1984,1010.0,1246700.0,1.09500567622465,7.56069383171573,,31.9,,,,,,,,0.0011881098995019,6131475065.17815,183.441471,6.00000216509056,650.491094413218,,,105.086357116699,,119.1,42.245,53.4302894121448,3.70603601409782,9425917.0,2782286.0,29.5174062708824
YR1985,1010.0,1246700.0,3.68013758032242,7.84400417101147,,34.3,1.715e-05,,,,,,,19.0352057407946,7554065410.121,226.00252894,3.49999949008608,772.468832586265,200.0,600.0,82.7846298217773,,118.5,42.495,53.4172325023741,3.67864774172346,9779120.0,3023324.0,30.91611490878
YR1986,1010.0,1246700.0,3.30857271569459,8.13303120237427,,34.6,1.73e-05,,,,,,,-9.01306191994352,7072536108.69711,211.5961353,2.90000174246853,697.526602399253,200.0,690.0,89.2226715087891,,118.0,42.739,53.311227596725,3.61842556125761,10139450.0,3277254.0,32.321813705638
YR1987,1010.0,1246700.0,1.4719684486904,8.42051656372824,,44.5,22.25,,,,,,,9.82331134996616,8084412414.26566,241.86945061,4.08274863510731,770.10114008645,200.0,680.0,89.1158065795898,,117.8,40.786,53.136456653179,3.47374802918502,10497858.0,3540684.0,33.727677246431
YR1988,1010.0,1246700.0,1.49375642275957,8.71203256597417,,43.961,21.9805,,,,,,,2.21377444948736,8769836768.83482,262.37597645,6.12889047765088,807.43962838624,200.0,660.0,87.2197265625,,117.8,41.471,52.9439133893015,3.40339476992955,10861291.0,3815233.0,35.1268801161331
YR1989,1010.0,1246700.0,1.9604420096587,9.01464827143659,,58.297,19.4323333333333,,,,,,,16.2796626853839,10201780976.6696,305.21688326,0.0416214618373516,907.747893072936,300.0,870.0,86.7051696777344,45.9,117.9,41.698,52.7507211331841,3.41457162860406,11238562.0,4103491.0,36.5125968997187
YR1990,1010.0,1246700.0,-2.98142869155218,9.32570786877356,,52.391,17.4636666666667,,,,,,,14.0074398272591,11229515599.3048,335.9646477,-3.45009868500237,965.866840464665,300.0,790.0,81.0857772827148,45.8,118.1,41.854,52.5605113105267,3.39240335400398,11626360.0,4403833.0,37.878002182162
YR1991,1010.0,1246700.0,6.26663053571429,9.64428411005053,83.7837837837837,56.82,7.1025,,,,,,,106.309982268478,10603784541.197,700.0,0.991359302044742,881.919488130062,700.0,920.0,73.8994369506836,45.7,118.5,43.812,52.3533461911784,3.35905461487339,12023529.0,4715180.0,39.2162705484376
