Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,56.413,53.3383311496938,,1608800.0,496187.0,30.8420674130923
YR1961,1485.0,28750.0,,60.5766423357664,,,,,,,,,,,,,,,,,,,,57.488,52.9051698841028,3.12085537059054,1659800.0,514252.0,30.9827513418507
YR1962,1485.0,28750.0,,62.456897810219,,,,,,,,,,,,,,,,,,,,58.494,52.7233813892379,3.05673050279088,1711319.0,531761.0,31.0731900817639
YR1963,1485.0,28750.0,,64.3292335766423,,,,,,,,,,,,,,,,,,,,59.479,52.6593758112193,2.95374876199632,1762621.0,548877.0,31.1398055648366
YR1964,1485.0,28750.0,,66.2093065693431,,,,,,,,,,,,,,,,,,,,60.404,52.6722407418319,2.88068642624326,1814135.0,565840.0,31.1906326249604
YR1965,1485.0,28750.0,,68.0580656934307,,,,,,,,,,,,,,,,,,,,61.273,52.6994233262525,2.75402123804227,1864791.0,582443.0,31.2337060960272
YR1966,1485.0,28750.0,,69.8749270072993,,,,,,,,,,,,,,,,,,,,62.149,52.7186430873757,2.63456387954101,1914573.0,598822.0,31.2770608119285
YR1967,1485.0,28750.0,,71.7371532846715,,,,,,,,,,,,,,,,,,,,62.976,52.7476319011929,2.63019034549493,1965598.0,615797.0,31.3287316065561
YR1968,1485.0,28750.0,,73.8055474452555,,,,,,,,,,,,,,,,,,,,63.788,52.8219423338961,2.84251071048949,2022272.0,634928.0,31.3967533138017
YR1969,1485.0,28750.0,,75.9742700729927,,,,,,,,,,,,,,,,,,,,64.538,52.9938289744343,2.8960833877323,2081695.0,655529.0,31.4901653651322
YR1970,1485.0,28750.0,,77.9371897810219,,,,,,,,,,,,,,,,,,,,65.234,53.271988444996,2.55085117829323,2135479.0,675217.0,31.6190126513611
YR1971,1485.0,28750.0,,79.8486496350365,,,,,,,,,,,,,,,,,,,,65.896,53.6244425035973,2.4229720170788,2187853.0,695370.0,31.7832190295765
YR1972,1485.0,28750.0,,81.8659124087591,,,,,,,,,,,,,,,,,,,,66.526,54.0382493861022,2.49497310670312,2243126.0,717250.0,31.9754582795241
YR1973,1485.0,28750.0,,83.8230656934307,,,,,,,,,,,,,,,,,,,,67.107,54.5063254419064,2.36255222384825,2296752.0,739303.0,32.1890629144681
YR1974,1485.0,28750.0,,85.7709489051095,,,,,,,,,,,,,,,,,,,,67.633,55.0286509007873,2.29721417566909,2350124.0,761848.0,32.4173654476724
YR1975,1485.0,28750.0,,87.7675547445255,,653000000.0,,,,,,,,,,,,,,,,,,68.12,55.6063301395314,2.3011538096943,2404831.0,785266.0,32.6536983924011
YR1976,1485.0,28750.0,,89.7272262773723,,783000000.0,,,,,,,,,,,,,,,113.545539855957,,,68.57,56.2324642114571,2.20823525497527,2458526.0,808643.0,32.8913942619184
YR1977,1485.0,28750.0,,91.7352554744526,,805000000.0,,,,,,,,,,,,,,,,,,68.992,56.8852483607201,2.21325217885547,2513546.0,832582.0,33.1237855694883
