Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,72.094,65.9831756046267,,9510.0,5559.0,58.4500007629395
YR1961,,470.0,,21.8787234042553,,,,,,,,,,,,,,,,,,,,72.573,66.0491125699003,7.81481696897547,10283.0,6191.0,60.2093959076999
YR1962,,470.0,,23.5872340425532,,,,,,,,,,,,,,,,,,,,72.993,66.0653075951651,7.51910047505593,11086.0,6877.0,62.0361481576873
YR1963,,470.0,,25.3510638297872,,,,,,,,,,,,,,,,,,,,73.298,66.0721779269828,7.21150595530926,11915.0,7616.0,63.9184116151966
YR1964,,470.0,,27.1574468085106,,,,,,,,,,,,,,,,,,,,73.624,66.1103929173032,6.88305978652916,12764.0,8404.0,65.8443403825224
YR1965,,470.0,,29.0085106382979,,,,,,,,,,,,,,,,,,,,73.856,66.1618013789057,6.59379645245965,13634.0,9244.0,67.8020885619596
YR1966,,470.0,,31.1191489361702,,,,,,,,,,,,,,,,,,,,74.02,65.896348967592,7.02340939081659,14626.0,10206.0,69.779810255803
YR1967,,470.0,,33.6957446808511,,,,,,,,,,,,,,,,,,,,74.119,65.280671844415,7.95482076608293,15837.0,11366.0,71.7656595663472
YR1968,,470.0,,36.5446808510638,,,,,,,,,,,,,,,,,,,,74.22,64.8171867722403,8.1164086066891,17176.0,12667.0,73.7477905958871
YR1969,,470.0,,39.4787234042553,,,,,,,,,,,,,,,,,,,,74.296,64.6779843707895,7.7226233936081,18555.0,14049.0,75.7143574467173
YR1970,,470.0,,42.5042553191489,,,,,,,,,,,78617711.0965325,33075100.0,,3935.41127779609,,,,,,74.452,64.8186619277651,7.38423172840341,19977.0,15513.0,77.6535142211328
