Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,146.3,50.651,59.8784020954129,,131334.0,96530.0,73.5
YR1961,78.0,98647.9,,1.94295972965362,,,,,,,,,,,,,,,,,,,139.2,51.596,61.0182695722123,4.94302750761822,137989.0,102856.0,74.5394859753477
YR1962,78.0,98647.9,,2.04091805125317,,,,,,,,,,,,,,,,,,,132.2,52.546,62.026547817808,4.91872874289777,144946.0,109398.0,75.4751894908409
YR1963,78.0,98647.9,,2.14321317938609,,,,,,,,,,,,,,,,,,,125.0,53.509,62.8574807339811,4.8906456876335,152211.0,116172.0,76.3230038344243
YR1964,78.0,98647.9,,2.24854970430865,,,,,,,,,,,,,,,,,,,117.5,54.495,63.5435713748967,4.7979243899545,159692.0,123121.0,77.0988222940425
YR1965,78.0,98647.9,,2.35290059138271,,,,,,,,,,,,,,,,,,,109.9,55.512,64.2090081895352,4.53634287214408,167103.0,130037.0,77.8185381576404
YR1966,78.0,98647.9,,2.44967614756407,,,,,,,,,,,,,,,,,,,102.2,56.572,65.0073429457427,4.03069699051328,173976.0,136568.0,78.4980447131624
YR1967,78.0,98647.9,,2.53027316248944,,,,,,,,,,,,,,,,,,,94.7,57.648,66.126878130217,3.23714351228271,179700.0,142238.0,79.1532352485533
YR1968,78.0,98647.9,,2.80788510278795,,,,,,,,,,,,,,,,,,,87.2,58.727,67.1585207769707,10.4104301241277,199416.0,159134.0,79.8000030517578
YR1969,78.0,98647.9,,3.37454238242749,,,,,,,,,,,,,,,,,,,79.9,59.764,67.8982725527831,18.3828157223581,239660.0,192897.0,80.4878127899824
