Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,0.00155,1.55,1567579478.83209,0.1348173041,15.2080960873797,,,,,15865474315.4056,0.1315089166,,778.251706763404,0.1349124759,,,,,64.242,63.5083337645924,,20386045.0,14621664.0,71.7238893802647
YR1961,,2780400.0,,7.57348329551392,,0.00214,2.14,1568225890.36433,0.1632494256,11.9898923109727,,,,20.3106975290508,20132220374.9093,0.1668071896,5.42784287621933,971.338043308372,0.1711232811,,,,,64.631,63.4749315313566,1.65516691395024,20726276.0,15013176.0,72.4354744941627
YR1962,591.0,2780400.0,,7.70000913512309,,0.00266,2.66,2235799985.66842,0.2152184248,14.0755256495637,,,,28.8718416496811,18337691145.3688,0.2131359279,-0.852021521903339,870.217490905403,0.2186520696,900.0,,,,64.618,63.4737480726397,1.65684089054911,21072538.0,15419383.0,73.1728787774807
YR1963,591.0,2780400.0,,7.82759647603492,,0.00336,1.68,1873293741.48124,0.254196465,15.7809062353749,,,,25.5911543466798,18272123664.4715,0.2534708977,-5.30819682539126,852.972425139433,0.2600299716,880.0,,,,64.855,63.493748513482,1.64339841718671,21421705.0,15836504.0,73.9273735418668
YR1964,591.0,2780400.0,,7.95466530736035,,0.00345,1.15,1851010086.55162,0.3500347436,11.1274296795488,,,,28.7746173194355,25605249381.7597,0.359472096,10.1302976615431,1176.20086190313,0.3687745035,1020.0,,,,64.816,63.5190153027957,1.61030882522813,21769453.0,16259161.0,74.6879628669135
YR1965,591.0,2780400.0,,8.0800635073757,,0.00428,1.07,2292941109.49128,0.4718600065,10.3764574099485,48.4144764220088,0.1863899976,38.6813582857261,21.2329349264853,28344705966.6389,0.4818600118,10.5694333376394,1281.83337976859,0.494329989,1230.0,,,,65.053,63.5616989829274,1.56411446631364,22112629.0,16682575.0,75.4436508322132
YR1966,591.0,2780400.0,,8.20476305317738,,0.00584,1.168,3093333419.90704,0.5912399888,11.6426054171411,49.605814661101,0.2412000001,40.1170927423721,25.603462425178,28630474727.9023,0.6012399793,-0.659726170629824,1275.07843418966,0.6257200241,1350.0,,,,65.398,63.6299296436019,1.53151134539948,22453893.0,17106148.0,76.1834415173586
YR1967,591.0,2780400.0,,8.33088840899042,,0.0084,1.4,2362424326.82205,0.7804699988,12.4926603729179,47.3834143823114,0.3412899971,42.6362011624409,29.0182629355813,24256667553.2569,0.8004699945,3.19199662339177,1063.93283833587,0.8033599854,1240.0,,,,65.467,63.6976727855303,1.52552564515699,22799059.0,17531642.0,76.8963390019422
YR1968,591.0,2780400.0,,8.45933700930686,,0.0118,1.68571428571429,2598571394.01054,0.9152900129,11.8881648852942,47.0360652886282,0.4001199901,43.2426585257493,10.2753105598205,26436857247.4982,0.9252899885,4.82250077932424,1141.95211617341,0.911559999,1210.0,,,,65.234,63.7478265666139,1.5300700621594,23150583.0,17958219.0,77.5713473655565
YR1969,591.0,2780400.0,,8.59019874373787,,0.0155,1.9375,2969714408.66378,1.0939700306,12.7974266330598,47.3861283042889,0.4750800133,43.4271542070252,7.79583003393792,31256284543.6155,1.0939699411,9.67952601078326,1329.56181832409,1.0862799883,1300.0,,,59.8,65.085,63.7718248354833,1.53510695155484,23508711.0,18383217.0,78.197470687794
