Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,59.063,56.8218682677784,,1863705.0,953310.0,51.1513366699219
YR1961,,29740.0,,,,,,,,,,,,,,,,,,,,,,59.4940975609756,55.8526555862461,3.36490835768791,1927484.0,1011582.0,52.4819793701172
YR1962,,29740.0,,,,,,,,,,,,,,,,,,,,,,59.9166829268293,55.2713049075433,3.27674969627335,1991689.0,1067129.0,53.5790939331055
YR1963,,29740.0,,,,,,,,,,,,,,,,,,,,,,60.3282682926829,55.0200313906994,3.17905118250589,2056023.0,1122952.0,54.6176986694336
YR1964,,29740.0,,,,,,,,,,,,,,,,,,,,,,60.7238292682927,54.9501435167705,3.07062316009917,2120135.0,1177831.0,55.554515838623
YR1965,,29740.0,,,,,,,,,,,,,,,,,,,,,,61.0993414634146,54.98781961908,2.95111534719046,2183635.0,1224091.0,56.0575141906738
YR1966,,29740.0,,,,,,,,,,,,,,,,,,,,,,61.4538292682927,55.1353121340279,2.82307269569433,2246159.0,1268301.0,56.4653091430664
YR1967,,29740.0,,,,,,,,,,,,,,,,,,,,,,61.784756097561,55.3760436387306,2.69395741026658,2307492.0,1316353.0,57.0468978881836
YR1968,,29740.0,,,,,,,,,,,,,,,,,,,,,,62.0936341463415,55.6974366361272,2.55968707686785,2367319.0,1366034.0,57.7038421630859
YR1969,,29740.0,,,,,,,,,,,,,,,,,,,,,,62.3799512195122,56.1163846982092,2.36733531661478,2424030.0,1424249.0,58.7554321289062
