Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,65.053,48.1957034645474,,20133.0,7576.0,37.630733896367
YR1961,,200.0,,103.33,,,,,,,,,,,,,,,,,,,,65.648,48.6777479373836,2.61295779479513,20666.0,7885.0,38.1525839096364
YR1962,,200.0,,106.49,,,,,,,,,,,,,,,,,,,,66.008,49.1454596675744,3.01233338010289,21298.0,8367.0,39.2872955226102
YR1963,,200.0,,109.83,,,,,,,,,,,,,,,,,,,,66.161,49.4548517060069,3.08826317729621,21966.0,8983.0,40.8971834238165
YR1964,,200.0,,113.365,,,,,,,,,,,,,,,,,,,,66.135,49.6140784192652,3.16789858783513,22673.0,9716.0,42.8525438300483
YR1965,,200.0,,117.03,,,,,,,,,,,,,,,,,,,,65.996,49.6678131208477,3.18176105080689,23406.0,10538.0,45.0236729580982
YR1966,,200.0,,120.68,,,,,,,,,,,,,,,,,,,,58.284,49.6923618735887,3.07121021041855,24136.0,11412.0,47.2808670247592
YR1967,,200.0,,124.315,,,,,,,,,,,,,,,,,,,,65.807,49.7335451565548,2.96762527294609,24863.0,12306.0,49.494422246824
YR1968,,200.0,,128.07,,,,,,,,,,,,,,,,,,,,65.847,49.83602717264,2.97583224176592,25614.0,13200.0,51.5346348410855
YR1969,,200.0,,131.875,,,,,,,,,,,,,,,,,,,,66.05,50.0464463781304,2.92775147923506,26375.0,14050.0,53.2718010243364
YR1970,,200.0,,135.13,,,,,,,,,,,,,,,,,,,,66.364,50.4560507668683,2.43827738196638,27026.0,14755.0,54.5969643668068
YR1971,,200.0,,137.665,,,,,,,,,,,,,,,,,,,,66.77,51.0115134565794,1.85859196321134,27533.0,15330.0,55.6781182307226
YR1972,,200.0,,139.975,,,,,,,,,,,,,,,,,,,,67.186,51.5582861531317,1.66406375528489,27995.0,15863.0,56.6648019949481
YR1973,,200.0,,142.18,,,,,,,,,,,,,,,75600000.0,,,,,67.604,52.0651275649254,1.56300252663801,28436.0,16371.0,57.5724235151291
YR1974,,200.0,,144.375,,,,,,,,,,,,,,,77000000.0,,,,,67.95,52.5627705627706,1.53202207747209,28875.0,16870.0,58.4244855714931
YR1975,,200.0,,146.95,,,,,,,,,,,,,,,67700000.0,,,,,68.256,53.1278177580428,1.76783115888683,29390.0,17412.0,59.2444909442675
YR1976,,200.0,,149.795,,,,,,,,,,,,,,,68500000.0,,,,,68.475,53.7651456991221,1.91752998240242,29959.0,17992.0,60.0559424136796
YR1977,,200.0,,152.605,,,,,,,,,,,,,,,79200000.0,,,,,68.701,54.4444808492513,1.85851910243699,30521.0,18582.0,60.8823427599568
YR1978,,200.0,,155.38,,,,,,,,,,,,,,,84700000.0,,,,,68.881,55.1431191774871,1.80208458089542,31076.0,19189.0,61.7471947633265
YR1979,,200.0,,158.055,,,,,,,,,,,,,,,105600000.0,,,,,69.114,55.8666287051976,1.70693441973258,31611.0,19812.0,62.6740012040162
YR1980,,200.0,,162.015,,,,,,,,,,,,,,,127200000.0,,,,,69.413,56.4339171360235,2.47458498189466,32403.0,20635.0,63.6838351491801
YR1981,,200.0,,167.92,,,,,,,,,,,,,,,139300000.0,,,,,69.731,56.7806577438997,3.57987519738303,33584.0,21749.0,64.7594806420641
YR1982,,200.0,,174.545,,,,,,,,,,,,,,,151100000.0,,98.1516494750977,,,69.975,57.0698100776304,3.86949125410215,34909.0,22998.0,65.8801826050643
YR1983,,200.0,,181.355,,,,,,,,,,,,,,,166000000.0,,97.0509033203125,,,70.163,57.3378180915883,3.82738482907523,36271.0,24316.0,67.0404090055583
YR1984,,200.0,,188.335,,,,,,,,,,,,,,,178200000.0,,99.8480224609375,,,70.326,57.5941805824727,3.77658556525449,37667.0,25702.0,68.2337812268115
YR1985,,200.0,,195.515,,,,,,,,,,,,,,,189700000.0,,102.76732635498,,,70.532,57.8298617770788,3.74148108281199,39103.0,27159.0,69.4539206520893
YR1986,,200.0,,202.855,,,,,,,,,,,,,,,,,100.626960754395,,,70.704,58.0291341105716,3.68543352791023,40571.0,28681.0,70.6944486646571
YR1987,,200.0,,210.36,,,,,,,,,,,,,,,,,99.1244812011719,,,70.828,58.1930975470622,3.63289106172249,42072.0,30270.0,71.9489866477803
YR1988,,200.0,,218.075,,,,,,,,,,,,,,,,,99.149299621582,,,70.883,58.3423134242806,3.60186915981387,43615.0,31931.0,73.2111559847244
YR1989,,200.0,,225.955,,,,,,,,,,,,,,,,,99.8317718505859,,,70.929,58.4862030050231,3.54968240827236,45191.0,33656.0,74.4745780587547
YR1990,,200.0,,233.2,,,,,,,,,,,,,,,,,100.716552734375,,,71.107,58.4669811320755,3.15605900743314,46640.0,35332.0,75.75476136421
YR1991,,200.0,,239.41,,,,,,,,,,,,,,,,,95.050422668457,,,71.312,58.2776408671317,2.62811088695503,47882.0,36959.0,77.1886431276343
YR1992,,200.0,,245.19,,,,,,,,,,,,,,,,,89.9076309204102,,,71.511,58.0921113003049,2.38558568502606,49038.0,38652.0,78.8200233343089
YR1993,,200.0,,250.795,,,,,,,,,,,,,,,,,,,,71.54,57.939751589944,2.26024521597422,50159.0,40405.0,80.5535241084936
YR1994,,200.0,,256.255,,,,,,,,,,,,,,,,,,,,71.569,57.8174084408109,2.15371701014893,51251.0,42183.0,82.3063685835789
YR1995,,200.0,,261.58,,,,,,,,,,,,,,,,,,,,71.565,57.7194357366771,2.05671216036268,52316.0,43943.0,83.9957798929559
YR1996,,200.0,,266.765,,,,,,,,,,,,,,,,,,,,71.576,57.6597599032866,1.96279569672393,53353.0,45638.0,85.5389811700152
YR1997,,200.0,,271.81,,,,,,,,,,,,,,,,,,,,71.606,57.6579228137302,1.87351717706436,54362.0,47215.0,86.8531955481476
YR1998,,200.0,,276.67,,,,,,,,,,,,,,,,,,,,71.542,57.7308502082825,1.77221674438368,55334.0,48614.0,87.855646160744
YR1999,,200.0,,281.24,,,,,,,,,,,,,,,,,,,,71.484,57.8891693926895,1.63829370882346,56248.0,49759.0,88.4635561411951
YR2000,,200.0,,284.275,,,,,,,,,,,,,,,,,,,,71.443,58.0736793041888,1.07336821798259,56855.0,50378.0,88.6075809307222
YR2001,,200.0,,285.265,,,,,,,,,,,,,,,,,,,,71.573,58.2488366182618,0.347649330019057,57053.0,50522.0,88.553433064242
YR2002,,200.0,,285.31,,,,,,210.9375,,,,,512000000.0,512000000.0,,8972.69636535698,,,,,,71.755,58.4378258545604,0.015773561790571,57062.0,50462.0,88.4330093344384
YR2003,,200.0,,284.855,,,,,,207.442748091603,,,,1.36505293715847,524000000.0,524000000.0,0.965517241379317,9197.66196836987,,,,,,71.698,58.645263776867,-0.159602955841036,56971.0,50281.0,88.2572251046343
YR2004,,200.0,,284.09,,,,,,202.357563850688,,,,-3.25907462221531,509000000.0,509000000.0,0.409836065573771,8958.42866697173,,,,,,72.277,58.891548452955,-0.268918950346124,56818.0,50020.0,88.0361455323111
YR2005,,200.0,,283.085,,,,,,223.2,,,,-1.36558343263874,500000000.0,500000000.0,-0.408163265306129,8831.26975996609,,,,,,72.382,59.2048324708127,-0.354388346392294,56617.0,49698.0,87.7798357749499
YR2006,,200.0,,281.87,,,,,,229.817444219067,,,,2.81367521367521,493000000.0,493000000.0,-4.09836065573771,8745.16621137404,,,,,,72.397,59.5836770170911,-0.43012341626739,56374.0,49326.0,87.4983609900321
YR2007,,200.0,,280.565,,,,,,218.146718146718,,,,3.16061220726536,518000000.0,518000000.0,1.85185185185186,9231.37240924563,,,,,,72.365,60.0155044285638,-0.464054456743541,56113.0,48932.0,87.2017863350389
YR2008,,200.0,,279.14,,,,,,249.821428571429,,,,11.0593351972663,560000000.0,560000000.0,-2.65734265734265,10030.8089130902,,,,,,72.43,60.4553270760192,-0.509197909248079,55828.0,48515.0,86.9001769674517
YR2009,,200.0,,277.64,,,,,,161.333333333333,,,,25.776397515528,675000000.0,675000000.0,-4.16666666666666,12156.0293905777,,,,,,70.839,60.8449791096384,-0.538813760911533,55528.0,48089.0,86.6035980447517
YR2010,,200.0,,276.14,,,,,,157.940663176265,,,,-15.3648895532304,573000000.0,573000000.0,0.299850074962521,10375.1720141957,,,,,,72.587,61.3216002607349,-0.541732698337665,55228.0,47672.0,86.3190673549669
YR2011,,200.0,,274.475,,,,,,157.543859649123,,,,-0.52356020942409,570000000.0,570000000.0,0.0,10383.459331451,,,,,,72.662,61.903070379175,-0.604780136721016,54895.0,47225.0,86.0284991724475
YR2012,,200.0,,272.445,,,,,,176.40625,,,,17.3684210526316,640000000.0,640000000.0,-4.33482810164425,11745.4899153958,,,,,,72.709,62.3676338343519,-0.742342325127959,54489.0,46706.0,85.7161174344451
YR2013,,200.0,,270.03,,,,,,173.824451410658,,,,2.24358974358974,638000000.0,638000000.0,-2.5,11813.5022034589,,,,,,72.769,62.6652594156205,-0.890369493241287,54006.0,46113.0,85.3846465194761
YR2014,,200.0,,267.33,,,,,,174.805598755832,,,,-0.962160294226521,643000000.0,643000000.0,1.76282051282051,12026.3344929488,,,,,,72.687,62.8595743089066,-1.00492136443654,53466.0,45465.0,85.0351448001542
YR2015,,200.0,,264.39,,,,,,162.407132243685,,,,1.4697327650683,673000000.0,673000000.0,3.14960629921259,12727.4102651386,,,,,,72.654,63.0186466961685,-1.10585645130594,52878.0,44771.0,84.668670649093
YR2016,,200.0,,261.225,,,,,,159.165424739195,,,,1.40582171236608,671000000.0,671000000.0,-1.67938931297709,12843.3342903627,,,,,,72.64,63.184641445511,-1.20431808595042,52245.0,44035.0,84.2862824389061
YR2017,,200.0,,257.93,,,,,,161.437908496732,,,,-1.94089005769675,612000000.0,612000000.0,-6.98757763975155,11863.6839452565,,,,,,72.801,63.351490714535,-1.26938746413556,51586.0,43275.0,83.8890385422071
YR2018,,200.0,,254.54,,,,,,171.830985915493,,,,1.69536107125778,639000000.0,639000000.0,2.6711185308848,12552.0546868861,,,,,,72.794,63.509040729937,-1.32302357149178,50908.0,42497.0,83.4779973316097
