Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,62.2,62.635,56.0779094653166,,55603.0,22000.0,39.5657705152055
YR1961,1030.0,440.0,,128.5,,,,,,,,,,,,,,,,,,,58.6,63.335,56.0665015917934,1.67111956299929,56540.0,22238.0,39.3318081653543
YR1962,1030.0,440.0,,130.309090909091,,,,,,,,,,,,,,,,,,,54.7,63.995,55.9409092098264,1.39803464261739,57336.0,22262.0,38.8272208218301
YR1963,1030.0,440.0,,132.131818181818,,,,,,,,,,,,,,,,,,,50.4,64.697,55.7415115759056,1.38907961226255,58138.0,22166.0,38.126158195326
YR1964,1030.0,440.0,,134.136363636364,,,,,,,,,,,,,,,,,,,46.1,65.428,55.0571411628163,1.50568747005497,59020.0,22014.0,37.2995588692159
YR1965,1030.0,440.0,,136.295454545455,,,,,,,,,,,,,,,,,,,41.8,66.171,54.0411872602968,1.5968067665625,59970.0,21840.0,36.4183614268739
YR1966,1030.0,440.0,,138.409090909091,,,,,,,,,,,,,,,,,,,37.7,66.902,53.1785975254312,1.53887375354329,60900.0,21652.0,35.5535044516741
YR1967,1030.0,440.0,,140.538636363636,,,,,,,,,,,,,,,,,,,34.0,67.586,52.4026682838084,1.5268716096776,61837.0,21504.0,34.7759265269904
YR1968,1030.0,440.0,,142.747727272727,,,,,,,,,,,,,,,,,,,30.7,68.23,51.7441767899505,1.55964844952384,62809.0,21453.0,34.1565662361968
YR1969,1030.0,440.0,,145.043181818182,,,,,,,,,,,,,,,,,,,27.8,68.827,51.251194785252,1.59525763502134,63819.0,21549.0,33.7663621626675
YR1970,1030.0,440.0,,146.654545454545,,,,,,,,,,,,,,,,,,,25.5,69.371,51.4222618263531,1.10482864729335,64528.0,21725.0,33.6675914101397
YR1971,1030.0,440.0,,147.111363636364,,,,,,,,,,,,,,,,,72.2193222045898,16.1,23.5,69.861,52.1736779496053,0.311008551980252,64729.0,21804.0,33.6846034454342
YR1972,1030.0,440.0,,146.852272727273,,,,,,,,,,,,,,,,,90.2116012573242,15.0,21.8,70.304,52.9884701694653,-0.176274167366029,64615.0,21791.0,33.7236069227181
YR1973,1030.0,440.0,,146.231818181818,,,,,,,,,,,,,,,,,,14.1,20.4,70.71,53.8769388579777,-0.423397578772618,64342.0,21736.0,33.7820287765769
YR1974,1030.0,440.0,,145.586363636364,,,,,,,,,,,,,,,,,90.4880981445312,13.4,19.2,71.095,54.8412778944246,-0.442368322635836,64058.0,21688.0,33.8575407060716
YR1975,1030.0,440.0,,145.088636363636,,,,,,,,,,,,,,,,,91.1811294555664,12.7,18.1,71.447,55.881984366923,-0.342463410460183,63839.0,21672.0,33.9478144102634
YR1976,1030.0,440.0,,144.913636363636,,,,,,,,,,,,,,,,,99.8678970336914,12.0,17.0,71.794,56.9163451585584,-0.120688723985499,63762.0,21711.0,34.0505215882132
YR1977,1030.0,440.0,2.83843838103885,145.140909090909,,,,,,,11.3633105557414,155210000.0,74.1673436230707,,77507407.4074074,209270000.0,,1213.67021714646,208730000.0,,101.478660583496,11.2,15.9,72.149,57.8594636915248,0.156710368684746,63862.0,21817.0,34.163333938982
YR1978,1030.0,440.0,-7.83728072020529,145.540909090909,,,,,,,10.2435741028985,177960000.0,74.8643304867275,8.81996229069382,88040740.7407407,237710000.0,4.38351247709541,1374.82027453607,236630000.0,,99.7153472900391,10.4,14.9,72.5,58.7381028599983,0.275215185442218,64038.0,21955.0,34.283923161631
YR1979,1030.0,440.0,7.755736541516,146.077272727273,,,,,,,11.4325301611977,220420000.0,74.488864857558,15.1778796353778,109596296.296296,295910000.0,8.07944622901869,1705.14199048287,291050000.0,1680.0,98.882568359375,9.6,13.9,72.823,59.5271805084482,0.367853772246065,64274.0,22117.0,34.4099609552212
YR1980,1030.0,440.0,14.7978300989878,146.620454545455,,,,,,,12.8879816565069,261470000.0,73.113919803143,11.7345572818695,132451851.851852,357620000.0,8.16198385854459,2053.10327921275,354380000.0,2100.0,,8.8,13.0,73.094,60.2627397791126,0.371155899842966,64513.0,22282.0,34.5391190188136
YR1981,1030.0,440.0,14.9944217181108,146.965909090909,,,,,,,13.1027643485806,293360000.0,72.7308788893021,8.64317843441597,149388888.888889,403350000.0,3.81444815121563,2310.19699820442,397950000.0,2340.0,,8.2,12.2,73.32,61.008745138368,0.235334298643463,64665.0,22419.0,34.6690690514693
YR1982,1030.0,440.0,13.8184245660881,147.238636363636,,,,,,,10.2269692923899,337960000.0,75.202492211838,11.5100019050635,166444444.444444,449400000.0,-0.0835066842627157,2569.18182363887,439410000.0,2380.0,,7.7,11.6,73.525,61.7048699544648,0.185399821356646,64785.0,22544.0,34.7974827522494
YR1983,1030.0,440.0,2.70465200144248,147.577272727273,,,,,,,10.055295107585,380400000.0,76.2110830628681,5.41388116157681,184866666.666667,499140000.0,5.36381884798783,2846.99335735773,496440000.0,2600.0,,7.3,11.1,73.684,62.3148119629162,0.229727434729787,64934.0,22676.0,34.9220318202148
YR1984,1030.0,440.0,2.07337079828266,147.459090909091,,,,,,,10.7124157911271,438080000.0,76.4564208174805,4.20115727949533,212214814.814815,572980000.0,10.1652301394506,3270.7810304062,571900000.0,3070.0,137.293655395508,7.1,10.7,73.808,62.6432397025392,-0.0801133955462988,64882.0,22735.0,35.0403879544266
YR1985,1030.0,440.0,6.33193024654239,146.797727272727,,,,,,,11.462717979555,503080000.0,75.628382441371,7.85085132660812,246370370.37037,665200000.0,7.64384442301511,3814.3142290779,657910000.0,3520.0,,7.1,10.5,73.873,62.5512842346457,-0.449515327527935,64591.0,22704.0,35.1502228539458
YR1986,1030.0,440.0,7.59503124144283,146.081818181818,,,,,,,12.6372258594508,581580000.0,72.3880411241941,8.32786636854932,297562962.962963,803420000.0,11.4936693741042,4629.45676400154,706130000.0,3910.0,,7.2,10.5,73.893,62.289483714888,-0.488877101782305,64276.0,22657.0,35.2492082178336
