Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,3.7288215039735,410500000.0,2.3695451396906,2064160330.26565,16690000000.0,26.9667648296172,,,,,18635682981.7093,16639000000.0,,1813.43109917039,16668000000.0,,,,20.4,70.8170731707317,61.2661664014315,,10276477.0,8384980.0,81.5939131138277
YR1961,534.0,7741220.0,,1.36456529945459,2.28758040719309,420500000.0,2.41513985411521,2227680356.42886,18027000000.0,27.3393557184251,,,,3.22083571669198,19713123154.0997,17601000000.0,2.48085739405019,1880.48489498232,17582000000.0,,,,20.0,70.9731707317073,61.2570393458638,1.9897400460104,10483000.0,8589782.0,81.9401168447656
YR1962,534.0,7741220.0,,1.39827916118871,-0.319488641462281,437000000.0,2.36369536996971,2384480381.51686,17713000000.0,26.4874270318815,,,,-0.0744447699706683,19953923192.6277,17816000000.0,1.29693177230521,1857.56127281956,17869000000.0,1880.0,,,19.5,70.9424390243903,61.3817749043731,2.4406394012832,10742000.0,8832579.0,82.2247152663558
YR1963,534.0,7741220.0,,1.42535438605626,0.641025285901932,494000000.0,2.44663463919568,2515520402.48326,19421000000.0,26.7521545010902,,,,1.79064611647249,21573443451.751,19262000000.0,6.21437634985244,1970.17748417817,19208000000.0,1970.0,,,19.1,70.9117073170732,61.5311916278034,1.91781647792421,10950000.0,9029282.0,82.4591944202891
YR1964,534.0,7741220.0,,1.45360113507673,2.86622669884314,585500000.0,2.64824279705097,2705920432.94727,21152000000.0,28.6110327976694,,,,3.28049815181089,23835843813.735,21282000000.0,6.97757189326991,2134.48946124608,21280000000.0,2110.0,,,18.8,70.8809756097561,61.6740519994585,1.96235442011452,11167000.0,9232659.0,82.678057786171
YR1965,534.0,7741220.0,,1.48236856149851,3.40558476676981,703000000.0,2.952292961532,3087840494.05448,23776000000.0,28.3979851035433,,,,2.98334374511755,26014244162.2791,23227000000.0,5.97750537090864,2284.35582738664,23295000000.0,2280.0,,,18.5,70.850243902439,61.8449238329957,1.95971689521361,11388000.0,9442452.0,82.9158056314309
YR1966,534.0,7741220.0,,1.51660310063392,3.2934114693033,881000000.0,3.45138290370603,3496640559.46249,25179000000.0,27.9741185142717,,,,2.68694786678935,27349284375.8855,24419000000.0,2.3810335009272,2347.37656646515,24367000000.0,2350.0,,,18.4,70.819512195122,62.033325900357,2.2831843822013,11651000.0,9694441.0,83.2069450044827
YR1967,534.0,7741220.0,,1.53586816448199,3.47825912694824,1069500000.0,3.79376396722358,3888640622.1825,27675000000.0,26.6926270159068,,,,4.86118201297703,30487524878.004,27221000000.0,6.30689948609215,2583.9075241973,27031000000.0,2540.0,,,18.3,70.8692682926829,62.258225061913,1.26227688799781,11799000.0,9868547.0,83.6388442296174
YR1968,534.0,7741220.0,,1.56320372805019,2.52100718278494,1180000000.0,3.83727358459887,4449760711.96171,30225000000.0,26.6981164325027,,,,2.25480966219536,32763365242.1384,29253000000.0,5.09512980987455,2728.23426114901,28984000000.0,2730.0,,12.9,18.2,70.9190243902439,62.5014993749383,1.76415865607642,12009000.0,10111751.0,84.2014373835647
YR1969,534.0,7741220.0,,1.59626674303269,3.27868697620866,1174000000.0,3.38591988002192,4788000766.08012,33376000000.0,25.2088287299555,,,,4.74974354281493,36738245878.1193,32802000000.0,7.04760243224727,2995.86119857452,32327000000.0,2980.0,,12.8,18.1,70.9687804878049,62.6906939529784,2.09302301013426,12263000.0,10396961.0,84.783175206959
