Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,1.94574935198645,173000000.0,1.4581856994971,,,,,,,,6624086313.14334,12516169382.1121,,939.914814681174,12594024752.0981,,,23.7,37.2,68.5856097560976,65.7362761828191,,7047539.0,3516761.0,49.9005599053504
YR1961,1110.0,83879.0,,85.8737154629181,3.54223986727562,172000000.0,1.30933752302764,,,,,,,5.08715371682055,7346566037.83392,13881290273.0381,5.53797931684521,1036.72820436083,13967637776.5529,,,22.8,35.0,69.5773170731707,65.1578963337512,0.548472356417754,7086299.0,3544100.0,50.0134094923753
YR1962,1110.0,83879.0,,86.4016480853127,4.38179863851182,189000000.0,1.35207185896469,,,,,,,3.34020321438608,7793042529.15992,14724904792.2933,2.64867511295262,1093.01419061569,14816499769.6703,1080.0,,21.9,33.0,69.309512195122,64.7325108537264,0.612895847822874,7129864.0,3574823.0,50.1387328948846
YR1963,1110.0,83879.0,,86.9584464372273,2.70876699499822,238000000.0,1.57966775838201,,,,,,,3.67826612051925,8414050621.01716,15898295671.8664,4.13826758157036,1172.55744626178,15997189850.7876,1160.0,,21.2,31.2,69.4436585365854,64.3901565794743,0.642362670652079,7175811.0,3608144.0,50.2820388400265
YR1964,1110.0,83879.0,,87.5400024236549,3.86856354936629,311000000.0,1.88730024255788,,,,,,,3.18378821910466,9213648655.97511,17409131124.4903,6.12435373762845,1275.45715281679,17517424103.6924,1260.0,,20.7,29.7,69.9219512195122,63.9444239131616,0.666548205291217,7223801.0,3643770.0,50.4411692793639
YR1965,1110.0,83879.0,,88.1106277266117,4.93091637676273,270000000.0,1.50721338742394,,,,,,,5.32141544871368,10041659445.118,18973652297.2543,3.48017491799546,1381.07725824421,19091678240.137,1360.0,,20.2,28.4,69.7221951219512,63.4712323849464,0.649729875576735,7270889.0,3680146.0,50.6148005045414
YR1966,1110.0,83879.0,,88.7308046534174,2.05482059257981,317000000.0,1.62440513164265,,,,,,,3.12236608115528,10939526218.6393,20670165912.674,5.64286141093314,1494.04911382106,20801709181.9509,1490.0,,19.7,27.3,70.0458536585366,63.0130006500701,0.701396116235274,7322066.0,3719727.0,50.8016088072034
YR1967,1110.0,83879.0,,89.3964857004363,3.97467292898837,334000000.0,1.60916641574175,,,,,,,3.24776256800889,11634569521.9273,21983445858.1051,3.00804779775473,1577.14147705169,22100463059.0185,1590.0,,19.2,26.4,69.9178048780488,62.5666713980431,0.747425220117069,7376998.0,3762289.0,51.0002704789946
YR1968,1110.0,83879.0,,89.8618880271449,2.76486447339763,344000000.0,1.54267474905488,,,,,,,2.8380319513882,12499863917.1003,23618414169.7179,4.47231278246069,1685.66211669148,23708127150.2583,1710.0,,18.9,25.8,70.0575609756098,62.1526838146266,0.519254261579197,7415403.0,3797388.0,51.2094618115595
YR1969,1110.0,83879.0,,90.1727460009695,3.08040419539536,365000000.0,1.49925656716418,,,,,,,2.7335728768378,13647475854.0287,25786819698.9498,6.27586716606976,1834.0780781796,25912181346.8886,1880.0,,18.9,25.5,69.8331707317073,61.7923346251493,0.345331646244521,7441055.0,3826775.0,51.4278590965426
