Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,50.862,55.0052834674109,,3894500.0,1873100.0,48.0960235595703
YR1961,,86600.0,,,,,,,,,,,,,,,,,,,,,,51.435,53.4584803842414,3.81016460369916,4045750.0,1982196.0,48.9945373535156
YR1962,,86600.0,,,,,,,,,,,,,,,,,,,,,,52.053,52.2643379132978,2.98053448723233,4168150.0,2042780.0,49.00927734375
YR1963,,86600.0,,,,,,,,,,,,,,,,,,,,,,52.696,51.4319774814941,2.96416042860687,4293550.0,2126163.0,49.5199241638184
YR1964,,86600.0,,,,,,,,,,,,,,,,,,,,,,53.292,50.8460130374136,3.33715466835575,4439250.0,2198694.0,49.5284957885742
YR1965,,86600.0,,,,,,,,,,,,,,,,,,,,,,53.884,50.45966654954,3.00447498119537,4574650.0,2271145.0,49.6463012695312
YR1966,,86600.0,,,,,,,,,,,,,,,,,,,,,,54.485,50.2339327180777,2.87648564844311,4708150.0,2334186.0,49.5775680541992
YR1967,,86600.0,,,,,,,,,,,,,,,,,,,,,,55.032,50.1823238569306,2.59654110793219,4832000.0,2410588.0,49.8879928588867
YR1968,,86600.0,,,,,,,,,,,,,,,,,,,,,,55.563,50.3108219198177,2.38240397220949,4948500.0,2475414.0,50.0235290527344
YR1969,,86600.0,,,,,,,,,,,,,,,,,,,,,,56.08,50.6010450879009,2.29339442848205,5063300.0,2530589.0,49.9790382385254
YR1970,,86600.0,,,,,,,,,,,,,,,,,,,,,,56.586,51.0465292475605,2.12506836635144,5172050.0,2596192.0,50.1965682720836
YR1971,,86600.0,,,,,,,,,,,,,,,,,,,,,,57.043,51.637894885866,2.12155255149328,5282950.0,2660476.0,50.3596725463867
YR1972,,86600.0,,,,,,,,,,,,,,,,,,,,,,57.503,52.3753058841731,2.03297116221139,5391450.0,2733544.0,50.7014541625977
YR1973,,86600.0,,,,,,,,,,,,,,,,,,,,,,57.926,53.2505150541147,1.88240203928851,5493900.0,2815600.0,51.249568939209
YR1974,,86600.0,,,,,,,,,,,,,,,,,,,,,,58.332,54.2374186254144,1.8074085083145,5594100.0,2887700.0,51.6204605102539
YR1975,,86600.0,,,,,,,,,,,,,,,,,,,,,,58.687,55.3069496995154,1.68308037047098,5689050.0,2957274.0,51.981861114502
YR1976,,86600.0,,,,,,,,,,,,,,,,,,,,,,59.477,56.5534466560888,1.6033403479609,5781000.0,3029400.0,52.4026985168457
YR1977,,86600.0,,,,,,,,,,,,,,,,,,,,,,59.972,57.9259387630491,1.63251074552443,5876150.0,3096773.0,52.7007217407227
YR1978,,86600.0,,,,,,,,,,,,,,,,,,,,,,60.494,59.3705923916197,1.68747623615293,5976150.0,3164273.0,52.9483604431152
YR1979,,86600.0,,,,,,,,,,,,,,,,,,,,,,60.931,60.5063475679004,1.57962022631322,6071300.0,3200879.0,52.7214741837185
YR1980,,86600.0,,,,,,,,,,,,,,,,,,,,,,61.433,61.2079241555792,1.45851929023408,6160500.0,3274500.0,53.1531524658203
YR1981,,86600.0,,,,,,,,,,,,,,,,,,,,,,61.908,61.8131346697979,1.5662752500675,6257750.0,3328674.0,53.1928176879883
YR1982,,86600.0,,,,,,,,,,,,,,,,,,,,,82.5,62.23,62.2545910306882,1.58223874266506,6357550.0,3381474.0,53.1883125305176
YR1983,,86600.0,,,,,,,,,,,,,,,,,,,,29.7,80.9,62.479,62.542193463334,1.59552745530139,6459800.0,3433400.0,53.1502532958984
YR1984,,86600.0,,,,,,,,,,,,,,,,,,,,29.0,79.4,62.084,62.757036071331,1.65881763239744,6567850.0,3488776.0,53.1190032958984
YR1985,,86600.0,,,,,,,,,,,,,,,,,,,,28.3,78.0,62.674,62.9347481368423,1.54558145433863,6670150.0,3549913.0,53.2208862304688
YR1986,,86600.0,,,,,,,,,,,,,,,,,,,,27.7,76.7,62.603,63.075832634752,1.49030506583321,6770300.0,3615986.0,53.4095458984375
YR1987,,86600.0,,,,,,,,,,,,,,,,,,,,27.5,75.8,62.824,63.1757792640295,1.53971522591019,6875350.0,3679477.0,53.5169372558594
YR1988,,86600.0,,,,,,,,,,,,,,,,,,,,27.7,75.1,62.672,63.1047563153419,1.43324270450177,6974600.0,3747639.0,53.7326774597168
YR1989,,86600.0,,,,,,,,,,,,,,,,,,,,28.4,74.8,62.945,62.6897274326011,1.45115224138506,7076550.0,3830107.0,54.1239323522628
YR1990,,86600.0,,,,,,1563636363.63636,283600.0,83.0832196452933,30.0477489768076,101900.0,34.7544338335607,,8884848484.84848,293200.0,,1238.27189274842,293400.0,,,29.5,75.1,62.75,62.2042193714712,1.38441350150675,7175200.0,3852800.0,53.6960678100586
YR1991,,86600.0,,,,,,1038000000.0,391700.0,86.8637724550898,29.6032934131737,183000.0,34.2440119760479,83.5495126683364,5344000000.0,534400.0,-0.700000175699572,734.944232805688,534800.0,,,31.0,75.8,62.544,61.8657568152722,1.33044567943037,7271300.0,3871347.0,53.2414665222168
