Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,5250000.0,,,,,,,195999990.0,9799999500.0,,70.9051000304602,9694600200.0,,,,,43.262,51.6954372014908,,2764258.0,50823.0,1.83856656446502
YR1961,1274.0,27830.0,,110.401830218069,,19000000.0,0.187192118226601,5250000.0,,,,,,20.0774363431424,202999992.0,10149999600.0,-13.7461350539839,71.601929936627,10040999900.0,,,,,43.364,51.6415275058168,2.53116670769937,2835119.0,54575.0,1.92495251210765
YR1962,1274.0,27830.0,,113.23765576324,,421000000.0,3.94379391100703,7000000.0,,,,,,-3.56741645307069,213500006.0,10675000300.0,9.06315793386563,73.4195979769892,10560600100.0,70.0,,,,43.492,51.5603730128777,2.53620467713375,2907943.0,58562.0,2.01385684556026
YR1963,1274.0,27830.0,,115.648014018692,,50600000.0,0.434782608695652,10500000.0,,,,,,4.68714930026979,232749998.0,11637499900.0,4.13540742185575,78.3711983234119,11513900000.0,80.0,,,,43.559,51.3163749647919,2.10624576492485,2969841.0,62516.0,2.10503150051228
YR1964,1274.0,27830.0,,118.989485981308,,58100000.0,0.445620493940788,14000000.0,,,,,,5.4172175752595,260750008.0,13037500400.0,6.27303790087062,85.3337286665685,12899300400.0,80.0,,49.4,,43.601,51.3027833685141,2.84839199215345,3055650.0,67154.0,2.19771316546114
YR1965,1274.0,27830.0,,122.327375389408,,181700000.0,1.35233700506103,11042370.3703704,,,,,,-1.02936377839632,158994962.962963,13415200000.0,3.96722560928015,50.613304005219,13287300000.0,70.0,,49.5,114.2,41.844,51.4354501456611,2.76657195516392,3141367.0,72109.0,2.29545155481425
YR1966,1274.0,27830.0,,125.309968847352,4.43686006769088,200100000.0,1.38228792484112,11745142.8571429,,,,,,3.15203396174695,165444571.428571,14476400000.0,4.61299289557684,51.4128738171299,13654200000.0,60.0,,49.7,115.6,43.529,51.6285783539882,2.40895629109634,3217960.0,77321.0,2.40280810130907
YR1967,1274.0,27830.0,,128.531542056075,-1.08932461874253,207900000.0,1.33260688417409,12954285.7142857,,,,,,-5.31798617192774,178297142.857143,15601000000.0,13.8215186020874,54.0181425269089,14610000000.0,50.0,,49.7,116.9,43.332,51.8052134553684,2.53839191129261,3300690.0,83006.0,2.51479320891319
YR1968,1274.0,27830.0,,131.635007788162,6.05726872222518,226700000.0,1.4142233312539,14289142.8571429,,,,,,3.05681315002275,183200000.0,16030000000.0,-0.297883673472171,54.1949782672812,14847000000.0,50.0,,49.8,118.2,43.405,51.8866183073121,2.38586624569937,3380387.0,88961.0,2.6316921325473
YR1969,1274.0,27830.0,,134.52453271028,4.02388369733122,292000000.0,1.75449137775641,15760000.0,,,,,,5.36187983493693,190205714.285714,16643000000.0,-1.45954114245622,55.058838902942,15590000000.0,50.0,,49.8,119.1,43.0,51.8592220784521,2.17135815996594,3454590.0,95115.0,2.75329325457697
YR1970,1274.0,27830.0,0.0411976025349473,137.477881619938,-0.199650611430225,,,23718857.1428571,,,9.40435329180615,3772100000.0,17.76016874538,5.18451180666659,242732571.428571,21239100000.0,21.3256707328654,68.7543539795049,20587300000.0,70.0,,49.7,119.9,43.225,51.8135950765239,2.17164614791111,3530432.0,101655.0,2.87938495736776
YR1971,1274.0,27830.0,,140.860163551402,3.85096274044454,230000000.0,1.03240865427776,26762285.7142857,,,9.757409474907,4200200000.0,18.9850703092159,1.38021894639897,252842285.714286,22123700000.0,2.74682871213831,69.8982817558359,21329600000.0,70.0,27.9025402069092,49.5,120.4,43.172,51.8435834345025,2.4304607187259,3617289.0,108872.0,3.00975562328525
YR1972,1274.0,27830.0,0.166123341081897,140.853894080997,3.82855766917333,315000000.0,1.45867098865478,31896000.0,,,10.7939653815164,4635500000.0,21.4652194448818,4.29080997127038,246804571.428571,21595400000.0,-6.40396492407875,68.2321917909931,20598100000.0,70.0,26.9655704498291,50.3,136.6,25.777,51.2406875345146,-0.0044509460825046,3617128.0,113730.0,3.144193634695
YR1973,1274.0,27830.0,0.144575372386071,140.653855140187,6.00649350675306,474000000.0,1.94621227673989,35251006.8498542,,,11.6259017618486,4439300000.0,18.2273938518011,5.51044247050103,304339523.902476,24355100000.0,6.88905071896333,84.2581069284158,23686300000.0,80.0,23.574239730835,48.9,121.4,37.409,50.7130139582297,-0.14211969299836,3611991.0,118563.0,3.28248737396257
YR1974,1274.0,27830.0,0.0637194505231799,144.220794392523,15.7223072990937,605000000.0,2.2250827510114,43443809.5238095,,,12.1193843211534,5304100000.0,19.5078982695526,12.4551776403177,345263492.063492,27189500000.0,-0.726839562746335,93.2240048340913,26481500000.0,90.0,21.3160305023193,48.8,121.8,43.337,50.9321427409429,2.50434756552252,3703590.0,126827.0,3.42442522345354
YR1975,1274.0,27830.0,0.0760119085323367,147.843146417445,15.7098745988232,672000000.0,2.05680705190989,48606984.1269841,,,12.5826855731207,6452800000.0,19.4638747372009,21.0869057883016,420986666.666667,33152700000.0,0.697920236215197,110.884827490053,32471900000.0,110.0,21.1686401367188,48.6,122.2,43.445,51.0059100060791,2.48064705795536,3796612.0,135531.0,3.56979556553348
YR1976,1274.0,27830.0,0.0178407057679777,151.192601246106,6.85655157364538,860000000.0,2.22360119971041,39043478.2608696,,,11.7422871267673,7958900000.0,20.5786077009794,8.0749482461168,448412753.623188,38675600000.0,7.9426609761414,115.492131774523,37704200000.0,120.0,20.6418209075928,48.2,122.2,43.691,50.9404073428654,2.24026387382085,3882626.0,144371.0,3.71838678256794
YR1977,1274.0,27830.0,-0.0456591352768567,155.123909657321,6.83451404136488,1256000000.0,2.53338174190165,61055555.5555556,,,12.1820399284065,9507710000.0,19.2939474250277,14.3041256060103,547535555.555556,49278200000.0,11.4694530439125,137.448044387076,48346800000.0,140.0,20.3434906005859,47.8,121.4,43.97,50.9782714428533,2.56696857089126,3983582.0,154164.0,3.86998725692251
YR1978,1274.0,27830.0,0.145847710227366,159.670482866044,23.8956206469302,1533000000.0,2.79637365243246,84177777.7777778,,,14.3067317549249,11319600000.0,20.6109580610448,12.5077052224577,610225555.555556,54920300000.0,-0.940575988409648,148.823232512919,53618900000.0,140.0,21.4320201873779,47.2,119.5,44.404,51.0869835608674,2.88879947975602,4100338.0,165013.0,4.02438537096273
YR1979,1274.0,27830.0,-0.0383388214646282,163.688862928349,36.5407569980925,1800000000.0,2.64371530123667,100542222.222222,,,14.7154336475697,14262500000.0,20.2521274496022,26.1307076116281,782496666.666667,70424700000.0,1.66495495023543,186.152273604962,69510300000.0,170.0,21.4108791351318,46.4,116.6,45.038,50.9547570732218,2.48552391407223,4203530.0,175759.0,4.18123558024844
YR1980,1274.0,27830.0,0.500148583999594,170.705062305296,2.49851950030166,2498700000.0,2.91880336888339,84777777.7777778,,,11.6707379245525,19239100000.0,23.2425334096845,16.3840243620867,919726666.666667,82775400000.0,0.991055725106477,209.805736668168,82963200000.0,200.0,22.8950290679932,45.5,113.1,45.731,51.3913172315065,4.19698368756945,4383706.0,190404.0,4.34343747899039
YR1981,1274.0,27830.0,1.14339178711724,177.804283489097,12.1673943487938,2699600000.0,3.03033024268684,87888888.8888889,,,12.7159338731537,20897300000.0,23.960891689656,-6.0633150865134,969046666.666667,87214200000.0,12.1632755698283,212.23033189707,86953200000.0,240.0,24.6633701324463,44.5,108.8,46.412,51.6570360931876,4.07461288907864,4566014.0,206114.0,4.51409025854643
YR1982,1274.0,27830.0,0.0888255291150346,182.297118380062,5.86809635722661,3299900000.0,3.50702489000361,108000011.111111,,,14.2948788244325,23371100000.0,25.6290163395109,5.67202154795532,1013222222.22222,91190000000.0,-1.05359982021012,216.43619143507,90500000000.0,220.0,28.4392395019531,43.5,104.2,47.012,51.2736601735809,2.49544601343113,4681390.0,219667.0,4.69233627788626
YR1983,1274.0,27830.0,0.280720856762503,187.247975077882,8.15123135622631,3194600000.0,3.10480892586401,90048413.1253362,,,14.4812136144171,25629100000.0,25.4615629160126,6.4285488030003,1082926304.46477,100658000000.0,3.71532699139112,225.209524508283,99790700000.0,210.0,34.8564987182617,42.5,99.8,47.433,50.979307074775,2.67959337969211,4808528.0,234518.0,4.87713387836215
YR1984,1274.0,27830.0,0.120549786351135,191.840537383178,14.3168697883258,3583900000.0,2.97540078538161,77186542.4776543,,,12.5809208689103,27959900000.0,23.6605427727615,17.2161949890367,987143931.166987,118171000000.0,0.155544004959737,200.375711827241,116611700000.0,200.0,39.5757598876953,41.5,96.0,47.687,50.6092400940634,2.42306841447801,4926465.0,249646.0,5.06744140132635
YR1985,1274.0,27830.0,0.046832716873145,196.029672897196,3.80428683649424,3888700000.0,2.7511726460413,90065456.9558373,,,11.8218760582459,32130000000.0,23.1499160608397,5.06883898015293,1149979285.77347,138791000000.0,11.7831801786654,228.440542564696,136573300000.0,220.0,43.895881652832,40.7,93.1,47.662,50.1741989663377,2.16015476241538,5034042.0,264902.0,5.26221718813112
YR1986,1274.0,27830.0,0.126820029714969,199.743535825545,1.67567567567546,3951200000.0,2.80541315800684,118244722.781817,,,12.1288474573801,34424700000.0,25.0907063359597,-4.25741423815771,1201725497.06578,137201000000.0,3.25018045970241,234.281244809988,134844000000.0,230.0,47.9880790710449,40.0,91.3,47.402,49.6787108938067,1.87681826943276,5129414.0,280088.0,5.46041958012872
YR1987,1274.0,27830.0,0.120879772464207,204.353076323988,7.11323763955336,3803900000.0,2.64913991225016,109663321.463257,,,15.7113530371091,35604100000.0,25.4671540156219,-3.41779507858824,1131466494.01101,139804000000.0,5.50309611952244,215.608311467483,136293000000.0,250.0,54.0130386352539,39.6,90.5,47.066,49.3914910600879,2.28150412894344,5247787.0,297078.0,5.6610069186714
YR1988,1274.0,27830.0,0.110552499276144,208.930179127726,4.48679769704176,4809300000.0,3.14524514901215,115887317.924427,,,14.8146929535943,39289600000.0,25.854544497381,3.49122270126601,1082403219.48787,151964000000.0,5.03102436749121,201.740400815807,148744000000.0,240.0,61.1612205505371,39.4,90.6,42.889,49.1029110716748,2.21508609031534,5365327.0,314566.0,5.86293754511142
YR1989,1274.0,27830.0,0.0509215013186548,213.072663551402,11.6615998479958,6014000000.0,3.3495221333571,113445139.821135,,,17.2629184748477,41359000000.0,23.4006438727418,14.7571848169704,1113924130.41149,176743000000.0,1.34950223651784,203.578944192449,173946700000.0,220.0,62.2563705444336,39.2,91.3,45.745,48.7319585518666,1.96331259756422,5471706.0,331868.0,6.06516980080104
YR1990,1274.0,27830.0,0.110894210226116,217.564330218069,7.00216956651121,6782100000.0,3.44871247254088,122448979.591837,,,17.3268756640774,44567000000.0,22.9871362403161,5.98556154520156,1132101252.51817,193878000000.0,3.49982213611253,202.629446176297,191328100000.0,210.0,62.5858917236328,39.1,92.2,45.184,48.472257957125,2.0861326947595,5587052.0,350134.0,6.26688751370564
YR1991,1274.0,27830.0,0.0764520532874518,222.11281152648,8.9969387349433,7760000000.0,3.78627086474328,125710059.334593,,,17.5348516739186,49475000000.0,23.348497862179,4.09314079275475,1167398478.3459,211898000000.0,4.99683644792125,204.668258398817,209856900000.0,210.0,63.7648010253906,39.0,93.2,44.66,48.2963107244799,2.06908349172423,5703857.0,368630.0,6.46281419953055
YR1992,1274.0,27830.0,0.0554078910909431,228.131113707165,1.82333333333307,8121000000.0,3.59563794790509,208350335.808894,,,18.9860061517847,51169371900.0,22.6814595877393,5.40176069954681,1083037670.60484,225599995900.0,1.00999837099629,184.868970456447,222754996100.0,200.0,61.2891883850098,38.9,94.0,44.469,48.4242600782312,2.67351109579947,5858407.0,389514.0,6.64880538600158
YR1993,1274.0,27830.0,0.0504648856980533,221.060864485981,9.67934658067928,8805000000.0,3.7202758201085,192339373.970346,,,20.1234127083025,50938742800.0,22.3513572629769,7.74264567579905,938632612.026359,227899998200.0,-6.24000000139047,165.344120319403,225517151000.0,180.0,61.1928100585938,39.1,99.7,37.221,46.3946598487927,-3.14824552751545,5676843.0,387550.0,6.82684917355131
