Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,0.299467254769694,474990000.0,3.39734786713587,,,,,,,,11810619368.3874,14638880289.2954,,1290.28607216192,14892898162.9685,,,20.1,29.6,69.7019512195122,64.3268128010339,,9153489.0,6029224.0,65.8680443819957
YR1961,847.0,33120.0,,,0.992676260767274,484904000.0,3.25907007379727,,,,,,,1.31546869427707,12561701694.3319,15569822512.8961,4.97842306319178,1367.78885228138,15799354386.0868,,,18.9,28.3,70.5209756097561,64.0530612365232,0.332205945818093,9183948.0,6082035.0,66.2246229423023
YR1962,847.0,33120.0,,,1.40460703543514,523330000.0,3.28475216700874,,,,,,,1.66769194647125,13436827166.5187,16654512199.8523,5.21200350925544,1457.26516998378,16870876602.7535,1480.0,,17.9,27.1,70.219512195122,63.8791325659448,0.398054786807546,9220578.0,6139969.0,66.5898492132674
YR1963,847.0,33120.0,,,2.14800341332196,551070000.0,3.2166309632907,,,,,,,3.02579670028426,14445805381.3872,17905108027.3245,4.3515842816704,1555.02293182578,18109119557.6642,1560.0,,17.2,26.0,70.0514634146342,63.7517005704407,0.747606930682632,9289770.0,6225332.0,67.0127679163484
YR1964,847.0,33120.0,,,4.16876058564364,616090000.0,3.21347165933831,,,,,,,4.64242655848624,16168044450.2523,20039767588.5449,6.95668473344091,1724.01894179056,20251603378.4999,1700.0,,16.8,25.0,70.7551219512195,63.5774050836693,0.94647753571233,9378113.0,6329492.0,67.4921687465952
YR1965,847.0,33120.0,,,4.06520137474655,620630000.0,2.97306360209053,,,,,,,5.10071293696286,17597783297.4583,21811882595.9277,3.56065983986007,1859.50998671639,22074667287.473,1840.0,,16.6,24.1,70.6253658536586,63.3747639259425,0.908137001686598,9463667.0,6436393.0,68.0116169164062
YR1966,847.0,33120.0,,,4.17434761853,698290000.0,3.11258602859894,,,,,,,4.08601493307359,18894891312.2977,23419605981.0656,3.15589498173456,1983.13119821777,23707197973.4502,1980.0,,16.3,23.3,70.7063414634146,63.1903640427382,0.675463567135343,9527807.0,6531757.0,68.5546776381795
YR1967,847.0,33120.0,,,2.73030268590901,753497000.0,3.13458162424807,,,,,,,3.19343093712661,20252508995.4745,25102329140.8561,3.86814694690048,2113.82194132888,25417393288.9357,2130.0,,15.9,22.6,71.0129268292683,63.0462892095815,0.556645554862671,9580991.0,6620936.0,69.1049161243133
YR1968,847.0,33120.0,,,2.70144982931354,801170000.0,3.11509001127571,,,,,,,2.62028927660229,21654856965.4281,26840494042.7778,4.19412962494732,2251.31575906782,27185656805.2474,2310.0,,15.3,21.9,70.6931707317073,62.9950554988667,0.393391107738732,9618756.0,6699069.0,69.645897587206
YR1969,847.0,33120.0,,,3.75399229053284,836740000.0,2.93181499649615,,,,,,,4.02382631115428,24019653474.9959,29771582746.2852,6.62979979529493,2490.1071730838,30142664735.8309,2560.0,,14.6,21.2,70.7648780487805,62.9916038246202,0.283169669202288,9646032.0,6767771.0,70.1611872392558
