Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,319000000.0,0.871584699453552,22968893.6566477,58785307200.0,18.2341998166072,10.2269747245557,24189939700.0,43.615302180774,,226195578.434497,55462047700.0,,89.8569246539715,55287144400.0,,,64.0,159.3,38.775,54.8628761292916,,2517286.0,246433.0,9.78963141426664
YR1961,1039.0,114760.0,,22.6961954593828,,533000000.0,1.39528795811518,23961099.4698192,60830209600.0,14.1181216852278,9.81330180282074,25427908600.0,43.9929124720352,1.04143567396571,235668220.508202,57800011800.0,3.14128045641213,92.085848129765,57621942300.0,,,63.6,157.4,39.233,54.6129626062285,1.65223597640713,2559223.0,262307.0,10.2494693125982
YR1962,1039.0,114760.0,,23.0991397658744,,670000000.0,1.7516339869281,25650809.4311778,62156483100.0,13.4771276576628,9.79130917171242,26357739500.0,45.4994181530483,3.7805611339427,236434954.038578,57929838600.0,-3.42640982098587,90.7738610077473,57751588900.0,90.0,,63.1,155.3,39.643,54.3071769293364,1.75980677292952,2604659.0,281349.0,10.8017443780542
YR1963,1039.0,114760.0,,23.5270308620078,,726000000.0,1.73684210526316,26982797.5684774,67690759100.0,15.447259020027,11.4694195815885,27880561200.0,44.8122107048694,2.54904113694245,253927697.25805,62216437800.0,4.7300279709188,95.7167369761973,62032384000.0,90.0,,62.7,153.1,40.081,53.9933537084588,1.83546323054076,2652908.0,303643.0,11.4456834981464
YR1964,1039.0,114760.0,,23.9801614047535,,932000000.0,2.18169900980828,24650171.4683217,71153372700.0,17.3805034251725,10.7934373721091,28877103600.0,43.67841036362,-0.363671991954803,269819005.87814,66112991200.0,6.65075912824808,99.7850246017255,65923657700.0,100.0,,62.2,150.8,40.502,53.6561165057879,1.90768708165735,2704003.0,329127.0,12.1718319904604
YR1965,1039.0,114760.0,,24.458460446967,,979000000.0,2.10650887573965,25651983.7633525,76471832600.0,22.1732736350777,7.98184938137773,33674563000.0,47.3987255904304,2.05762046368159,289908680.426395,71045292000.0,5.29386282871174,105.117986938927,70849241100.0,110.0,,61.6,148.4,40.971,53.2977741325397,1.97493062331323,2757936.0,357725.0,12.9707351725818
YR1966,1039.0,114760.0,,24.9584693153601,,915000000.0,1.90023259677687,24922821.370766,81380314100.0,23.0426078397633,11.306612935673,32407568400.0,43.5455672370269,1.13666559901029,302925235.151997,74422198300.0,3.57586273248711,107.637211853532,74397630500.0,110.0,,61.0,146.2,41.274,52.9539316288819,2.02370294974179,2814317.0,389303.0,13.8329383620962
YR1967,1039.0,114760.0,,25.4788666193686,,962000000.0,1.97625210567402,28208827.8053639,84450782300.0,27.4380883208416,11.4130625066297,35033325600.0,46.5059242890085,0.141072430094951,306221953.104911,75330887700.0,1.07839866664565,106.58624185995,75232485400.0,110.0,,60.3,144.0,41.759,52.6245067433067,2.06361324138353,2872997.0,423738.0,14.7489868765892
YR1968,1039.0,114760.0,,26.0221443774388,,1063000000.0,2.07212475633528,29349907.62455,88656215100.0,28.4112293667841,10.8688139498865,40605601800.0,50.2631170503499,3.27352495312587,326323105.26476,80786079700.0,3.84233563459493,111.211494175445,80439492600.0,110.0,,59.7,141.9,42.182,52.312340057466,2.10985338214381,2934257.0,460955.0,15.7094260336464
YR1969,1039.0,114760.0,,26.5894111387017,,1044000000.0,1.89473684210526,29520630.6937913,94283264000.0,33.2017249500644,11.0630654417435,43369304000.0,50.4402717265813,3.4541955241058,330748244.539574,85981503500.0,2.87749797403703,110.314794748212,85331599400.0,110.0,,59.0,140.1,42.591,52.0163530224992,2.15651766917497,2998222.0,500847.0,16.7048011508534
YR1970,1039.0,114760.0,2.00822645391888,27.1821301880099,,1133000000.0,1.62528151941587,32490217.7213712,100777743400.0,39.6379034467417,11.7037494114915,47923046400.0,51.9683982041306,5.04704693755775,333627713.494438,92215746600.0,2.09775758051059,108.848779482547,91524743200.0,110.0,,58.3,138.1,43.029,51.7385484185123,2.2046719973742,3065057.0,543302.0,17.7256575457959
YR1971,1039.0,114760.0,0.835638702567895,27.8003458673288,,1180000000.0,1.60104203413747,33665459.6772358,101534165000.0,45.6184127164884,13.4808042905619,48126521300.0,52.1614596957261,1.57328377262995,335073027.54117,92264521700.0,-1.4968418264467,106.889292742067,91410186200.0,110.0,31.7282104492188,57.6,136.1,43.391,51.4818727327857,2.24886828749227,3134767.0,588162.0,18.7625405360595
