Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,7.78816199376883,311000000.0,0.682017543859649,24540403.8476283,84332472400.0,20.7013700595553,19.9138430386342,31004251400.0,38.266007009697,,330442815.821186,81022959600.0,,69.1502456087615,82114535400.0,,,,171.5,36.074,57.5053242347531,,4778621.0,240638.0,5.03571128845215
YR1961,748.0,274220.0,,17.7201169590643,18.5621387281078,403000000.0,0.834368530020704,26806827.3085852,88827982800.0,21.2188624397492,19.8945260581446,33053122300.0,38.4778565731393,1.90060824059779,350247234.260712,85901672400.0,4.04392797754925,72.2423787062462,86684090400.0,,,,170.0,36.361,57.4554929805223,1.44604411628792,4848224.0,248066.0,5.11663722991943
YR1962,748.0,274220.0,,17.9812573099415,1.67590956140175,1201000000.0,2.345703125,28651241.8434662,95989854700.0,21.2379483918704,19.3676452476282,35945410800.0,38.6513132107516,2.01037157042501,379567099.249422,92999196700.0,6.12879878024506,77.1529279288175,95080292400.0,80.0,,,168.8,36.753,57.3401438144657,1.46294092951544,4919672.0,255767.0,5.19885778427124
YR1963,748.0,274220.0,,18.2515460526316,5.57420282915088,1294000000.0,2.38305709023941,29105416.3156646,99571685400.0,21.2485012803128,20.6236673558882,35607118600.0,36.8808326769581,5.14752475383766,394040667.106335,96546406400.0,-1.26801637269189,78.9087736712073,97385513000.0,80.0,,,167.5,37.093,57.0579860496091,1.4919836804088,4993623.0,263783.0,5.28240346908569
YR1964,748.0,274220.0,,18.534480994152,1.84512319774996,1313000000.0,2.60515873015873,28649682.8041741,102478717000.0,14.3172756393415,20.0814430026433,36847019000.0,36.6491293871368,1.8122165810679,410321644.964911,100539957200.0,2.28281922375837,80.9147887718582,101382004700.0,80.0,,,166.2,37.399,56.6449902874847,1.53830431630421,5071034.0,272176.0,5.36727714538574
YR1965,748.0,274220.0,,18.8334539473684,-0.730252522661333,860000000.0,1.52482269503546,21361728.3446737,103641270300.0,16.0292171246163,18.696338961347,42651187300.0,41.1530581609629,-0.656072018182812,422916789.7483,103640383500.0,3.76454538063129,82.0746159924647,102751355900.0,80.0,,,165.2,37.758,56.2382631300358,1.60019189327262,5152833.0,281012.0,5.453537940979
YR1966,748.0,274220.0,,19.1444919590643,2.36410601983339,960000000.0,1.64948453608247,19946388.7015856,106517572100.0,16.7002191862921,19.0215650519734,43400724500.0,40.7146337046795,2.30311694399366,433889766.239436,106597359600.0,0.537613083660716,82.8360664864243,106178699100.0,80.0,,,164.2,38.091,55.8514016884141,1.63802943469703,5237933.0,290243.0,5.54116725921631
YR1967,748.0,274220.0,,19.4676461988304,-4.33375390856905,909000000.0,1.32507288629738,19470613.5632702,113486993400.0,18.8558132843739,22.0883134380454,46768377900.0,42.177033293903,-4.41100840434797,450753923.548048,110885888000.0,8.82331497485367,84.6272011419546,110462882800.0,90.0,,,163.3,38.432,55.4797865254016,1.67388702374135,5326348.0,299884.0,5.63020658493042
YR1968,748.0,274220.0,,19.804985380117,-0.28671368777001,931000000.0,1.17848101265823,27895984.2310956,116507228200.0,21.4921288241186,22.7190982357839,49395048400.0,43.3330367120645,-0.263878695591529,460442689.376378,113989353500.0,3.07077393782897,84.9737848392287,113594388700.0,90.0,,,162.4,38.76,55.1263706497761,1.71797745488774,5418644.0,309983.0,5.72066736221313
YR1969,748.0,274220.0,,20.1505007309942,9.65552935762117,1046000000.0,1.24672228843862,28277737.2233376,129044722600.0,22.3496083648567,22.44425758866,53660743700.0,43.1568809117191,6.91315419325167,478298645.39382,124338790400.0,2.02608104052698,86.7555395725224,123923254400.0,90.0,,70.5,161.2,39.023,54.7902507029976,1.72954453752505,5513177.0,320460.0,5.81261157989502
YR1970,748.0,274220.0,0.0872592223192629,20.5054970760234,1.77260331451337,1157000000.0,1.17223910840932,31836161.8305367,131351642100.0,21.5970104218475,22.2505701596598,56442447900.0,44.5465648744565,1.78342721857652,458404268.761971,126704377900.0,0.117019610679606,81.707563219742,126704377900.0,90.0,,70.6,160.1,39.54,54.4760586948586,1.74638619911466,5610304.0,331345.0,5.90600919723511
YR1971,748.0,274220.0,0.207292045309092,20.8625694444444,2.06121817995228,1196000000.0,1.17716535433071,34424722.7875975,142223472700.0,25.442556614231,24.2440602064336,54179633200.0,40.7871567730275,3.37747532556914,482411179.121178,132835033100.0,1.4133398815319,84.5149375676447,132696052900.0,90.0,12.4882202148438,70.6,158.5,39.853,54.1670732598236,1.72636174071191,5707999.0,342532.0,6.00090456008911
YR1972,748.0,274220.0,-0.120982616248443,21.2252704678363,-2.92335655867951,1247000000.0,1.13985374771481,42038088.5465386,156476833800.0,27.688726861213,23.314259405822,59663556600.0,40.91531697807,7.29664525500058,578595521.990135,145822056400.0,2.31149874156277,99.6335814933813,145493463400.0,90.0,12.9474697113037,70.7,156.3,40.399,53.863220092111,1.72358573504286,5807234.0,354086.0,6.097327709198
YR1973,748.0,274220.0,0.652070590257185,21.6079203216374,7.60389036254297,1355000000.0,1.23518687329079,54536462.6330924,163558658100.0,29.231336311371,26.2004978191128,59851096100.0,39.7946832879182,2.67785896654267,674773569.877548,150399729700.0,0.449327404480641,114.137669473515,150346633100.0,110.0,13.246129989624,70.5,153.4,40.947,53.5707308293895,1.78674540301221,5911927.0,366263.0,6.19532108306885
YR1974,748.0,274220.0,0.355462796856599,22.0208479532164,8.71960945428422,1509000000.0,1.15190839694656,62086098.3884201,194935562200.0,32.7936788935997,22.9775219067396,75405766600.0,41.7064241283234,11.0147093853435,751133430.449301,180801323000.0,8.28642648036377,124.671435503255,180258781200.0,140.0,13.7224102020264,69.6,149.6,41.711,53.2909404033658,1.89297098374055,6024904.0,379259.0,6.29485940933228
YR1975,748.0,274220.0,0.0319158204163534,22.4691849415205,18.7569466058634,3871000000.0,2.81118373275236,121185470.403321,230399373300.0,37.4993707069501,25.9407461000063,81382801400.0,40.3988572232805,8.1761559668212,939972703.463021,201448276000.0,2.99838289707345,152.901529606747,198861176300.0,160.0,14.2994298934937,68.3,145.0,42.486,53.019494372491,2.01551734802293,6147569.0,392421.0,6.38334765393346
YR1976,748.0,274220.0,0.209923281237794,22.9555372807018,-8.40071877820545,4667000000.0,3.12382864792503,98947361.8748828,257903984600.0,35.2134956783333,26.4671785662136,90419765300.0,38.749152552934,6.72550567482627,976547188.054778,233346433000.0,8.53489496068103,155.485422740659,231071140600.0,170.0,14.7190799713135,66.5,139.9,43.327,52.7574361509624,2.1414370897999,6280635.0,410716.0,6.53940323665028
YR1977,748.0,274220.0,0.439346764363786,23.4968347953216,29.9861042997141,5627000000.0,3.04326663061114,113488687.406216,318042873900.0,38.4035337580082,21.3030958080609,122023526400.0,43.9061517260783,18.6619763309535,1131224878.18865,277918974000.0,0.370353563662789,175.963864454284,272959152100.0,170.0,15.1667604446411,64.5,135.2,44.167,52.5162460070868,2.33065392660895,6428734.0,440141.0,6.84646079847896
YR1978,748.0,274220.0,0.0786129545404523,24.0898538011696,8.26914007214046,7305000000.0,3.28314606741573,148267446.721747,374121758700.0,35.2192484844596,21.4505263539173,142431485900.0,42.7755454372937,14.5323255016216,1475583644.93614,332974096400.0,4.60782499965684,223.879111971163,330469262300.0,200.0,15.8446397781372,62.7,130.7,44.995,52.2685307686986,2.49250252307762,6590984.0,479891.0,7.28102713473539
YR1979,748.0,274220.0,0.0852168438420259,24.7218676900585,14.9934659503595,6814000000.0,2.69861386138614,188743191.548482,420789489700.0,37.5285780653351,20.6600047707038,174893522900.0,47.0220135197027,7.7535255123222,1748480620.52397,371939672100.0,3.66462151207865,258.501729034845,369980681200.0,250.0,16.4888191223144,61.0,126.7,45.702,52.0064637241592,2.5897435791745,6763903.0,528544.0,7.81418389802092
YR1980,748.0,274220.0,0.0010369572130349,25.3943713450292,12.2026364968298,7471000000.0,2.74669117647059,178005191.273713,466782683100.0,40.213028682332,19.8109302134947,197499084900.0,48.4661425604687,8.69436852095804,1928719888.20688,407499079700.0,0.796878878579221,277.597531370181,406636995300.0,290.0,17.3950996398926,59.5,123.3,46.465,51.7555053869159,2.68393653376526,6947900.0,584806.0,8.41701274093687
YR1981,748.0,274220.0,0.136836472138513,26.0974817251462,7.55570560440938,9216000000.0,2.84268969771746,164340279.371339,552213205000.0,40.7115242526657,18.7658580765374,233788399600.0,48.4483110994204,13.584619381945,1775842333.57042,482552217600.0,4.25530339455582,248.707973908892,479887213800.0,290.0,18.4598293304443,58.3,120.5,46.866,51.5114832476246,2.73112751689755,7140271.0,646951.0,9.0605953160846
YR1982,748.0,274220.0,0.111145937076363,26.8282054093567,12.0597652081336,10800000000.0,3.0033036339974,241868659.754323,664280924200.0,39.8197514428109,18.844516802491,291060858900.0,50.4855350919865,9.0465164203043,1754450096.23721,576523272200.0,9.56219662181179,239.019483569339,573151134700.0,280.0,19.9122009277344,57.1,118.0,47.633,51.2752518767548,2.76149506900293,7340197.0,713175.0,9.71601327606543
YR1983,748.0,274220.0,0.123728455376364,27.5991557017544,8.15376277420426,11172000000.0,2.93218341631388,230073037.524656,692275159000.0,37.4582972460124,20.3573123203095,304070189100.0,49.8629539201625,5.40931696202939,1600278605.25465,609811824600.0,0.345984740208507,211.925740542196,605968764200.0,230.0,21.5983390808106,55.7,115.7,48.061,51.0671583017586,2.83314070020022,7551129.0,781870.0,10.3543482734807
YR1984,748.0,274220.0,0.114392946601086,28.4073684210526,4.84695768186084,11784000000.0,3.01716743691831,190420158.506061,699860107300.0,39.7187056640872,19.9661319195887,315309637600.0,49.4289833546775,6.50108528918713,1459880132.14107,637904355300.0,-1.77869668772937,187.832224278391,635741355300.0,200.0,23.0582103729248,54.2,113.4,48.464,50.8676985721841,2.88633812219102,7772256.0,850804.0,10.9466819609318
YR1985,748.0,274220.0,-0.092109898028705,29.2395285087719,6.90605782140466,12178000000.0,1.83652541094857,268619334.8638,844677742600.0,40.9475469828696,19.229575019983,301422690200.0,43.2161046944243,0.757066710315698,1552493196.28424,697477693400.0,8.51736499112322,194.063226299244,694916911400.0,200.0,25.1833400726318,52.4,111.1,48.748,50.6493209413152,2.88729469195998,7999935.0,916644.0,11.4581473159859
YR1986,748.0,274220.0,0.154200993096417,30.0761951754386,-2.61174292476783,17724000000.0,2.62189349112426,386741511.343104,846083850200.0,37.9617294229875,20.7294866291817,317553877000.0,45.0313582333358,-6.34567686458379,2036303357.68113,705183875100.0,7.9553627287484,247.459134637104,703313855100.0,230.0,27.1709899902344,50.5,108.9,48.987,50.4082042113555,2.8212491022274,8228847.0,978353.0,11.8893133177795
