Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,264683520.833333,20378024000.0,19.3039436708071,6.97381556958263,7295063400.0,35.5518720551537,,4274894083.33333,20519491600.0,,82.4812774116354,,,,103.2,177.9,43.98,54.9897155841024,,51828660.0,2649573.0,5.11217784881592
YR1961,2666.0,148460.0,,409.544042406084,,,,306058062.5,23336585600.0,22.4823523745223,6.79411774906471,8143864400.0,35.2176462996046,6.25748157867088,4817580375.0,23124385800.0,6.05816082547616,90.3685786294248,,,,101.1,172.6,44.887,54.811342207064,2.8187180554552,53310348.0,2813246.0,5.27711092017363
YR1962,2666.0,148460.0,,421.611323653684,,,,320794166.666667,24405746900.0,21.554848275691,7.96386176172682,8541058800.0,35.0175642153379,0.0222234958223737,5081413541.66667,24390785000.0,5.45303096987814,92.5894211769315,,,,99.1,167.6,45.765,54.5913736932534,2.90394064545035,54881146.0,2999574.0,5.46558127424798
YR1963,2666.0,148460.0,,434.08160098333,,,,369253354.166667,25960522100.0,21.6397630631354,7.80459286326724,8949135100.0,35.0487389633338,5.16405902184019,5319458562.5,25533401100.0,-0.455894289969805,94.1423742967849,,,,97.3,162.8,45.722,54.2953449892276,2.91486814980727,56504402.0,3195917.0,5.65604955464145
YR1964,2666.0,148460.0,,446.941491895214,,,,450302083.333333,26911343700.0,24.1502678104311,10.4230244561503,9364015400.0,36.2201388963456,-8.74322462414321,5386054833.33333,25853063200.0,10.9527885460584,92.5782977938389,,,,95.7,158.6,46.752,53.9296505083629,2.91951583062664,58178374.0,3406306.0,5.85493480642397
YR1965,2666.0,148460.0,,460.186824921257,,,,535034791.666667,29401975600.0,23.0293137134448,10.723024748933,10336599400.0,36.4582804781822,7.93170495657343,5906636791.66667,28351856600.0,1.60625822892978,98.6041470420746,,,,94.3,154.9,46.046,53.6142728822472,2.92048527314111,59902519.0,3633117.0,6.06504811958475
YR1966,2666.0,148460.0,,473.763586079742,,,,834008187.5,31642320600.0,22.9361029749964,10.3150855684753,11046654100.0,35.7375438522889,6.29618883406606,6439687854.16667,30910501700.0,2.56681200128088,104.42205467886,,,,93.2,152.1,47.644,53.3602607194861,2.90758855629955,61669806.0,3878538.0,6.28920058411298
YR1967,2666.0,148460.0,,487.907574709995,,,,812754145.833333,35962500300.0,21.9018601093214,8.10282841164145,12549739700.0,36.0446932217479,14.7919634515746,7253575687.5,34817163300.0,-1.8758639196746,114.209881696109,,,,92.6,150.0,48.066,53.119313946103,2.94175581030493,63510929.0,4147393.0,6.53020328999785
YR1968,2666.0,148460.0,,502.483490819697,,,,896353333.333333,37098314800.0,19.9371403769383,9.26234551475759,13356372700.0,37.1819145143434,-5.7695843810757,7483685770.83333,35921691700.0,9.48945401549118,114.414967470375,,,,92.5,148.6,48.4,52.904334307787,2.94367934740019,65408276.0,4441789.0,6.79086732722856
YR1969,2666.0,148460.0,,516.971137742952,,,,1122779562.5,42091822300.0,19.8113211700256,9.18640400926977,14394250100.0,35.4007770657731,11.8277158013198,8471006437.5,40660830900.0,1.22085790908322,125.880311698198,,,,92.7,148.0,48.686,52.6856847437628,2.84242612307535,67294133.0,4760390.0,7.0740037857943
