Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,44.9,69.2475609756098,66.4656028515592,,7867374.0,2919609.0,37.1103363037109
YR1961,608.0,110990.0,,71.798951459821,,,,,,,,,,,,,,,,,,,40.4,70.1956097560976,66.5684466447476,0.958155881300658,7943118.0,3051307.0,38.4144706726074
YR1962,608.0,110990.0,,72.4301364910061,,,,,,,,,,,,,,,,,,,36.8,69.4919512195122,66.7418093046923,0.875259033561633,8012946.0,3149198.0,39.3013801574707
YR1963,608.0,110990.0,,73.0194793455663,,,,,,,,,,,,,,,,,,,34.2,70.3092682926829,66.9551660812083,0.810378324356217,8078145.0,3253748.0,40.2784042358398
YR1964,608.0,110990.0,,73.6178251830426,,,,,,,,,,,,,,,,,,14.8,32.4,71.1212195121951,67.2193329197013,0.816094049550123,8144340.0,3505167.0,43.0380744934082
YR1965,608.0,110990.0,,74.1586188194884,,,,,,,,,,,,,,,,,,14.5,31.4,71.2939024390244,67.4354563682544,0.731911035292208,8204168.0,3749284.0,45.6997494263354
YR1966,608.0,110990.0,,74.6457290065986,,,,,,,,,,,,,,,,,,14.3,31.1,71.2234146341464,67.5631423046403,0.6547012021586,8258057.0,3881627.0,47.0041198730469
YR1967,608.0,110990.0,,75.1172918738136,,,,,,,,,,,,,,,,,,14.3,30.9,70.4139024390244,67.6863923580012,0.629747480901394,8310226.0,3989106.0,48.0023765563965
YR1968,608.0,110990.0,,75.6540088583567,,,,,,,,,,,,,,,,,,14.1,30.2,71.2251219512195,67.7274719083539,0.711964742744789,8369603.0,4101911.0,49.0096244812012
YR1969,608.0,110990.0,,76.2376570550484,,,,,,,,,,,,,,,,,,13.7,28.9,70.43,67.6555830742478,0.76850966869777,8434172.0,4267357.0,50.5960388183594
YR1970,608.0,110990.0,,76.7384434601826,,,,,,,,,,,,,,,,,,13.4,27.5,71.2563414634146,67.573561319045,0.654727362472727,8489574.0,4442033.0,52.3233871459961
YR1971,608.0,110990.0,,77.1616650094911,,,,,,,,,,,,,,,,,,13.4,26.4,70.8736585365854,67.5021003881297,0.54999651445838,8536395.0,4594162.0,53.8185234069824
YR1972,608.0,110990.0,,77.5214679562506,,,,,,,,,,,,,,,,,,13.6,25.7,70.899512195122,67.4310314936195,0.465213742153797,8576200.0,4731847.0,55.1741676330566
YR1973,608.0,110990.0,,77.9261231130796,,,,,,,,,,,,,,,,,,13.7,25.2,71.3421951219512,67.3201136652378,0.52063344062239,8620967.0,4851228.0,56.2724342346191
YR1974,608.0,110990.0,,78.4483865136039,,,,,,,,,,,,,,,,,,13.6,24.7,71.2080487804878,67.1241616284233,0.667967360708252,8678745.0,5041135.0,58.0859909057617
YR1975,608.0,110990.0,,78.8280032540902,,,,,,,,,,,,,,,,,,13.2,24.1,71.049756097561,66.8658111231283,0.482739307856323,8720742.0,5058827.0,58.0091388481304
YR1976,608.0,110990.0,,79.1701979571545,,,,,,,,,,,,,,,,,,12.6,23.5,71.3948780487805,66.6391649007142,0.433163460713304,8758599.0,5123246.0,58.4939002990723
YR1977,608.0,110990.0,,79.5822380909337,,,,,,,,,,,,,,,,,,11.8,22.7,70.8160975609756,66.4248106065338,0.519098880350645,8804183.0,5231292.0,59.4182548522949
YR1978,608.0,110990.0,,79.6712645756124,,,,,,,,,,,,,,,,,,11.2,21.8,71.1846341463415,66.3716048561188,0.111804754635587,8814032.0,5334002.0,60.517162322998
YR1979,608.0,110990.0,,79.7789026484679,,,,,,,,,,,,,,,,,,10.8,20.7,71.3082926829268,66.2706776391412,0.135011572680936,8825940.0,5426104.0,61.4790496826172
YR1980,608.0,110990.0,0.0,80.1006508180421,,,,2717692307.69231,26572400.0,66.3964173548912,53.7734093288356,7864300.0,30.492419836377,,19839230769.2308,25791000.0,,2238.80295786574,25382900.0,,,10.4,19.6,71.1575609756098,66.0138541107653,0.40248874474625,8861535.0,5506679.0,62.1413650512695
YR1981,608.0,110990.0,0.0,80.3680466419597,,,,2927857142.85714,27507600.0,70.1610468042275,51.9383133223093,8068200.0,29.0035228988425,2.82093836829875,19870000000.0,27818000.0,4.9001618599853,2234.81481573125,27541200.0,,,10.1,18.8,71.5719512195122,66.0599455365844,0.333268825188891,8891117.0,5602336.0,63.0104827880859
YR1982,608.0,110990.0,0.0,80.6061375757028,,,,2903333333.33333,28703600.0,67.4993968221142,57.9105918036742,7249200.0,24.9860407403578,1.9164728045925,19342000000.0,29013000.0,2.3345655917154,2169.00401089683,28781300.0,2360.0,,9.7,18.1,71.1860975609756,66.3911189071993,0.295812783296283,8917457.0,5697242.0,63.8886375427246
YR1983,608.0,110990.0,0.0,80.8075386423212,,,,2566722222.22222,29608200.0,74.0878629932986,60.3197762170212,7482200.0,25.0957584539118,-0.645271729639816,16563666666.6667,29814600.0,3.43030591387084,1852.81343442802,29672100.0,2090.0,,9.3,17.4,71.3863414634146,66.8038067122932,0.249546600825385,8939738.0,5779165.0,64.6457977294922
YR1984,608.0,110990.0,0.0,80.9968272620446,,,,2662166666.66667,31073900.0,78.3773116646511,59.9534588533954,7624500.0,24.0741500873041,2.73674849638195,17594944444.4444,31670900.0,3.3964436219225,1963.57267618274,31601400.0,2010.0,,8.9,16.6,71.499756097561,67.0605055244262,0.233972309730169,8960679.0,5879135.0,65.6103744506836
YR1985,608.0,110990.0,0.0,80.9956340956341,,,,2843578947.36842,32727900.0,85.9973677186588,62.5314079023663,8193600.0,25.1373664301295,0.229177128441023,17155421052.6316,32595300.0,2.68344074070694,1914.55064658793,32475900.0,1950.0,,8.5,15.8,71.2280487804878,67.022645976818,-0.0014731135024134,8960547.0,5820412.0,64.9559933070956
YR1986,608.0,110990.0,0.0,80.9741571002441,2.69999999999986,,,3431823529.41177,35606700.0,83.5035643944016,64.009783928561,7356400.0,21.370098594577,1.34548961532425,20249294117.6471,34423800.0,4.20760200326254,2260.4272811545,34200300.0,2190.0,,8.1,15.0,71.7307317073171,66.8665390598216,-0.0265197545262494,8958171.0,5845270.0,65.2507095336914
YR1987,608.0,110990.0,0.0,81.0933652716261,2.72638753651417,,,4741461538.46154,37202400.0,83.4076531631779,61.4640048396854,10980300.0,30.0572385871841,0.0638388002034702,28101000000.0,36531300.0,6.05451383874338,3132.30136036246,36122900.0,2720.0,,7.8,14.4,71.5268292682927,66.698970594977,0.147109292640267,8971359.0,5921245.0,66.0016479492188
YR1988,608.0,110990.0,0.0,81.1845430714996,2.36966824644544,,,3682000000.0,38471800.0,91.4617513059035,60.9691981504808,12453400.0,32.4771613582961,-5.38974383656908,22555941176.4706,38345100.0,10.9446920643057,2511.39306259489,37629400.0,3110.0,,7.6,14.1,71.6043902439024,66.5730940720911,0.112372423824029,8981446.0,5990895.0,66.703010559082
YR1989,608.0,110990.0,0.0,80.2401880141011,6.38888888888882,1740000.0,4.39627074963996,3635722222.22222,40267000.0,94.578970772527,59.3923070703804,12958900.0,32.7416926062174,6.72968413426919,21988444444.4444,39579200.0,-3.28988206824971,2477.0208179596,38433000.0,2830.0,,7.7,14.3,71.7224390243903,66.5301404746586,-1.17003859875014,8876972.0,5975363.0,67.3130798339844
YR1990,608.0,110990.0,0.0193872740170872,78.8058302449607,23.8000000000002,1740000.0,3.83344348975545,3752272727.27273,47028900.0,69.847060845197,51.2749335765555,15979000.0,35.2033240362542,26.188000659147,20632090909.0909,45390600.0,-9.11737709565379,2366.52982128614,41791000.0,2250.0,,8.0,14.6,71.6414634146342,66.5124147550005,-1.80375047906806,8718289.0,5844637.0,67.0388031005859
YR1991,608.0,110990.0,0.732755490051584,78.0291693030823,338.449111470111,4130000.0,3.04323157297492,1451990105.68923,129919000.0,82.6823876197494,39.7538688282977,48443000.0,35.6985998526161,226.537859885414,7628738475.37666,135700000.0,-8.4453552045466,883.736578319325,121924000.0,1340.0,,8.4,15.0,71.5609756097561,66.5353101044102,-0.990425980099359,8632367.0,5791285.0,67.0880279541016
YR1992,608.0,110990.0,0.482396165338645,77.1957335261683,91.2979327269303,5970000.0,2.97263384321224,1749496593.97626,212527000.0,100.049800796813,39.0522908366534,78552000.0,39.1195219123506,59.5786494277428,8602887622.63828,200800000.0,-7.27238799030242,1007.34454544881,197507000.0,1140.0,,8.6,15.3,71.4943902439024,66.6262652249497,-1.07385319076042,8540164.0,5734779.0,67.1506882200337
YR1993,608.0,110990.0,0.369274004683841,76.5824188737232,72.8787913866333,7800000.0,2.60927161179391,2042473001.37711,321700000.0,84.0414854466377,32.689193710271,135364000.0,45.2873870859819,51.0910539201716,10832064941.654,298900000.0,-1.48021486966819,1278.52511370319,293582000.0,1030.0,,8.8,15.4,71.3468292682927,66.7295692345379,-0.797665851516421,8472313.0,5712671.0,67.4275283813477
YR1994,608.0,110990.0,1.08556385083714,76.3227967097532,96.0573382686505,13100000.0,2.49261728620574,1668951121.29161,528837000.0,90.7201293759513,29.9467275494673,234863000.0,44.6847412480974,72.7049682652276,9709240033.98973,525600000.0,1.81801131807214,1149.89464008734,515169100.0,1170.0,,8.6,15.4,71.2087804878049,66.8565600173698,-0.339586079485037,8443591.0,5718212.0,67.7225112915039
YR1995,608.0,110990.0,0.476002812624199,75.9836120401338,62.0548336837992,20900000.0,1.63834575680207,2914844203.59977,1155555000.0,55.2627350026692,17.8892462590452,832740000.0,65.2782796899215,135.8750844364,18991484420.36,1275677000.0,2.89713914920901,2259.25922555221,1246660200.0,1520.0,,8.4,15.5,71.0534146341463,67.0030621326237,-0.44539850047226,8406067.0,5702133.0,67.8335418701172
YR1996,608.0,110990.0,0.886541779009016,75.5927506101419,121.60754244925,38000000.0,1.73742958266484,1702730354.32208,1942763000.0,85.8207914540411,16.2131442034548,1442013000.0,65.9314748628231,62.9662438470336,12294964837.6235,2187139000.0,5.20539313761572,1470.19259250682,2116681700.0,1590.0,,8.4,15.6,70.8973170731707,67.1619309554312,-0.515729879636827,8362826.0,5661482.0,67.6981964111328
YR1997,608.0,110990.0,4.46089004740716,75.1339419687246,1058.37355921973,411000000.0,2.15948029978631,1374136308.25999,16617410000.0,86.4637364673225,21.7750696879005,9343152000.0,49.0908824377348,913.21310015311,11316127378.9613,19032357000.0,-14.1153808127271,1361.40938439884,18432097500.0,1460.0,,8.4,15.6,70.3512195121951,67.3441074481003,-0.608797354537911,8312068.0,5623899.0,67.6594467163086
YR1998,608.0,110990.0,3.57471417993882,74.6342402603272,18.672204442064,564000000.0,2.13151621324202,2757485693.25103,24650836000.0,77.0452030341,21.2891946716025,14403630000.0,54.4354093520198,33.9510290858312,15031055046.7575,26460038000.0,3.78912095803497,1820.44866449942,25960973900.0,1440.0,,8.3,15.4,71.0609756097561,67.5127204197442,-0.66730270106626,8256786.0,5603501.0,67.8654022216797
YR1999,608.0,110990.0,6.00412287198388,74.216975503932,2.57304281890212,656000000.0,2.61950116392104,2673758143.04532,26188747000.0,90.0749616578503,22.3384390712016,13373795000.0,53.4034627569227,3.31913777398951,13637098579.109,25042936000.0,-8.3960909560701,1660.9089125393,24703513700.0,1480.0,,8.1,14.9,71.4121951219512,67.6235991180622,-0.560648224779443,8210624.0,5587165.0,68.0479965209961
YR2000,608.0,110990.0,7.56080761987916,73.8513242339329,10.3162621289989,746000000.0,2.65245576158903,2620734007.60617,29617746000.0,77.7457041594489,22.6775829799096,15192008000.0,54.0162589138158,7.38083894948984,13245990274.4581,28124880000.0,4.58722541447194,1621.26210738992,27438189800.0,1660.0,,7.9,14.3,71.6634146341463,67.7423197331123,-0.493896416633318,8170172.0,5577216.0,68.2631454467773
YR2001,608.0,110990.0,5.73162685921139,72.3957516044473,7.3609392723184,887000000.0,2.86251954387639,2747114488.52661,33874255000.0,79.0813687477668,23.9808817257269,16575112000.0,53.4910733280046,6.11773311783443,14183446025.7389,30986688000.0,3.82370364608695,1770.90704918691,31041087400.0,1770.0,105.339256286621,7.6,13.7,71.7682926829268,67.9716734111527,-1.99063220438276,8009142.0,5542063.0,69.196711983564
YR2002,608.0,110990.0,5.51519461491359,72.0327297794118,5.81014365721825,947000000.0,2.77967655484011,3145800984.60501,36785693000.0,75.2696110143524,24.0045118230475,18826589000.0,55.2606420812152,3.84837879785063,16403043849.8297,34068712000.0,5.87193108148227,2092.98288625558,34782161500.0,1970.0,109.646987915039,7.2,13.2,71.8658536585366,68.2378750544156,-2.17069878030004,7837161.0,5445723.0,69.4859161376953
YR2003,608.0,110990.0,9.91625852839807,71.4841132665257,2.34864169582757,986000000.0,2.69120147161229,4252375769.17439,40367648000.0,79.0138853713575,24.3194023807744,19730475000.0,53.852620036115,2.18941081230561,21144957990.4681,36637911000.0,5.23715364977618,2719.49436859287,37233615300.0,2370.0,111.694488525391,6.8,12.5,72.0658536585366,68.5185791442645,-0.79211363763553,7775327.0,5425689.0,69.7808456420898
