Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,159.7,50.634,54.6179994259038,,165477.0,136179.0,82.2947692284906
YR1961,83.0,690.0,,249.776811594203,,,,,,,,,,,,,,,,,,,147.3,52.278,54.4603458729942,4.06718717565394,172346.0,141885.0,82.3255241071977
YR1962,83.0,690.0,,259.926086956522,,,,,,,,,,,,,,,,,,,135.7,53.893,54.2085542712811,3.9829544166382,179349.0,147693.0,82.3497656349904
YR1963,83.0,690.0,,270.291304347826,,,,,,,,,,,,,,,,,,,124.9,55.449,53.8259848472662,3.91029727270344,186501.0,153615.0,82.3668787679434
YR1964,83.0,690.0,,280.892753623188,,,,,,,,,,,,,,,,,,,114.7,56.946,53.2971994056218,3.84726543885663,193816.0,159658.0,82.3762484621313
YR1965,83.0,690.0,,291.110144927536,,,,,,,,,,,,,,,,,,,105.2,58.379,52.6826341939402,3.57287636830155,200866.0,165349.0,82.3181714338731
YR1966,83.0,690.0,,300.786956521739,2.1344717185224,,,,,,,,,,,,,,,,,,96.3,59.745,52.0636687337082,3.27005280460978,207543.0,169832.0,81.8297447507059
YR1967,83.0,690.0,,310.41884057971,4.2580982230929,,,,,,,,,,,,,,,,,,87.9,61.036,51.4952950321796,3.15202557026399,214189.0,173400.0,80.9564946440383
YR1968,83.0,690.0,,317.879710144928,3.25732899024461,,,,,,,,,,,,,,,,,,80.1,62.253,51.2244884002435,2.37505570225929,219337.0,175319.0,79.9314559329762
YR1969,83.0,690.0,,322.41884057971,-0.194127638923919,,,,,,,,,,,,,,,,,,72.9,63.35,51.404805624167,1.41784062141488,222469.0,175695.0,78.9749621423176
YR1970,83.0,690.0,,325.810144927536,1.62898127839351,,,,,,,,,,391577364.077364,186465225.0,,1741.82245407152,,,,,66.2,64.359,51.9333121301018,1.04633867484704,224809.0,176042.0,78.3073467968607
