Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,169736027.157764,173200000.0,,1459.25382495907,152599800.0,,,,,62.454,55.1742221687286,,116317.0,66999.0,57.6002669532329
YR1961,1292.0,13880.0,,12.2074925074925,,,,,,,,,,1.16060127946953,190022030.403525,193900000.0,10.6670974062853,1555.04660837439,170799800.0,,,,,62.813,55.40684304852,4.93152739869518,122197.0,70932.0,58.0468893374653
YR1962,1292.0,13880.0,,12.8364635364635,,,,,,,,,,1.08963254329397,212170033.947205,216500000.0,10.4519718914791,1651.21861850222,190799700.0,1460.0,,,,63.187,55.5787302760862,5.02399316253286,128493.0,75211.0,58.5330738171384
YR1963,1292.0,13880.0,,13.4952047952048,,,,,,,,,,1.34376417302924,237650038.024006,242500000.0,10.524055218681,1759.23692156911,213699700.0,1560.0,,,,63.532,55.7189070747,5.00445871744217,135087.0,79809.0,59.0800576911177
YR1964,1292.0,13880.0,,14.1386613386613,,,,,,,,,,1.50530105203264,266560042.649607,272000000.0,10.5015672000336,1883.44386022276,239699600.0,1660.0,,,,63.897,55.7956729410435,4.65785620485884,141528.0,84480.0,59.6910261732412
YR1965,1292.0,13880.0,,14.7804195804196,,,,,,,,,,2.01172774571943,300272048.043528,306400000.0,10.4255964611444,2029.52341329301,270000000.0,1800.0,,,,64.272,55.8307959027114,4.43903194689701,147952.0,89308.0,60.3629865055675
YR1966,1292.0,13880.0,,15.4719280719281,,,,,,,,,,3.77131853984707,346800000.0,346800000.0,9.07192872047429,2239.23963996539,305500000.0,1940.0,,,,64.589,55.8841380735307,4.57239862731623,154874.0,94605.0,61.0853448042221
YR1967,1292.0,13880.0,,16.2104895104895,5.43775649904797,,,,,,,,,4.71307253846376,398000000.0,398000000.0,9.59811387222918,2452.74763198925,350700000.0,2120.0,,,,65.03,55.9731800057929,4.66312435664248,162267.0,100365.0,61.8520533132148
YR1968,1292.0,13880.0,,16.9919080919081,4.54103146287562,,,,,,,,,5.16348079645223,453800000.0,453800000.0,8.42176356182298,2668.01498039262,399800000.0,2340.0,,,25.2,65.399,56.1084376662737,4.70787027934457,170089.0,106573.0,62.6570642765557
YR1969,1292.0,13880.0,,17.7803196803197,8.93577412289434,,,,,,,,,8.92537280104706,538700000.0,538700000.0,8.98166256974302,3026.72757204421,474700000.0,2600.0,,20.9,25.6,65.773,56.2602187873987,4.53549735534489,177981.0,113008.0,63.4943299382543
YR1970,1292.0,13880.0,14.8878591102873,18.4797202797203,6.15209342130048,,,,,,,,,6.14534565612223,539500000.0,539500000.0,-5.64964950396579,2916.49998378221,510477700.0,2710.0,,21.0,25.9,66.163,56.4115871046564,3.85817200255742,184982.0,119050.0,64.3578025423208
YR1971,1292.0,13880.0,9.53261246948029,19.0666333666334,4.61497182668251,,,,,,,,,4.58255157948102,573400000.0,573400000.0,1.62650874068258,3004.34356612542,542590600.0,2860.0,105.070121765137,21.0,26.3,66.526,56.543904598731,3.12659334906651,190857.0,124518.0,65.2414343327648
YR1972,1292.0,13880.0,15.3037739042139,19.5859140859141,6.83081131902369,,,,,,,,,6.78665890094263,590900000.0,590900000.0,-3.49733593905746,3013.95016704496,559130400.0,2890.0,101.313102722168,21.1,26.5,66.781,56.6455841473056,2.68707755731595,196055.0,129669.0,66.1391775535963
YR1973,1292.0,13880.0,15.2407214189894,20.059040959041,5.48175416169897,,,,,,,,,5.55102347676812,670900000.0,670900000.0,7.56756882672917,3341.2852169669,634848200.0,3380.0,94.7082214355469,21.4,26.7,67.147,56.7682316438486,2.38693339848012,200791.0,134620.0,67.0449844488251
YR1974,1292.0,13880.0,22.6818469323213,20.5136863136863,13.0718458387012,,,,,,,,,13.2327069818163,632400000.0,632400000.0,-16.7542290832579,3079.74014083821,662174500.0,3460.0,93.8481292724609,21.7,26.7,67.585,56.9761665903712,2.24123156709298,205342.0,139536.0,67.952807262461
YR1975,1292.0,13880.0,2.94867492452197,20.9676323676324,10.359634997305,,,,,,,,,10.6563782684998,596200000.0,596200000.0,-14.8031263075446,2840.58965343091,819788700.0,4180.0,93.3256912231445,21.7,26.6,68.14,57.3062455481679,2.18876444074315,209886.0,144520.0,68.856598238514
YR1976,1292.0,13880.0,2.27378912941909,21.4286713286713,4.2558365758381,,,,,,,,,2.38966526710907,642100000.0,642100000.0,5.18518497429477,2993.45923795227,566500000.0,2800.0,92.5995178222656,21.5,26.4,68.529,57.7648641151694,2.17498741875411,214501.0,149615.0,69.7503096209938
YR1977,1292.0,13880.0,4.4039270687237,21.8938061938062,3.1898763705574,,,109300000.0,595300000.0,148.793828892006,,,,1.72870303781684,713000000.0,713000000.0,9.15492920885433,3253.37543404956,629400000.0,3030.0,93.0059127807617,21.0,26.1,68.762,58.3358049252362,2.14739675853464,219157.0,154786.0,70.6278936539103
YR1978,1292.0,13880.0,-0.132148005766458,22.3537462537463,6.10907035899873,,,128400000.0,706300000.0,150.180201826045,,,,2.2478837709413,832400000.0,832400000.0,14.1795201542182,3720.04057901064,704600000.0,3350.0,94.344856262207,20.1,25.7,68.873,58.9947734296268,2.07901500105129,223761.0,159952.0,71.4833025812733
YR1979,1292.0,13880.0,0.842252952952013,22.8001998001998,9.09139326792413,,,143800000.0,1041000000.0,129.075265039896,,,,8.5540965371676,1139800100.0,1139800100.0,26.1392957664775,4994.08535249529,1006200100.0,4690.0,94.4766311645508,19.3,25.3,68.96,59.7173021016126,1.977537445806,228230.0,165034.0,72.3104886470928
YR1980,1292.0,13880.0,0.307047105519359,23.2293706293706,12.0978372310682,,,167000000.0,1235100000.0,133.258443795402,,,,10.0068656202029,1335300000.0,1335300000.0,6.49528192098035,5742.58362505698,1200800000.0,5480.0,94.7255706787109,18.5,24.9,69.091,60.46687151787,1.86481543163344,232526.0,169996.0,73.1083775505396
YR1981,1292.0,13880.0,2.41149667017175,23.6377622377622,11.1144984973891,,,197300000.0,1355000000.0,129.75113915177,,,,17.68832770698,1426500000.0,1426500000.0,-9.22640508127346,6028.80641044063,1274600000.0,5270.0,99.1011123657227,17.8,24.6,69.368,61.201236610605,1.74280746592293,236614.0,174963.0,73.9443515783955
YR1982,1292.0,13880.0,0.17740606982196,24.0373626373626,6.01262101667497,,,208900000.0,1479900000.0,125.337388329215,,,,3.6950075490398,1578300000.0,1578300000.0,6.69889774710882,6559.46869259478,1446700000.0,5820.0,100.076538085938,17.3,24.2,69.682,61.9126484743199,1.67638683200549,240614.0,180107.0,74.8532296310355
YR1983,1292.0,13880.0,-0.346260387811634,24.4453546453546,3.99999999999994,,,238000000.0,1584600000.0,124.584487534626,,,,5.97696702414777,1732800000.0,1732800000.0,3.59705186742775,7081.38194836084,1594300000.0,6110.0,101.65251159668,17.1,24.0,70.003,62.6103143255884,1.68308074304239,244698.0,185472.0,75.7961697065426
YR1984,1292.0,13880.0,-0.240066630738327,24.8614385614386,3.96634615384615,,,264000000.0,1933300000.0,121.895056587134,,1498800000.0,73.4309930919602,3.17143545923837,2041100000.0,2041100000.0,14.1711486350236,8201.70133768379,1876000000.0,7120.0,96.5663223266602,16.9,23.7,70.192,63.2804730303962,1.68777471036623,248863.0,190972.0,76.7379968138464
YR1985,1292.0,13880.0,-1.30133155088256,25.2901098901099,4.60500963391135,,,289100000.0,2192599900.0,124.061710865761,,1693799900.0,72.9865977070107,8.46072715196375,2320699900.0,2320699900.0,4.8291801053918,9167.14687502469,2140099900.0,7890.0,105.399002075195,16.7,23.4,70.289,63.9112951010057,1.70954549541466,253154.0,196558.0,77.6435359618762
YR1986,1292.0,13880.0,-0.533872598584429,25.7278721278721,5.43378154356233,,,300100000.0,2326300000.0,121.72295247725,,1803900000.0,72.958543983822,4.66038702363605,2472500000.0,2472500000.0,1.79700023310696,9600.599527833,2288900000.0,8720.0,106.317970275879,16.4,23.0,70.316,64.4842575712569,1.71615169574727,257536.0,202108.0,78.4776121595618
YR1987,1292.0,13880.0,0.397936639570252,26.1673326673327,5.75646401118135,,,326400000.0,2564200000.0,117.126017580178,,1984400000.0,73.1171729225193,6.58634765784333,2713999900.0,2713999900.0,2.98451933857808,10361.3488079104,2530699900.0,10030.0,,15.8,22.3,70.383,64.9687230968047,1.69368652211207,261935.0,207466.0,79.2050504158326
YR1988,1292.0,13880.0,1.30238830334646,26.6181818181818,4.40241182786763,,,,,,,,,1.48431064242516,2817900000.0,2817900000.0,2.30970766214169,10575.797153666,2651000000.0,10880.0,,15.2,21.5,70.508,65.3587191497028,1.70827212376845,266448.0,212601.0,79.7906757396183
YR1989,1292.0,13880.0,0.829523187459177,27.0907092907093,5.38765822784806,,,415270000.0,3294310000.0,111.000326583932,15.3660026126715,2096935000.0,68.4825277596342,1.81317132899601,3062000000.0,3062000000.0,6.72732980687955,11291.4764472044,2930400000.0,11540.0,,14.4,20.6,70.719,65.6550943382311,1.75963292158907,271178.0,217483.0,80.1993131398482
YR1990,1292.0,13880.0,-0.536955148452306,27.5669330669331,4.66931912018676,,,407120000.0,3327450000.0,110.120025268478,14.2042956411876,2221108000.0,70.1550221099179,5.07371104738799,3166000000.0,3166000000.0,-1.59624908755521,11473.3008389353,2993200000.0,11020.0,107.145416259766,13.5,19.6,70.945,65.8434938909817,1.7426138665052,275945.0,221864.0,80.401533049016
YR1991,1292.0,13880.0,-0.0417850576633796,28.0450549450549,7.11468120203627,,,440580000.0,3405010000.0,106.118618136001,15.6992247264686,2079766000.0,66.8485709510279,2.556539887887,3111160000.0,3111160000.0,-4.18178502345002,11082.3528573617,2932160000.0,10530.0,106.292236328125,12.6,18.7,71.183,65.9462261025679,1.71953449633695,280731.0,225989.0,80.5003285639749
YR1992,1292.0,13880.0,0.0096494049533612,28.5641358641359,5.73819886173447,,,427270000.0,3301810000.0,101.461563203602,15.4172724348665,2070852000.0,66.6082984882599,3.90556543657969,3109000000.0,3109000000.0,-3.82558229706301,10873.4047501635,3026400000.0,10750.0,106.650047302246,11.7,17.8,71.298,65.9266176331721,1.83396180238937,285927.0,230403.0,80.581153601484
YR1993,1292.0,13880.0,0.882923673997413,29.1047952047952,2.7228976697059,,,397990000.0,3181490000.0,103.359961190168,13.0898771021992,2200726000.0,71.1748382923674,-0.851983747862761,3092000000.0,3092000000.0,0.307806596011844,10613.0658785813,2963600000.0,10530.0,106.747871398926,10.9,17.0,71.42,65.8151400685455,1.87510041150555,291339.0,234952.0,80.6457325200193
YR1994,1292.0,13880.0,0.72414851181344,29.6212787212787,1.39933423745548,,,482680000.0,3456540000.0,104.401963792574,14.5829088677508,2198642000.0,67.4637005216324,2.18336657794642,3259000000.0,3259000000.0,3.14891597200189,10991.2346674131,3121400000.0,10790.0,102.99951171875,10.1,16.2,71.429,65.7175667517681,1.75900345094607,296509.0,239279.0,80.6987329843932
YR1995,1292.0,13880.0,3.11752697579469,30.115984015984,2.06699495410041,,,476200000.0,3758400000.0,104.465441819773,13.764887722368,2336362000.0,68.1353747448236,0.802435337290049,3429000000.0,3429000000.0,4.37875203482501,11374.6056703852,3882158500.0,13250.0,100.293251037598,9.4,15.5,71.422,65.6293848955586,1.65630824579208,301461.0,243414.0,80.7448226594184
YR1996,1292.0,13880.0,2.43280687170961,30.5962037962038,1.37913741223666,,,516870000.0,4130630000.0,105.856747021336,14.0376281518426,2451733000.0,67.9338597949571,0.984243640773144,3609000000.0,3609000000.0,4.22353036224139,11783.797197226,4421275600.0,14770.0,101.442947387695,8.7,14.8,71.464,65.5465148170883,1.58198810753699,306268.0,247430.0,80.7886692099075
YR1997,1292.0,13880.0,3.31629913649887,31.0593406593407,0.544150383378687,,,635500000.0,6235500000.0,79.7348855718879,12.7093216431157,4867900000.0,76.8733931741089,73.2294702373079,6332360000.0,6332360000.0,1.28775320549799,20367.5732702056,6179760000.0,13460.0,96.495719909668,8.2,14.3,71.597,65.481893899554,1.50236472132864,310904.0,251319.0,80.8349403006729
YR1998,1292.0,13880.0,2.1497917526437,31.5052947052947,1.3366133661337,,,650800000.0,6981500000.0,77.7261671656993,12.677771241084,5257700000.0,76.9432273510878,3.04892132747692,6833220000.0,6833220000.0,4.71679855496301,21667.448821694,6635720000.0,16180.0,94.310676574707,7.9,13.9,71.84,65.4425940488572,1.42560280610243,315368.0,255096.0,80.8883035965274
YR1999,1292.0,13880.0,1.94303131104509,31.9294705294705,1.2542482602363,,,705500000.0,7372500000.0,75.7027383336782,11.6061307648359,6158000000.0,80.1419076585106,4.95093892443033,7683870000.0,7683870000.0,7.14410390677141,24041.0933188158,7557070000.0,22250.0,91.0757598876953,7.8,13.7,72.147,65.4401872258412,1.33738067724252,319614.0,258738.0,80.9534267622834
YR2000,1292.0,13880.0,3.09850714482936,32.3511488511488,1.60632941740578,,,747400000.0,7812400000.0,79.6449438925669,12.1488719700562,6275300000.0,77.698548994796,0.92270742527738,8076470000.0,8076470000.0,4.14841930754267,24940.0775086078,7936270000.0,23880.0,,7.9,13.7,72.481,65.4919943798539,1.31201091278679,323835.0,262423.0,81.0361161567684
YR2001,1292.0,13880.0,1.23072964943982,32.7508491508491,2.0449897750512,,,802400000.0,8073400000.0,72.5008806383396,9.53614103678483,6852000000.0,82.3772546445407,0.353150704560917,8317830000.0,8317830000.0,2.62600982683425,25371.9237667614,8118930000.0,24520.0,,8.0,13.9,72.765,65.5757756927244,1.22793565259293,327836.0,266048.0,81.152720524793
YR2002,1292.0,13880.0,1.72038337334312,33.1282717282717,2.17357792508093,,,846300000.0,8036400000.0,70.2779817050926,10.6168563566021,7191300000.0,80.9725306153701,3.96047432502201,8881160000.0,8881160000.0,2.70495624731029,26781.6195938652,8696814900.0,25220.0,89.1420669555664,8.2,14.1,73.023,65.6881193194497,1.14581585690751,331614.0,269620.0,81.3054206830642
YR2003,1292.0,13880.0,2.14428489451629,33.5282717282717,3.02504526252236,,,862300000.0,8151800000.0,71.063540505226,10.870239197122,7228800000.0,81.4963546029409,1.15487905427804,8870090000.0,8870090000.0,-1.26491667612372,26429.1247787663,8717670000.0,25900.0,,8.4,14.3,73.213,65.8489202738236,1.20019665232897,335618.0,273468.0,81.4819614595541
YR2004,1292.0,13880.0,3.02143829739302,33.9442557442557,0.981914036757662,,,907700000.0,8303600000.0,76.0019833710461,10.3431253996283,7454900000.0,82.3264633159181,1.19499759116476,9055290000.0,9055290000.0,0.882373744518318,26650.2934234303,8913970000.0,27470.0,96.1379623413086,8.6,14.4,73.235,66.0371944364328,1.23306270632529,339782.0,277503.0,81.6708410883427
YR2005,1292.0,13880.0,5.72797116772737,34.355044955045,1.59160618079802,,,959200000.0,9493700000.0,81.3962709176308,10.8090522762856,8084900000.0,82.1953599967467,5.05600839849254,9836200000.0,9836200000.0,3.39608420536011,28602.4181869995,9654135300.0,28880.0,101.074859619141,8.7,14.5,73.413,66.225930083107,1.20292348556941,343894.0,281514.0,81.8605578035102
YR2006,1292.0,13880.0,6.94760136713467,34.8026973026973,2.38982627439254,,,1041000000.0,10704800000.0,87.5507143032777,11.7337529813863,8027100000.0,78.9505520175072,0.828194507426659,10167250000.0,10167250000.0,2.51659221712706,29184.7865087908,9949250000.0,29230.0,100.136596679688,8.7,14.4,73.456,66.4317186939361,1.2946015448339,348375.0,285805.0,82.0396098391364
YR2007,1292.0,13880.0,6.71809341196458,35.2981018981019,2.49257794939396,,,1072200000.0,10727000000.0,88.0128155625079,9.25945110064285,8715500000.0,82.0796847718193,2.94796581175521,10618340000.0,10618340000.0,1.44609991235758,30051.8489587756,10386740000.0,29690.0,105.799873352051,8.7,14.2,73.463,66.733506068612,1.41342994265638,353334.0,290428.0,82.1964954293015
YR2008,1292.0,13880.0,8.17172902365571,35.7762237762238,4.48955995375059,,,1177300000.0,10725500000.0,87.4292228766863,10.3895116853506,8547300000.0,81.2017860535816,1.48861068805519,10526000000.0,10526000000.0,-2.32364807041851,29392.3824416397,10448200000.0,29660.0,107.281616210938,8.6,14.0,73.445,67.080354238308,1.34543405372794,358120.0,294803.0,82.3197128080855
YR2009,1292.0,13880.0,6.65159948547179,36.2447552447552,2.06273473452681,,,1265000000.0,10113500000.0,76.5210439633098,10.0100581448934,8224400000.0,82.3926363159139,-1.03638031397996,9981960000.0,9981960000.0,-4.17542805647342,27512.9130950084,9829760000.0,27920.0,103.59838104248,8.4,13.7,73.455,67.3211873983628,1.30111554909733,362810.0,298947.0,82.3977602095684
YR2010,1292.0,13880.0,8.63699216304667,36.7110889110889,1.34402738392835,,,1263700000.0,10316400000.0,78.6756024311196,11.4998771761611,8191500000.0,81.1380222984698,-0.392565565624793,10095760000.0,10095760000.0,1.53866248693835,27473.100430502,9860860000.0,27320.0,102.482355070278,8.2,13.4,73.449,67.5305290800117,1.27841716584672,367478.0,302875.0,82.4198104431593
YR2011,1292.0,13880.0,6.61957509346653,37.1357642357642,3.1987814166032,,,1385600000.0,10766500000.0,88.3336891598687,12.0451419747876,8042500000.0,79.8623696061248,-0.858605322784499,10070450000.0,10070450000.0,0.613170735890648,27090.8376801379,9834450000.0,26990.0,110.135749348524,8.1,13.1,73.571,67.7715486281673,1.15016412529445,371729.0,306353.0,82.4130347470308
YR2012,1292.0,13880.0,4.90812842804373,37.5093906093906,1.97336755976254,,,1403100000.0,11577700000.0,84.2515204656543,13.0340285810231,8248400000.0,76.9411589119809,1.85035568558141,10720400000.0,10720400000.0,4.52003886739061,28552.0242683151,10441100000.0,27910.0,103.677382284453,8.1,12.9,73.707,67.9851492597934,1.00108170366546,375469.0,309367.0,82.3947485339925
YR2013,1292.0,13880.0,3.64907926264642,37.8574425574426,0.722414784530551,,,1229600000.0,11041200000.0,84.5484138879077,12.939963533264,8279700000.0,79.0402184185656,0.593910374696762,10475300000.0,10475300000.0,-2.86320081549439,27642.7419759179,10177700000.0,26870.0,94.6404443777211,8.2,12.6,73.93,68.176396545218,0.923627563339724,378953.0,312119.0,82.3635791100868
YR2014,1292.0,13880.0,2.25581446274834,38.1916083916084,1.51375643050831,,,1240400000.0,11921900000.0,80.5370272284116,13.1841890278389,8732400000.0,78.3941251986247,4.40841904386082,11139100000.0,11139100000.0,1.8469701294558,29137.2175632622,10702900000.0,27220.0,94.388210777017,8.4,12.4,74.029,68.3452437627192,0.878822235669929,382298.0,314700.0,82.3180931037043
YR2015,1292.0,13880.0,0.642663417838075,38.4961038961039,1.86148302863371,,,1345700000.0,11797100000.0,69.6779752652565,11.1534432655268,9095700000.0,76.8373656822329,5.22121540880474,11837600000.0,11837600000.0,0.997411675486745,30719.405417469,11342800000.0,27620.0,96.2606649014416,8.7,12.3,73.805,68.5149599127019,0.794122280116855,385346.0,316974.0,82.2568571432361
YR2016,1292.0,13880.0,3.28594665732394,38.7667332667333,-0.346376929989396,,,1273400000.0,11990000000.0,67.212921580015,13.1841863831865,9087700000.0,76.489996549083,1.54010313518333,11880900000.0,11880900000.0,-1.15650811269629,30616.5363157284,11324900000.0,27820.0,90.4117265380759,9.0,12.2,74.042,68.7082131293075,0.700545015838571,388055.0,318898.0,82.1784378570728
YR2017,1292.0,13880.0,2.4470958481014,39.0094905094905,1.51820700736147,,,1457600000.0,13167900000.0,68.334284038596,12.9253067028738,9330200000.0,74.960030208325,1.34713279397873,12446900000.0,12446900000.0,3.3713988456489,31875.4881749619,11901400000.0,29570.0,,9.2,12.1,74.031,68.9149391141785,0.624247409539043,390485.0,320516.0,82.0814018736052
YR2018,1292.0,13880.0,3.83334911094036,39.2324675324675,2.26586346678735,,,1445000000.0,13201400000.0,72.1542685971043,12.2620756365452,9632200000.0,75.138854218672,0.579260699451268,12819200000.0,12819200000.0,2.39795510823548,32642.3353203452,11984100000.0,30650.0,88.5500765329091,9.4,12.0,74.062,69.1191505344172,0.569969444023085,392717.0,321888.0,81.9643158212241
YR2019,1292.0,13880.0,3.63206527371394,39.4280719280719,2.49123527368045,,,1680200000.0,13066700000.0,68.7866234842208,12.9893801310537,9874000000.0,74.3692099118777,4.44708418228876,13277000000.0,13277000000.0,-0.838585871193203,33640.3369861278,12654800000.0,31630.0,91.9375456537619,9.8,16.0,71.408,69.3259888845112,0.497339072752345,394675.0,322946.0,81.8257463283204
