Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,58.53,58.3679859181241,,3281381.0,623578.0,19.0035371170106
YR1961,,51210.0,,,,,,,,,,,,,,,,,,,,,,59.285,58.0238919210982,2.01092362045892,3348035.0,658573.0,19.670434906265
YR1962,,51210.0,,,,,,,,,,,,,,,,,,,,,,60.122,57.8867112786158,1.76146690186357,3407532.0,694645.0,20.3855663028408
YR1963,,51210.0,,,,,,,,,,,,,,,,,,,,,,60.511,57.9096645755475,1.58414276982884,3461942.0,732522.0,21.1592791848877
YR1964,,51210.0,,,,,,,,,,,,,,,,,,,,,,61.511,57.9935963053878,1.47661958449438,3513441.0,772208.0,21.9786811751885
YR1965,,51210.0,,,,,,,,,,,,,,,,,,,,,,62.213,58.109870104828,1.39603964492224,3562834.0,813509.0,22.8332041839125
YR1966,,51210.0,,,,,,,,,,,,,,,,,,,,,,63.129,58.2914100353352,1.3307143312417,3610562.0,856147.0,23.7122801212291
YR1967,,51210.0,,,,,,,,,,,,,,,,,,,,,,63.734,58.5800975487545,1.25672084568955,3656223.0,899626.0,24.6053408973074
YR1968,,51210.0,,,,,,,,,,,,,,,,,,,,,,64.006,59.0138569490488,1.15761732169287,3698794.0,943260.0,25.5018184223169
YR1969,,51210.0,,,,,,,,,,,,,,,,,,,,,,64.448,59.5668212911755,1.04810186410314,3737765.0,986439.0,26.3911446064267
YR1970,,51210.0,,,,,,,,,,,,,,,,,,,,,,64.844,60.1674764466784,0.944806477318341,3773247.0,1028691.0,27.2627513598062
YR1971,,51210.0,,,,,,,,,,,,,,,,,,,,,,65.181,60.7632326134254,0.952949221119715,3809376.0,1070943.0,28.1133421178789
YR1972,,51210.0,,,,,,,,,,,,,,,,,,,,,,65.682,61.3406593949152,1.0158560321359,3848271.0,1115572.0,28.9889092538633
YR1973,,51210.0,,,,,,,,,,,,,,,,,,,,,,66.586,61.9150167105009,1.01104233714416,3887376.0,1162758.0,29.9111349251381
YR1974,,51210.0,,,,,,,,,,,,,,,,,,,,,,67.635,62.4892015020099,1.00069328841204,3926472.0,1211515.0,30.8550493812863
YR1975,,51210.0,,,,,,,,,,,,,,,,,,,,,,68.329,63.0564688634639,0.995191441644305,3965743.0,1261096.0,31.7997499996048
YR1976,,51210.0,,,,,,,,,,,,,,,,,,,,,,68.574,63.6111480135606,0.973848689764221,4004552.0,1310463.0,32.7243341573906
YR1977,,51210.0,,,,,,,,,,,,,,,,,,,,,,68.779,64.1556518305723,0.933858230438419,4042124.0,1358473.0,33.6078992319405
YR1978,,51210.0,,,,,,,,,,,,,,,,,,,,,,68.844,64.7005693632547,0.8895226406038,4078240.0,1404119.0,34.4295426005516
YR1979,,51210.0,,,,,,,,,,,,,,,,,,,,,,69.083,65.2594510490361,0.856010324943476,4113300.0,1446580.0,35.1683616405207
YR1980,,51210.0,,,,,,,,,,,,,,,,,,,,,,69.603,65.8325470913546,0.850335914183728,4148426.0,1485280.0,35.8034537291448
YR1981,,51210.0,,,,,,,,,,,,,,,,,,,,,,70.055,66.4726080802444,0.859060447204101,4184217.0,1519621.0,36.3179406302668
YR1982,,51210.0,,,,,,,,,,,,,,,,,,,,,,70.076,67.1199370874965,0.877616792573986,4221100.0,1551431.0,36.7541925336046
YR1983,,51210.0,,,,,,,,,,,,,,,,,,,,,,70.097,67.6382713336001,0.887476655645077,4258728.0,1581959.0,37.1462760745434
