Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,37.0,69.2546097560976,61.9098043152545,,8198000.0,2677715.0,32.663028717041
YR1961,,207600.0,,,,,,,,,,,,,,,,,,,,,33.3,69.7383902439024,61.4554818568047,0.889131362938781,8271216.0,2803565.0,33.8954429626465
YR1962,,207600.0,,,,,,,,,,,,,,,,,,,,,30.2,69.4623170731708,61.4023321675443,0.971087470193567,8351928.0,2917742.0,34.9349479675293
YR1963,,207600.0,,,,,,,,,,,,,,,,,,,,,27.6,69.7097804878049,61.4572365980316,1.01618823177623,8437232.0,3032978.0,35.9475479125977
YR1964,,207600.0,,,,,,,,,,,,,,,,,,,,,25.4,70.619243902439,61.6060036463546,1.02576999022331,8524224.0,3152406.0,36.9817352294922
YR1965,,207600.0,,,,,,,,,,,,,,,,,,,,,23.6,70.5974878048781,61.7076245669751,1.00123258061745,8610000.0,3273817.0,38.0234222412109
YR1966,,207600.0,,,,,,,,,,,,,,,,,,,,,22.1,70.7689268292683,61.7707418167776,0.999586747117145,8696496.0,3399729.0,39.0930938720703
YR1967,,207600.0,,,,,,,,,,,,,,,,,,,,,20.9,70.9297804878049,61.8983405611093,1.01992951024392,8785648.0,3533947.0,40.2240867614746
YR1968,,207600.0,,,,,,,,,,,,,,,,,,,,,20.0,70.8127804878049,61.9504532956157,1.00683742008887,8874552.0,3678968.0,41.4552536010742
YR1969,,207600.0,,,,,,,,,,,,,,,,,,,,,19.3,70.9780243902439,62.0929674445427,0.961629976856794,8960304.0,3826540.0,42.7054748535156
YR1970,,207600.0,,,,,,,,,,,,,,,,,,,,,18.8,70.7444878048781,62.4794915837359,0.885501942137846,9040000.0,3975243.0,43.9739262884839
YR1971,,207600.0,,,,,,,,,,,,,,,,,,,100.966239929199,,18.4,71.0117073170732,63.0158602978772,0.83254242697463,9115576.0,4122243.0,45.2219734191895
YR1972,,207600.0,,,,,,,,,,,,,,,,,,,100.888679504395,,18.1,70.8493170731708,63.5485883605942,0.801903541421469,9188968.0,4279568.0,46.5728950500488
YR1973,,207600.0,,,,,,,,,,,,,,,,,,,101.292121887207,,17.9,71.0006585365854,64.0962663129008,0.740577073484473,9257272.0,4443939.0,48.0048446655273
