Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,28072478.0724781,40103500.0,,307.414508338751,39901700.0,,,,,57.389,50.919862458661,,91318.0,49207.0,53.8851007874855
YR1961,1705.0,22970.0,,4.10486628671635,,,,,,,,,,1.76302704632303,29964999.965,42807100.0,4.89227701008051,320.029476728041,42508600.0,,,,,52.944,50.3906229140523,2.50242849833413,93632.0,50467.0,53.8998267329443
YR1962,1705.0,22970.0,,4.21052170100833,,,,,,,,,,1.35696450638156,31857591.8575919,45510800.0,4.89265226468763,331.704794335727,45288700.0,330.0,,,,58.741,49.815185023219,2.54133903949565,96042.0,51797.0,53.9315856913383
YR1963,1705.0,22970.0,,4.32722490135905,,,,,,,,,,0.937659309925181,33750113.7501138,48214400.0,4.95643417667813,341.932583787017,47983500.0,340.0,,,,59.316,49.1993698298439,2.73398766746674,98704.0,53276.0,53.9757099150092
YR1964,1705.0,22970.0,,4.4543182814555,,,,,,,,,,2.13617110596674,36194586.1945862,51706500.0,4.99987981197741,356.235408350011,51463800.0,350.0,,,,59.84,48.5726377536207,2.8947589800224,101603.0,54894.0,54.0277337670604
YR1965,1705.0,22970.0,,4.58899605436212,,,,,,,,,,5.61061422339853,40110040.1100401,57300000.0,4.93054100754495,383.186435252354,57000000.0,370.0,,,,60.356,47.9792310521564,2.97872496377002,104675.0,56612.0,54.0831916105953
YR1966,1705.0,22970.0,,4.73064445418676,,,,,,,,,,5.7739337057622,44450044.4500445,63500000.0,4.77084518419552,411.933019943696,63200000.0,400.0,,,,60.86,47.4359509014832,3.04001658564265,107906.0,58418.0,54.1376178087172
YR1967,1705.0,22970.0,,4.87821131082858,,,,,,,,,,3.12244366461177,47431255.747674,68700000.0,4.91312320896799,426.264071353746,68400000.0,430.0,,,84.1,61.437,46.9650945431016,3.07171765431955,111272.0,60294.0,54.1865467245296
YR1968,1705.0,22970.0,,5.02906619903551,,,,,,,,,,1.679358127299,44999910.00018,75000000.0,7.36722545020247,392.282566057727,72400000.0,430.0,,36.3,80.8,61.961,46.5947774237557,3.04557025536975,114713.0,62204.0,54.2255127211358
YR1969,1705.0,22970.0,,5.17492327926348,,,,,,,,,,0.215932315119844,47399905.2001896,79000000.0,5.1063747050941,401.557990513297,76200000.0,420.0,,35.4,77.6,62.497,46.3944425618434,2.85901932162121,118040.0,64037.0,54.2500501616392
YR1970,1705.0,22970.0,13.2921148856389,5.29311705392372,,,,,,,,,,7.36964236602419,53339893.3202134,88900000.0,4.80769339437559,441.7894689257,86000000.0,430.0,,34.7,74.4,63.044,46.5898596518837,2.25827937071612,120736.0,65503.0,54.2530689517437
YR1971,1705.0,22970.0,5.65385964534686,5.38382288469969,,,,,,,,,,5.06390361694,59074687.1961851,97100000.0,3.95944112009168,481.04464147376,93400000.0,460.0,104.910766601562,33.9,71.5,63.546,47.068331630098,1.69913877146212,122805.0,66551.0,54.1923730123718
YR1972,1705.0,22970.0,,5.4658483121438,,,,,,,,,,-1.23523507979597,65998069.3847631,105700000.0,10.2183037621063,529.356647508447,101000000.0,530.0,103.321426391602,33.1,68.8,64.025,47.5400237415381,1.51206407577191,124676.0,67395.0,54.0560333618046
YR1973,1705.0,22970.0,,5.54340201665936,,,,,,,,,,14.6762708805407,78214767.8301496,127700000.0,5.35189410587191,618.567502314442,121000000.0,610.0,104.141220092773,32.4,66.2,64.487,47.9914112515768,1.40890587592751,126445.0,68099.0,53.8564909201225
YR1974,1705.0,22970.0,,5.61968434896975,,,,,,,,,,21.7106229145247,103160450.445869,176500000.0,13.5599852156644,804.777863602367,158000000.0,750.0,105.601989746094,31.8,63.6,64.936,48.4313748434885,1.36671019472854,128185.0,68714.0,53.6053193197871
YR1975,1705.0,22970.0,,5.71622095572117,,,,,,,,,,16.8772914345555,118194026.251574,213700000.0,3.59282437676988,906.486277401685,191500000.0,860.0,,31.1,61.3,65.377,48.8800604357046,1.70324183105153,130387.0,69515.0,53.3140921932601
YR1976,1705.0,22970.0,,5.8351161771153,,,,,,,,,,1.15748444536293,97094227.2292471,216100000.0,-0.034020934426735,729.488780751524,197400000.0,810.0,109.347061157227,30.4,59.0,65.765,49.3393990165178,2.05862609535167,133099.0,70535.0,52.9943831730032
YR1977,1705.0,22970.0,,5.9573432704954,,,,,,,,,,2.24249533399528,117650000.0,235300000.0,6.49659440643893,865.792901454885,224100000.0,860.0,114.563270568848,29.7,56.9,66.135,49.8097684105176,2.07304457842122,135887.0,71555.0,52.6577658914781
YR1978,1705.0,22970.0,1.46735143066764,6.08123629986848,,1390250.0,0.575196524617294,,,,22.7806309611152,110800000.0,40.6456346294938,7.34918198994508,136300000.0,272600000.0,7.92080717322925,982.604370174389,259000000.0,930.0,118.849502563477,28.9,54.8,66.338,50.2670982532279,2.05833923889542,138713.0,72569.0,52.3158139811464
YR1979,1705.0,22970.0,-0.0329380764163373,6.21122314774222,,2256500.0,0.799043909348442,,,,19.9934123847167,131000000.0,43.1488801054018,3.58543427956945,151800000.0,303600000.0,7.51702144443351,1071.443696269,293000000.0,1120.0,,28.1,52.9,66.677,50.6647138748213,2.11498266584783,141678.0,73644.0,51.9801010744698
YR1980,1705.0,22970.0,,6.35957913195967,,3364000.0,0.863782257029144,30598844.0,346450255.0,78.6998585858586,26.7676767676768,243400000.0,47.2804972804973,51.2506539571552,257400000.0,514800000.0,12.1087499161075,1774.4136989701,510900000.0,1530.0,124.715347290039,27.2,50.9,66.884,50.9950917538708,2.36043601820611,145062.0,74936.0,51.6577231511727
YR1981,1705.0,22970.0,-0.767018216682646,6.52284085927225,11.2244897960225,4158500.0,1.15896992837435,32356136.0,369374571.0,80.0036701821668,23.8542665388303,270200000.0,51.8120805369128,0.166294336518447,260750000.0,521500000.0,1.1332973556395,1752.51703789335,517700000.0,1690.0,122.213958740234,26.3,49.0,67.095,51.1995456546505,2.53477947125798,148786.0,76314.0,51.2908303149135
YR1982,1705.0,22970.0,,6.68776852257782,6.83903252716288,5153750.0,1.43758716875872,34214348.5,338696937.0,71.8370006035003,20.7402937034802,286500000.0,57.6342788171394,-4.57697224475748,248550000.0,497100000.0,-0.106723585912476,1629.32322940976,487300000.0,1720.0,119.090530395508,25.3,47.1,67.339,51.2761598846261,2.49702686700288,152548.0,77559.0,50.8422319137357
YR1983,1705.0,22970.0,,6.8521262604121,4.99609679980487,5799500.0,1.53438103553192,36179279.0,342289466.0,69.0500499713904,20.5988937631127,307300000.0,58.611481975968,7.78637947458508,262150000.0,524300000.0,-2.1474358974359,1677.25548155115,513300000.0,1560.0,115.422729492188,24.4,45.2,67.601,51.2836179952846,2.42787427641134,156297.0,78679.0,50.339610876783
YR1984,1705.0,22970.0,-1.27432409161357,7.01639631740465,3.38289962863707,6512250.0,1.54391891891892,38257055.0,363116529.0,80.763900981574,22.9722748407095,327900000.0,56.4663337351472,8.61083463584158,290350000.0,580700000.0,1.97619827492083,1814.18859813551,565300000.0,1600.0,116.013778686523,23.6,43.3,67.952,51.1868611131939,2.36907340429967,160044.0,79714.0,49.8073548163703
YR1985,1705.0,22970.0,1.28785241907414,7.18088557650153,6.23716611805549,6526000.0,1.55982599550648,40454157.5,374986757.0,67.0732840236686,21.4932126696833,332600000.0,57.883745214062,-2.03638565504288,287300000.0,574600000.0,1.00642398286939,1754.01108696183,554800000.0,1660.0,112.648109436035,22.8,41.3,68.347,51.0511583041048,2.31729736681176,163796.0,80702.0,49.2698513448123
YR1986,1705.0,22970.0,1.47672552166934,7.34563787812363,0.799771493858952,,,42777439.5,372662057.0,69.6704858747994,20.9791332263242,357400000.0,57.3675762439807,3.70728475414255,311500000.0,623000000.0,4.54738181047276,1859.10214020555,610600000.0,1860.0,106.149063110352,22.0,39.2,68.743,51.0108711545864,2.26839362725832,167554.0,81685.0,48.751488074424
YR1987,1705.0,22970.0,1.84586364861223,7.51153003068829,2.01190138849529,,,45234148.0,445893686.0,76.8465724872002,23.9019132309351,394300000.0,53.1258420910806,7.59188821865718,371100000.0,742200000.0,10.7269593429991,2165.89431416265,730000000.0,2200.0,107.269973754883,21.2,37.1,69.108,51.0833880499015,2.23325264012526,171338.0,82716.0,48.2766526175203
YR1988,1705.0,22970.0,3.32186498991577,7.67996492766331,3.13888888888894,,,47831945.0,527879426.0,81.4921461620596,24.3089334440622,437700000.0,51.9278680745047,3.44233798532821,421450000.0,842900000.0,9.78848090834173,2405.81116565818,830500000.0,2550.0,107.738998413086,20.3,35.0,69.401,51.2157460447938,2.21758029647318,175180.0,83858.0,47.8697325864159
YR1989,1705.0,22970.0,3.79759723070658,7.8521262604121,2.12765957446807,8710750.0,1.1991114230498,50578934.0,647024549.0,78.4160346161678,24.1804113215231,520100000.0,52.9525554876807,3.11070679813454,491100000.0,982200000.0,13.0108423686405,2741.93638439592,962800000.0,2830.0,108.363212585449,19.5,33.0,69.534,51.3727865822848,2.21693758783925,179107.0,85175.0,47.5551155934258
YR1990,1705.0,22970.0,3.14585666222443,8.02612889083735,3.05907172995785,9537500.0,0.894743197157451,44458704.1289388,723601398.37173,79.393742120487,23.4728863355729,579250556.692068,52.9720704321789,-0.0099265339671035,546750912.28848,1093501824.57696,11.3429425965195,2986.46962075029,1077301824.57696,3080.0,111.605690002441,18.8,31.0,69.569,51.5596024590947,2.19179745611304,183076.0,86700.0,47.3571892508649
YR1991,1705.0,22970.0,2.27927065350209,8.19991231915826,0.761951500806879,9465750.0,0.818168468482646,49713200.0,828351300.0,79.1779659554057,23.5356812935334,644934300.0,54.0433758612836,-2.36749640949697,596682100.0,1193364200.0,11.7787032699319,3190.13098802395,1174564200.0,3320.0,114.843612670898,18.0,29.2,69.645,51.8164563729684,2.14211305492924,187040.0,88468.0,47.2992377705329
YR1992,1705.0,22970.0,2.24221321392302,8.37277509864095,2.39670073025188,10584250.0,0.788094264285229,90832200.0,1305684400.0,80.3474754942984,23.0540669983852,770039200.0,55.339489406369,3.42873171249582,695741150.0,1391482300.0,12.7362233602929,3642.9480634402,1361582300.0,3690.0,115.693542480469,17.0,27.6,69.601,52.1734918814764,2.08619211260685,190983.0,90365.0,47.3157093961853
YR1993,1705.0,22970.0,1.22298930090409,8.5445857080228,1.47259694693679,12260750.0,0.844087949169837,95668300.0,1413998500.0,75.74810886971,23.5979610895689,832233600.0,55.3159124267876,1.87017399903739,752255150.0,1504510300.0,6.13788542592131,3859.6584437307,1467410300.0,3830.0,117.587097167969,16.1,26.1,69.595,52.6082338816431,2.03124492836904,194902.0,92293.0,47.3536666895074
