Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,72400000.0,72400000.0,,1715.31463229719,,,,,,66.482,60.9500681158562,,42208.0,42065.0,99.6606816083312
YR1961,,54.0,,798.574074074074,,,,,,,,,,0.939036548137139,76500000.0,76500000.0,4.67999996713304,1773.99531572479,,,,,,67.528,61.0528146559221,2.14467209295879,43123.0,43123.0,100.0
YR1962,,54.0,,819.240740740741,,,,,,,,,,0.976544491119895,80700000.0,80700000.0,4.47000004808878,1824.18228260132,,,,,,67.884,61.3840572339199,2.55502555158133,44239.0,44239.0,100.0
YR1963,,54.0,,839.62962962963,,,,,,,,,,1.27080143898519,82600000.0,82600000.0,1.06999999436341,1821.79091310101,,,,,,67.689,61.7015880017644,2.45828920990774,45340.0,45340.0,100.0
YR1964,,54.0,,859.444444444444,,,,,,,,,,0.461053047919037,92200000.0,92200000.0,11.1099999875701,1986.64081017022,,,,,,67.5,62.027989355857,2.33253081737015,46410.0,46410.0,100.0
YR1965,,54.0,,878.907407407407,,,,,,,,,,1.46112298152146,98000000.0,98000000.0,4.76000001552437,2064.85324792988,,,,,,67.582,62.4175638945661,2.23933679076084,47461.0,47461.0,100.0
YR1966,,54.0,,898.777777777778,,,,,,,,,,2.60861104007444,115000000.0,115000000.0,14.3636363323149,2369.47294680018,,,,,,67.718,62.8950838587382,2.23562621031776,48534.0,48534.0,100.0
YR1967,,54.0,,916.925925925926,,,,,,,,,,3.48033559332201,134800000.0,134800000.0,13.2750397766514,2722.46233388537,,,,,,67.792,63.3962111725976,1.99908746052233,49514.0,49514.0,100.0
YR1968,,54.0,,933.407407407407,,,,,,,,,,8.98161462654834,150000000.0,150000000.0,2.10526314278347,2975.95428934212,,,,,,67.898,63.7796603444171,1.78150791383529,50404.0,50404.0,100.0
YR1969,,54.0,,950.111111111111,,,,,,,,,,6.28106312240102,164900000.0,164900000.0,3.43642611734707,3214.04903909874,,,,,,68.088,64.0367204935047,1.77371673944264,51306.0,51306.0,100.0
