Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,11.5331525756195,,,32575757.5757576,,40.1428890377316,,,,,377020202.020202,4479.0,,101.833417024987,,,,,186.4,43.338,54.3388643209769,,3702323.0,1365937.0,36.8940483509697
YR1961,,1098580.0,,3.48816671282193,7.56149307183899,58.6327654129508,1.20346398630851,37878787.8787879,,39.7372742200328,,,,6.54817331154334,410101010.10101,4872.0,2.08929594236771,108.528765371499,,,,,183.8,43.628,54.486128479888,2.04277785008297,3778731.0,1401305.0,37.084012938428
YR1962,1146.0,1098580.0,,3.56087233453337,5.87933142225296,61.7239486234975,1.15869999293218,41414141.4141414,,40.754646142294,,,,3.56147105294085,448400673.400673,5327.0,5.57891786210311,116.24147429449,,,,,181.2,44.002,54.6251801364254,2.06292516256145,3857493.0,1438022.0,37.2786705850994
YR1963,1146.0,1098580.0,,3.63603157020216,-0.706357214552388,76.0829932144242,1.32641201559317,46548821.5488215,,43.3228730822873,,,,0.824214669778399,482828282.828283,5736.0,6.79762576905422,122.579067582423,,,,,178.4,44.335,54.6963845101428,2.08873063140438,3938913.0,1476278.0,37.4793123751766
YR1964,1146.0,1098580.0,,3.71364903535493,10.181818181818,,,51683501.6835017,,43.7722419928826,,,,8.38594305461058,544023569.023569,6463.0,3.95659653084577,135.228463817406,,,,,175.4,44.674,54.6817471357168,2.1122101763499,4022996.0,1516156.0,37.6872293928522
YR1965,1146.0,1098580.0,,3.79377457767931,2.86028602860271,,,69612794.6127946,,48.1476323119777,,,,5.89102517476312,604377104.377104,7180.0,4.91344195525969,147.057689573182,,,,,172.4,45.09,54.6539967742921,2.13464935555044,4109796.0,1557765.0,37.903712722319
YR1966,1146.0,1098580.0,,3.87662697313763,6.95187165775404,,,77777777.7777778,,47.7358490566038,,,,3.31587642784554,669191919.191919,7950.0,7.17058966306622,159.348482383093,,,,68.6,169.2,45.479,54.6404798895691,2.1603984452186,4199550.0,1601291.0,38.1300534477696
YR1967,1146.0,1098580.0,,3.96249607680236,11.1999999990001,,,82239057.2390572,,48.5131974607417,,,,6.23245861692163,755808080.808081,8979.0,6.31721951733543,176.073477814252,,,,67.2,165.9,45.904,54.616085020366,2.19087103988973,4292572.0,1646954.0,38.3675426533967
YR1968,1146.0,1098580.0,,4.05145758331026,5.47062350162298,137.607510663048,1.35015218468453,90740740.7407407,,43.8186813186813,,,,4.58848423666308,857912457.912458,10192.0,8.52944308831106,195.471270062333,,,,65.5,162.6,46.342,54.5863020140719,2.22025643631731,4388944.0,1694899.0,38.6174714233929
YR1969,1146.0,1098580.0,,4.14311086494969,2.20974847251324,145.584757658007,1.31822489730177,97138047.1380471,,43.6707714596161,,,,3.71900826681726,929629629.62963,11044.0,4.47409732886858,207.126019695423,,,,63.8,159.0,46.705,54.5604817219787,2.23702088349277,4488232.0,1745075.0,38.8811308419509
YR1970,1146.0,1098580.0,1.94335638811455,4.23706267885166,3.95550921099769,199.431174873982,1.61221645007261,98653198.6531987,12055.0,48.9571263035921,30.9965237543453,5354.0,44.3138553219666,3.96056114383558,1017003367.00337,12082.0,5.23102930423347,221.568878282044,,,87.9977264404297,62.2,155.4,47.103,54.545066350618,2.24233424303461,4590010.0,1797439.0,39.1598119932633
YR1971,1146.0,1098580.0,0.173417323386601,4.33337210375704,3.67461430575032,188.462460255913,1.39158576575288,113215488.215488,13406.0,45.7897971727105,29.6942224953903,6018.0,46.2354025814382,2.53863226297418,1095622895.6229,13016.0,5.06333643861974,233.392218893062,,,87.4292678833008,60.7,151.7,47.483,54.5397891184974,2.24757510243244,4694342.0,1852144.0,39.4548059615229
YR1972,1146.0,1098580.0,1.28854948367524,4.43180836333426,6.51154401154369,275.215021326095,1.59554189417413,127792403.159082,17206.0,45.1315789473684,33.3193779904306,7328.0,43.8277511961723,18.9777488047166,1257615644.97932,16720.0,7.967485209709,261.949887081198,,,88.7772521972656,59.3,147.9,47.829,54.5470110464993,2.24616934159906,4800978.0,1909224.0,39.7674038309223
YR1973,1146.0,1098580.0,0.364221264636752,4.53263177328533,31.4860287891617,422.794090732842,1.62263620944444,124437781.109445,25426.0,56.0343463121241,35.1060462171573,10498.0,41.5400443178221,42.9445090900202,1262968515.74213,25272.0,5.73916152572539,257.213253175457,,,91.0667037963867,58.0,144.0,48.282,54.5659795358662,2.2495027014778,4910200.0,1968936.0,40.0988966856541
YR1974,1146.0,1098580.0,2.10608273449769,4.63627342379766,62.8360756029238,795.730387747189,1.83665409751227,197301349.325337,38456.0,62.0901346785323,36.3846190453529,16820.0,40.0228430019512,61.5459604674599,2100249875.06247,42026.0,2.93956780827851,418.170299516169,,,92.9280166625977,56.7,140.0,48.752,54.5906893921135,2.26081659193568,5022475.0,2031620.0,40.4505756099111
YR1975,1146.0,1098580.0,2.56152784404797,4.74248961506508,7.97674602546865,1166.6723730128,2.37123711512529,252023988.005997,51139.0,58.154952408662,31.3063718359034,21541.0,44.767031048672,6.69527765368767,2404697651.17441,48118.0,7.31101773140004,468.064116140902,,,97.0242080688477,55.4,135.9,49.336,54.6238817239264,2.26513309406479,5137539.0,2097335.0,40.8237316878859
YR1976,1146.0,1098580.0,-0.296487826293742,4.85229945536786,4.49401164707216,1336.18887165568,2.36715657458444,296301849.075462,55877.0,57.5630636398558,31.9113907842025,25003.0,45.7369162383156,8.59892087426037,2731984007.996,54667.0,4.6145674859863,519.734821066353,54037.0,530.0,98.9929122924805,54.1,132.0,49.971,54.6519963108504,2.28904740364258,5256496.0,2166470.0,41.2150995889051
YR1977,1146.0,1098580.0,-0.0371812142890324,4.96553678574725,8.10725552050414,1465.81913532377,2.24749944085215,378510744.627686,66435.0,56.4190706244871,32.8579613198929,29226.0,45.254796302318,12.5406184290032,3227436281.85907,64581.0,4.97121565700287,599.9882290041,63238.0,570.0,96.013298034668,52.8,128.2,50.387,54.6738379146507,2.3068698498868,5379166.0,2242492.0,41.6884693275951
YR1978,1146.0,1098580.0,0.305995851174171,5.08088525800794,10.3556722757191,1954.42551376503,2.59897009809179,476811594.202899,80852.0,52.7033855482567,33.0908752426797,35132.0,46.7168426371639,14.1038108089388,3758220889.55522,75202.0,2.05269456633248,682.801036523933,72923.0,630.0,96.9113082885742,51.5,124.6,50.838,54.7053132074526,2.2964104195355,5504123.0,2330280.0,42.3369810010072
YR1979,1146.0,1098580.0,0.791615859291282,5.19786670359088,19.7197167787998,2443.03189220628,2.70846107783402,666165659.206013,93116.0,51.5707792927613,32.5773195876289,43330.0,48.0323689169715,19.7971736389827,4421336382.94397,90210.0,0.133344047803448,785.198889713429,86490.0,730.0,98.4306182861328,50.4,121.3,51.353,54.7494702841436,2.2762782306985,5630849.0,2429542.0,43.146993781364
YR1980,1146.0,1098580.0,1.03581732713758,5.31607126373119,47.2416501018426,3898.87946878635,3.17239989323544,628058727.569331,108765.0,46.8132915090015,28.9055267439039,49775.0,44.7379537835141,25.0487177686461,4537479608.48287,111259.0,-1.37177291052787,787.907344889279,104808.0,800.0,97.3463363647461,49.4,118.3,51.828,54.801849762815,2.24862541760114,5758900.0,2539374.0,44.0947764154638
YR1981,1146.0,1098580.0,1.2848804529911,5.43534477983938,32.1336011133424,5853.30498255138,3.90220332170092,783034257.748777,144011.0,46.2197671359942,29.305284434661,64330.0,44.5307416483227,29.4860941190974,5891598694.9429,144462.0,0.275616372775957,1000.59266819668,135581.0,880.0,98.9312973022461,48.5,115.5,52.259,54.8620062177852,2.2188409235426,5888109.0,2658870.0,45.1565976501054
YR1982,1146.0,1098580.0,0.555940247843575,5.55532908704883,123.535718565329,7927.38920124079,1.9818473003102,660198215.53989,359641.0,58.4682988072819,31.6864058031666,161012.0,44.9220896979842,158.283333281687,5594126368.90981,358425.0,-3.93873792499589,929.552105072211,332111.0,830.0,,47.8,112.8,52.511,54.9384871075332,2.18347074157265,6018088.0,2786900.0,46.308726232087
YR1983,1146.0,1098580.0,0.129088014012181,5.67623003784732,275.586283560361,20840.5577743311,1.49932070318929,489573889.392566,1202320.0,52.3557979379802,33.577484972732,533467.0,42.4717965049162,265.197668097752,5422656823.38212,1256050.0,-4.04212140271022,881.867606330418,1172246.0,810.0,101.257392883301,47.1,110.1,52.861,55.0322443566786,2.15296237086898,6149060.0,2922490.0,47.5274309082073
YR1984,1146.0,1098580.0,0.113461691106106,5.79882581002492,1281.34994174485,453705.922838309,2.17084173606847,821133477.771331,19765801.0,49.4747308605253,31.55135290394,8358305.0,43.2022088868942,1443.39713629255,6169483225.35915,19346939.0,-0.200665696939325,982.109656770748,18045911.0,820.0,106.586250305176,46.4,107.4,53.383,55.1293695498401,2.136816387136,6281868.0,3064859.0,48.7889804252647
YR1985,1146.0,1098580.0,0.185967745899762,5.92281454813994,11749.6396321438,57735325.1260178,2.01399252543919,567910286.066178,2455904238.0,41.8927911934119,32.2241219453478,1027473770.0,43.4237237453411,12338.6601412904,5377276554.93016,2366157670.0,-1.67638978272157,838.080035867133,2202071183.0,800.0,,45.5,104.5,53.777,55.2245333305903,2.11563158338423,6416185.0,3212561.0,50.0696435300578
YR1986,1146.0,1098580.0,0.252564614775659,6.04862826548509,276.335967563201,178490901.512214,2.34554922832377,374061699.221715,7943330329.0,47.0313573970904,32.4555415788556,3371013909.0,44.2985060895341,230.105222297583,3959382833.13461,7609768831.0,-2.57388420056624,604.257233504238,7014844854.0,710.0,103.985488891602,44.5,101.5,54.247,55.3181170057928,2.10197470135512,6552479.0,3364415.0,51.345688969385
YR1987,1146.0,1098580.0,0.876273748832527,6.17757038678113,14.5786984489191,212394201.240791,2.37726317649524,483740905.662214,9324090251.0,43.6226566654591,30.3519852755036,4174915136.0,46.7285551656628,14.5841938205857,4347956337.93221,8934398081.0,2.46348461969905,649.708769442851,8363766236.0,690.0,110.206619262695,43.4,98.5,54.901,55.4024245079542,2.10935395144755,6692162.0,3519635.0,52.5933854900449
YR1988,1146.0,1098580.0,-0.219679242270933,6.30989384288747,16.002091054939,218377136.48701,2.02098131957809,523507866.212339,11277847246.0,41.9062518616647,31.1542062289813,4983607198.0,46.1210229324821,17.5233370983456,4597612362.2748,10805500141.0,2.90949796034215,672.607268146683,10183156007.0,690.0,,42.3,95.3,55.505,55.4790035006174,2.11937999087102,6835508.0,3676752.0,53.7890018388359
