Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,3.1e-05,2.67913472590723,2138974629.37547,0.0010311799,12.6154715278744,0.0,0.0,0.0,,17030465539.3906,0.0011573091,,235.266009502589,0.0010305797,,,,127.2,53.162,53.2860047151517,,72388126.0,32343711.0,44.6809618118226
YR1961,1782.0,8515770.0,,8.92608247768044,,4e-05,2.36406619385343,2231397941.40397,0.0014931246,12.8933967789278,0.0,0.0,0.0,34.6178049419981,17275940449.3837,0.0016919273,8.60000000000014,231.564063269854,0.0014922285,,,,124.0,53.594,53.1063150582938,3.01712402135294,74605447.0,33947657.0,45.5029204567696
YR1962,1761.0,8515770.0,,9.19646272974609,,6.5e-05,2.39868330737835,2326350972.23237,0.0028448257,9.38485014285999,0.0,0.0,0.0,50.2494544807889,19231747851.5332,0.0027098909,6.59999999999992,250.200572910273,0.0028077574,260.0,,,120.8,54.017,52.9700866997587,2.98413178984127,76865323.0,35589939.0,46.3016845520166
YR1963,1782.0,8515770.0,,9.47151339891411,,0.00011,2.26083918239834,2966120462.55023,0.0048119048,17.9399844236981,0.0,0.0,0.0,78.4174334561054,23287712878.2002,0.0048639273,0.600000000000065,294.169619376733,0.0048083207,260.0,,49.2,118.0,54.452,52.9035785724676,2.94697800169989,79164235.0,37276257.0,47.0872447116639
YR1964,1782.0,8515770.0,,9.74960876462945,,0.000192,2.01449809094829,2484615117.43754,0.0095767876,12.2058053601836,0.0,0.0,0.0,89.5336653268287,20963733694.9749,0.0095322182,3.39999999999985,257.259726897671,0.009645056,270.0,,48.9,115.4,54.848,52.936378108718,2.89384532588109,81488595.0,39009523.0,47.8711440527209
YR1965,1782.0,8515770.0,,10.0282578420558,,0.00052,3.35209215674899,2369143212.96947,0.0147189997,12.8920351041091,0.0,0.0,0.0,58.9331842000454,22465522884.0988,0.0155134545,2.40000000000001,268.028760553723,0.0150469998,270.0,,48.8,113.0,55.243,53.0494040435967,2.81797346768923,83817583.0,40789764.0,48.664925692197
YR1966,1782.0,8515770.0,,10.3060440480777,,0.00069,3.0219816316073,3017566424.24558,0.0216650003,12.2632941076674,0.0,0.0,0.0,37.9360979573494,28283323733.1114,0.0228323636,6.7000000000001,328.343791519407,0.0208470002,270.0,,48.6,110.7,55.625,53.2133200179335,2.73236317426946,86139359.0,42621869.0,49.4801327471016
YR1967,1761.0,8515770.0,,10.5820342803542,,0.00086,2.85697200831844,3529668109.99594,0.0296239998,11.3543843508467,0.0,0.0,0.0,26.528941929666,31086389194.961,0.0301029091,4.2,351.472600370379,0.028624,310.0,,48.4,108.5,56.016,53.4391425306503,2.64271600538347,88446124.0,44513438.0,50.3283083344443
YR1968,1782.0,8515770.0,,10.8566307814897,,0.00111,2.64974015836375,3771368224.9048,0.0420680009,12.5906263621837,0.0,0.0,0.0,26.7067163627493,33930457425.2613,0.0418803636,9.79999999999998,373.925432639683,0.040812999,370.0,,48.1,106.4,56.47,53.7213493004945,2.56183412825181,90741240.0,46478567.0,51.2209955712343
YR1969,1782.0,8515770.0,,11.1323544472813,,0.00144,2.61559000626652,4051070562.89625,0.0554429992,13.2759246918131,0.0,0.0,0.0,20.0517842311481,37171640818.5863,0.0550545455,9.49999999999993,399.49841913391,0.0544800013,420.0,,47.6,104.3,56.898,54.0447238892138,2.50796582962001,93045777.0,48541738.0,52.1697375744812
YR1970,1782.0,8515770.0,0.925399503632341,11.4111095291536,,0.00204,2.88728955692843,4793453718.79043,0.0709569985,14.4791733661385,0.0,0.0,0.0,16.2551115402188,42327664793.6934,0.0706601105,10.4,443.799484982738,0.0696600005,450.0,,46.9,102.2,57.338,54.3918305731932,2.47317174130758,95375651.0,50723926.0,53.1833074822629
YR1971,1782.0,8515770.0,0.918767247020645,11.6939023514801,,0.00246,2.61904685858105,5423630148.39019,0.0962000033,14.6509169793049,0.0,0.0,0.0,19.3845851134334,48869830901.7878,0.0939258602,11.3429219931908,500.001988983361,0.093569003,510.0,,46.1,100.1,57.786,54.7534287739513,2.44801384438618,97739273.0,53099824.0,54.3280321339847
YR1972,1761.0,8515770.0,0.787030229370392,11.9819477778549,,0.00307,2.43581199022501,6294656311.57992,0.1282549994,16.1319526216382,0.0,0.0,0.0,19.867091675534,58434858374.8696,0.1260293808,11.9403481162508,583.492034946156,0.1252540052,590.0,,45.1,97.9,58.255,55.1268010099215,2.43336258601704,100146797.0,55742054.0,55.6603463643346
