Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,80021846.9453826,137180652.0,,346.575456793331,180088511.0,,,,70.3,64.149,58.2416059421592,,230893.0,93351.0,40.4303601473229
YR1961,1422.0,430.0,,542.204651162791,,,,,,,,,,-0.947999269781022,85363759.3406016,146338239.0,7.69652980063537,366.135499084709,191799642.0,,,,65.3,65.033,58.2563436100674,0.971904530224969,233148.0,94653.0,40.5979952558923
YR1962,1422.0,430.0,,547.032558139535,,,,,,,,,,-4.63572064136063,88782583.460208,152199095.0,9.06075860946092,377.438456365881,199806232.0,520.0,,,61.1,65.715,58.3154780124477,0.886480658601227,235224.0,96095.0,40.8525674962628
YR1963,1422.0,430.0,,552.458139534884,,,,,,,,,,18.5347352010553,99893761.2655968,171246876.0,-5.07842107998037,420.504389538497,224423507.0,510.0,,,57.4,66.204,58.2940094377349,0.986934304431455,237557.0,97839.0,41.1855874728158
YR1964,1422.0,430.0,,558.041860465116,,,,,,,,,,-5.37745249895374,99252731.4515047,170147965.0,5.00487575497692,413.625432165232,223467496.0,540.0,,,54.2,66.678,58.2153960276382,1.00563133484016,239958.0,99803.0,41.5918246910789
YR1965,1422.0,430.0,,563.760465116279,,,,,,,,,,-5.04522769808943,105021996.861675,180038159.0,11.4348434925182,433.228679761215,238883168.0,620.0,,,51.4,67.236,58.1016556216264,1.01954757215215,242417.0,101975.0,42.0660486565795
YR1966,1422.0,430.0,,569.758139534884,,,,,,,,,,3.63346668204345,113195122.762193,194049267.0,4.00337124242253,462.028452555116,255374352.0,620.0,,,49.0,67.71,57.9846201570638,1.05825001316094,244996.0,104376.0,42.6030288748449
YR1967,1422.0,430.0,,574.630232558139,3.63487515335755,,,,,,,,,1.64735602390562,125554008.718721,218225297.0,10.6361361469399,508.128619491284,287759214.0,680.0,,,46.9,67.92,57.9779150638529,0.851480594940187,247091.0,106737.0,43.1975348514026
YR1968,1422.0,430.0,,578.0,7.4887431868762,,,,,,,,,7.7730420109187,125733668.5,251467337.0,6.92182132881096,505.889066146294,328867673.0,720.0,,31.1,44.9,68.2,58.0752757609957,0.584710854761123,248540.0,108971.0,43.84433609178
YR1969,1422.0,430.0,,580.102325581395,5.83523186605492,,,,,,,,,4.59091105629452,141393142.0,282786284.0,7.51840479457435,566.833205048027,368900620.0,770.0,,29.7,43.0,68.504,58.2133829905369,0.363064272350575,249444.0,111098.0,44.5382021015045
YR1970,1422.0,430.0,6.5390089166582,579.96976744186,7.2842163736852,,,,,,,,,7.34403675118349,166210203.0,332420406.0,9.50940299137403,666.475008721385,432116826.0,860.0,,28.3,41.1,68.518,58.4517236263318,-0.0228534314218928,249387.0,113021.0,45.3197105276028
YR1971,1422.0,430.0,8.38005924453555,579.460465116279,7.46925566353863,,,,,,,,,6.81246016963522,186826503.031076,368959177.0,3.91272243933396,749.801351020502,480514867.0,960.0,104.102058410645,27.1,39.1,68.787,58.6628298979002,-0.0878539034152295,249168.0,116010.0,46.5590175062743
YR1972,1422.0,430.0,8.95534812995905,580.6,11.8766562275327,,,,,,,,,9.89330334754609,213725216.665339,410626198.0,1.27380067229434,856.071973120587,531302934.0,1070.0,101.111289978027,25.9,37.2,69.132,58.8685321519839,0.19646135430176,249658.0,120828.0,48.3974765787629
YR1973,1422.0,430.0,2.15912383123439,582.144186046512,16.8550818260213,,,,,,,,,22.7741343187316,260767827.621284,510901804.0,1.34070042405897,1041.72956280824,662754402.0,1300.0,99.7148132324219,25.0,35.3,69.108,59.1808566948636,0.265610780579842,250322.0,126763.0,50.6398889695303
YR1974,1422.0,430.0,0.768970151341686,583.202325581395,38.9229280878111,,,,,,,,,31.4213942614683,311804629.873599,640206932.0,-4.65084124049893,1243.35417471937,841528399.0,1570.0,94.1449127197266,24.0,33.4,69.379,59.5794271404475,0.181600891258978,250777.0,133206.0,53.1172532385586
YR1975,1422.0,430.0,1.11620867625425,584.127906976744,20.2944687625289,,,,,,16.0140859459333,378712000.0,46.6140925925698,29.3607284286293,402178605.019554,812441000.0,-1.90000000274694,1601.18883256516,967721809.0,1760.0,96.5687026977539,23.0,31.6,69.79,60.215665938756,0.158580933398902,251175.0,139805.0,55.6605679458299
YR1976,1422.0,430.0,1.58231743407684,584.748837209302,4.9867681111318,,,,,,17.613016454889,447571000.0,51.2400412602936,3.02098255963466,435911268.58968,873479000.0,4.36021101015125,1733.64540764741,1048982716.0,2070.0,96.2026824951172,21.7,29.9,70.114,60.8815136661463,0.106243929320066,251442.0,146090.0,58.1008316513261
YR1977,1422.0,430.0,0.992531437393942,585.176744186047,8.35236969934997,,,,,,18.2350975580789,506977000.0,51.026206718856,9.75033575653951,495097667.929041,993562000.0,3.64220575797367,1967.59344395667,1182943751.0,2340.0,102.053749084473,20.4,28.2,70.64,61.5004013893636,0.0731511478388626,251626.0,151653.0,60.2690429150293
YR1978,1422.0,430.0,1.62547745309191,585.002325581395,9.48238259101763,,,,,,18.893630031969,567000000.0,50.988520838298,6.71750617431928,552883707.055138,1112015000.0,4.87693931117663,2197.89906243719,1332917811.0,2670.0,106.07250213623,19.2,26.6,71.143,62.2994939395987,-0.0298105837728722,251551.0,155952.0,61.9962002969215
YR1979,1422.0,430.0,4.52076334272788,584.346511627907,13.1698355431799,,,,,,18.6902024771935,699300000.0,51.865311874212,12.3783334451826,670362452.145379,1348300000.0,7.89300814347777,2667.90751006045,1607651418.0,3270.0,108.549156188965,18.1,25.0,71.549,63.1607958005166,-0.112167387759663,251269.0,158584.0,63.1133023569848
YR1980,1422.0,430.0,2.89445432220039,584.939534883721,14.4305197203942,,,,,,17.0088408644401,864700000.0,42.4705304518664,44.6781020487812,1012280614.52792,2036000000.0,4.37306481224466,4024.58856621204,2011446466.0,3460.0,101.672950744629,17.2,23.7,72.129,63.8928370510111,0.101433401763186,251524.0,159622.0,63.4619433165868
YR1981,1422.0,430.0,3.3476791610888,586.674418604651,14.5675632146886,,,,,,16.9454707719768,987414000.0,44.061311914324,12.2002890324819,1114204743.20091,2241000000.0,-1.89975157094865,4416.71519879857,2276022498.0,4110.0,104.034866333008,16.4,22.5,72.63,64.4611637111751,0.296153009064281,252270.0,160139.0,63.4790707984044
YR1982,1422.0,430.0,3.01995706962836,588.593023255814,10.3324664370561,,,,,,16.5954720205041,1023600000.0,43.7249038872277,9.84576708393101,1163923830.35847,2341000000.0,-4.90093847758146,4598.7626399513,2371862492.0,4410.0,105.297790527344,15.8,21.5,72.903,64.7948398822576,0.32649698054942,253095.0,160705.0,63.4960890261007
YR1983,1422.0,430.0,1.30661685438455,590.679069767442,5.23029878288841,,,,,,17.7152051488335,1064300000.0,42.8117457763475,5.66428865895887,1236016506.73694,2486000000.0,0.501253132832375,4866.35999061756,2488734721.0,4480.0,107.585639953613,15.3,20.7,73.156,64.9343286402721,0.353785814112265,253992.0,161313.0,63.5110996268304
YR1984,1422.0,430.0,2.67282392026578,592.837209302326,4.68579731185596,,,,,,18.2059800664452,1171300000.0,43.2373569582872,5.18324310134066,1346890071.09829,2709000000.0,3.60037406483768,5283.57944099441,2725227900.0,4960.0,114.921539306641,15.0,20.0,73.302,65.0001961399655,0.364699998656031,254920.0,161936.0,63.5240932119026
YR1985,1422.0,430.0,0.344084832451499,594.93023255814,3.91510525082796,,,,,,15.8871252204586,1294700000.0,45.668430335097,3.5143272425247,1409536120.91682,2835000000.0,1.09823980743214,5509.8746029115,2858830469.0,5320.0,115.785629272461,14.7,19.4,73.316,64.9684640928467,0.352430172515372,255820.0,162535.0,63.535060392626
YR1986,1422.0,430.0,0.500725184709284,596.786046511628,1.33006845161915,,,,,,14.4490844844202,1390200000.0,44.657886283328,4.47349515734068,1547755183.21484,3113000000.0,5.10416666666653,6031.35860779383,3057800000.0,5920.0,,14.4,18.8,73.416,64.9425119389288,0.311452564043978,256618.0,163065.0,63.5439917803095
YR1987,1422.0,430.0,0.416576137689615,598.323255813953,3.31173110743254,,,,,,13.6231038506418,1547400000.0,45.1400233372229,7.33777019238251,1704370307.76115,3428000000.0,2.59096701118531,6624.59939505809,3360800000.0,6710.0,,13.9,18.2,73.463,64.9532900989002,0.257250135544059,257279.0,163503.0,63.5508779862619
YR1988,1422.0,430.0,1.43314278511253,599.448837209302,4.85885917814047,,,,,,14.0537575425123,1623800000.0,44.5364783324191,2.75735511474093,1812757917.76463,3646000000.0,3.50538227987897,7032.65370811416,3575200000.0,7460.0,,13.3,17.6,73.431,64.9315456446426,0.187945892751294,257763.0,163823.0,63.5557096217921
YR1989,1422.0,430.0,0.432814010713655,600.253488372093,6.19011406844118,,,,,,13.360594795539,1795500000.0,44.4981412639405,6.82357775062141,2006165166.80754,4035000000.0,3.5999999999997,7772.55022803365,3983400000.0,7920.0,117.504066467285,12.6,16.9,73.375,64.8487654440566,0.134141822732305,258109.0,164050.0,63.5584772982088
YR1990,1422.0,430.0,0.557283807402607,601.353488372093,3.07457271078018,,,,,,18.7052137385718,2873300000.0,70.9982703236966,3.72830835473781,2012131457.26644,4047000000.0,-3.30759330759331,7781.40573306125,3955700000.0,7670.0,112.135269165039,11.8,16.2,73.463,64.9787397783677,0.183088202476835,258582.0,164351.0,63.5586463259898
YR1991,1422.0,430.0,0.367464175938115,603.193023255814,6.25752663270023,,,,,,17.3941929133858,2865600000.0,70.511811023622,4.49528301061694,2020583702.08323,4064000000.0,-3.89990691262406,7790.26229439159,3984900000.0,7640.0,,11.1,15.5,73.543,65.3097379251848,0.30543217651289,259373.0,164806.0,63.5402778588977
YR1992,1422.0,430.0,0.738375063873275,605.272093023256,6.09389302994638,,,,,,15.2503832396525,2799300000.0,71.5201839550332,2.12239379802766,1957000000.0,3914000000.0,-5.69252096794237,7519.20143544898,3857400000.0,7540.0,106.883140563965,10.5,14.8,73.61,65.5622217995785,0.34408470557972,260267.0,165259.0,63.4960325310869
YR1993,1422.0,430.0,0.455674015101952,607.039534883721,1.11343933604482,,,,,,14.6120481927711,2930200000.0,70.6072289156626,5.19536614804836,2063342117.03873,4150000000.0,0.793068252239465,7904.70762426389,4070200000.0,7770.0,,10.1,14.3,73.739,65.7539258390894,0.291582308049379,261027.0,165566.0,63.428796531611
YR1994,1422.0,430.0,0.601949040905939,608.418604651163,0.0772043884602322,,,,,,14.35636699792,3112700000.0,71.9366766813035,2.20984256186134,2151344901.30761,4327000000.0,2.01078255047564,8223.16681181719,4235600000.0,8110.0,,9.7,13.8,73.755,65.8992701260031,0.226921901192945,261620.0,165714.0,63.3412978875224
YR1995,1422.0,430.0,2.87796552313736,609.393023255814,1.87886279357232,,,,,,14.9450549450549,3217300000.0,72.1529490917246,1.0161490396643,2216974096.35559,4459000000.0,2.01399817082077,8460.47380869104,4341400000.0,8470.0,,9.5,13.4,73.88,66.0114219421118,0.160027838504736,262039.0,165704.0,63.2362646258735
YR1996,1422.0,430.0,0.670002532391207,609.962790697674,2.38615222842324,,,,,,14.9179638199411,3462200000.0,72.8270929743374,2.53841720693492,2363645403.47039,4754000000.0,3.97647637887928,9011.77884838722,4613300000.0,8850.0,,9.2,13.1,74.065,66.1360703208551,0.0934538510922293,262284.0,165544.0,63.1164247737166
YR1997,1422.0,430.0,1.12886960476149,610.213953488372,7.71053878969883,,,,,,16.0417910447761,3615500000.0,71.9502487562189,0.916897549288919,2498384129.66738,5025000000.0,4.74010332766122,9521.57127377123,4902700000.0,9250.0,,9.1,12.9,73.988,66.2917815554239,0.0411682644242812,262392.0,165266.0,62.984506358104
YR1998,1422.0,430.0,1.03513021371689,610.316279069767,-1.26888660701213,,,,,,15.6124249911754,3991100000.0,70.4394634662901,8.70325677703288,2817083478.34734,5666000000.0,3.72846430604467,10734.3637242884,5529700000.0,9670.0,,9.0,12.8,74.465,66.4750643966529,0.0167673981201888,262436.0,164923.0,62.843237406088
YR1999,1422.0,430.0,1.61051383944511,610.504651162791,1.56006240249605,,,,,,15.2939194879569,4191000000.0,70.5912076806468,4.43342286164949,2951822204.54432,5937000000.0,0.334656057330719,11244.3087668392,5764500000.0,10110.0,103.175331115723,8.9,12.9,74.587,66.6534611978249,0.0308599057983595,262517.0,164586.0,62.695345944721
YR2000,1422.0,430.0,2.40879045285177,609.448837209302,2.43581303489138,,,,,,15.3064226180748,4360600000.0,71.2632783134499,-1.32283915557819,3059500000.0,6119000000.0,4.44718962836241,11674.6736471764,5928700000.0,11170.0,102.616241455078,9.0,13.0,74.58,66.8375543285393,-0.173090896850965,262063.0,163889.0,62.5379397803044
YR2001,1422.0,430.0,2.99574106858733,610.290697674419,2.57783490431287,,,,,,14.6914388606973,4368000000.0,71.5010640039286,2.25538971803086,3054500000.0,6109000000.0,-2.36546466744424,11639.5160522054,5889800000.0,11030.0,104.42259979248,9.1,13.1,74.707,67.0144479099783,0.138039405089234,262425.0,163504.0,62.3048911059175
YR2002,1422.0,430.0,7.35049907613069,614.297674418605,0.125249458056019,,,,,,14.4197650088524,4578500000.0,73.6922581683567,0.907855778498387,3106500000.0,6213000000.0,0.787402032457734,11760.4524736133,5975100000.0,11030.0,103.545349121094,9.2,13.3,74.82,67.1129442585217,0.65442252041875,264148.0,163681.0,61.965577912278
YR2003,1422.0,430.0,5.75483061520486,618.083720930233,1.61943319838053,,,,,,15.7049384639352,4605100000.0,71.7417043153139,1.11587214253591,3209500000.0,6419000000.0,2.17548079415926,12075.9587020649,6151100000.0,11660.0,104.487609863281,9.4,13.4,74.865,67.2225859370297,0.614429662267209,265776.0,163597.0,61.5543861265895
YR2004,1422.0,430.0,6.62895921033532,621.623255813954,1.39442231075691,,,,,,15.0878211641748,5018900000.0,72.8538249383074,5.82814447916195,3444500000.0,6889000000.0,1.41159830663733,12886.3665272467,6655300000.0,12660.0,102.365783691406,9.6,13.5,75.15,67.4088470545982,0.57102921384559,267298.0,163324.0,61.101971231796
YR2005,1422.0,430.0,10.2123680027307,624.897674418605,6.08218729535043,,,,,,14.9456735174761,5495100000.0,71.9348082209713,6.6677249634665,3819500000.0,7639000000.0,3.95545720757542,14214.4202213572,7289000000.0,13610.0,101.593612670898,9.8,13.5,74.96,67.6488429733612,0.525370422072861,268706.0,162941.0,60.6389887108416
YR2006,1422.0,430.0,8.11575176366603,627.911627906977,7.3076626282894,,,,,,16.2232839435553,6117254600.0,72.5253202066505,4.09637016687989,4217323400.0,8434646800.0,6.07054621673575,15619.6005955511,7921845800.0,14630.0,101.276039123535,9.9,13.4,75.049,67.9266596667055,0.481152127044188,270002.0,162531.0,60.1960940466703
YR2007,1422.0,430.0,10.1887985471991,630.902325581395,4.03422982885069,,,,,,14.723406023603,6736104900.0,72.0320701543797,8.61226111131552,4675767950.0,9351535900.0,2.07918386258883,17235.4396434785,8975901900.0,15950.0,100.212989807129,9.9,13.2,75.263,68.1505113559919,0.475162083022934,271288.0,162241.0,59.803942722226
YR2008,1422.0,430.0,12.8407137023166,634.218604651163,8.10810810810779,,,,,,15.1245152189883,6942605600.0,72.4635784858851,1.80693534790845,4790410400.0,9580820800.0,0.633460590858988,17565.6929970592,9088916700.0,16600.0,100.470497131348,9.8,13.0,75.3,68.1934770611757,0.524263979237198,272714.0,162246.0,59.4931902204528
YR2009,1422.0,430.0,7.970079027098,637.495348837209,3.64386189258337,,,,,,15.4080285848763,6595636700.0,73.8293915639476,-1.8297050118456,4466809600.0,8933619200.0,-5.01727538250874,16294.9099491834,8553515900.0,16150.0,99.8023910522461,9.7,12.9,75.458,68.0947386661073,0.515328376885536,274123.0,162540.0,59.2944920242948
YR2010,1422.0,430.0,7.49770509942005,640.1,5.82421853311866,,,,,,13.2789225969081,8667100000.0,76.3903823441273,29.8815572386728,5672900000.0,11345800000.0,-2.21771085628247,20610.5150721363,11121900700.0,17180.0,100.026486558072,9.6,12.7,75.488,68.0226781013902,0.407743308362451,275243.0,163045.0,59.2366008990356
YR2011,1422.0,430.0,8.11486529224277,642.183720930233,9.4322024017722,,,,,,14.1706839010436,8596900000.0,75.9027740989917,0.137997271010605,5663100000.0,11326200000.0,-0.310320187825369,20508.1498810382,10725907200.0,17890.0,100.607875564296,9.4,12.5,75.599,68.0094083052376,0.325001827653213,276139.0,163576.0,59.236693205614
YR2012,1422.0,430.0,9.16515225346744,644.041860465116,4.53334753888774,,,,,,13.4540784004027,8662400000.0,75.175520051376,5.33264100360222,5761450000.0,11522900000.0,-3.41390821153806,20804.1150004694,11178093200.0,19740.0,,9.3,12.4,75.737,67.9879034078086,0.288929228963865,276938.0,164050.0,59.2372151062924
YR2013,1422.0,430.0,1.83669980165651,645.732558139535,1.81410436049096,,,,,,13.7863495200452,8561900000.0,75.5390669113495,0.137741672683788,5667200000.0,11334400000.0,-1.771174940631,20410.2065438568,10945201100.0,19560.0,,9.1,12.2,75.816,67.957430716871,0.26216966601587,277665.0,164485.0,59.2385370835674
YR2014,1422.0,430.0,13.4093775773811,647.320930232558,1.76950322089728,,,,,,13.7076112870512,8482900000.0,75.4625840657581,-1.56312666441463,5620600000.0,11241200000.0,0.752615446604594,20192.7084081797,10846317300.0,19730.0,96.4334517627767,9.0,12.0,75.926,67.9205526894391,0.245677832545378,278348.0,164896.0,59.2410313429534
YR2015,1422.0,430.0,12.083324294887,648.813953488372,-1.11278992510958,,,,,,13.6105578126234,8517700000.0,74.7409246860823,2.58042954085838,5698150000.0,11396300000.0,-1.17048018967635,20424.2087530019,10970415300.0,19150.0,95.4051834276328,8.8,11.7,76.055,67.8941897559052,0.230380947989644,278990.0,165288.0,59.2450700899645
YR2016,1422.0,430.0,9.82448659013076,650.227906976744,1.28192813061895,,,,,,13.317238219434,8514900000.0,75.0264335812216,-1.88163940771267,5674600000.0,11349200000.0,1.49650622520576,20295.5672072046,10906328300.0,19200.0,95.319325026438,8.5,11.5,76.168,67.887946065326,0.217691837314076,279598.0,165665.0,59.2510255301153
YR2017,1422.0,430.0,1.60970470892023,651.560465116279,4.66018463955995,,,,,,13.6200874515014,8349800000.0,73.4610207367393,-0.553792325016516,5683150000.0,11366300000.0,0.708386729317951,20284.5762052461,10918806400.0,19370.0,94.3660015740012,8.3,11.2,76.237,67.8255422581209,0.204727378663704,280171.0,166027.0,59.25926986892
YR2018,1422.0,430.0,4.02530011079732,652.816279069767,3.1060057242059,,,,,,12.7833454127409,8897500000.0,74.1217437666092,6.97458670789605,6001950000.0,12003900000.0,-1.2760241773002,21381.2426303209,11523900000.0,19910.0,94.4722209242559,8.0,10.9,76.378,67.6793351157153,0.192553930005438,280711.0,166378.0,59.270175311893
YR2019,1422.0,430.0,3.49521864375147,653.96976744186,1.67662473276987,,,,,,12.5530481916957,9170300000.0,74.411905515389,2.43088659508706,6161850000.0,12323700000.0,0.227712137486577,21912.1501242857,11789700000.0,20520.0,94.7561440274338,7.8,10.6,76.495,67.4642390405661,0.176538259610281,281207.0,166711.0,59.2841140645486
