Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,59.4,58.721,52.2357988148936,,88347.0,38296.0,43.347098628027
YR1961,2722.0,5770.0,,17.5554079696395,,,,,,,,,,,,,,,,,,,55.2,59.387,51.1670764990407,4.61201690841858,92517.0,41868.0,45.2547818770716
YR1962,2722.0,5770.0,,18.3527514231499,,,,,,,,,,,,,,,,,,,51.4,58.824,50.3572204013689,4.44174557138531,96719.0,45866.0,47.4220139109406
YR1963,2722.0,5770.0,,19.1952561669829,,,,,,,,,,,,,,,,,,,48.2,60.625,49.9977757897182,4.48836692928883,101159.0,50341.0,49.7641215374695
YR1964,2722.0,5770.0,,20.0990512333966,,,,,,,,,,,,,,,,,,,45.3,61.267,49.9863106814448,4.60094377629245,105922.0,55279.0,52.1880358203809
YR1965,2722.0,5770.0,,21.0318785578748,,,,,,,,,,,114039500.591268,349100000.0,,1028.88450343084,,,,,42.9,61.721,50.2397632591563,4.53667016188967,110838.0,60518.0,54.6006878233976
YR1966,2722.0,5770.0,,21.9874762808349,,,,,,,,,,,132757528.044374,406400000.0,,1145.70592233266,,,,,40.9,62.401,50.78468515506,4.44337180550127,115874.0,65943.0,56.9090086102425
YR1967,2722.0,5770.0,,22.9633776091082,,,,,,,,,,,139029537.243321,425600000.0,,1148.84303232869,,,,,39.1,62.909,51.4214886276778,4.34276377363215,121017.0,71424.0,59.0199292446383
YR1968,2722.0,5770.0,,23.9510436432638,,,,,,,,,,,160818235.866746,492300000.0,,1274.0903793851,,,,,37.4,63.47,52.1040226584008,4.21112297840576,126222.0,76794.0,60.8403807903077
YR1969,2722.0,5770.0,,24.9423149905123,,,,,,,,,,,161210236.44168,493500000.0,,1226.43698889034,,,,,35.8,63.963,52.8161861760197,4.05538595117218,131446.0,81861.0,62.2772943109735
YR1970,2722.0,5770.0,47.76106286027,25.6428842504744,,,,,,,,,,,179078929.315763,548200000.0,,1325.15598362979,,,121.098251342773,,34.2,64.49,53.5199073543069,2.77003576556272,135138.0,85458.0,63.2376008703585
YR1971,2722.0,5770.0,-8.88491673577708,26.1709677419355,,30120000.0,4.99585337535246,,,,,,,,197525767.791735,602900000.0,,1432.16600656705,,,129.264266967773,,32.5,64.975,54.0704461249556,2.0384578921848,137921.0,87754.0,63.6265261714569
YR1972,2722.0,5770.0,-1.3957466472033,26.980834914611,,29170000.0,3.8200628601362,,,,,,,,270822782.026674,763600000.0,,1904.66760457331,,,131.944381713867,,30.7,65.447,54.4050524302161,3.04761010710298,142189.0,90345.0,63.5388507294769
YR1973,2722.0,5770.0,0.0669598234410218,27.9637571157495,,34950000.0,3.28230653643877,,,,,,,,433095526.686136,1064800000.0,,2938.85095702716,,,129.272384643555,,28.8,65.95,54.7589562290705,3.57824870203927,147369.0,93195.0,63.2392395960141
YR1974,2722.0,5770.0,0.0896715523833502,28.9669829222011,,53170000.0,2.03233697729531,185484066.221095,,49.7125277514305,96.5696790541334,290784503.907347,5.14435328120283,,2319576214.21329,5652498730.40129,,15194.792305663,,,126.885940551758,,26.9,66.442,55.2844303532124,3.52473784489235,152656.0,95841.0,62.7821356127739
YR1975,2722.0,5770.0,0.0340487543085978,29.9943074003795,,97890000.0,3.5334247762056,201998903.555012,,53.1102490548651,95.6495951250319,357512412.178582,6.03930446915079,5.40841250879831,2496420257.54042,5919761356.70559,-0.645291579006951,15793.1312553958,,,122.56371307373,,25.0,66.95,55.9340798380464,3.48509488798141,158070.0,98347.0,62.2176720291418
YR1976,2722.0,5770.0,-1.01120688599369,31.0449715370019,,167200000.0,4.75526862148403,131938828.949807,,52.1340989352977,96.0772388992483,426956912.968292,5.65667444518379,5.48367913232401,3054765590.29214,7547843120.6486,20.8741398285027,18671.3624129294,,,123.975387573242,,23.1,67.411,56.6401701643883,3.44292376500563,163607.0,100775.0,61.5959820945033
YR1977,2722.0,5770.0,-0.089371998032877,32.1208728652751,,174870000.0,4.13717232894861,129949987.701894,,52.1156792995169,94.9947875466179,606945342.203993,6.75883948859804,8.22370986590828,3681242528.32494,8980023023.59587,9.93403484610029,21746.8559126458,,,127.770721435547,,21.3,67.833,57.3391541674297,3.40692158563333,169277.0,103203.0,60.967199058244
YR1978,2722.0,5770.0,0.111451897749911,33.1848197343454,,202910000.0,4.59571480340641,82672793.8347204,,51.8421111606872,94.3300025980467,692079221.107638,7.42218616314936,-2.9746800408402,4100423673.58759,9324465944.33003,7.01913426136178,23446.5341231193,,,128.99235534668,,19.7,68.258,57.9112440246106,3.25864705980369,174884.0,105598.0,60.3814561697493
YR1979,2722.0,5770.0,0.0057905147655504,34.2356736242884,,372860000.0,6.11536632169392,108067938.404034,,50.6549538658753,96.1233954460843,745113717.640511,5.66892475096289,13.3685689329452,6044367628.28515,13143827981.0285,24.3383886941687,33501.2782714145,,,114.108177185059,,18.1,68.642,58.3579053552228,3.11756544188593,180422.0,108053.0,59.8888866784047
YR1980,2722.0,5770.0,-0.181280373659333,35.3151802656546,,304880000.0,2.88887204366283,409114854.792248,,47.9509948297202,97.5222779050192,997630680.299412,4.31589530792199,94.7724665478483,10795432293.6119,23115265990.5402,-9.70796015870228,58005.3424763282,,,113.638229370117,,16.7,69.014,58.7646619490519,3.10447184952538,186111.0,110810.0,59.5396238335958
YR1981,2722.0,5770.0,-0.118605108924478,36.4282732447818,9.13705583756338,328040000.0,3.55618190687842,191225223.553646,,49.8078631881218,95.9192140002837,1167807902.37599,5.90098571893587,10.3065506616772,9367218664.31094,19790047934.3404,-22.3848239984139,48793.4422577232,,,114.92163848877,,15.5,69.344,59.153440255864,3.10323032776763,191977.0,114006.0,59.3850002908767
YR1982,2722.0,5770.0,0.0695237596711849,37.6024667931689,6.35658914728687,361660000.0,3.96318009972056,235511267.391736,,50.8759360327181,93.8413133469878,1517244607.39872,7.93740252874074,-5.58342929839709,8932198185.72876,19115127422.4142,2.30152997332975,45074.5499241983,,,111.804351806641,,14.3,69.669,59.7067083155661,3.17244438129069,198165.0,117667.0,59.3780975341797
YR1983,2722.0,5770.0,0.0456633057126419,38.850284629981,1.16618075801749,247480000.0,3.0463201171851,363455668.346703,,52.0135765985473,92.7192126990588,1513446774.23553,9.03475034081535,-12.7143643318788,7927590750.39502,16751395635.1222,0.399377358630829,38720.0939254718,,,113.70133972168,,13.3,69.991,60.3911771457598,3.26457487247004,204741.0,121941.0,59.5584471913985
YR1984,2722.0,5770.0,0.0104810980224026,40.1633776091082,3.07396733909727,207690000.0,2.57408440230526,,,,91.5277648718098,1664532554.01712,10.2235407976,-0.439743751162723,7632788075.1621,16281370485.731,-2.3765936752155,36061.3815259405,,,117.110153198242,,12.5,70.236,61.0099664320929,3.3240172489544,211661.0,127109.0,60.0533276795725
YR1985,2722.0,5770.0,0.0526721872603445,41.5406072106262,2.35321528424927,223870000.0,2.88778814029385,,,,90.5476800653666,1713119668.31627,11.17508181138,-3.02513075616653,6967623884.42343,15329817689.3142,-2.9072440789929,31827.4059557344,,,117.044883728027,,11.8,70.499,61.5650958457332,3.37158601739359,218919.0,133088.0,60.7934862734779
YR1986,2722.0,5770.0,-0.144381757212871,42.9781783681214,1.78124288641064,239870000.0,4.67072980761742,,,,81.1930616794929,1857087555.38362,20.3539041997385,-37.0798606330313,4190280002.67381,9123986912.582,-5.4072203182489,18500.5408625966,,,122.95288848877,,11.2,70.762,62.0720104196561,3.4021071237636,226495.0,139769.0,61.7096702478914
