Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,36.367,55.3125167347959,,224084.0,5563.0,2.48268163392509
YR1961,2200.0,47000.0,,4.93551355863279,,,,,,,,,,,,,,,,,,,,36.654,55.468826226949,2.86722992641214,230602.0,5826.0,2.52664105200995
YR1962,2200.0,47000.0,,5.08606039851893,,,,,,,,,,,,,,,,,,,,36.992,55.6560362403765,3.00468103385092,237636.0,6104.0,2.56865670541924
YR1963,2200.0,47000.0,,5.24700896774608,,,,,,,,,,,,,,,,,,,,37.37,55.7777496777562,3.11546514463352,245156.0,6402.0,2.61135330925832
YR1964,2200.0,47000.0,,5.41461378764206,,,,,,,,,,,,,,,,,,,,37.796,55.843580895461,3.14433613990597,252987.0,6722.0,2.65696826503802
YR1965,2200.0,47000.0,,5.59039445241102,,,,,,,,,,,,,,,,,,,,38.263,55.8963325108489,3.19482933941373,261200.0,7073.0,2.70773897426915
YR1966,2200.0,47000.0,,5.77488603043469,,,,,,,,,,,,,,,,,,,,38.789,55.9002297828182,3.2468672608395,269820.0,7463.0,2.76590283846253
YR1967,2200.0,47000.0,,5.96819553538942,,,,,,,,,,,,,,,,,,,,39.359,55.8891454965358,3.29261051140354,278852.0,7902.0,2.83369725912898
YR1968,2200.0,47000.0,,6.17064400830426,,,,,,,,,,,,,,,,,,,192.6,39.96,55.8629396727839,3.33585834917434,288311.0,8400.0,2.91335963777932
YR1969,2200.0,47000.0,,6.38259529567879,,,,,,,,,,,,,,,,,,,188.5,40.566,55.8263528875237,3.37715909689562,298214.0,8968.0,3.00712737592437
YR1970,2200.0,47000.0,,6.60334310724911,,,,,,,,,,,61812113.0666667,463590848.0,,200.345229822469,364571779.0,,19.8132400512695,,184.6,41.185,55.7750025929575,3.40012513918434,308528.0,9763.0,3.16440490553352
YR1971,2200.0,47000.0,,6.8319885281339,,,,,,,,,,4.45844432658933,66289450.3252986,497223909.0,2.67710048691288,207.666560128876,391082051.0,,19.7245693206787,,180.9,41.83,55.7055610639374,3.40397251575147,319211.0,11212.0,3.51245034070307
YR1972,2200.0,47000.0,,7.06855296106842,,,,,,,,,,5.89793371068087,70139866.8083136,532674974.0,1.16325709813225,212.375150813633,418982793.0,170.0,21.1250705718994,,176.8,42.487,55.6206549911586,3.40400084963263,330264.0,13524.0,4.09482364908449
YR1973,2200.0,47000.0,,7.31342165528755,,,,,,,,,,13.0176970089472,78900289.3165483,610849117.0,1.46708963632713,230.90176999619,480207254.0,190.0,,,172.9,43.136,55.5215756281003,3.40554571018578,341705.0,16602.0,4.85853339443042
YR1974,2200.0,47000.0,0.452090347097573,7.56668022173234,,,,,,,,,,17.170329640786,92901784.4986973,752653376.0,5.15826493134593,262.777366220031,592262030.0,220.0,24.1981201171875,,169.0,43.8,55.4125092811936,3.40431842902805,353538.0,20387.0,5.76650357887108
YR1975,2200.0,47000.0,,7.82892793699035,,,,,,,,,,-0.0768638780979245,86820762.4931172,727201330.0,-3.30732069832554,237.350734416968,572061334.0,220.0,,,164.6,44.513,55.2955858613059,3.40711560223336,365791.0,24807.0,6.78165820453667
