Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,5515329.00335193,25174800.0,65.9195781147001,13.3305060134328,9354100.0,43.1201626323578,,30411413.6552828,21693100.0,,58.9180081084204,24399300.0,,,,118.0,51.22,50.6451903507693,,516165.0,15494.0,3.00183842990332
YR1961,416.0,581730.0,,0.931558237608738,,,,6397423.23288009,27600900.0,69.7418276611398,12.2975254408832,10795600.0,45.9088338230854,1.93394654573322,32902612.8664855,23515300.0,6.34328369916236,62.3224006926623,26407500.0,,,,115.4,51.781,50.1242086022626,2.25599473789155,527942.0,16195.0,3.06761053773735
YR1962,416.0,581730.0,,0.953162881795564,,,,7453751.41076598,30105100.0,72.7650318789505,11.3741577939216,12328600.0,48.4914038931259,1.36073530511867,35644956.6430429,25424300.0,6.66666783376763,65.9864503023827,28516100.0,70.0,,,113.1,52.313,49.6260081027721,2.29270955077689,540186.0,16964.0,3.14032650567961
YR1963,416.0,581730.0,,0.975713302630882,,,,8473242.20907132,32547300.0,76.3398001952537,10.6134343367613,13770000.0,50.5384158023386,1.17682676860338,38091842.8546863,27246600.0,5.92104509011995,68.8864104749411,30624700.0,80.0,,,110.9,52.848,49.1408611552418,2.3382992115817,552966.0,17806.0,3.22010465013842
YR1964,416.0,581730.0,,0.999181267975932,,,,9784052.90139266,35761400.0,77.387712439321,13.4939379625256,14418200.0,48.3026630083384,2.54749888017885,41616347.7906865,29849700.0,6.83230092114646,73.4925773235308,33536500.0,80.0,,,108.6,53.358,48.8140732447295,2.37674156574765,566266.0,19106.0,3.37400263840686
YR1965,416.0,581730.0,,1.01399961180809,,,,11726373.4514905,39000000.0,82.3170731707317,19.2073170731707,15400000.0,46.9512195121951,3.84627563139497,45788696.3343915,32800000.0,5.81395506087105,79.6790756588049,36850000.0,90.0,,40.7,106.5,53.853,48.5416273321216,1.47215897048438,574664.0,22031.0,3.83373315592927
YR1966,416.0,581730.0,,1.01964956857763,,,,13528912.1220447,44900000.0,80.2168021680217,14.3631436314363,17100000.0,46.3414634146341,5.78874199620294,51465655.3921083,36900000.0,6.34401910558493,89.0615737768069,40850000.0,100.0,,39.7,104.6,54.36,48.1626811729007,0.55564857111754,577866.0,26761.0,4.63098813770292
YR1967,416.0,581730.0,,1.02506131667637,,,,15131441.3220835,53049500.0,75.3873411098824,14.9823422395034,18399500.0,43.7567628628164,7.58155108394078,58642354.089673,42049500.0,5.92455993122056,100.945124635152,44650000.0,100.0,,38.6,102.6,54.859,47.7665649623665,0.52934239010004,580933.0,32798.0,5.64569147409951
YR1968,416.0,581730.0,,1.03041307148025,,,,15690420.3359005,66450000.0,86.0,12.4210526315789,20850000.0,43.8947368421053,2.16614944689633,66248441.4182466,47500000.0,10.5670565038251,113.445716733931,50450000.0,120.0,,37.4,100.2,55.372,47.3748877288128,0.520733016963454,583966.0,39584.0,6.77841629892652
YR1969,416.0,581730.0,,1.03588304836518,,,,16015441.6710651,72100000.0,75.3375337533753,19.5319531953195,23200000.0,41.7641764176418,1.58435523727398,77361546.5067537,55550000.0,15.1234047289021,131.776574536345,59250000.0,150.0,,36.4,97.8,55.903,47.0178821461301,0.529448766813059,587066.0,46553.0,7.92973574599147
