Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,21615432.6835429,30500001300.0,57.4545367418192,,,,,112155598.492157,27500003300.0,,65.8829629770666,27399997400.0,,,,158.8,39.572,55.150509943337,,1702346.0,342569.0,20.1233615875244
YR1961,1343.0,622980.0,,2.78432694468522,,,,23648367.3973193,33000009200.0,62.2516545984825,,,,4.63501852407487,123134583.463559,30200000500.0,4.95355379797229,70.988125923024,30100008900.0,,,,156.4,40.056,54.8940089243506,1.87580094287151,1734580.0,358445.0,20.6646644721118
YR1962,1343.0,622980.0,,2.8381569231757,,,,25304691.8559719,34500005400.0,62.2950725665156,,,,4.88874686844647,124482773.83306,30500003800.0,-3.71380018409685,70.404229268492,30400000000.0,70.0,,,154.0,40.562,54.6245012343654,1.91486981829662,1768115.0,375568.0,21.2411510198558
YR1963,1343.0,622980.0,,2.89425503226428,,,,25304433.662062,35900005900.0,63.7223974454916,,,,4.67447570130837,129379123.76305,31700000800.0,-0.707010752236329,71.7551875686265,31600009200.0,70.0,,,151.6,41.09,54.3267761581265,1.95728780254881,1803063.0,394066.0,21.8553746740567
YR1964,1343.0,622980.0,,2.95287649683778,,,,31833202.6376306,39100010000.0,69.2528596784602,,,,7.54197105015557,142025078.735754,34800005100.0,2.08032459940857,77.2050398029084,34700001300.0,70.0,,,148.8,41.64,54.1039588580785,2.00520301270958,1839583.0,414088.0,22.5098888780147
YR1965,1343.0,622980.0,,3.01430864554239,,,,33461061.5660185,40800001000.0,64.7696449864499,,,,5.03913870121602,150574795.409863,36900000000.0,0.947578712256856,80.184506042463,36800008000.0,80.0,,,146.2,42.207,54.0439900961443,2.05907199834094,1877854.0,435798.0,23.20724707503
YR1966,1343.0,622980.0,,3.07888214709943,,,,33783994.6450001,44300000000.0,70.8762886597938,,,,4.47541104842317,157930018.091087,38800000000.0,0.644783720237797,82.3374694570342,38699992000.0,80.0,,,143.1,42.787,54.0462675614839,2.11960929299757,1918082.0,459381.0,23.9500027084028
YR1967,1343.0,622980.0,,3.14688111977913,,,,36178715.7087995,48599990000.0,73.2009677419355,,,,-0.774417229772368,163820513.562432,40300000000.0,4.6766131089008,83.562965105064,40199992000.0,90.0,,,140.2,43.379,54.0317280248066,2.18452497855469,1960444.0,485028.0,24.7407092214333
YR1968,1343.0,622980.0,,3.2185623936563,,,,38373809.069883,50000000800.0,73.9435231051187,,,,16.1724010608566,191767441.604577,47474848000.0,1.40411317693092,95.6398392122972,46657886800.0,90.0,,,137.4,43.98,53.995985237644,2.25229566260353,2005100.0,512943.0,25.5819200574216
YR1969,1343.0,622980.0,,3.29306719316832,,,,37698022.2393262,53900009000.0,64.933122360612,,,,-3.85268771319454,188039210.130379,48882781000.0,7.09154252763096,91.6587059467658,48596825000.0,100.0,,,134.6,44.58,53.94109866584,2.28846097699812,2051515.0,543163.0,26.476188659668
YR1970,1343.0,622980.0,0.634562965663858,3.36688978779415,,,,37987997.9437426,57299990500.0,73.5008478028886,,,,4.49087969968032,189106529.207011,52269637900.0,2.33288087679347,90.1578442993038,51772130500.0,100.0,,,132.0,45.176,53.8512184714697,2.21699985501069,2097505.0,579271.0,27.6171278366582
YR1971,1343.0,622980.0,0.34747938484404,3.43742977302642,,,,38132397.2366481,59699998000.0,67.2226952791009,,,,4.93826828935202,201450799.82635,55470778500.0,1.13020238405835,94.0721472956876,54779730300.0,100.0,53.7795104980469,58.6,129.6,45.764,53.7124036779761,2.07346265336313,2141450.0,622628.0,29.0750627800494
YR1972,1343.0,622980.0,0.651273786511213,3.50535972262352,,,,43646010.681202,63200001300.0,58.7478877440636,,,,4.64423708915463,230317883.36443,58046469600.0,-0.0008671748311144,105.468061578138,57525632500.0,100.0,52.8709716796875,57.9,127.5,46.332,53.5433357519352,1.95691133776892,2183769.0,669710.0,30.667615507899
YR1973,1343.0,622980.0,-0.0737509134025704,3.57316125718322,,,,52941099.8828059,65200000500.0,65.1049252125144,,,,2.19949026241304,271183082.043062,60443775600.0,1.888939956294,121.824846111542,59752925800.0,120.0,56.1287803649902,57.3,125.4,46.884,53.3751451028029,1.91575636793517,2226008.0,717051.0,32.2124080382642
YR1974,1343.0,622980.0,2.06113240224018,3.64271405181547,,,,56085319.4587817,78300001800.0,71.0729370672464,,,,5.38099970484274,281398705.570596,67733982000.0,6.33903361228316,124.000349692552,67155021000.0,140.0,56.4139595031738,56.8,123.5,47.405,53.2293221130299,1.92783122677979,2269338.0,760842.0,33.5270623892025
YR1975,1343.0,622980.0,1.47889918645835,3.71427012103117,,,,64858444.3586924,96399830000.0,61.0503166351623,,,,19.3262162143988,378660016.265936,81151726200.0,0.404987104042064,163.644668287845,80735395100.0,160.0,58.9686012268066,56.2,121.6,47.892,53.1064539277887,1.94531683296425,2313916.0,795870.0,34.3949253700663
YR1976,1343.0,622980.0,0.820121869497013,3.76988988410543,,,,61100520.2609039,115499969700.0,51.5134770679399,,,,25.9966269302932,451152461.31276,107803103500.0,5.43251898691292,192.09699080748,107637580000.0,180.0,58.7249984741211,55.7,119.9,48.355,53.088512966745,1.48636017998042,2348566.0,818283.0,34.8418271555259
YR1977,1343.0,622980.0,-0.560847321289945,3.80899868374587,,,,62683251.0577075,135999999700.0,59.5293038235671,,,,11.3724628206274,507298147.526539,124632850100.0,3.80623491408234,213.785550996675,124483849500.0,210.0,61.3034515380859,55.1,118.2,48.778,53.1559605306603,1.03205493589366,2372930.0,834321.0,35.1599393343814
YR1978,1343.0,622980.0,0.996511509742055,3.84917814376063,,,,85971600.2943597,152200000800.0,57.3060779001441,,,,9.22839370206516,610578631.992983,137780646300.0,1.2092354194359,254.624087711594,138051432300.0,240.0,61.6598205566406,54.6,116.6,49.161,53.2085384207667,1.0493314426646,2397961.0,849965.0,35.4453027854613
YR1979,1343.0,622980.0,3.24751491989189,3.89064496452535,,,,109532821.211179,167999998200.0,57.5655068303631,,,,10.9266339771195,700764747.756462,149067829200.0,-2.46513778468636,289.118938225139,147919135800.0,280.0,61.6953887939453,54.1,115.1,49.5,53.245561865909,1.07152881773075,2423794.0,865304.0,35.7003739664201
YR1980,1343.0,622980.0,0.670427597115373,3.93356929596456,,,,120693174.973792,195106943100.0,66.3023280832322,,,,18.2653791713287,797048198.534875,168399988700.0,-4.47863884794948,325.254770299088,168941988800.0,320.0,62.1261596679688,53.6,113.9,49.789,53.2696125539933,1.09722869674794,2450535.0,880419.0,35.9276093349123
YR1981,1343.0,622980.0,0.832097467818701,3.97830106905519,-0.0333333333334091,,,104146947.243535,207068840700.0,58.4431938924067,,,,13.8727460514407,694803622.898966,188799998000.0,-1.54446566470149,280.343391789938,189697060000.0,320.0,62.9554290771484,53.3,112.7,50.028,53.2853427329384,1.1307629587486,2478402.0,895433.0,36.1294653485925
YR1982,1343.0,622980.0,1.22326083884921,4.02480818003788,13.2960986995662,,,118987408.313256,275523115800.0,56.4022587335688,,,,20.9142340489744,748312390.756606,245900130800.0,7.71578363090393,298.444544895201,243513466100.0,320.0,66.8196868896484,53.1,112.0,50.213,53.300583279326,1.16223915103428,2507375.0,910388.0,36.308398465115
