Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,1.35869565217391,1651000000.0,4.18525654025553,,,,,,,,40563768946.9503,39338053869.2468,,2264.94849658191,40109068981.7764,,,,27.8,71.1331707317073,58.630301266175,,17909356.0,12364937.0,69.041773106798
YR1961,537.0,15640500.0,,2.03790269240507,1.0187667560321,1699750000.0,4.12831224346052,6591864065.45447,42384000000.0,35.810465007449,,,,2.44442707980423,41038192837.9035,41574439195.0876,3.16329168371298,2246.08356619252,41480451320.5968,,,,27.0,71.3460975609756,58.4646248910609,1.99918455690026,18271000.0,12733381.0,69.6917584737778
YR1962,537.0,15640500.0,,2.0761600742394,1.06157112526535,1786250000.0,3.99921638867122,6765740640.81493,45778000000.0,35.5113198692233,,,,1.30987421023762,42336211555.8268,45247543766.8137,7.42783736424002,2274.4284708191,45074746844.3996,2380.0,,,26.0,71.3670731707317,58.4228236766981,1.85988823339904,18614000.0,13113348.0,70.4488432416319
YR1963,537.0,15640500.0,,2.1151982189683,1.62815126050427,1736500000.0,3.62065011154897,7230358847.34377,48910000000.0,35.3317795610907,,,,2.18222676738822,45140337826.9869,48684216344.8305,5.29743988916486,2380.31732899108,48366482301.5408,2410.0,,,25.1,71.3807317073171,58.503050593349,1.86284592763531,18964000.0,13519270.0,71.2891256737979
YR1964,537.0,15640500.0,,2.15546327681725,1.91214470284237,1787750000.0,3.40206283659061,7931518878.4668,53464000000.0,37.0015575200833,,,,2.83181917449242,49503663836.3665,53395049625.3475,6.65599998308328,2561.63849088572,52969297424.8376,2520.0,,,24.1,71.7763414634146,58.7010147054607,1.88571494336137,19325000.0,13941842.0,72.144071883708
YR1965,537.0,15640500.0,,2.19483603421526,2.33265720081134,1697500000.0,2.93026065941654,8722771890.38774,59753000000.0,36.8945520983079,,,,3.77503226941212,54649410478.5226,58911136641.7614,6.31720005153649,2777.18317301162,58391421678.7629,2720.0,,,23.1,71.8721951219512,59.0101134244981,1.81016659700882,19678000.0,14354320.0,72.9460309621744
YR1966,537.0,15640500.0,,2.23610493007153,3.81565906838453,1739250000.0,2.68328242154957,10284809397.9496,66965000000.0,38.3052936900165,,,,4.92090435039572,61252415404.686,65988268369.7787,6.75969011988171,3055.28807884507,65328075419.9091,2980.0,,,22.1,72.0043902439024,59.4466768702848,1.86281377101388,20048000.0,14761817.0,73.6323659163904
YR1967,537.0,15640500.0,,2.27670460058959,3.57995226730311,1915250000.0,2.74792676977819,11912398325.9676,71293000000.0,39.1242195642224,,,,4.45413883722907,65856924423.9721,71040394695.6083,3.06542080784173,3226.38273682011,70151857991.3232,3150.0,,,21.2,72.2078048780488,59.9936390120732,1.79935650480125,20412000.0,15163359.0,74.2864917141429
YR1968,537.0,15640500.0,,2.31373506930386,4.05529953917047,1936500000.0,2.54364188044292,13580826149.9839,77755000000.0,40.727384956863,,,,4.06513396649078,72048833006.1602,77630812863.3538,5.00827404258794,3473.23722551871,76693259805.0754,3430.0,,,20.3,72.3534146341463,60.5831392877212,1.61340850346382,20744000.0,15548672.0,74.9550315218266
YR1969,537.0,15640500.0,,2.34541173531246,4.56155890168292,1906000000.0,2.27378467044438,15433122702.1217,86303000000.0,41.8858994891117,,,,4.82678277697191,79405011124.8208,85501327264.8224,5.06703236278922,3776.15613110238,84545619867.3962,3740.0,,13.9,19.4,72.5014634146341,61.1834048892798,1.35978347208384,21028000.0,15884609.0,75.540273925426
YR1970,537.0,15640500.0,2.07174385752131,2.37842685199747,3.34603981363832,1974000000.0,2.18897969593808,18509905254.0913,91531000000.0,41.4922765180909,,,,4.72201400232821,88192257632.3093,92152090000.0,2.91871307258708,4135.82149842006,90807644000.0,4010.0,,13.2,18.5,72.7004878048781,61.9018417984832,1.39783160033129,21324000.0,16195277.0,75.9485885572817
YR1971,537.0,15640500.0,2.2823003129872,2.44959138216224,2.70491803278684,2098000000.0,2.13148563939489,21031887502.4757,100872000000.0,40.6869585929765,,,,4.93143982189237,99606454743.5136,100582598000.0,4.01884508716894,4535.39338907773,99120962000.0,4360.0,,12.5,17.6,73.0292682926829,62.6741033201464,2.94819452761436,21962032.0,16710234.0,76.0869235503366
YR1972,537.0,15640500.0,1.86039340462104,2.47819306927932,4.98802873104551,2211250000.0,2.01181843821932,23899383776.139,112756000000.0,41.8490864463021,,,,5.82604411605709,113463848873.624,112317864000.0,5.51967005803644,5106.73708049128,110842199000.0,5010.0,,11.7,16.7,72.9339024390244,63.3652499728924,1.16084656651465,22218463.0,16890713.0,76.0210665764411
YR1973,537.0,15640500.0,2.41686894524343,2.50867784496057,7.48764728240211,2363250000.0,1.83260181767425,26881311868.8131,131088000000.0,44.2882822502655,,,,9.92880665138109,131764343565.643,131777520000.0,6.72864134770903,5858.33407318788,129960889000.0,6040.0,,10.8,15.9,73.1626829268293,64.0405714645773,1.22261658426849,22491777.0,17066635.0,75.8794422290009
YR1974,537.0,15640500.0,2.31348693195366,2.54394512798377,10.9971711456859,2747750000.0,1.7838130850829,33405930470.3476,157453000000.0,48.084501970309,,,,15.5694800179874,160949188139.059,157408306000.0,3.35777600467976,7056.70847496589,155091990000.0,7190.0,,10.0,15.0,73.2375609756098,64.719974279798,1.39602166927373,22807969.0,17269154.0,75.7154396957817
YR1975,537.0,15640500.0,1.94139898907896,2.5813443398594,10.672188595094,3235500000.0,1.86354185265607,38951042076.2878,180876000000.0,45.855654524918,,,,10.9977345544851,174419757176.563,177419777000.0,1.5454033263216,7536.52009823861,174757541000.0,8020.0,,9.4,14.1,73.5217073170732,65.3632114736427,1.45942491323998,23143275.0,17492220.0,75.5823038498304
YR1976,537.0,15640500.0,1.18237185753476,2.61553428162564,7.54173862982147,3531750000.0,1.76592797783934,45955375253.5497,207161000000.0,44.2653442795685,,,,8.78342638285083,207271612576.065,204369810000.0,5.88927586333716,8838.94710677652,200735000000.0,8780.0,,8.8,13.3,73.8560975609756,65.9499464119315,1.31580656558804,23449808.0,17712333.0,75.532954066479
YR1977,537.0,15640500.0,1.58804842778079,2.64632255099776,7.97644539614569,3990250000.0,1.80576360007784,48153267512.929,229181000000.0,45.7583788338602,,,,6.71753518078559,212325176304.654,225807825000.0,3.53482660580218,8949.10989272982,221085406000.0,9130.0,,8.3,12.5,74.2156097560976,66.4880317770415,1.17025687783266,23725843.0,17923769.0,75.5453395652958
YR1978,537.0,15640500.0,1.70497310930428,2.67279710537734,8.97372335151214,4527500000.0,1.84888740061337,48575436135.7061,251730000000.0,48.844517999706,,,,6.8265945986673,219369542386.254,250234837000.0,3.73597638764802,9154.43325277735,244081191000.0,9750.0,,7.8,11.7,74.529756097561,66.9947399443053,0.99545694441135,23963203.0,18110478.0,75.5762003387456
YR1979,537.0,15640500.0,2.17627314091623,2.69938107809971,9.14467697907181,4784250000.0,1.71124591794032,52234078879.9727,286572000000.0,52.2380473828747,,,,10.0700505201096,243891124295.715,285694063000.0,3.72519949149593,10077.5026707269,277970254000.0,10600.0,,7.3,11.0,74.8663414634146,67.4587186273481,0.989698733234704,24201544.0,18301539.0,75.6213704748932
YR1980,537.0,15640500.0,2.11563482971635,2.73441758991879,10.1292205085452,5547250000.0,1.76444861477782,59107081765.3096,317688000000.0,53.3179757243811,,,,10.0558896842166,274776566028.053,321268761000.0,2.17719921287991,11208.2027394178,312621858000.0,11600.0,,6.8,10.3,75.1021951219512,67.8432704366421,1.28959497847156,24515667.0,18552651.0,75.6767135132808
YR1981,537.0,15640500.0,0.216022151557611,2.76835266836873,12.4716124148372,6163750000.0,1.7099156381512,65756943865.2098,366274000000.0,52.1025741262576,,,,10.8709574234932,307246642755.859,368358000000.0,3.41506518150013,12379.0368643833,356058000000.0,12370.0,,6.3,9.7,75.4978048780488,68.1152447194198,1.23339725480528,24819915.0,18798471.0,75.7394654800076
YR1982,537.0,15640500.0,0.0286228735724806,2.80148233412413,10.7689718997139,7423750000.0,1.954343585383,72209613358.1908,374612000000.0,46.6158827969427,,,,8.82707834937871,314647807408.608,388181000000.0,-3.16615022065891,12527.3135323802,374774000000.0,11900.0,,5.9,9.2,75.7251219512195,68.2793198962425,1.18962434077573,25116942.0,19052106.0,75.85360553545
YR1983,537.0,15640500.0,1.35098439657101,2.82931195827603,5.86358802977367,8561750000.0,2.08119624877852,77491885751.3794,409137000000.0,46.7088835933124,,,,5.82447506029406,341866277182.733,421316000000.0,2.56225358775578,13477.1031699599,408970000000.0,12180.0,,5.6,8.7,76.0604878048781,68.3767069479842,0.988487567147771,25366451.0,19285680.0,76.0282934779807
YR1984,537.0,15640500.0,1.59096403406333,2.85614811741335,4.30477830391736,9518500000.0,2.11718885542571,78603968805.4977,446905000000.0,52.4766984280909,,,,3.54539028646708,356718400123.543,461986000000.0,5.8985694010334,13930.4745502555,447689000000.0,13150.0,,5.4,8.3,76.3319512195122,68.4330828825056,0.944034716041094,25607053.0,19517196.0,76.218047632138
YR1985,537.0,15640500.0,0.343202681414642,2.88236647002595,3.96203054065204,10187250000.0,2.09737623375073,80760161113.1454,488568000000.0,52.8419465348871,,,,3.33838916827283,366186012449.652,500027000000.0,4.73768081475092,14170.1249406067,484745000000.0,13940.0,,5.1,8.0,76.3273170731707,68.4698760856513,0.91377427539001,25842116.0,19737813.0,76.3784725109779
YR1986,537.0,15640500.0,0.714941620101729,2.91116122865311,4.1947862908562,10810500000.0,2.10919711788911,83733717164.4476,522671000000.0,53.0651501053871,,,,3.13237904841388,379006836991.724,526630000000.0,2.12148083355379,14521.1800806,508907000000.0,14560.0,,4.9,7.7,76.4639024390244,68.4705973603251,0.994040150630969,26100278.0,19957782.0,76.465781906127
YR1987,537.0,15640500.0,1.98490566969318,2.94978924978724,4.3561087122174,11528750000.0,2.06257637101059,93147812971.3424,566745000000.0,50.8663917985291,,,,4.79160143138952,433134238310.709,574336000000.0,4.07201574110678,16377.6902109541,556631000000.0,16320.0,,4.7,7.5,76.7787804878049,68.394815093169,1.31816778174498,26446601.0,20231106.0,76.4979428749186
YR1988,537.0,15640500.0,1.41277624760156,2.98828599121753,4.02823414871611,12180750000.0,1.98676711890836,107588364345.494,621226000000.0,51.3657811368429,,,,4.5399982412587,509380027626.554,626894000000.0,4.41083900341744,19012.5723278349,606599000000.0,18620.0,,4.6,7.3,76.8587804878049,68.2876760236935,1.29662488995999,26791747.0,20500429.0,76.5177005456627
YR1989,537.0,15640500.0,1.2643683536102,3.04238549833307,4.98362189985957,12724500000.0,1.93461430865038,121206081081.081,670484000000.0,50.0666340073171,,,,4.68125322876962,567211993243.243,671579000000.0,2.33732975738413,20794.682233334,648488000000.0,19860.0,,4.5,7.0,77.1248780487805,68.1810601091498,1.79419351491939,27276781.0,20876032.0,76.5340762904945
YR1990,537.0,15640500.0,1.40950377153528,3.08860186557717,4.78047693336304,13318250000.0,1.95879374221417,134821734658.896,693860000000.0,49.9944644220497,,,,3.35230171317748,596075591360.987,695501000000.0,0.202947874139198,21525.8611387148,670475000000.0,20650.0,,4.4,6.8,77.4365853658537,68.0455122480417,1.50766067284807,27691138.0,21199350.0,76.5564437077021
YR1991,537.0,15640500.0,0.573724262982077,3.12722531367149,5.62586408593005,12990750000.0,1.89544433858064,147109190887.667,706255000000.0,49.2234668475419,,,,3.05676981042184,612527712315.615,701773000000.0,-2.0910550979319,21846.7930471354,678516000000.0,20990.0,,4.3,6.6,77.5934146341464,67.8832371484941,1.24276123131684,28037420.0,21475370.0,76.5953841315163
YR1992,537.0,15640500.0,1.18075190608283,3.16446145763971,1.49013290374545,13040750000.0,1.86168769986295,145295772317.366,722204000000.0,52.7380309449972,,,,1.47085090832458,594387358318.855,718436000000.0,0.890466180427183,20950.3305287651,692682000000.0,21420.0,,4.2,6.4,77.8380487804878,67.7258077303312,1.18367554138942,28371264.0,21770770.0,76.7352832428064
YR1993,537.0,15640500.0,0.721601695039315,3.19942848156117,1.86507936507938,13247500000.0,1.82175350392748,138313309045.81,747121000000.0,58.2507961453047,,,,1.28904285022769,579053561739.4,747037000000.0,2.65770691557481,20186.7988782965,721646000000.0,21270.0,,4.1,6.2,77.7048780487805,67.6254152830546,1.09893087887878,28684764.0,22086284.0,76.9965686255912
YR1994,537.0,15640500.0,1.64516287712473,3.23466308408036,0.165562913907291,13079250000.0,1.69668025731865,131519478617.458,782316000000.0,64.3915441455001,,,,1.4556309104514,579944346807.264,791972000000.0,4.49404929532982,19997.6237373354,763606000000.0,20890.0,,4.1,6.0,77.8717073170732,67.6028067907232,1.09525810706129,29000663.0,22422480.0,77.3171285420943
YR1995,537.0,15640500.0,2.25387303530621,3.26830816488374,2.14876033057849,12594750000.0,1.55409007114777,131242349169.338,805553000000.0,69.0617480799547,,,,2.26332580701256,605961090061.207,831621000000.0,2.68232822733793,20679.634792669,802973000000.0,20850.0,,4.0,5.8,77.9773170731707,67.6288199467116,1.03476948386834,29302311.0,22749039.0,77.6356482587498
YR1996,537.0,15640500.0,1.39828193256897,3.30265135925243,1.57053112507137,11747500000.0,1.40375258106455,130917491749.175,826408000000.0,70.2600734560392,,,,1.67527500243989,630607994132.747,859834000000.0,1.68896122499937,21296.9723536904,831266000000.0,20820.0,,4.0,5.6,78.220243902439,67.6834394145598,1.04531178311831,29610218.0,23064128.0,77.8924633929695
