Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,1.43879470321087,875000000.0,2.34145036125234,,,,,,,,10412232620.5258,45532173440.7116,,1954.3113206427,43806131284.2416,,,16.4,21.7,71.3134146341463,65.7412500383602,,5327827.0,2718177.0,51.0184853532088
YR1961,1537.0,41290.0,,137.479609390812,1.84539787448657,1038000000.0,2.46907706945766,,,,,,,4.05828923728644,11713348834.3069,51221889688.0814,8.10867221090632,2155.44996908648,49149465626.608,,,15.9,21.2,71.6448780487805,65.7197490745057,1.97861505905873,5434294.0,2808390.0,51.6790269617828
YR1962,1537.0,41290.0,,141.009284557782,4.3159928775438,1197000000.0,2.56756756756757,,,,,,,5.82706822422301,12989649694.2812,56803089632.1088,4.78994131635299,2330.47736501501,54419995399.1205,2160.0,,15.5,20.7,71.1960975609756,65.6200571398225,2.53501253675864,5573815.0,2917986.0,52.3516907011524
YR1963,1537.0,41290.0,,144.056036227484,3.44021288042959,1290000000.0,2.51633668194675,,,,,,,4.84776024217344,14283872299.0456,62462660471.3978,4.87919908861309,2508.47430732203,59699671516.6809,2320.0,,15.1,20.1,71.1875609756098,65.6146862621649,2.13766282113072,5694247.0,3019942.0,53.0349712890845
YR1964,1537.0,41290.0,,146.458915199352,3.08055687101809,1441000000.0,2.53585569731632,,,,,,,5.31072812692537,15833133857.6281,69237503923.4492,5.25635078619852,2734.93009044177,66071668727.2428,2520.0,,14.6,19.3,72.0778048780488,65.5470691806343,1.65425824514532,5789228.0,3110015.0,53.7207195221377
YR1965,1537.0,41290.0,,148.160089050799,3.41447860846187,1502000000.0,2.4679592507394,,,,,,,3.7972414189914,16780226225.085,73379091564.7407,2.10455491544954,2865.2448479366,69191077478.9436,2650.0,,14.1,18.4,72.2017073170732,65.362829626532,1.15484251419216,5856472.0,3185967.0,54.4007861968703
YR1966,1537.0,41290.0,,149.716707144303,4.77597959563684,1654000000.0,2.53079335934511,,,,,,,4.80500969295505,18019402373.5388,78797946998.6625,2.46145745672325,3044.84560389449,74503744416.7916,2840.0,,13.6,17.7,72.3356097560976,65.1646939575393,1.04515174261587,5918002.0,3258867.0,55.0670221098409
YR1967,1537.0,41290.0,,151.583308034811,4.00519621563881,1676000000.0,2.38237384506041,,,,,,,4.45331556146988,19397044714.0963,84822308178.0194,3.05592216743931,3237.27315217356,80214624613.8604,3020.0,,13.1,16.9,72.6365853658537,65.0492019587655,1.23904724663021,5991785.0,3338100.0,55.7112780576078
YR1968,1537.0,41290.0,,153.504199554746,2.39582226957009,1635000000.0,2.17651757188498,,,,,,,3.08110579298253,20712102793.8026,90572991509.0623,3.58802600373956,3413.49358157003,86065616883.618,3270.0,,12.4,16.3,72.590243902439,65.0229322455109,1.25925634808891,6067714.0,3417664.0,56.3254048367294
YR1969,1537.0,41290.0,,155.24152499494,2.48903598959373,1789000000.0,2.19792370538731,,,,,,,2.57439164656657,22442043274.074,98137934865.6436,5.63291212254617,3657.20794240553,93365141031.0318,3550.0,,11.5,15.6,72.6126829268293,65.0290160203502,1.125420460311,6136387.0,3491681.0,56.9012532437643
YR1970,1537.0,41290.0,,156.367056263914,3.61598678629523,1907000000.0,2.10334748800529,1942358792.5909,111995617000.0,82.8812630066083,,,,4.71275554296911,24998066773.3821,109316546000.0,6.3774065194208,4044.42068227245,112682755643.745,4220.0,,10.7,15.0,73.020243902439,64.8787753671701,0.722403830625566,6180877.0,3549615.0,57.4289933592361
YR1971,1537.0,41290.0,,157.189814814815,6.57322111925784,2114000000.0,2.05252682169037,2429758823.38712,127149574000.0,78.6401529174678,,,,9.15112350950351,30040171750.6471,124183066000.0,4.07544263654522,4834.74049399485,127744312096.264,4700.0,,10.0,14.3,73.1307317073171,64.6853105492924,0.524791841648688,6213399.0,3597903.0,57.9055482477298
YR1972,1537.0,41290.0,,158.392936652499,6.66000704160245,2297000000.0,1.9681261245823,2972676930.32755,142918296000.0,76.6822363867435,,,,9.801959003368,36844318854.2403,140719507000.0,3.20050876339681,5884.77524107186,144599340181.639,5510.0,,9.4,13.6,73.6443902439024,64.7030812013997,0.762479990409525,6260956.0,3651804.0,58.3266188168094
YR1973,1537.0,41290.0,,159.566560412872,8.75467033024632,2421000000.0,1.86144856220206,4128173344.28716,159300073000.0,77.6269122268628,,,,8.140425342904,49550006319.5147,156815860000.0,3.04990737667008,7855.91887040854,161400382827.246,7230.0,,8.8,12.8,73.9409756097561,64.7997174748242,0.738225529466449,6307347.0,3702805.0,58.7062133273633
YR1974,1537.0,41290.0,,160.428177494434,9.76741431913026,2647000000.0,1.87597448618001,4923607894.47186,174044542000.0,82.5985024999147,,,,6.93261904009358,57103011445.6416,170127002000.0,1.45490788032913,9004.788599,175742151570.608,9290.0,,8.2,12.0,74.2870731707317,64.8996791154097,0.538520832855669,6341405.0,3745060.0,59.0572669855868
