Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,133000.0,3.11840562719812,425936363.636364,4658143.0,28.1958905067208,34.9892294367181,2356432.0,50.8705335592485,,4211103676.74027,4632214.0444143,,516.487539077836,4553214.0444143,,,,123.7,57.216,56.9868949572875,,8153350.0,5531239.0,67.8400829185243
YR1961,,756096.0,,11.1962928293604,,169000.0,3.52744729701524,509030476.190476,5298523.0,26.2798479178365,34.9331124463066,2665002.0,51.2895632005078,6.30329826209852,4948564550.91046,5195992.77845598,5.51961070344885,594.436306222113,5114792.77845598,,,,121.4,57.309,56.8844906530816,2.08103660573373,8324802.0,5716672.0,68.6703645904272
YR1962,1522.0,756096.0,,11.4279667855587,,172000.0,3.04370907803929,625809073.724008,6061810.0,23.5850697741396,36.8119948041159,3068039.0,50.2924442982587,12.9653850152713,5765971144.47142,6100397.47085076,3.93078479110629,678.584336588862,6004997.47085076,610.0,,,117.4,57.811,56.8457182158134,2.04808518245749,8497059.0,5903509.0,69.4770903697945
YR1963,1522.0,756096.0,,11.6607543454754,,248000.0,2.86539572501444,538135018.495684,9336918.0,26.5393509971402,38.7327722913936,4623093.0,49.9821521095075,43.4628068948034,5702520146.03167,9249487.67686336,5.68667190016438,657.719196593697,9103487.67686336,660.0,,,111.9,58.349,56.8780633862598,2.01652960266026,8670144.0,6091907.0,70.2630375251873
YR1964,1522.0,756096.0,,11.892595073245,,346000.0,2.63518659558264,569165149.544863,13950417.0,25.0496050376843,39.600174368829,6893323.0,49.2605760946901,47.6564098490451,6065708668.32735,13993589.8978312,2.46113427734542,685.970202891974,13754989.8978312,680.0,,,104.8,58.812,56.9659878277987,1.96870696971751,8842525.0,6280763.0,71.0290617662928
YR1965,1522.0,756096.0,,12.1217889747852,,531000.0,2.88571273300364,654655369.021223,19228231.0,25.615707781418,39.3872553446774,9690236.0,49.6353476190419,38.5831592827126,6183988944.34606,19522853.0973005,0.670838636062939,686.123541995524,19124453.0973005,670.0,,,96.5,59.473,57.096143344157,1.9088631249751,9012938.0,6469128.0,71.7760188027985
YR1966,1522.0,756096.0,,12.3487919820532,,719000.0,2.73592085235921,804297065.697222,27404682.0,27.3845084833629,38.6993026696801,13726575.0,49.1177655990971,28.4245129179494,7256882086.19585,27946252.9139402,11.4634218589357,790.361773771396,27234552.9139402,760.0,,,87.0,60.373,57.2547471348649,1.85536681425097,9181722.0,6657186.0,72.5047643443917
YR1967,1522.0,756096.0,,12.5736874808347,,926000.0,2.71363263392334,789013022.888714,35474265.0,26.6237508772143,39.258980785178,17786171.0,49.1178656338665,25.0862230246919,7145068067.64138,36211204.9668065,3.58811073177469,764.265128656993,35133204.9668065,780.0,,,78.4,61.054,57.4277198728112,1.80480921853874,9348939.0,6844934.0,73.2161541007599
YR1968,1522.0,756096.0,,12.7966462774971,,1195000.0,2.52706817797327,797567771.960442,49363194.0,26.4491576264906,40.6401338938751,24574812.0,49.0474307969422,33.5922923263817,7286820526.02462,50104177.9369453,3.57371701447551,765.847401648627,48624377.9369453,800.0,,33.3,72.5,61.68,57.6254614430951,1.757679176774,9514716.0,7032426.0,73.9110437815904
YR1969,1522.0,756096.0,,13.0193212935018,,1551000.0,2.26089998688066,929656416.802042,70776462.0,29.7985760159531,42.2803070058237,35586203.0,48.8296409450353,39.7205173367668,8456519044.38223,72878281.1244861,4.10317976748962,873.581889905917,70911781.1244861,830.0,,31.3,69.7,62.341,57.853133823994,1.72513804019296,9680282.0,7220550.0,74.5902890965706
YR1970,1522.0,756096.0,0.133138875850402,13.2413184637648,,4380000.0,4.45045063352876,1169575279.30484,103157842.0,27.9675889817453,40.8356675921505,52060860.0,49.8449376223514,40.9271963040969,9261006540.15907,104445631.759914,1.69447257971353,940.648345061287,102196931.759914,890.0,,29.8,68.5,62.634,58.1133173203496,1.69076199798083,9845344.0,7409372.0,75.2576239323404
YR1971,1522.0,756096.0,-0.172457561500421,13.4623674569487,20.0522312040536,7955000.0,6.26481544192347,1660034564.66541,135124773.0,22.6232909511881,38.165164787034,69677226.0,51.883070572081,17.3488888856652,10999807567.1235,134296650.587011,9.57107393842624,1098.91469956231,132849950.587011,1060.0,,29.1,67.4,63.072,58.4167748866824,1.65560696757742,10009701.0,7601493.0,75.9412590436768
YR1972,1522.0,756096.0,-0.0091229512821203,13.6842503079894,77.7957404755203,15536000.0,6.62541419500109,1903035517.15863,256750072.0,22.2999914878936,37.0962664801895,131414370.0,52.3108796509606,88.4041613192067,12057501634.979,251218046.564787,-0.712365918422577,1185.04994801594,249982546.564787,1160.0,,28.6,66.0,63.717,58.757879119123,1.63473618851234,10174678.0,7799220.0,76.6532330053805
