Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,7559481665.71818,150973387760.0,6.30557627967827,44.2951197990905,48000000000.0,32.5799226226838,,59846235024.7318,147330000000.0,,89.7150749167731,147330000000.0,,,,,33.419,55.7001867504027,,667070000.0,131717278.0,19.7456455230713
YR1961,,9562950.0,,70.3357920805262,,,,7262951756.20854,127652925930.0,5.80854553672362,31.8649283342781,40030000000.0,32.4155802089238,15.2463061119411,50162299349.7871,123490000000.0,-27.2700000038883,75.9655011127574,123490000000.0,,,,,40.158,56.1639992867903,-1.01552778731319,660330000.0,127405724.0,19.2942504882812
YR1962,645.0,9562950.0,,70.9152397944239,,,,6093080332.38972,117159913990.0,5.56552301863999,31.2440971924101,34760000000.0,29.8445951747231,-0.110856633489604,47310737754.2287,116470000000.0,-5.57999999019671,71.0616845971262,116470000000.0,70.0,,,,50.959,56.2156469787463,0.820455548748518,665770000.0,115344340.0,17.3249530792236
YR1963,645.0,9562950.0,,72.6796793864671,,,,6970483900.25384,128745333630.0,5.66206229848909,33.0002398273243,34060000000.0,27.2283955552003,-2.62824344193632,50812227918.5753,125090000000.0,10.2999999963989,74.4681540864463,125090000000.0,80.0,,,,51.67,55.6499849944704,2.45764740395145,682335000.0,114879915.0,16.8362922668457
YR1964,645.0,9562950.0,,74.3860676909967,,,,7689467379.47582,143678307220.0,5.71690657135873,35.2617641067427,39440000000.0,26.7807428532627,-0.379731326766191,59821862703.4023,147270000000.0,18.1799999938203,85.6611074645449,147270000000.0,90.0,,,,52.343,55.1107011451,2.32068298706855,698355000.0,127798959.0,18.2999991337848
YR1965,645.0,9562950.0,,76.1787340558677,,,,8428761126.47244,162893882630.0,5.89947047155192,35.0276306700437,47760000000.0,27.4925166935298,0.86379575525622,70565994356.1828,173720000000.0,16.9500000038699,98.6681688740435,173720000000.0,100.0,,,,53.001,54.8966382515764,2.38136810251949,715185000.0,128616573.0,17.983678817749
YR1966,645.0,9562950.0,,78.3319575000666,,,,9407716033.20972,182789319890.0,5.92798922996829,37.8118393234672,47440000000.0,25.0739957716702,-1.57172065913545,76854053259.209,189200000000.0,10.6499999984174,104.50646350178,189200000000.0,110.0,,,,53.662,54.8549915893098,2.78733183821693,735400000.0,131340439.0,17.8597278594971
YR1967,645.0,9562950.0,,80.3717412723351,,,,8075362467.19384,170844267800.0,5.58233749508179,33.8266384778013,47510000000.0,26.4326249026371,0.817149532085963,73011350596.2485,179740000000.0,-5.77000000405148,96.7614480104016,179740000000.0,100.0,,,,54.401,55.0821243529982,2.5706976197388,754550000.0,133860306.0,17.7404155731201
YR1968,645.0,9562950.0,,82.497803104945,,,,8014431663.86994,170879799040.0,5.57889818889779,31.05184846057,47850000000.0,27.3835412613025,1.37456106239944,70980323818.7853,174740000000.0,-4.09999998647768,91.6454581848979,174740000000.0,90.0,,,,55.191,55.2999523632204,2.61090262648529,774510000.0,136471712.0,17.6203937530518
YR1969,645.0,9562950.0,,84.7894975101856,,,,9497081211.41811,185222135460.0,4.94137678904207,35.3563616014651,53450000000.0,27.1913313323498,-3.80293610517242,79847786729.1898,196570000000.0,16.9399999960609,100.308139479526,196570000000.0,110.0,,,88.8,55.988,55.3622561768905,2.74000210569558,796025000.0,139300169.0,17.4994716644287
YR1970,645.0,9562950.0,,87.1637419114318,,,,10297305761.7386,220962546060.0,4.82548633004292,40.2075851799947,57200000000.0,25.0503634930367,-2.63019160568886,92752930873.1912,228340000000.0,19.2999999967022,113.346243039894,228340000000.0,120.0,120.784461975098,,84.6,56.824,55.4990792417788,2.76167556645304,818315000.0,142223062.0,17.3799896240234
YR1971,645.0,9562950.0,,89.5912443746172,,,,11978995933.4782,238334779800.0,4.94556999727203,41.8522431729519,60460000000.0,24.5692457737321,0.662354036667324,99959013879.6308,246080000000.0,7.05999999853672,118.84249157909,246080000000.0,130.0,112.423797607422,,80.5,57.731,55.6064932951812,2.74691554961857,841105000.0,145179409.0,17.2605571746826
YR1972,645.0,9562950.0,,91.8200942667696,,,,13839236797.4928,244248199860.0,5.66747218523763,42.6990025425386,63750000000.0,24.9364365343243,0.0760805255159482,113871930713.841,255650000000.0,3.81000000021984,132.097410431007,255650000000.0,130.0,107.220802307129,,76.6,58.579,55.8283546461459,2.45735692952286,862030000.0,147681368.0,17.1318130493164
YR1973,645.0,9562950.0,,93.9408302931856,,,,16125335274.2714,266163391620.0,8.08353927809897,42.7551981453307,67280000000.0,24.3715134391074,0.207471499653408,138764340892.0,276060000000.0,7.76000000084325,157.339888078555,276060000000.0,160.0,108.24178314209,,72.6,59.496,56.032293132207,2.28339536396383,881940000.0,151700685.0,17.2007942199707
YR1974,645.0,9562950.0,,95.9017921337843,,,,17607402349.7953,275127156030.0,10.3375065660458,42.3628274839348,68720000000.0,24.2638231763294,0.277234934039754,144418433058.472,283220000000.0,2.31000000294736,160.402546852304,283220000000.0,180.0,106.416976928711,,68.6,60.241,55.9559697232451,2.06595501335632,900350000.0,154535692.0,17.1639575958252
YR1975,645.0,9562950.0,,97.6108433414108,,,,19388941850.9181,295401066570.0,9.97608739521729,45.2879151200604,69450000000.0,22.8131261702198,-1.1323786731104,163687619735.857,304430000000.0,8.71999999747992,178.621249282085,304430000000.0,200.0,112.456108093262,,64.7,60.952,55.8032595195534,1.76639178162482,916395000.0,158946242.0,17.3447303771973
YR1976,645.0,9562950.0,,99.132958751631,,,,19763935067.9788,296500576550.0,9.59190335673938,44.9625868519508,68060000000.0,22.7351683591662,-0.0969292707356857,154196810058.643,299360000000.0,-1.57000000165326,165.680987722637,299360000000.0,190.0,117.813407897949,,60.9,61.225,55.6974399578865,1.54733797287665,930685000.0,162279250.0,17.4365386962891
YR1977,645.0,9562950.0,,100.493169653556,,,,22230320111.227,316186619870.0,9.32019932240708,46.6240707747128,79550000000.0,24.4363211894084,1.09261258259244,175226595859.778,325540000000.0,7.57000000138403,185.728620718294,325540000000.0,200.0,115.725471496582,,57.3,62.458,56.0910950752638,1.36277947570678,943455000.0,165586908.0,17.551118850708
