Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,43358329.1698801,117365803000.0,57.1440675728154,13.1387841021551,52168757300.0,38.9532929476451,,546203559.344361,133926436900.0,,148.680788984181,136441749500.0,,,90.4,209.5,37.244,54.4472679943234,,3673666.0,677149.0,18.432515852339
YR1961,1348.0,322460.0,,11.981606918239,11.6164921468989,,,54847017.881449,140429112300.0,63.3960559195014,13.8789745254135,60219019300.0,39.7141905967132,2.99006346469766,618245634.179831,151630987300.0,9.93255515611813,162.262764436326,149801058300.0,,,88.9,204.2,37.923,54.3529830769196,3.64787473296497,3810151.0,752339.0,19.7456488225576
YR1962,1348.0,322460.0,,12.4432044025157,-1.34124890120528,2148000000.0,1.27553444180523,61100769.7683181,141748626400.0,60.1395535033303,13.9819108863633,63421749300.0,40.1140364301266,3.0048198149284,645284473.733691,158103633900.0,1.22699449007209,163.076679659123,154024951800.0,160.0,,87.4,199.2,38.62,54.2095164974744,3.7801925666292,3956939.0,833004.0,21.0517187529334
YR1963,1348.0,322460.0,,12.9310094339623,0.943466310460198,1976000000.0,0.998988877654196,71726262.4648263,164902570000.0,57.455317585393,14.7002064215418,76699717700.0,41.1326894315843,3.01391715577817,761047198.029653,186469007400.0,14.490355865667,185.076825958966,179270107100.0,180.0,,86.1,194.2,39.315,53.9620399600103,3.84536161076973,4112061.0,917313.0,22.3078735305445
YR1964,1348.0,322460.0,,13.4401006289308,0.618192522743667,2742000000.0,1.14392991239049,92384057.2726004,199820124200.0,60.6088000142315,16.0638070917514,99605942300.0,44.1348331285212,2.906177950873,921063326.589918,225685553200.0,17.6130878299454,215.506240264261,219740946400.0,210.0,,84.9,189.5,39.966,53.6686600210601,3.861456346347,4273952.0,1003150.0,23.471261042469
YR1965,1348.0,322460.0,,13.9697389937107,2.61117612633011,3162000000.0,1.31969949916528,99159008.3468791,210300002300.0,66.9476309272914,15.9272399172053,100199989200.0,44.4542993790394,3.07886780467852,919771228.816095,225399996400.0,-3.10965427332918,207.044838566402,218856882200.0,200.0,,83.7,184.9,40.643,53.4201847344338,3.86506674136101,4442377.0,1088339.0,24.4990235677489
YR1966,1348.0,322460.0,,14.5205,4.19131798405668,3260000000.0,1.26356589147287,109899756.89238,232199987200.0,65.1033458745114,17.8855294960898,112400007200.0,44.6740896177975,0.0416032240180328,1024102880.05862,251599994900.0,11.5773596880237,221.786392228948,243222364200.0,220.0,,82.6,180.4,41.297,53.1986008070568,3.86679543132556,4617519.0,1172112.0,25.3840175139237
YR1967,1348.0,322460.0,,15.093534591195,2.29185195349456,3619000000.0,1.3126586869786,118698730.327606,246599995400.0,65.0150069947765,18.8813802733618,123499999200.0,46.3588574970382,1.22775183399891,1082922724.87189,266400006100.0,4.59815178505383,225.620934131463,257488715800.0,220.0,,81.5,175.9,41.959,52.9784921862499,3.87050352947213,4799744.0,1255936.0,26.1667202287161
YR1968,1348.0,322460.0,,15.6918899371069,5.35045478867879,3789000000.0,1.16049004594181,143800841.407539,276899991500.0,68.6948357042786,16.2988642895592,152700010500.0,48.1399769968227,5.79379997879829,1281281276.72357,317200007200.0,12.5482486395257,256.768714344803,307893764100.0,250.0,,80.3,171.4,42.648,52.7623878975271,3.88775350131665,4990021.0,1341099.0,26.8756201861492
YR1969,1348.0,322460.0,,16.3277389937107,4.45022854223325,4200000000.0,1.14879649890591,166179045.288614,319600009200.0,63.8315911821298,15.4280867450899,180500004800.0,51.0031091033901,1.85391784764981,1361360293.42665,353900003300.0,9.53921877056503,262.192286003745,342992191500.0,270.0,,79.0,166.9,43.345,52.574933980558,3.97214258098608,5192221.0,1429896.0,27.539200227042
