Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,614206068.497266,150600319000.0,,119.05394115577,,,,73.4,177.3,34.667,56.5435159425922,,5159057.0,702246.0,13.6119108368075
YR1961,1604.0,475440.0,,11.0834824733981,,,,,,,,,,5.06444908786447,652777608.320492,160100302800.0,1.18368081101198,124.593165563331,,,,71.8,172.1,35.186,56.161146418706,1.54289373952713,5239273.0,730275.0,13.9384757726207
YR1962,1604.0,475440.0,,11.2936472678809,,,,,,,,,,3.10995906856846,694247864.3789,170100342800.0,3.04155905079301,130.042569873656,,,,70.5,167.6,42.599,55.8563490324888,1.8784444358221,5338620.0,767115.0,14.369167285079
YR1963,1604.0,475440.0,,11.5432781197775,,,,,,,,,,-0.264119025473548,718320845.044338,176000352300.0,3.74255032074073,131.642014675439,,,,69.6,163.7,43.074,55.6076074891009,2.18629076316111,5456623.0,812680.0,14.8934582332916
YR1964,1604.0,475440.0,,11.8005902138732,,,,,,,,,,4.42103332668367,776650176.904453,190300405800.0,3.54715969490351,139.228109587718,,,,68.5,159.7,43.596,55.3296128163331,2.20462617661087,5578257.0,864676.0,15.5008214763674
YR1965,1604.0,475440.0,,12.0680459478327,,,,106096057.72579,200500000800.0,48.0200388004601,20.3007465683006,93700014100.0,46.9674243427364,2.75243171318678,814083265.511426,199500005400.0,2.0260537150391,142.704307565995,,,,67.5,155.3,44.175,55.0776501984509,2.24115803546964,5704686.0,923060.0,16.1807298734157
YR1966,1604.0,475440.0,,12.3485752364029,,,,126181202.05641,214499997700.0,44.5719713285582,20.6599715822473,99299987500.0,47.4892342561925,0.188376713871548,851112534.552636,209099997200.0,4.61495561904862,145.80598283154,,,,66.2,150.4,44.839,54.85217896303,2.29795622451281,5837295.0,987825.0,16.9226562835454
YR1967,1604.0,475440.0,,12.644788559582,,,,129674261.648547,234799997000.0,43.2045170269895,20.1042127174263,112300003300.0,48.7624868225082,23.6291850819427,936175260.030919,230299992100.0,-10.9120655887773,156.621290691062,191399993300.0,120.0,,64.7,145.1,45.602,54.6260881552563,2.37044677699534,5977318.0,1058946.0,17.7160735658656
YR1968,1604.0,475440.0,,12.9590298491676,,,,138549644.320446,265500008400.0,46.7567556880935,19.4980647890611,126900031500.0,48.9961495124846,5.75072991629206,1046191217.79942,259000008700.0,6.34632385376702,170.782666507465,219100008400.0,140.0,,62.8,139.3,46.389,54.3948011896446,2.45476720894829,6125863.0,1136375.0,18.5504545794855
YR1969,1604.0,475440.0,,13.2924245308963,-1.1015911872741,,,149253397.940258,284600004600.0,46.2425649164644,19.4337678578519,142600024100.0,49.8427213368786,5.30196140186696,1100551488.62689,286099996700.0,4.90147952428066,175.150496434432,248999997400.0,160.0,,60.9,133.6,47.191,54.1553243931988,2.54014580050417,6283462.0,1219951.0,19.4152721835141
YR1970,1604.0,475440.0,1.38983354996869,13.6442914260329,5.8580858085174,5622000000.0,1.87212787212787,137842143.231536,313299992600.0,50.8799526410542,18.6360824007095,159099985900.0,49.9999974230043,7.88400335930839,1151216992.88095,318199988200.0,3.09206823386914,178.488982961305,281099989000.0,160.0,,59.1,128.2,47.954,53.9138155286534,2.61269347996024,6449793.0,1309308.0,20.2999992370605
YR1971,1604.0,475440.0,0.137435775703589,14.013682807641,4.01402961809856,5920500000.0,1.84267040149393,150713735.759609,354699989000.0,50.1761305204384,19.2307770111614,169500003600.0,49.7651506840375,3.44012468602091,1236941394.11447,340599799800.0,3.47970781665525,186.724820408777,308199800800.0,170.0,92.3209991455078,57.5,123.6,48.577,53.6722939112224,2.67129721195789,6624408.0,1415957.0,21.374848143842
YR1972,1604.0,475440.0,0.220256681988403,14.3996784497895,8.09291869579621,6274000000.0,1.76285473447598,182519676.701951,399101009900.0,46.4776194884408,18.8558904543028,185700006100.0,49.1789139381121,7.97638345748406,1498251889.66287,377600868400.0,2.67384329318293,220.108720960652,347000868900.0,190.0,90.3948974609375,56.2,120.1,49.12,53.4313338050135,2.71716807278259,6806872.0,1547219.0,22.7302457878973
YR1973,1604.0,475440.0,0.163038330918144,14.8011677349749,10.3847487003839,7051500000.0,1.76067415730337,219840195.205884,437800001600.0,44.6908940961693,18.6172646571473,214400003800.0,50.5899002653357,6.52953303975295,1901393361.02282,423800012800.0,5.35568077910243,271.757290053085,364100014100.0,220.0,91.2405166625977,55.3,117.6,49.517,53.1965180528995,2.75002022124569,6996660.0,1695710.0,24.2359867488176
YR1974,1604.0,475440.0,1.00119794606697,15.2177508408961,17.2329334923306,8334500000.0,1.6919407226959,238051057.655434,505599991800.0,48.2380132418624,17.8702134173642,273099990300.0,52.5900242291455,10.6560928613066,2157415532.54796,519299989500.0,10.7342622580316,299.908339494791,451599990800.0,290.0,92.5687408447266,54.7,116.0,49.734,52.9674049102231,2.77564862932945,7193583.0,1853201.0,25.7618656061943
YR1975,1604.0,475440.0,0.94853502003568,15.6483256118974,13.5533294051262,10023500000.0,1.72759393312651,311227188.377368,629799976900.0,48.2279939031791,18.2426926824104,322299992300.0,52.6375977525698,5.99007282435463,2857037371.05886,612299964400.0,11.2450587758471,386.236450275088,544499966000.0,360.0,94.6524200439453,54.3,115.0,49.891,52.743854855413,2.79013566445775,7397120.0,2010365.0,27.1776769396186
YR1976,1604.0,475440.0,0.565889944394272,16.0731992130482,9.93065056369724,11582000000.0,1.76232501521607,311780121.701694,725200019400.0,50.0072160573699,18.9602877358746,369999987000.0,53.4295981098153,19.6744435133242,2898090001.8562,692500037600.0,-5.49513839744186,381.429915266252,612000038900.0,340.0,95.3004913330078,53.9,114.3,50.017,52.4780297978609,2.67893181696247,7597962.0,2155376.0,28.3678197492979
YR1977,1604.0,475440.0,0.256594726242408,16.4932009054177,14.6983091581553,13553500000.0,1.71585010760856,333360940.418326,856899993600.0,52.865708956373,18.3932855441316,400000008200.0,47.9616319719476,5.88477383366055,3394664024.05503,833999994900.0,13.7398715230551,435.408656274786,645600002000.0,350.0,93.6216201782227,53.6,113.5,50.13,52.1653880375312,2.57949898686854,7796501.0,2293724.0,29.419914701097
YR1978,1604.0,475440.0,0.869606529762552,16.9489137103086,12.4630523441786,16120000000.0,1.66511723995455,455560954.632421,1099200004100.0,51.7772264377123,15.9570426584458,554400006100.0,52.6896028311261,3.409806634349,4662852583.13256,1052200009700.0,22.0030049229664,581.989336032215,962200010800.0,530.0,94.4959564208984,53.2,112.3,50.319,51.8968234958882,2.72555142397973,8011921.0,2438444.0,30.4351996787323
