Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,3359404117.64706,0.0005710987,,220.074550221277,0.000549853,,,,,40.752,54.0995631400408,,15264846.0,3404061.0,22.2999992370605
YR1961,1543.0,2344860.0,,6.90870249884211,,,,,,,,,,6.09947816091365,3086746857.14286,0.0005401807,-10.8513760836338,197.080395165053,0.0005184428,,,,,40.161,54.2342733536349,2.57087377987403,15662374.0,3508987.0,22.4039303624686
YR1962,1543.0,2344860.0,,7.09103195783066,,,,,,,,,,21.2407719665045,3779841428.57143,0.0007937667,21.2006975148134,235.127290601122,0.0007756335,230.0,,,,40.382,54.3505771295457,2.60490324926214,16075724.0,3621115.0,22.5253645210241
YR1963,1543.0,2344860.0,,7.28153282900686,,1.47e-05,,,,,,,,87.8492013040615,6213185742.57426,0.0015688294,5.2139901343489,376.383370020937,0.0015281264,270.0,,,,40.604,54.4043944369013,2.651051235286,16507599.0,3741208.0,22.6635481638071
YR1964,1543.0,2344860.0,,7.47902648816744,35.4210649777883,2.74e-05,3.91428571428571e-05,,,,,,,3.54797755518111,2881545272.72727,0.0015848499,-2.44022356449143,169.949259765221,0.0015757682,230.0,,,,40.099,54.373585529386,2.67612413952612,16955327.0,3868820.0,22.8177277418976
YR1965,1543.0,2344860.0,,7.68743609536623,-2.72698027762915,4.34e-05,,,,,,,,38.952121511214,4043901818.18182,0.002224146,0.997348793527394,232.037397382746,0.002221946,230.0,,,,40.767,54.2924332710583,2.74846854245951,17427802.0,4006155.0,22.9871497063755
YR1966,1543.0,2344860.0,,7.90980745903266,15.780101249114,4.31e-05,4.31e-05,,,,,,,4.97382059920758,4532660181.81818,0.0024929631,6.77548530172196,252.770361839944,0.0024859231,220.0,,,,42.169,54.1898212453836,2.85161197207404,17931929.0,4155018.0,23.1710605083208
YR1967,1543.0,2344860.0,,8.14396771134293,36.9265248728318,5.31e-05,,,,,,,,58.574410343497,3384063371.75792,0.0039142333,-0.985738661488043,183.291086454789,0.003905327,220.0,,,,42.339,54.0822152371187,2.91740550621487,18462782.0,4314513.0,23.3687065988136
YR1968,1543.0,2344860.0,,8.38631216779515,53.3216727107738,8.43e-05,4.215e-05,,,,,,,59.8827848538421,3909780538.92216,0.0065293335,4.33269846401923,205.645995783134,0.0065079575,220.0,,,,42.667,53.9726619591253,2.93233778468715,19012189.0,4482948.0,23.5793344289339
YR1969,1543.0,2344860.0,,8.63255993471692,6.17619573522313,0.000121,4.17241379310345e-05,,,,,,,17.7310618338501,5032434970.05988,0.0084041664,9.32883743855484,257.144636724402,0.0083670924,230.0,,,128.3,42.959,53.8461670135758,2.89402202433216,19570445.0,4658195.0,23.8021904497616
YR1970,1543.0,2344860.0,0.131824831214101,8.88266072649478,8.02528404548486,0.000171,5.51612903225806e-05,,,,,,,-2.83694889969365,4877684910.17964,0.0081457338,-0.245056575086338,242.219759763837,0.0081109978,240.0,,,127.2,43.3,53.6995623474607,2.85600503123147,20137436.0,4840339.0,24.0365211123768
YR1971,1543.0,2344860.0,0.102595810576526,9.12885423788624,5.77734982596516,0.00017,4.85714285714286e-05,,,,,,,8.20369678861263,5594770359.28144,0.0093432665,6.00501806737552,270.336629028245,0.0093033632,270.0,96.6770172119141,,125.9,43.578,53.5109267474339,2.73390490388062,20695569.0,5025210.0,24.2815728678594
YR1972,1543.0,2344860.0,0.169590007096342,9.37392646831786,15.804215390795,0.000157,4.02564102564103e-05,,,,,,,10.1813984597601,6173712814.37126,0.0103101004,0.151135513789086,290.511803326089,0.0102819205,280.0,96.2379913330078,,124.4,43.869,53.3049631173075,2.64918627292049,21251160.0,5214310.0,24.5365921672894
YR1973,1543.0,2344860.0,0.225151979017081,9.62822390331047,15.6427621238193,0.000171,3.48979591836735e-05,,,,,,,17.8870494878738,7870239461.07784,0.0131432999,8.13727588740186,360.562591604638,0.0131183199,350.0,96.1767120361328,,122.8,44.09,53.1277555340894,2.67667198299792,21827665.0,5413441.0,24.8008254617469
YR1974,1543.0,2344860.0,0.54162983827183,9.88900906464348,29.4692810459945,0.000316,5.26666666666667e-05,,,,,,,18.2383229928939,9596960179.64072,0.0160269235,3.13058587923626,428.074954493294,0.0159939639,430.0,94.8927688598633,,121.1,44.311,52.9676094189993,2.67251698428922,22418878.0,5621202.0,25.0735192023119
YR1975,1543.0,2344860.0,0.0890856127932847,10.1546507575925,28.6579701952268,0.00029,4.53125e-05,,,,,,,12.2654179764007,10237343173.6527,0.0170963631,-4.98163100525392,444.693899464352,0.0170060132,460.0,93.4670028686523,,119.4,44.53,52.8205156829926,2.65078583369809,23021101.0,5836751.0,25.3539198400642
YR1976,1543.0,2344860.0,2.47114000511919,10.4206043095653,80.385959075414,0.000319,3.35789473684211e-05,,,,,,,57.3954283832356,9648583224.99212,0.0254803002,-5.3090020809714,408.42239095403,0.0251000249,430.0,93.4081420898438,,117.6,44.695,52.6750589828438,2.5853226539928,23624031.0,6057502.0,25.641273826084
YR1977,1543.0,2344860.0,0.147353970301452,10.6874841754703,68.9477081989997,0.000461,3.49242424242424e-05,,,,,,,37.2716487302665,12344424763.5727,0.0352433327,0.760793601550787,509.488368681423,0.0344107705,460.0,92.9748764038086,,115.9,44.866,52.5355346512286,2.52883238006514,24229061.0,6283765.0,25.9348276114512
YR1978,1543.0,2344860.0,0.635415929325712,11.0243219161465,48.7690376115202,0.000599,3.27322404371585e-05,,,,,,,28.4142985200925,15372608002.3923,0.0428383343,-5.34529152756241,615.084195317772,0.0426094676,510.0,93.7141723632812,,113.9,44.628,52.6236092482886,3.10305616330174,24992689.0,6556539.0,26.2338276472459
YR1979,1543.0,2344860.0,0.954645401114597,11.4187080126155,101.051260411497,0.0011,2.97297297297297e-05,,,,,,,101.770036243827,15068422236.3663,0.0868066691,0.430088262092724,582.089432219357,0.0860109425,600.0,93.9724197387695,,112.2,45.278,52.8419812860478,3.51491488442542,25886782.0,6869710.0,26.537520384548
YR1980,1543.0,2344860.0,0.761518250363583,11.7823157848305,46.6259068303308,0.00142,,,,,,,,51.4075541678596,14394927494.8647,0.1343166693,2.19491292367724,538.911839414196,0.1315817556,640.0,94.4260406494141,,110.6,45.543,52.895774765684,3.1346680970209,26711099.0,7170635.0,26.8451522744375
YR1981,1543.0,2344860.0,0.555359656895248,12.1305286605942,35.4082648744293,0.001047,,,,,,,,33.2302221107946,12537821038.2202,0.183156669,2.35052407486099,455.912227033575,0.1780969252,560.0,95.063346862793,,109.0,45.726,52.8688935461754,2.9125559856151,27500515.0,7468032.0,27.1559697679944
YR1982,1543.0,2344860.0,-0.0173605167454156,12.5000286716217,36.6996975740914,0.00282,,,,,,,,43.4852835595134,13651667371.1676,0.261600076,-0.457677608961589,481.7409782053,0.2534253524,480.0,95.8032684326172,,107.5,45.946,52.8745317339345,3.0005633127695,28338190.0,7784280.0,27.4692193162988
