Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,19886201.5599569,53344703000.0,106.06049210998,17.0278623527498,19177055200.0,59.3716743235173,,131731862.783017,32300007400.0,,124.659670363931,31766390800.0,,,,95.5,47.595,53.7464341698908,,1056732.0,388025.0,36.7193612039898
YR1961,1646.0,342000.0,,3.17537042459736,,,,20631155.0828597,61083024400.0,103.120757460499,18.0107513527578,22877055000.0,61.4974477746875,6.29395669501037,151675738.926342,37200007200.0,8.35072672427799,139.872074436703,36506140700.0,,,,92.9,48.351,53.4658902543782,2.58355677698672,1084389.0,401224.0,37.0
YR1962,1646.0,342000.0,,3.25966325036603,,,,22904824.2664452,54044557300.0,93.4413116886917,17.8921543504908,25419680700.0,62.3031233948074,4.25381991126226,166521239.650243,40800010200.0,5.20230878797427,149.591249938458,40035737600.0,140.0,,,90.5,49.038,53.1671570058616,2.6199597905475,1113175.0,412084.0,37.0187574684261
YR1963,1646.0,342000.0,,3.34776866764275,,,,26283956.0450396,51220099100.0,94.3204210439142,17.7725109223739,25857381900.0,61.2734070964022,7.77389718077983,172233430.657858,42200006700.0,-4.02930039798804,150.65075197733,41447575600.0,140.0,,,88.2,49.729,52.90707387539,2.66701619445204,1143263.0,423851.0,37.0738060288988
YR1964,1646.0,342000.0,,3.44016398243045,,,,27033731.0818542,53824878600.0,94.6016126743531,17.8021954522406,27795090400.0,61.0880966719777,3.85594321142968,185693724.905233,45500010500.0,3.81679626842326,158.061964516344,44674637800.0,150.0,,,85.9,50.363,52.6889944089141,2.7225085006483,1174816.0,436601.0,37.1633099142098
YR1965,1646.0,342000.0,,3.53698389458272,,,,28156258.4756981,56900010000.0,89.0946318735325,18.9300393148067,30100008000.0,61.9341600958518,3.02548541053081,198318064.028924,48600010000.0,3.67646773649125,164.186892761636,47700010000.0,160.0,,,83.9,50.996,52.5019652192415,2.77552172409103,1207880.0,450363.0,37.2854333571505
YR1966,1646.0,342000.0,,3.63845973645681,,,,34598066.9032016,65700000000.0,80.9963099630996,19.7416974169742,33100000000.0,61.070110701107,10.0273582948359,220613581.972601,54200000000.0,1.35898246232004,177.551344246999,53260828800.0,170.0,,,81.9,51.557,52.3531539768111,2.8286085969407,1242534.0,465184.0,37.4383405905127
YR1967,1646.0,342000.0,,3.74433674963397,,,,38211240.4790912,73200000000.0,86.3014017639387,19.8630170998317,35199990000.0,60.2739658003366,5.51605231020179,237397428.13501,58399990000.0,2.11627205671408,185.656603616519,57787835700.0,180.0,,,80.0,51.91,52.2062201868082,2.86840556124776,1278691.0,481046.0,37.6201958470878
YR1968,1646.0,342000.0,,3.85510688140556,,,,45240699.7905768,78900020000.0,87.6205787781351,19.2926045016077,38000000000.0,61.0932475884244,-1.04473179463645,251247457.765525,62200000000.0,7.63132623875093,190.84225732065,61300000000.0,190.0,,,78.2,52.62,52.0586865818116,2.91542336448495,1316519.0,498028.0,37.8291633596676
YR1969,1646.0,342000.0,,3.97125036603221,,,,46930193.3453955,85999960000.0,88.9695726964138,19.4484873430986,43299960000.0,62.8446808967668,2.99689342172202,265040036.417215,68899960000.0,7.54852519466465,195.431023577377,67599960000.0,200.0,,,76.5,53.114,51.9064358963488,2.96822667441284,1356182.0,516209.0,38.0634073610436
YR1970,1646.0,342000.0,1.85481048823643,4.09264421669107,,3621000000.0,4.86040268456376,46670960.9015762,93500000000.0,92.4999736842105,23.9473684210526,44200000000.0,58.1578947368421,3.71045521228307,274960699.885255,76000000000.0,6.35847018696658,196.7324156078,74120527600.0,210.0,,,74.9,53.555,51.7528329055281,3.0110270134921,1397638.0,535590.0,38.3210920840074
YR1971,1646.0,342000.0,15.1182129880903,4.21973352855051,,3786000000.0,4.60024301336574,55201175.1080891,106500030000.0,85.2310872950099,21.8714694910475,54100030000.0,60.9921214231833,8.31301862214025,322128018.955444,88700030000.0,7.75303585308524,223.538723764898,86765098300.0,220.0,103.486602783203,,73.7,53.983,51.5969727398079,3.05807122539201,1441039.0,556247.0,38.6003817613506
YR1972,1646.0,342000.0,16.1443784008669,4.35276134699854,,3212000000.0,3.52967032967033,71420741.5046605,127800010000.0,80.0966280193237,21.256038647343,64500000000.0,62.3188405797101,7.42777407746635,410669263.651798,103500000000.0,8.61755084484118,276.271849546575,101910079500.0,260.0,108.769676208496,,72.4,54.361,51.4355332790436,3.1038454957616,1486468.0,578228.0,38.8994406258648
YR1973,1646.0,342000.0,12.6020953448767,4.4910102489019,,4330000000.0,4.22027290448343,95114530.5243458,134999990000.0,74.9999917218543,22.1026490066225,75100000000.0,62.1688741721854,7.83857867735158,541973362.610423,120800000000.0,8.231188946413,353.380993825585,116282901400.0,320.0,111.134971618652,,71.3,54.744,51.2809871417156,3.1267240082379,1533680.0,601455.0,39.2164329103416
YR1974,1646.0,342000.0,7.87543306941093,4.6333850658858,,5810000000.0,4.24087591240876,104277204.960562,149699980000.0,112.703917672108,25.4080908445706,83800000000.0,59.4748048261178,8.11374127939854,585364634.473977,140900000000.0,7.88552081113494,369.945183927696,137078867300.0,400.0,113.305366516113,,70.0,55.053,51.1384053982144,3.12100405043487,1582301.0,626608.0,39.6010806992311
