Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,5.81407628204986,504000000.0,1.88432347552997,257037769.404672,26659208200.0,30.4520120239132,,,,,4031152976.63904,26746700000.0,,258.304433616071,26666073500.0,,,39.5,96.6,56.609,50.361849568976,,15606209.0,7513148.0,48.1420447606249
YR1961,,1141750.0,,14.5067174402884,8.28319045648716,652000000.0,2.1432563032116,307899880.597015,30834219900.0,26.8211488774202,,,,8.22936825024104,4540447761.19403,30421000000.0,5.08921698439107,282.099440509948,30315933800.0,,,38.5,93.9,57.203,50.2079874357596,3.08524293939335,16095203.0,7902040.0,49.0956195097112
YR1962,3240.0,1141750.0,,14.9608192879676,4.6970939506247,1060000000.0,3.09941520467836,349229670.202284,34203597700.0,24.4508175629839,,,,6.64803608111191,4955543963.36869,34199200000.0,5.41188961342047,298.544207818945,34051664400.0,290.0,,37.5,91.3,57.737,50.0805273031491,3.08229223919086,16599029.0,8307965.0,50.0509092076619
YR1963,3240.0,1141750.0,,15.424806669671,26.3554355250466,1530000000.0,3.5151403758673,358564266.666667,43645052000.0,24.333249474446,,,,23.2206195373512,4836166666.66667,43525500000.0,3.28670755407101,282.588330302742,43167949800.0,290.0,,36.4,88.8,58.296,49.9703529138302,3.05422998569024,17113823.0,8729396.0,51.0078643714204
YR1964,3240.0,1141750.0,,15.8967201442091,17.0724352164553,1710000000.0,3.18080357142857,397148477.777778,54234855500.0,24.6091178806666,,,,16.3398794061627,5973366666.66667,53760300000.0,6.16694132350723,338.675935298365,53550789200.0,320.0,,35.4,86.6,58.77,49.9340492774138,3.01357715669246,17637411.0,9165439.0,51.9658998362126
YR1965,3240.0,1141750.0,,16.3758900405588,7.5906836693158,1940000000.0,3.19094692172311,478857142.857143,59021000000.0,21.8440021161222,27.3789842613411,28104000000.0,46.4621081867478,8.6044794525011,5760761904.7619,60488000000.0,3.60001138983772,317.064563351518,59797600000.0,320.0,,34.5,84.4,59.247,49.988985389687,2.96973259570532,18169050.0,9621083.0,52.9531446187154
YR1966,3240.0,1141750.0,,16.8568616493916,16.7281682748597,2330000000.0,3.16524479704396,472296296.296296,76484000000.0,24.3283072934434,26.1226717609333,34283000000.0,46.7803779763935,15.1273473150005,5428518518.51852,73285000000.0,5.23673586229452,290.253385958132,72612300000.0,330.0,,33.6,82.2,59.713,50.0902236643798,2.89476597893338,18702688.0,10096851.0,53.9860976982893
YR1967,3240.0,1141750.0,,17.3371951329428,8.32819136425947,2590000000.0,3.1173645631477,500113740.547471,83768000000.0,21.5540092776673,27.9927577392786,38818000000.0,45.9362870396668,10.7301835265463,5825170438.48704,84504000000.0,4.13486416579858,302.832507824134,81082700000.0,300.0,,32.8,80.0,60.15,50.2484648595243,2.80964077738019,19235618.0,10588195.0,55.044735269508
YR1968,3240.0,1141750.0,,17.8159495268139,7.4475387831777,2300000000.0,2.38537248109852,504367254.491551,98110000000.0,24.5844575806883,27.4237399847583,44856000000.0,46.194723074705,8.47237596534688,5960212869.12968,97102000000.0,5.93311799878289,301.526502784249,95472933333.0,310.0,,32.1,77.9,60.572,50.4749302820751,2.72398956960806,19766796.0,11090841.0,56.1084404029467
YR1969,3240.0,1141750.0,,18.2892672374944,6.98166307955375,2280000000.0,2.05492415707552,567958110.347137,112253000000.0,25.5486538736933,27.5168265788343,52676000000.0,47.1466418444794,8.44465758616299,6450175213.74923,111728000000.0,6.10251730873333,317.868798055367,109441741300.0,330.0,,31.6,75.6,61.031,50.7646779199349,2.62203011152389,20291942.0,11598183.0,57.1565961691806
YR1970,3240.0,1141750.0,0.597358248972266,18.75780261379,6.9086227584824,3000000000.0,2.25954658431875,666008826.623003,134473000000.0,27.8252289708363,27.6399433598457,63123000000.0,47.5438358640636,11.8858042457372,7198360460.19887,132768000000.0,6.20779696127698,345.879101568471,129577343700.0,340.0,,31.0,73.3,61.465,51.1160120743144,2.52954072159871,20811782.0,12105919.0,58.168585638785
YR1971,3240.0,1141750.0,0.551483874788157,19.2150482199189,11.9402616979216,5260000000.0,3.37417409711976,857610129.782826,162200000000.0,27.9832698253852,27.7311625161977,76800000000.0,49.2667718717524,10.8074005790019,7820380970.53674,155886000000.0,5.9607279462907,366.825167940364,152390665210.0,370.0,,30.4,71.0,62.005,51.5118053900643,2.40839282506595,21319096.0,12604658.0,59.1237918823351
YR1972,3240.0,1141750.0,0.21285095645311,19.6661225777377,12.4444589907728,3730000000.0,1.96719582300512,829754832.690804,188748000000.0,26.0529285812229,28.757370236375,90571000000.0,47.7659877435211,12.9723107821429,8671358732.68486,189614000000.0,7.66914754440097,397.41211740514,185292736090.0,410.0,,29.8,68.5,62.53,51.9570831918128,2.32037558089265,21819563.0,13092086.0,60.0015979704063
