Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,40.777,54.8118361153263,,197700.0,26014.0,13.1582448093106
YR1961,900.0,1861.0,,108.114454594304,,,,,,,,,,,,,,,,,,,,41.157,54.3700081013514,1.75536782155881,201201.0,28256.0,14.0436931933351
YR1962,900.0,1861.0,,109.995701235895,,,,,,,,,,,,,,,,,,,,41.534,53.8481642782295,1.72508546230556,204702.0,30597.0,14.9472190921321
YR1963,900.0,1861.0,,111.867275658248,,,,,,,,,,,,,,,,,,,,41.909,53.2289712780189,1.68718444606979,208185.0,32959.0,15.8317176139493
YR1964,900.0,1861.0,,113.725953788286,,,,,,,,,,,,,,,,,,,,42.328,52.5747184547673,1.64785104003151,211644.0,35260.0,16.6600838670345
YR1965,900.0,1861.0,,115.511552928533,,,,,,,,,,,,,,,,,,,,42.676,52.0635725483446,1.55789100987962,214967.0,37394.0,17.3952129596355
YR1966,900.0,1861.0,,117.497581945191,,,,,,,,,,,,,,,,,,,,43.153,51.6623754361735,1.70472038676829,218663.0,39359.0,18.0
YR1967,900.0,1861.0,,120.289629231596,,,,,,,,,,,,,,,,,,,,43.593,51.2363781747033,2.34846575307993,223859.0,41422.0,18.5034198595806
YR1968,900.0,1861.0,,123.720580333154,,,,,,,,,,,,,,,,,,,,44.101,50.8422568182953,2.81232267904562,230244.0,43661.0,18.9631194826166
YR1969,900.0,1861.0,,127.35142396561,,,,,,,,,,,,,,,,,,,,44.643,50.5246813304585,2.89247443715498,237001.0,45943.0,19.3850020865354
YR1970,900.0,1861.0,,131.211714132187,,,,,,,,,,,,,,,,,,,,45.226,50.2724374397228,2.98617741930706,244185.0,48288.0,19.7749708887649
YR1971,900.0,1861.0,,135.338527673294,,,,,,,,,,,,,,,,,35.3448295593262,,,45.849,50.0583646000834,3.09670949509594,251865.0,50723.0,20.1389291067326
YR1972,900.0,1861.0,,139.751209027405,,,,,,,,,,,,,,,,,35.2664184570312,,,46.463,49.8445649645393,3.20845113372453,260077.0,53271.0,20.4827799578662
YR1973,900.0,1861.0,,144.449220849006,,,,,,,,,,,,,,,,,43.7927894592285,80.6,148.9,47.045,49.6208422380073,3.30642696262146,268820.0,55948.0,20.8124266595933
YR1974,900.0,1861.0,,149.422353573348,,,,,,,,,,,,,,,,,48.7023315429688,80.0,145.8,47.609,49.3920704845815,3.38488508350908,278075.0,58768.0,21.1337724293417
YR1975,900.0,1861.0,,154.590005373455,,,,,,,,,,,,,,,,,57.8551483154297,79.5,142.8,46.866,49.1669056370952,3.39996019496593,287692.0,61718.0,21.4527204845388
YR1976,900.0,1861.0,,159.880709296077,,,,,,,,,,,,,,,,,69.7363815307617,79.0,139.8,48.645,48.9705516606282,3.36514844934476,297538.0,64789.0,21.7751740426125
YR1977,900.0,1861.0,,165.276195593767,,,,,,,,,,,,,,,,,79.5124588012695,78.3,136.7,49.17,48.8207075592085,3.31900168986091,307579.0,67997.0,22.1070363209904
YR1978,900.0,1861.0,,170.708221386351,,,,,,,,,,,,,,,,,,77.1,133.4,49.702,48.7229608924479,3.23378042597702,317688.0,71334.0,22.4542105371
YR1979,900.0,1861.0,,176.137023105857,,,,,,,,,,,,,,,,,87.9519577026367,75.4,130.0,50.126,48.6843751048686,3.13064410875227,327791.0,74810.0,22.8225999083691
YR1980,900.0,1861.0,0.0,181.472864051585,,,,26881141.374104,60721468612.4417,35.7561835091553,12.2064366483039,28042549077.7706,54.5330865133707,,243390495.918962,51423000000.0,,720.685109658453,51576213060.5727,,,73.4,126.7,50.681,48.7274999185718,2.98439006626216,337721.0,78408.0,23.2167687463019
YR1981,900.0,1861.0,0.0,186.664159054272,,,,23521455.605734,68332515562.9004,35.7555197361023,12.2071447314166,31557113468.5309,54.5338681261011,6.70324288332864,212958381.535437,57867000000.0,5.46198458727258,613.038043236083,57943857124.2587,,99.8444900512695,71.2,123.3,51.211,48.7975070707362,2.8204928163414,347382.0,82211.0,23.6658981255069
YR1982,900.0,1861.0,0.0742014213885711,191.907039226222,,,,22326169.081006,78440625197.2528,35.7572850858334,12.2068600535838,36226363576.2247,54.5347798762942,10.3176823113908,202152461.76282,66428000000.0,4.05790550805429,566.033006092361,66632596504.2106,660.0,,68.7,119.8,51.75,48.8477875561056,2.77000227495207,357139.0,86413.0,24.1958739975537
YR1983,900.0,1861.0,0.0,197.33100483611,,,,21669400.2688849,88282491680.6172,35.7573267597918,12.2062448644207,40770988797.5897,54.5343741440701,9.16924056947937,196193379.743828,74762000000.0,3.09306338155623,534.247684014857,74565758657.5514,560.0,98.1760406494141,66.2,116.3,52.121,48.9027402221478,2.78714622467208,367233.0,91014.0,24.7837548436415
YR1984,900.0,1861.0,0.0,202.921547555078,,,,20886966.8448767,97571974317.7448,35.7565919904837,12.206334258525,45060776652.954,54.5338521015067,6.1019406101565,189102734.154019,82629000000.0,4.16654475231881,500.752665003745,82348062423.8526,530.0,96.4357528686523,63.6,112.9,52.784,48.9497175193605,2.79368927696612,377637.0,95934.0,25.4036823536605
YR1985,900.0,1861.0,0.0,208.679204728641,,,,21201005.1009476,101828529379.206,35.757685475385,12.2062434233602,47026602256.141,54.5343456172707,1.53973797000569,191944891.602832,86233000000.0,2.77913541754444,494.254932645725,85719033328.1633,510.0,94.4511032104492,60.8,109.5,53.263,48.975027809822,2.79787280869172,388352.0,101087.0,26.0297982175004
YR1986,900.0,1861.0,0.0,214.571735626008,,,,28511782.7521862,105563061026.276,35.7566167116572,12.2063979645661,48751872413.0442,54.5347357969531,1.5645323013561,258143902.889842,89396000000.0,2.07103502558049,646.461974891796,88909143838.2988,560.0,97.4015121459961,58.3,106.2,53.756,48.9822647614182,2.78459470952494,399318.0,106363.0,26.6362441250514
YR1987,900.0,1861.0,2.40879401250528,220.547555077915,,,,34603671.0739705,111182703965.406,35.7568169719435,12.206470947771,51347231264.4177,54.5347897237722,3.17969445409516,313292322.956214,94155000000.0,2.07774404121217,763.310316408075,93882386940.7914,680.0,89.2276000976562,55.8,103.0,54.134,48.9796291288108,2.74692266401265,410439.0,111628.0,27.1971617662032
YR1988,900.0,1861.0,1.11973812946484,226.591617409995,,,,37158495.251461,118324246459.545,35.7565312388164,12.2064003315063,54644826919.8169,54.5346668926937,1.38304683795856,336422522.407114,100202000000.0,4.9705961043117,797.801503027398,99573045648.2266,830.0,89.6684036254883,53.4,99.8,54.678,48.9742972563741,2.70360140934392,421687.0,116751.0,27.686692830846
YR1989,900.0,1861.0,0.993838581584732,232.725953788286,,,,36302114.6278139,123807952804.072,35.7577593566687,12.2065856994666,57177177494.4232,54.5344385998733,5.60308145064535,328665080.847046,104846000000.0,-0.917059811290571,758.861242815325,105235959014.807,830.0,88.920768737793,51.1,96.7,54.983,48.9727616756291,2.671224232856,433103.0,121611.0,28.0789790088695
YR1990,900.0,1861.0,0.0978688375370205,238.901665771091,,,,44351259.6169944,129101424266.743,35.7570317175345,12.2065486876977,59622564503.7189,54.5344960246217,-2.85270740244646,401561021.549642,109330000000.0,7.33881096130857,903.20430581841,109150540651.449,880.0,87.9667510986328,48.7,93.5,55.62,48.9802551302136,2.61904296351893,444596.0,126035.0,28.3481619901639
YR1991,900.0,1861.0,0.625613888602015,244.790972595379,,,,44246901.4267967,133447625900.0,35.75721110708,12.206313744923,61629165300.0,54.5347408613473,10.1584873906736,400592662.610246,113009000000.0,-6.16697445150861,879.348889291867,112872984600.0,840.0,91.4231185913086,46.6,90.2,56.104,48.9835497721466,2.43526463269378,455556.0,129683.0,28.4669403072928
YR1992,900.0,1861.0,-0.331455374973995,249.926383664696,,,,48218208.8951163,136448730400.0,35.757355539978,12.2065649799656,63015410400.0,54.5347166186359,-4.7585053727507,436552922.121696,115551000000.0,7.35801529393501,938.595399659213,116528353000.0,960.0,95.9208526611328,44.5,87.1,56.576,48.7743287914214,2.07617358522542,465113.0,132398.0,28.4656667857423
YR1993,900.0,1861.0,0.0445831475707246,254.530897367007,,,,47245454.851738,143027197000.0,35.7569519162497,12.2062103498951,66053322300.0,54.5345373260019,2.2174166554241,427750822.87347,121122000000.0,2.5473458344995,903.033729112507,121609366900.0,970.0,90.4742584228516,42.7,83.8,57.026,48.4072647894579,1.82558236566461,473682.0,134717.0,28.4403314078112
YR1994,900.0,1861.0,0.0564549352359372,259.076840408383,,,,34768720.9229634,154783755500.0,35.7572794061551,12.2067564350997,71482925300.0,54.5346475381071,12.7131405342042,314789556.044396,131078000000.0,-3.98651752857747,652.898017688557,131263408700.0,810.0,92.075569152832,41.1,80.8,57.458,48.1347319516533,1.77024659975985,482142.0,136926.0,28.3994895148917
YR1995,900.0,1861.0,0.226472068292729,263.614185921548,,,,43380663.2855758,173629122400.0,35.7572385369768,12.2064531617677,80185967300.0,54.5341798038602,6.1897438653038,392774713.634182,147038000000.0,5.63727928670581,800.623567802959,147413562100.0,810.0,,39.8,77.8,57.83,47.9596849482048,1.73619184593212,490586.0,139066.0,28.3468419976372
YR1996,900.0,1861.0,0.12994022919074,268.192907039226,,,,43350632.4527057,177814963700.0,35.7578150774993,12.2066469431937,82118969600.0,54.5343863144333,2.93561257344443,392488148.725187,150582000000.0,-0.510368828932258,786.380773511866,150721717500.0,770.0,86.9113388061523,38.5,75.0,58.151,47.8729010011881,1.72199066913724,499107.0,141178.0,28.286089746701
YR1997,900.0,1861.0,0.0055124238077848,272.851692638366,,,,40073933.1476122,187544835200.0,35.7570438604224,12.2060989661382,86612171800.0,54.5341147951795,1.01682944680516,362816806.134452,158822000000.0,4.41042562590719,714.519968676115,158923532600.0,780.0,,37.4,72.4,58.228,47.8954857196311,1.72218731995402,507777.0,143299.0,28.2209336527364
YR1998,900.0,1861.0,0.105574621312169,277.591080064481,,,,40196394.4505789,190145424700.0,35.7572500543394,12.2065011023133,87814118500.0,54.5344626610775,1.36170565000108,363932160.233771,161025000000.0,0.0250407992332242,704.479817408486,160864733800.0,720.0,89.9497909545898,36.4,69.9,58.301,48.0475612057743,1.72206986217565,516597.0,145448.0,28.1550746063967
YR1999,900.0,1861.0,0.072864796790572,282.582482536271,,,,41078008.4049664,202802489000.0,35.7571570476989,12.2061288312838,93659449900.0,54.5343359302217,3.85504678206618,371921712.454518,171744000000.0,2.69768646408839,707.228776682623,171834439400.0,700.0,82.5208129882812,35.5,67.5,58.853,48.390004307013,1.78213857663893,525886.0,147733.0,28.0922134983353
YR2000,900.0,1861.0,0.0275813880015483,288.060182697474,,,,37498221.9996954,213542889100.0,35.7574785306267,12.2062715454078,98619062300.0,54.5341780810555,6.36680644248784,339504306.290689,180839000000.0,-1.00701887109655,633.309032776244,181015130600.0,670.0,93.0099029541016,34.8,65.2,58.941,48.8087121406433,1.91989444545768,536080.0,150296.0,28.0360512192055
YR2001,900.0,1861.0,0.307423421152582,294.046211714132,5.55459394816812,,,41169271.842054,241777170600.0,35.7572288509346,12.2063718015717,111658891600.0,54.5345235385765,7.40100113993978,372746486.166796,204749000000.0,5.41959971808741,681.163857619963,205134961600.0,680.0,,34.1,63.0,59.587,49.1434889075692,2.05675116831034,547220.0,153168.0,27.9902886596605
YR2002,900.0,1861.0,0.100716007387665,300.334766254702,3.53304214308077,,,47201417.6386277,262560207600.0,35.7571190335913,12.2063143076875,121256920500.0,54.5345022914427,3.82246321807169,427360070.324544,222349000000.0,4.59768263263243,764.61349832543,221953921900.0,700.0,102.248458862305,33.5,60.9,59.723,49.4176752274685,2.11608023442771,558923.0,156267.0,27.9586267103537
YR2003,900.0,1861.0,0.145062208685244,306.178398710371,3.799081366719,,,60397691.0215409,280839862900.0,35.7569591176854,12.2062786708097,129698911700.0,54.5345234180861,4.93219036234238,546830040.540273,237829000000.0,1.93442812313498,959.691049354812,237240762900.0,810.0,100.249000549316,32.9,58.9,60.24,49.7209973718733,1.92701943618421,569798.0,159229.0,27.9448864609618
YR2004,900.0,1861.0,0.108010654825932,312.038688876948,4.47499289078106,,,68773937.903016,290809372400.0,35.7570631253248,12.2062936509226,134302758300.0,54.5343190862136,0.436096742946731,622679660.37137,246272000000.0,3.10041210399676,1072.28409029621,245430477400.0,980.0,97.9237823486328,32.4,56.9,60.557,50.2403978619055,1.89592485384757,580704.0,162363.0,27.9596300229124
YR2005,900.0,1861.0,0.0852741893191707,318.472326706072,3.0133239505812,,,72386580.9169957,306033437900.0,35.7574093238258,12.2064983176676,141333934100.0,54.5345549922057,-0.407267601856589,655375095.906176,259164000000.0,5.66520240193151,1105.78796866788,258501142800.0,1140.0,,31.7,55.1,60.883,50.900743575337,2.04084019817184,592677.0,166050.0,28.016895208368
YR2006,900.0,1861.0,0.11306053010776,324.961311123052,3.37436360121204,,,76045589.2797847,318554577000.0,35.7572745739842,12.206432106225,147115525300.0,54.5342926673759,5.95006940329704,688498641.512529,269767000000.0,-1.75444679449394,1138.47908404345,269211123900.0,1140.0,,31.2,53.3,61.229,51.5407943408301,2.0170547631074,604753.0,170022.0,28.1143215973031
YR2007,900.0,1861.0,0.966721983950354,331.502955400322,4.46616710098131,,,85328993.2165776,329058000000.0,33.1561792127495,12.4102413287259,155092000000.0,54.2987882798195,5.03508583333026,795673152.867077,285627000000.0,0.803599788247752,1289.73631056361,286184161000.0,1190.0,96.8090896606445,30.5,51.7,61.475,52.1842553367378,1.99305922756432,616927.0,174278.0,28.2493321448949
YR2008,900.0,1861.0,0.507893616352291,338.155292853305,1.7007817628453,,,100119572.186228,366859000000.0,36.2185263542809,12.1356370474847,170861000000.0,55.7844251162305,3.14428979865365,915659107.965823,306288000000.0,3.96461118871815,1455.02768595586,305690156600.0,1340.0,103.063667297363,30.0,50.2,61.955,52.8479740412867,1.98685114604965,629307.0,178845.0,28.4193498063202
YR2009,900.0,1861.0,1.52866108214525,344.94734013971,4.36234829325719,,,103903926.441747,380877000000.0,37.8969223253542,12.073328072351,170907000000.0,53.5201608357446,0.986176824509613,905341172.70583,319332000000.0,3.24060198483924,1410.30516959473,318892600300.0,1440.0,,29.5,48.9,62.302,53.5245483470221,1.98865318234701,641947.0,183737.0,28.6217975367563
YR2010,900.0,1861.0,0.91966985988271,351.873186458893,3.35475770328919,,,101138252.756404,405253946200.0,39.5501058029898,11.775324962086,179221682100.0,53.1898732144818,1.67504082140621,907978730.887844,336947000000.0,3.77788070743117,1386.5742428453,336631062400.0,1450.0,,28.9,47.6,62.747,54.1829557324277,1.98790768401212,654836.0,188947.0,28.8540982913801
YR2011,900.0,1861.0,2.25967654324554,358.976894142934,1.8426630075619,,,109060490.58565,434233914600.0,40.00094857244,11.6973185544088,193822792500.0,53.6020289217801,3.04563131659788,1023086273.53336,361596000000.0,4.14356479211455,1531.43789372951,361318605000.0,1490.0,111.27509474669,28.3,46.4,63.105,54.7959302812938,1.99871797531046,668056.0,194496.0,29.1136750253686
YR2012,900.0,1861.0,1.02133818400059,366.270822138635,6.31474450315177,,,102027323.375718,478134051300.0,40.8104424089423,11.2226651481809,210213125900.0,54.0415867747774,4.27053673537911,1015843490.82374,388984000000.0,3.16835627559691,1490.31511351281,388335848400.0,1510.0,,27.8,45.4,63.463,55.3455359546499,2.01149862727803,681630.0,200385.0,29.397950693899
