Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,112.3,48.713,52.1858164166562,,210024.0,13652.0,6.50009775253468
YR1961,228.0,4030.0,,53.3714640198511,,,,,,,,,,,,,,,,,,,110.5,49.419,51.4319786876938,2.38207875396116,215087.0,14185.0,6.59489432191283
YR1962,228.0,4030.0,,55.0667493796526,,,,,,,,,,,,,,,,,,,108.6,50.239,50.6425767960382,3.1269852986783,221919.0,16028.0,7.22263287503178
YR1963,228.0,4030.0,,56.9163771712159,,,,,,,,,,,,,,,,,,,106.8,51.145,49.9863758733065,3.30370489967376,229373.0,19115.0,8.3337834019702
YR1964,228.0,4030.0,,58.8104218362283,,,,,,,,,,,,,,,,,,,104.6,52.089,49.4751187733644,3.27359578455994,237006.0,23241.0,9.80596957125737
YR1965,228.0,4030.0,,60.7583126550868,,,,,,,,,,,,,,,,,,,102.1,53.04,49.1368396118535,3.25848253765739,244856.0,28200.0,11.5168150514225
YR1966,228.0,4030.0,,62.7732009925558,,,,,,,,,,,,,,,,,,,99.4,53.922,48.9654136467761,3.26243399208442,252976.0,33757.0,13.343943510995
YR1967,228.0,4030.0,,64.8645161290323,,,,,,,,,,,,,,,,,,,96.4,54.716,48.9159520972286,3.27724807240761,261404.0,39642.0,15.164978618504
YR1968,228.0,4030.0,,67.0382133995037,,,,,,,,,,,,,,,,,,,93.1,55.426,48.9709953953895,3.29620787167029,270164.0,45543.0,16.8575440424788
YR1969,228.0,4030.0,,69.2923076923077,,,,,,,,,,,,,,,,,,,89.5,56.038,49.1184343637812,3.30710938739121,279248.0,51100.0,18.2992634514487
YR1970,228.0,4030.0,,71.4354838709677,,,,,,,,,,,,,,,,,,,85.6,56.559,49.3257724438578,3.04608189542175,287885.0,55675.0,19.3392812631966
YR1971,228.0,4030.0,,72.9642679900744,,,,,,,,,,,,,,,,,55.9413108825684,,81.7,57.027,49.4438804746868,2.11751228480238,294046.0,58822.0,20.0042899177288
YR1972,228.0,4030.0,,73.7930521091811,,,,,,,,,,,,,,,,,69.2798461914062,,77.7,57.486,49.4053183404733,1.12947405863466,297386.0,60885.0,20.4734745546593
YR1973,228.0,4030.0,,74.412158808933,,,,,,,,,,,,,,,,,87.195686340332,,73.7,57.979,49.3372371040513,0.835477102543294,299881.0,62518.0,20.8474870509805
YR1974,228.0,4030.0,,75.0794044665012,,,,,,,,,,,,,,,,,100.392028808594,,69.8,58.432,49.3021449581915,0.892692636307458,302570.0,64017.0,21.1578960816143
YR1975,228.0,4030.0,,75.8925558312655,,,,,,,,,,,,,,,,,106.300567626953,22.0,66.1,58.976,48.9641879763411,1.07723212511223,305847.0,65562.0,21.4362703214828
YR1976,228.0,4030.0,,76.787841191067,,,,,,,,,,,,,,,,,127.705619812012,21.5,62.8,59.396,48.3666445848346,1.17277088432815,309455.0,67196.0,21.7141784455078
YR1977,228.0,4030.0,,77.6263027295285,,,,,,,,,,,,,,,,,115.637687683105,21.0,60.0,59.986,47.8705125889651,1.08600126624057,312834.0,68896.0,22.0231891286113
YR1978,228.0,4030.0,,78.4483870967742,,,,,,,,,,,,,,,,,110.770202636719,20.6,57.8,60.381,47.4879605247551,1.05345968766793,316147.0,70801.0,22.3948710457152
YR1979,228.0,4030.0,,79.2754342431762,,,,,,,,,,,,,,,,,106.555450439453,20.3,56.2,60.726,47.239263803681,1.04873787561232,319480.0,73036.0,22.8607928717416
YR1980,228.0,4030.0,0.0,80.2235732009926,,,,,,84.0505820548006,16.9600476240972,3684868000.0,64.4799058717138,,142246815.345007,5714754000.0,,439.982602420059,5578554100.0,,102.764022827148,20.1,55.2,61.031,47.2046173689534,1.18891037797972,323301.0,75848.0,23.4604730207698
YR1981,228.0,4030.0,0.0,81.351364764268,,,,,,92.1643874465166,17.3519640696308,4541747000.0,66.8753878090361,9.57797518422004,139468209.116206,6791358000.0,8.45156240751683,425.407688720331,6816858000.0,,100.904136657715,20.0,54.7,61.299,47.432636054733,1.39602081046734,327846.0,80284.0,24.4882806244481
YR1982,228.0,4030.0,0.0,82.5617866004963,,,,,,102.115921882264,15.8092793081487,5870516000.0,71.6106004136948,17.3933487025089,140630678.983478,8197831000.0,2.82503008527617,422.664667963472,7937131000.0,450.0,98.39306640625,20.1,54.6,61.519,47.7786393527368,1.47693315494342,332724.0,86805.0,26.0892463324208
YR1983,228.0,4030.0,0.0,83.785111662531,,,,,,102.436767008033,17.2772439804247,7014852000.0,70.6659359832695,10.5638181117774,138476175.620363,9926780000.0,9.52074975154451,410.112646734121,9433980000.0,420.0,92.0524673461914,20.2,54.4,61.767,48.1118957748106,1.47083850542897,337654.0,94984.0,28.130646238488
YR1984,228.0,4030.0,0.0,84.9888337468983,11.2499999999997,313000000.0,2.79239896511732,,,100.473454957525,17.6040500107938,7904300000.0,70.539460930841,8.76659389135874,132019038.591628,11205501000.0,3.78327068402049,385.451419954827,10823901100.0,400.0,96.5686264038086,20.2,53.8,61.829,48.4242565801959,1.42645535984854,342505.0,104416.0,30.4859764133008
YR1985,228.0,4030.0,0.0,86.1947890818859,5.39325842696638,311000000.0,2.4634443863568,,,101.821285052255,17.9837982799886,8711339000.0,69.0265933401557,3.66665785677527,137728204.813735,12620265000.0,8.64208661528207,396.494191452033,12246764900.0,400.0,97.6253204345703,20.1,52.6,62.281,48.701509939113,1.40898441788629,347365.0,114730.0,33.0287329275104
YR1986,228.0,4030.0,-0.0045812352012123,87.4223325062035,10.8742004264391,357000000.0,2.3355314806092,,,93.0525241231483,17.8194891242131,10474133000.0,68.5492380031521,17.6933959256778,190651167.559385,15279722000.0,2.87145542241004,541.142985647338,15064022000.0,460.0,98.8967590332031,19.9,50.7,62.584,48.9355300635943,1.41410463314484,352312.0,125537.0,35.6324118517678
YR1987,228.0,4030.0,1.18431638645375,88.6605459057072,3.84615384615408,360000000.0,2.10367617411426,,,83.8326188925635,18.7041627688785,10850844200.0,63.6494930759227,6.96238514614849,235253064.70982,17047809300.0,4.30906373191068,658.415191378217,17031649300.0,580.0,101.807060241699,19.5,48.3,62.91,49.1353252990467,1.4064215904602,357302.0,136384.0,38.1705092567242
YR1988,228.0,4030.0,0.226217656170992,89.9079404466501,4.07407407407384,366000000.0,1.91388560611607,,,76.2016248517583,19.3033604966192,12000239200.0,62.999906830245,5.41160787226222,264308140.285149,19048026900.0,5.99685491429432,729.470012847852,19101966900.0,750.0,104.606018066406,19.2,45.8,63.242,49.3084314372179,1.39712763091834,362329.0,146803.0,40.5165212130308
YR1989,228.0,4030.0,0.0650679327297321,91.266253101737,4.55516014234884,,,,,81.43779264177,20.7577658038609,13145270600.0,63.0313623265462,3.58485904126292,267448571.414611,20855126900.0,5.69794936616317,727.151685588784,21106227000.0,810.0,107.430778503418,18.9,43.6,63.566,49.460513562269,1.49948298838424,367803.0,156478.0,42.5439437913386
YR1990,228.0,4030.0,0.0823097605799336,93.1583126550868,10.6535057862491,,,,,85.9515840306445,30.0655362507449,11937455400.0,55.5437592190189,2.34531032190625,306890962.649533,21491983200.0,0.692171874476983,817.442925539738,21652023100.0,810.0,109.38720703125,18.7,42.0,63.869,49.5951958894969,2.05192397342069,375428.0,165669.0,44.1279427641346
YR1991,228.0,4030.0,0.545399202839722,95.4307692307692,9.5509074131036,,,,,80.9539693096621,30.326377233775,12853485600.0,56.2806159603415,4.79241883776579,319827058.592875,22838210600.0,1.40414698106899,831.61388764249,22923700600.0,820.0,109.919570922852,18.6,41.3,64.066,49.7343897073736,2.41007225580579,384586.0,174589.0,45.3967306887148
YR1992,228.0,4030.0,0.126125688840816,97.62158808933,3.1166643268286,242000000.0,0.992592471063058,,,83.9398899681127,32.3815760822274,13561588500.0,55.8242236724292,-4.11584470732596,357160985.327413,24293375900.0,10.9376469895221,907.847909529157,24380525900.0,940.0,,18.6,41.3,64.253,49.9062059148736,2.26976033226457,393415.0,183192.0,46.5644771731675
YR1993,228.0,4030.0,0.743054427415921,99.7431761786601,5.78839590443697,220000000.0,0.756580531119533,,,60.3064320023898,22.5279402962458,26559058900.0,67.3356336365922,49.3540866011071,490417389.682569,39442799400.0,8.70831156568961,1220.04997868613,39520259400.0,1080.0,,18.7,41.7,64.458,50.1216523826701,2.14999857933375,401965.0,191512.0,47.6439492545935
YR1994,228.0,4030.0,0.523498435615536,101.793548387097,3.45205833010708,281000000.0,0.838878589489836,,,71.5634420456064,30.5591890184176,18839097200.0,56.5818579502531,-29.1724621557525,406580652.330537,33295296200.0,19.1826416318144,991.108974352157,33267324100.0,1190.0,113.440521240234,18.9,42.0,64.648,50.3863100352853,2.03480825423247,410228.0,199574.0,48.6494973094647
YR1995,228.0,4030.0,5.37425869038076,103.747890818859,8.35152497972927,477000000.0,1.26508085113154,,,77.5155513809747,28.2941295415884,21724012500.0,58.0253019765964,-1.54689929900537,487148993.533109,37438861600.0,14.2116362469634,1165.13832331934,37241160200.0,1300.0,,19.1,41.7,63.691,50.7077776010543,1.90171027115883,418104.0,207361.0,49.5954717142527
YR1996,228.0,4030.0,5.68310475150467,105.603225806452,5.96361961777575,352000000.0,0.8441753102704,,,75.4899678573908,28.9308075312,24303680500.0,58.6207113965282,-0.546135979433259,501979269.843942,41459204300.0,11.3465247642174,1179.51522705182,41095724200.0,1250.0,,19.4,40.6,65.521,51.0893343452833,1.77250887678015,425581.0,214902.0,50.4962228454294
YR1997,228.0,4030.0,2.35964256897109,107.394044665012,8.55606258148633,382000000.0,0.831007455137562,,,85.979346154719,26.2073529523015,28375247900.0,62.1119952824453,-0.835291448659234,490608657.924976,45684006400.0,11.1184260583756,1133.57422614008,45350040400.0,1260.0,,19.5,38.4,66.082,51.5319520098892,1.6815812275736,432798.0,222311.0,51.3661010794665
YR1998,228.0,4030.0,1.3017068264142,109.127543424318,4.39423509983477,443000000.0,0.858540442487481,,,81.8814137506275,26.3779037239978,32108133900.0,62.6748466330958,-0.335990589768613,521910560.524868,51229696800.0,12.5172857879884,1186.74294773086,50686694000.0,1240.0,117.613059997559,19.3,35.5,66.714,52.0458361898525,1.60125908365746,439784.0,229653.0,52.2194567928358
YR1999,228.0,4030.0,9.10423779012784,110.798759305211,4.35643374510452,518000000.0,0.838543201162953,,,80.9690199640443,23.3770420275233,38616761700.0,62.9795880292451,7.61207827777595,592416703.058878,61316313600.0,11.2226484455351,1326.74466945164,60397824800.0,1290.0,117.623947143555,18.9,32.3,67.409,52.6475327505294,1.51982553166013,446519.0,236970.0,53.070640362009
YR2000,228.0,4030.0,6.34282422287075,112.485607940447,-2.47745668519835,814000000.0,1.15402591313906,,,87.5206083614917,21.7471907808972,42195965900.0,65.3810265158254,-7.90110347163402,539227277.626411,64538549100.0,14.2848688450919,1189.51479345891,62856592600.0,1330.0,116.196441650391,18.1,29.4,68.117,53.3692169395622,1.51097073984668,453317.0,244488.0,53.9332149202283
YR2001,228.0,4030.0,1.60013112628632,114.216625310174,3.34996472317894,571600000.0,0.753615197231365,,,92.1637224974152,19.1640713762081,48163886600.0,69.4201626044445,5.15533499557392,563090490.377368,69380256100.0,2.23165454528898,1223.33055331575,68633438200.0,1270.0,115.448791503906,17.1,27.0,68.707,54.2132945754117,1.52715832330257,460293.0,252131.0,54.7762172320995
YR2002,228.0,4030.0,2.37854487715663,115.892307692308,1.88453410076764,529700000.0,0.665480290001653,,,101.089702293616,19.0535136023722,51363599200.0,70.5950151487304,-0.363208871086854,620507387.466174,72758110600.0,5.25089116960211,1328.57874270666,71032389500.0,1230.0,115.544151306152,16.5,25.3,69.447,55.1249769829953,1.45645106544752,467046.0,259539.0,55.5703407979481
YR2003,228.0,4030.0,4.82213415181345,117.46476426799,1.18817038620528,565000000.0,0.648753558764804,,,98.7683808076547,18.5259962998519,56726643800.0,71.3303054474098,4.92109973715145,813260468.873834,79526708100.0,4.17625932578332,1717.97565369655,78107382100.0,1440.0,114.57283782959,16.2,24.3,70.006,56.0632722341106,1.34770321112892,473383.0,266655.0,56.3297071979641
YR2004,228.0,4030.0,7.312720061603,118.950372208437,-1.8908217230618,573000000.0,0.63097843761799,,,101.567169989502,18.2180833159781,59035342500.0,71.9184489648669,-6.3325469946369,924940011.836897,82086506800.0,10.197072633926,1929.49081468781,80470816700.0,1810.0,112.934593200684,16.2,23.9,70.499,57.0184377604332,1.25679558194683,479370.0,273566.0,57.0677167011018
YR2005,228.0,4030.0,8.2812271109681,120.375930521092,0.41889161285517,628000000.0,0.649497233340122,,,104.343839857053,19.2110778495222,61870618200.0,71.7877348277842,-1.79488316970148,972241676.907662,86185500000.0,6.91245795720201,2004.14680417563,83201117000.0,2070.0,112.191917419434,16.5,23.9,70.936,57.9805221643093,1.19132344131983,485115.0,280386.0,57.7977695763157
YR2006,228.0,4030.0,11.8764317277784,121.768734491315,5.36907687065548,614000000.0,0.564741208222978,,,117.816697232822,19.0922781266815,70690371600.0,72.5890097387261,4.63977091870937,1107571457.90614,97384400000.0,7.98375044795048,2256.99666191075,93432258400.0,2200.0,112.301071166992,16.8,24.1,71.341,58.9419790005655,1.15040265762577,490728.0,287239.0,58.5332660925599
YR2007,228.0,4030.0,11.6247473388534,123.124069478908,4.41099704193488,640000000.0,0.481259814269355,311101033.309832,168510274200.0,94.2062075477847,14.0115441145192,89521655000.0,67.317461028727,18.5684167934982,1649621738.63689,132984301000.0,15.1706879735517,3324.57675212498,130454576200.0,2770.0,110.927947998047,17.0,24.4,71.487,59.9075554803155,1.10689150817132,496190.0,294179.0,59.287606518789
YR2008,228.0,4030.0,10.7624753520891,124.40570719603,6.77443546371142,809900000.0,0.54860127368837,355457207.419709,180530041800.0,90.9663882396256,15.4815103318879,98148170000.0,66.4825423782969,3.712743703679,1959620648.31578,147629989000.0,7.03901129565128,3908.64885822576,144084628400.0,3360.0,109.969436645508,17.0,24.5,71.888,60.8910851592185,1.03555151023311,501355.0,301185.0,60.0741911239572
YR2009,228.0,4030.0,6.80241863090143,125.593300248139,0.991103480568084,667000000.0,0.449908484432209,363559250.73072,181439105600.0,80.4609561325344,15.9694598343425,98899680000.0,66.710352533179,1.95455824513613,1852334575.17521,148252372000.0,-1.50358672385678,3659.72046361628,144810288400.0,3650.0,108.620460510254,16.8,24.3,72.142,61.8966849158634,0.950085360363308,506141.0,308272.0,60.906420177019
YR2010,228.0,4030.0,6.36802137795552,126.497270471464,2.07866470906423,686000000.0,0.451425943343675,361108793.391308,189924467600.0,85.5484498816191,14.9414577543955,102482282000.0,67.4390099531524,0.654415406092099,1824751467.92957,151962910000.0,1.83641914989978,3579.46006137809,145871392500.0,3600.0,107.555528675325,16.4,23.8,72.507,62.9037367750491,0.717181999615317,509784.0,315033.0,61.7974262732302
YR2011,228.0,4030.0,4.99538224029443,126.909925558313,4.47388342165023,774000000.0,0.476996486976338,407034075.924354,202520016300.0,90.5564501122747,14.5699784845003,109125994000.0,67.2515707697687,2.74704089816066,2046817987.20109,162265346000.0,3.92471821338283,4002.01386888785,156467346000.0,3760.0,107.478306845395,15.8,23.0,72.913,63.8459741145946,0.325685661710053,511447.0,320892.0,62.7419929036884
YR2012,228.0,4030.0,6.69129799994045,127.035980148883,2.54039644167108,835600000.0,0.506009716198007,354207964.568245,191099388200.0,90.649916554117,14.00680796227,113394768000.0,68.6678487003577,0.677607456621359,1913081210.41411,165135169000.0,1.08364848376166,3736.81517011087,158697511000.0,3730.0,108.38813689184,15.0,21.9,73.315,64.647967106484,0.0992767342106355,511955.0,326249.0,63.7260454520996
YR2013,228.0,4030.0,4.40125011545419,127.102977667494,1.50654285701407,815200000.0,0.48366416567439,380440391.224533,187316371000.0,86.1698600308418,14.5782787253826,114681331000.0,68.0412785531692,1.42476019715654,2028910915.16446,168546702000.0,0.632136727385131,3960.97596791345,163179951300.0,3840.0,108.020740500689,14.2,20.5,73.481,65.2871296793401,0.052725108136232,512225.0,331659.0,64.7486207521826
YR2014,228.0,4030.0,8.84407322092194,127.128039702233,-0.238778144990623,835200000.0,0.492596173932618,404147655.492597,198047477700.0,91.3038524117221,15.4556956659682,114531269000.0,67.549886141101,-0.100319979407018,2041930125.42979,169550647000.0,0.696666840118581,3985.60706548134,161858666400.0,3750.0,107.53603339203,13.3,19.1,73.788,65.7685397271852,0.0197159536864678,512326.0,337154.0,65.8085112712742
YR2015,228.0,4030.0,5.49024513305668,127.144913151365,0.131187999024544,887100000.0,0.510089039086437,354511767.055729,194324611000.0,94.0084870167993,14.6158909934146,116785447000.0,67.1524928863825,1.62040755881043,1749857620.35329,173910814000.0,0.936026507808833,3415.06266730931,168041267800.0,3620.0,105.850444928795,12.3,17.6,74.096,66.0728522122158,0.0132719182020122,512394.0,342815.0,66.9045094767116
YR2016,228.0,4030.0,6.82845117866997,127.184615384615,-1.40781637091705,1014300000.0,0.550048040403016,366843774.374145,207327388000.0,95.3781398609533,12.6668493291087,127762678000.0,69.284837494372,1.67992479299215,1849789985.99572,184402075000.0,4.28071482662371,3608.96605234906,178476454100.0,3580.0,104.433854930994,11.5,16.2,74.35,66.1794989605983,0.0312210963482392,512554.0,348718.0,68.0354078358316
YR2017,228.0,4030.0,5.59469673480566,127.268734491315,0.784415251101334,918900000.0,0.470518534467026,354771754.53545,226375479000.0,100.052133904219,12.5188038438799,135939310000.0,69.6071007918803,1.2969136763507,1996741539.95088,195295176000.0,4.5513148102974,3893.09571382506,189323549000.0,3620.0,104.154022187951,10.7,15.1,74.71,66.1254881622483,0.0661175101881539,512893.0,354922.0,69.1999988159713
YR2018,228.0,4030.0,4.69595735976167,127.398263027295,1.25615185860785,1000880000.0,0.485896540748011,399765209.723952,235103498000.0,105.867524052105,14.6286899740782,138894586000.0,67.4290612920901,1.70417119144814,2205099506.99994,205986237000.0,3.70696458310842,4294.96510035729,201618054100.0,4040.0,105.84560911247,10.1,14.1,74.84,65.9876513152128,0.101723857752759,513415.0,361429.0,70.3970748844677
YR2019,228.0,4030.0,5.45788755667341,127.569230769231,1.10750930553819,958000000.0,0.431864983823163,446256897.507644,244438668000.0,103.602656463726,13.2851974278212,154893451000.0,69.8257387373996,0.694871191088424,2252177124.32402,221828589000.0,6.94782634051859,4380.78117331128,217651559700.0,4420.0,105.208665983159,9.6,13.2,75.449,65.8103224250346,0.134109462358547,514104.0,368229.0,71.6254285086577
