Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,0.790205817960073,0.0,,52534464.0987882,3000400000.0,47.2609650577895,20.1363383928447,1530700000.0,53.5116201005684,,507513829.994855,2860500200.0,,382.309121831519,2833696000.0,,,30.3,70.8,63.463,50.5259149556759,,1327496.0,452743.0,34.1050281949645
YR1961,2926.0,51100.0,,26.9862906384646,2.43079391009159,0.0,,56978340.1961769,3052200000.0,45.9188092229657,20.3666356274042,1575000000.0,53.7670987481756,0.51621359451255,490325181.614275,2929300700.0,1.8792765563641,355.844447873806,2897612500.0,,,30.1,69.4,63.86,50.3708488156061,3.72806548070635,1377920.0,471558.0,34.2224764057798
YR1962,2926.0,51100.0,,27.9953975714845,2.67785968742788,0.0,,54976616.8929791,3292600000.0,48.7729807603112,20.4198806979375,1712900000.0,53.7532098470834,3.16880591763069,479180824.348506,3186600400.0,5.44239137528237,335.221589042255,3123117500.0,360.0,,30.2,69.2,64.232,50.274092392502,3.67111412949859,1429445.0,490995.0,34.3486288437322
YR1963,2926.0,51100.0,,29.0169212690952,2.93161847051352,0.0,,62089291.8903475,3575800000.0,49.2156689717797,21.3559695251784,1844400000.0,54.1801240608514,-0.0657907081124165,511902136.809973,3404200400.0,6.89892344200918,345.505369052711,3345726900.0,350.0,,30.4,69.3,64.326,50.2512479717927,3.58390276413584,1481604.0,510994.0,34.4892636783508
YR1964,2926.0,51100.0,,30.042303172738,3.32403316018127,0.0,,68720771.1162238,3757900000.0,52.9876333919812,21.7227402336079,1937900000.0,53.7082142111619,2.25117671768882,542578367.242598,3608200400.0,3.65904831414015,353.710896791701,3532282300.0,350.0,,30.6,69.3,64.493,50.3080588802837,3.47273422956429,1533960.0,533135.0,34.7554550996129
YR1965,2926.0,51100.0,,31.0655699177438,-0.665000000583401,0.0,,74686792.4528302,4345900000.0,55.7515562809441,23.0342358134537,2099600000.0,53.4453326488312,0.634499412707342,592981162.264151,3928500200.0,8.1905275942481,373.835690063441,3835087700.0,370.0,,30.5,68.8,64.76,50.4307757872864,3.34936351687592,1586208.0,558454.0,35.2068749817777
YR1966,2926.0,51100.0,,32.0821778300039,0.182882837621526,0.0,,81041509.4339623,4545400000.0,55.5545217589088,22.8570106733052,2314100000.0,53.9618530902832,2.04911821248874,647305630.188679,4288399800.0,6.96931903096743,395.15249847305,4185712300.0,390.0,,30.2,67.6,65.096,50.6333800536714,3.22005388396616,1638116.0,586451.0,35.800326964344
YR1967,2926.0,51100.0,,33.0889737563651,1.20834031134424,0.0,,88377358.490566,4927600000.0,56.1017705150787,23.0820686013494,2489200000.0,53.7171701219886,2.27780069623213,699456618.867925,4633900100.0,5.65012592038407,413.996506036274,4517300100.0,410.0,,29.6,65.8,65.552,50.9268151208404,3.08994395804472,1689523.0,616623.0,36.4968927519451
YR1968,2926.0,51100.0,,34.0722875048962,4.09389143106836,0.0,,96000000.0,5367100000.0,60.2219763243797,23.9881409871485,2703500000.0,52.7337283775865,1.99252866901941,773841494.339623,5126699900.0,8.47330434699462,444.805256869954,4999499900.0,440.0,,28.7,64.0,65.78,51.3225607866963,2.92842629991701,1739731.0,648183.0,37.2576540492145
YR1969,2926.0,51100.0,,35.0426165295731,2.62934083658331,0.0,,106520754.716981,5958200000.0,58.5486170751575,23.9297645760656,2992800000.0,52.920268545961,4.56806155593893,853630203.773585,5655300100.0,5.4917999425584,477.081346742249,5549962600.0,470.0,,27.6,62.0,66.363,51.7971928877398,2.8080565185329,1789276.0,680707.0,38.0436925607855
YR1970,2926.0,51100.0,2.67508155318665,36.0154524089307,4.65229749303154,0.0,,123743396.226415,6964500000.0,62.4139799958305,24.0968663988617,3475800000.0,53.2730493761376,7.31747346139713,984830158.490566,6524499800.0,7.50313434335064,535.539679724977,6419824800.0,520.0,,26.1,59.6,66.787,52.3242895806246,2.7383144015176,1838949.0,713808.0,38.8160899912916
YR1971,2926.0,51100.0,2.05171522285478,36.9866627497062,3.08304841408706,0.0,,149415175.420208,7872900000.0,63.8994001919322,25.3201635975969,3862800000.0,54.1235836117521,2.44354972167015,1077147537.52472,7136999700.0,6.77850542642193,570.360229534426,7024025200.0,570.0,,24.3,56.3,67.413,52.9094712897113,2.66093014933661,1888539.0,746651.0,39.5359280453661
YR1972,2926.0,51100.0,2.08729857530612,37.9602036819428,4.60112569280858,0.0,,178146194.423512,8739800000.0,66.8322013680956,26.1057961488839,4420100000.0,53.7999951313323,6.41308916654143,1238251695.55388,8215800000.0,8.17804513351518,638.851011611456,7966552000.0,630.0,,22.4,52.2,68.014,53.5521512211028,2.59809579900607,1938248.0,778484.0,40.1642884276424
YR1973,2926.0,51100.0,2.46578341862372,38.9413043478261,15.2140342204182,0.0,,213201684.189495,10779600000.0,67.6729899662187,26.6994014534027,5393500000.0,53.0730924479149,14.8404211422096,1528925846.25467,10162400100.0,7.70891581191246,768.944717412776,9891404700.0,760.0,,20.6,47.5,68.731,54.24746780423,2.55171563053986,1988343.0,808550.0,40.6645274867642
YR1974,2926.0,51100.0,2.77880385666899,39.9460047003525,30.0736292803636,0.0,,238209331.651955,15195100000.0,81.2639518244509,27.5762920433749,7004900000.0,53.0043815537912,23.213026722833,1666544754.09836,13215699900.0,5.54489999097112,817.076691410389,12884768000.0,880.0,,18.8,42.5,69.446,54.9716408774377,2.54731639786761,2039643.0,837657.0,41.0688201290256
YR1975,2926.0,51100.0,3.5199804173856,40.9854876615746,17.3692020226551,0.0,,298471411.901984,18230600000.0,68.6097858241778,27.372862355384,8786900000.0,52.2886593687958,24.540889814963,1960863465.5776,16804599900.0,2.10007104948492,936.993196686988,16239593500.0,970.0,,17.3,37.4,70.253,55.6978504997565,2.56893848614398,2092719.0,866943.0,41.4266278553563
YR1976,2926.0,51100.0,2.56789996759465,42.0637289463376,3.48583333291706,0.0,,385810968.494749,21916500000.0,63.8196714968368,27.4482965427847,10787600000.0,52.1755112306293,16.6017816978669,2412555425.90432,20675600000.0,5.51756440295588,1123.28179124262,20027527800.0,1050.0,,16.1,32.4,70.946,56.402615823961,2.59677795552429,2147774.0,896650.0,41.7478904491862
YR1977,2926.0,51100.0,2.03422244821107,43.1849784567176,4.19024045261669,0.0,,491026837.806301,27769900000.0,67.2036836697027,26.1626167584344,13679300000.0,51.9519050376918,16.9387781438869,3072427012.83547,26330699500.0,8.90447443155173,1393.37513762224,25647670500.0,1250.0,,14.7,28.1,71.519,57.0641602702917,2.63068897444961,2205025.0,927080.0,42.0439599936293
YR1978,2926.0,51100.0,1.37942434364929,44.3499804151978,6.00712709994901,0.0,,591435239.206534,32564200000.0,64.2126400400849,26.0675173804563,16159400000.0,53.5187579861952,7.90848153079263,3523208809.80163,30193899500.0,6.2676868244256,1555.83716115258,29222918500.0,1480.0,,13.3,24.6,72.029,57.6654204076334,2.66195532872331,2264510.0,958481.0,42.3261885717999
YR1979,2926.0,51100.0,1.07792818014027,45.5638464551508,9.18841043700977,0.0,,728494749.124854,38136400000.0,64.1161900027263,26.4567256949944,19035900000.0,55.0418676332358,9.14996821966803,4035519323.22054,34584400600.0,4.93912395498313,1734.59560248294,33301471600.0,1740.0,,12.2,22.1,72.537,58.1885372385009,2.70022940009079,2326490.0,991223.0,42.6059282668122
YR1980,2926.0,51100.0,1.08870075543199,46.8200744222483,18.1351707960709,0.0,,880315052.508751,45687300000.0,63.2969037775773,26.9676728556801,22867300000.0,55.2276860759525,18.8295804083122,4831447001.16686,41405500800.0,0.751895403326316,2020.99067534283,39553523900.0,1940.0,,11.6,20.5,73.034,58.6342072090933,2.71974904412354,2390633.0,1025451.0,42.8945311617803
