Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,36.6,63.316,59.6863174092691,,7238081.0,4177150.0,57.7107438456288
YR1961,1335.0,109890.0,,68.7813500931099,,,,,,,,,,,,,,,,,,,36.8,63.743,59.5091495098832,2.03814210409559,7387117.0,4276658.0,57.8934597431252
YR1962,1335.0,109890.0,,70.2150651769088,,,,,,,,,,,,,,,,,,,36.9,64.374,59.240557542151,2.06302577033786,7541098.0,4380996.0,58.0949392745354
YR1963,1335.0,109890.0,,71.7100558659218,,,,,,,,,,,,,,,,,,,36.9,64.347,58.897029990937,2.10680952802517,7701660.0,4491163.0,58.3142182490712
YR1964,1335.0,109890.0,,73.2404096834264,,,,,,,,,,,,,,,,,,,36.7,65.264,58.5502743795639,2.11163265544986,7866020.0,4605581.0,58.550332475944
YR1965,1335.0,109890.0,,74.7746461824953,,,,,,,,,,,,,,,,,,,36.3,65.636,58.2362710552719,2.07315592406891,8030797.0,4722295.0,58.8023177643655
YR1966,1335.0,109890.0,,76.2891061452514,,,,,,,,,,,,,,,,,,,35.7,66.074,57.9239758587652,2.00512787518502,8193450.0,4839806.0,59.0692099235474
YR1967,1335.0,109890.0,,77.7711824953445,,,,,,,,,,,,,,,,,,,35.0,66.514,57.6179823708116,1.92408061286798,8352625.0,4957287.0,59.3500447627013
YR1968,1335.0,109890.0,,79.2320484171322,,,,,,,,,,,,,,,,,,22.8,34.1,66.944,57.3451985519985,1.86099110790833,8509522.0,5075407.0,59.6438580910388
YR1969,1335.0,109890.0,,80.6949720670391,,,,,,,,,,,,,,,,,,21.5,32.9,67.358,57.1125397436296,1.82954006305191,8666640.0,5195623.0,59.9496857177716
YR1970,1335.0,109890.0,,82.1637057728119,,,,1803101400.0,6386973300.0,76.8065379599513,16.9356265474692,,,,5693005200.0,5693005200.0,,645.144917797076,5584007500.0,,,20.5,31.7,67.935,56.930006150572,1.8037399613089,8824382.0,5317674.0,60.26115314047
YR1971,1335.0,109890.0,,83.6041433891993,,,,2189960200.0,7757632100.0,76.8086504461305,16.9379647156539,,,11.8571828061156,6914658400.0,6914658400.0,8.58385901163629,770.084969682323,6782256200.0,,114.805946350098,20.4,30.3,68.432,56.7990613742937,1.7379411988235,8979085.0,5447516.0,60.6689434347383
YR1972,1335.0,109890.0,,84.9524301675978,,,,2576582476.39035,8698045300.0,76.8094974939889,16.9379385932213,,,6.95865374747314,8135150891.92025,7752798800.0,4.82668584313927,891.631749208781,7604292000.0,840.0,117.974731445312,20.3,28.8,68.949,56.7281272869218,1.59983738092091,9123891.0,5591050.0,61.2792246768773
YR1973,1335.0,109890.0,,86.1762383612663,,,,3163574427.02051,9289109900.0,76.8018034420664,16.9351649354618,,,3.25154395706646,9987709650.18094,8279811300.0,3.43448853582437,1079.13081526456,8121213400.0,1030.0,121.716522216797,19.7,27.3,69.347,56.7299150970168,1.43030278639125,9255328.0,5743543.0,62.0566150040713
YR1974,1335.0,109890.0,,87.282895716946,,,,3613191829.26829,10493563100.0,76.7856933983471,16.9315499976745,,,11.8588811241342,11405957317.0732,9352885000.0,0.984491815760862,1216.74148211883,9173929100.0,1230.0,122.316070556641,18.4,25.8,69.867,56.8243204140734,1.27600356923092,9374183.0,5901631.0,62.9562155755096
YR1975,1335.0,109890.0,,88.2656052141527,,,,4125111463.41463,11983593300.0,76.8270440559194,16.9355141813739,,,4.32920623109206,13027415243.9024,10682480500.0,9.47642606915934,1374.2396398274,10478042500.0,1500.0,122.386047363281,17.1,24.3,70.375,57.0533450573015,1.11959915033291,9479726.0,6060685.0,63.933127550381
YR1976,1335.0,109890.0,,89.1177094972067,,,,4366677953.71498,12702151900.0,76.819218409113,16.9496542390024,,,0.523193938382221,13789579902.5579,11321245100.0,5.4279604586732,1440.73046137146,11104343900.0,1550.0,121.765960693359,16.4,22.9,70.878,57.4506348000936,0.960756471271191,9571242.0,6215799.0,64.9424520878745
YR1977,1335.0,109890.0,,89.8364990689013,,,,4500076265.06024,13229438300.0,76.8137274113008,16.937808332356,,,-4.19392437746914,14206158674.6988,11791111700.0,8.7095028615293,1472.37881716617,11564825900.0,1600.0,118.899238586426,16.2,21.6,71.411,58.0405826247861,0.80332666433812,9648440.0,6362113.0,65.9392903471794
YR1978,1335.0,109890.0,,90.4281191806331,,784000000.0,,5654444935.06493,15413679400.0,76.7633305265542,16.9213006257427,,,9.3212150510618,17844705324.6753,13740423100.0,6.59599856337493,1837.39107006762,13477260800.0,1790.0,116.089576721191,16.0,20.4,71.89,58.8222895846161,0.656393075521095,9711980.0,6495250.0,66.8787434874845
YR1979,1335.0,109890.0,,90.9064711359404,,841000000.0,,6207347671.23288,16044642600.0,76.7051470738209,16.9134733134146,,,2.92801401942519,19584443287.6712,14296643600.0,1.08818330173155,2005.91326318373,14024596200.0,2000.0,112.831268310547,15.5,19.3,72.272,59.7547380098983,0.52759163495565,9763355.0,6611345.0,67.7159126679789
YR1980,1335.0,109890.0,,91.2923277467412,,811000000.0,,6292183472.22222,16071982600.0,77.0337920495621,16.9553330988351,,,5.39532857189846,19912889861.1111,14337280700.0,-4.84944295088555,2030.93362280165,14062617000.0,2150.0,109.468002319336,14.6,18.2,72.603,60.785173948809,0.423556236398996,9804796.0,6707059.0,68.4058990478516
YR1981,1335.0,109890.0,,91.7068901303538,,842000000.0,,6382548795.18072,18779427800.0,76.7800936995569,17.0203551919095,,,-2.53694771408306,20150254096.3855,16724710900.0,19.6883343337449,2045.85231227999,16402522800.0,2440.0,106.389282226562,13.3,17.3,72.996,61.9394657732988,0.453076354744453,9849320.0,6788224.0,68.9207385953448
YR1982,1335.0,109890.0,,92.296843575419,,1109000000.0,,6648362235.29412,19983891700.0,76.7862750409187,16.8785797771455,,,-2.22754954724425,20953510235.2941,17810483700.0,8.91823496493072,2113.80858874548,17465790200.0,2350.0,106.175392150879,11.8,16.4,73.439,63.0843241643872,0.641242929933202,9912681.0,6891634.0,69.5234146118164
YR1983,1335.0,109890.0,,93.026312849162,,1133000000.0,,7047198370.1979,21376991600.0,76.5113479685344,16.8387606573559,,,1.59660388711069,22204940512.2235,19074043900.0,5.4114707238347,2222.48851241339,18712430400.0,2180.0,108.164398193359,10.5,15.6,73.564,64.0847246318846,0.787244352233078,9991026.0,7019682.0,70.2598724365234
YR1984,1335.0,109890.0,,93.7923556797021,,1386000000.0,,7629374615.82242,23752456700.0,76.4142284347136,16.8743375655349,,,2.58438977543176,24039383608.4235,21118598500.0,7.92971651513383,2386.44595066854,20729795000.0,2300.0,108.724472045898,9.6,14.8,73.552,65.0116113896748,0.820096974222358,10073299.0,7133923.0,70.8201293945312
YR1985,1335.0,109890.0,,94.5738175046555,,1335000000.0,,7131660115.73316,23399131500.0,78.6770155734963,17.1646340526686,,,-2.15753517247596,22920490774.102,20992877500.0,1.59667459807866,2256.56948668495,20577218000.0,2300.0,107.23072052002,9.1,14.1,73.464,65.8942462399311,0.829731044669643,10157228.0,7218933.0,71.0718841552734
