Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,58.782,56.725007416197,,8428.0,8428.0,100.0
YR1961,,264.0,,35.8375,,,,,,,,,,,,,,,,,,,,59.426,56.1646224495728,2.03189796273999,8601.0,8601.0,100.0
YR1962,,264.0,,36.5875,,,,,,,,,,,,,,,,,,,,60.09,55.5460653684091,2.0711820808516,8781.0,8781.0,100.0
YR1963,,264.0,,37.375,,,,,,,,,,,,,,,,,,,,60.78,54.9777034559643,2.12953796928463,8970.0,8970.0,100.0
YR1964,,264.0,,38.1916666666667,,,,,,,,,,,,,,,,,,,,61.436,54.524627720504,2.16153100162275,9166.0,9166.0,100.0
YR1965,,264.0,,39.0041666666667,,,,,,,,,,,,,,,,,,,,62.186,54.1633285264114,2.10511363026753,9361.0,9361.0,100.0
YR1966,,264.0,,39.8333333333333,,,,,,,,,,,,,,,,,,,,62.841,53.9093143664034,2.10356046737023,9560.0,9560.0,100.0
YR1967,,264.0,,40.7041666666667,,,,,,,,,,,,,,,,,,,,63.205,53.7823728119562,2.16263796074955,9769.0,9769.0,100.0
YR1968,,264.0,,41.5458333333333,,,,,,,,,,,,,,,,,,,,63.597,53.7659211713971,2.04667731758503,9971.0,9971.0,100.0
YR1969,,264.0,,42.3541666666667,,,,,,,,,,,,,,,,,,,,63.965,53.9078254881708,1.9269567233654,10165.0,10165.0,100.0
YR1970,,264.0,,43.8208333333333,,,,,,,,,,,,,,,,,,,,64.383,54.4594466102501,3.40425484575815,10517.0,10517.0,100.0
YR1971,,264.0,,46.2416666666667,,,,,,,,,,,,,,,,,,,,64.827,55.4043703536833,5.3771916365818,11098.0,11098.0,100.0
YR1972,,264.0,,49.0166666666667,,,,,,,,,,,,,,,,,94.9678192138672,,,65.365,56.4117822076763,5.82791087880391,11764.0,11764.0,100.0
YR1973,,264.0,,51.825,,,,,,,,,,,,,,,,,97.344108581543,,,65.889,57.4265385697632,5.57122819899489,12438.0,12438.0,100.0
YR1974,,264.0,,54.6416666666667,,,,,,,,,,,,,,,,,109.648132324219,,,66.489,58.5176147628489,5.29240591597302,13114.0,13114.0,100.0
YR1975,,264.0,,57.45,,,,,,,,,,,,,,,,,106.036888122559,,,67.044,59.6351900203075,5.01182868131912,13788.0,13788.0,100.0
YR1976,,264.0,,60.225,,,,,,,,,,,,,,,,,104.826461791992,,,67.549,60.7084789151417,4.71725442061704,14454.0,14454.0,100.0
YR1977,,264.0,,62.9375,,,,,,,,,,,,,,,,,116.718910217285,,,68.08,61.7444554783184,4.40546219778461,15105.0,15105.0,100.0
