Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,0.827300930713946,,,,,,,,,,,,,,,,,,,63.32,57.6698664938874,,586490.0,207073.0,35.3071144601599
YR1961,498.0,9250.0,,64.4495670995671,-0.615384615384945,,,,,,,,,,,,,,,,,,,64.076,57.6957888479532,1.52692805249667,595514.0,216634.0,36.3775852229318
YR1962,498.0,9250.0,,65.0937229437229,0.103199174406311,,,,,,,,,,,,,,,,,,,64.72,58.0764815272031,0.994511028907358,601466.0,222985.0,37.0736236275065
YR1963,498.0,9250.0,,65.7199134199134,1.9587628865985,,,,,,,,,,,,,,,,,,,61.779,58.4655134935743,0.957385294946079,607252.0,228398.0,37.6117208608495
YR1964,498.0,9250.0,,66.2901515151515,-0.303336704752537,,,,,,,,,,,,,,,,,,,62.24,58.8299349492222,0.863936613213311,612521.0,232936.0,38.0291249553911
YR1965,498.0,9250.0,,66.8545454545455,0.202839756594411,,,,,,,,,,,,,,,,,,,66.124,59.145492572879,0.847795417696779,617736.0,236983.0,38.3630839435619
YR1966,498.0,9250.0,,67.4664502164502,0.506072874498885,,,,,,,,,,,,,,,,,,,66.489,59.4045461107814,0.911114441705689,623390.0,240946.0,38.6508458577922
YR1967,498.0,9250.0,,68.1007575757576,0.70493454280659,,,,,,,,,,,,,,,,,,,66.906,59.6163534106422,0.935789706819611,629251.0,244965.0,38.9296587305127
YR1968,498.0,9250.0,,68.7399350649351,3.76666666616697,,,,,,,,,,,,,,,,,,,67.251,59.8000966690125,0.934198921974894,635157.0,249215.0,39.2367705941536
YR1969,498.0,9250.0,,69.3927489177489,2.38515901013024,,,,,,,,,,,,,,,,,,,67.599,59.9700712270485,0.945205282709857,641189.0,253971.0,39.6094294811456
YR1970,498.0,9250.0,,70.0699134199134,2.4001882503169,,,,,,,,,,,,,,,,,,,68.05,60.1246281543171,0.971112715802076,647446.0,259528.0,40.084883423919
YR1971,498.0,9250.0,,70.784632034632,4.14400612825454,,,,,,,,,,,,,,,,,,34.3,68.351,60.2491399740081,1.01484087217212,654050.0,266201.0,40.7003804549044
YR1972,498.0,9250.0,,71.5436147186147,4.83230361865648,,,,,,,,,,,,,,,,,,33.9,68.629,60.3268223503829,1.06653443118851,661063.0,274296.0,41.4931686065322
YR1973,498.0,9250.0,,72.0711038961039,7.80888234052259,,,,,,,,,,,,,,,,,,33.4,69.005,60.6192477666806,0.734592602532256,665937.0,284405.0,42.7074963835247
YR1974,498.0,9250.0,,71.7807359307359,16.1766666665001,,,,,,,,,,,,,,,,,,32.7,54.551,60.9336694539347,-0.403704756337496,663254.0,305675.0,46.0872047272702
YR1975,498.0,9250.0,3.69453672947089,71.3641774891775,4.63948584046548,,,85591718.8810939,532229300.0,92.1789863419375,25.1750925621017,,,,489912574.305146,439110600.0,,976.329895019531,,,,,31.5,70.336,61.2069508064461,-0.582011064829153,659405.0,332430.0,50.4136911939071
YR1976,498.0,9250.0,5.62409496202147,71.6484848484849,3.85438972162729,,,94030899.7273553,676435300.0,112.368983807243,28.8409681298225,,,8.02874442016058,576090073.715036,570502000.0,20.2662921730549,1157.41162109375,572702000.0,,,,29.6,70.805,61.8735952340672,0.397597987754961,662032.0,352661.0,53.269489334916
