Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,21.2,70.3487804878049,64.9938820565303,,9602006.0,5718868.0,59.5590911449629
YR1961,,78870.0,,,,,,,,,,,,,,,,,,,,,20.9,70.5126829268293,65.2416907699363,-0.160042500915763,9586651.0,5758170.0,60.0644614118642
YR1962,,78870.0,,,,,,,,,,,,,,,,,,,,,20.8,69.7868292682927,65.6560780485711,0.395694490537776,9624660.0,5827875.0,60.5514894217143
YR1963,,78870.0,,,,,,,,,,,,,,,,,,,,,20.9,70.3043902439025,65.9695592667147,0.477058972393582,9670685.0,5900813.0,61.0175322948706
YR1964,,78870.0,,,,,,,,,,,,,,,,,,,,,21.0,70.459512195122,66.084952170377,0.58890323959932,9727804.0,5979829.0,61.4715202734485
YR1965,,78870.0,,,,,,,,,,,,,,,,,,,,,21.2,70.1631707317073,66.1514822397282,0.528566072575263,9779358.0,6055470.0,61.9209369106216
YR1966,,78870.0,,,,,,,,,,,,,,,,,,,,,21.3,70.3848780487805,66.2605550254056,0.425318535206866,9821040.0,6125703.0,62.3732657595636
YR1967,,78870.0,,,,,,,,,,,,,,,,,,,,,21.4,70.2641463414634,66.3753367730703,0.323870353038585,9852899.0,6191167.0,62.8359903734483
YR1968,,78870.0,,,,,,,,,,,,,,,,,,,,,21.4,69.8407317073171,66.4694822453715,0.237687869340698,9876346.0,6253366.0,63.3165943054493
YR1969,,78870.0,,,,,,,,,,,,,,,,,,,,,21.3,69.3670731707317,66.5359391449866,0.204663761578724,9896580.0,6316251.0,63.8225611087405
YR1970,,78870.0,,,,,,,,,,,,,,,,,,,,,21.0,69.440243902439,66.5733044397442,-0.38987323824066,9858071.0,6344423.0,64.3576535534307
YR1971,,78870.0,,,,,,,,,,,,,,,,,,,,,20.7,69.6770731707317,66.5345265326645,-0.317563701077064,9826815.0,6384316.0,64.9683141373196
YR1972,,78870.0,,,,,,,,,,,,,,,,,,,,,20.4,70.1765853658537,66.3517486387799,0.414503219518839,9867632.0,6483597.0,65.7057029485439
YR1973,,78870.0,,,,,,,,,,,,,,,,,,,,,19.9,70.0226829268293,65.9925289288234,0.552141691663197,9922266.0,6591902.0,66.4354510585972
YR1974,,78870.0,,,,,,,,,,,,,,,,,,,,,19.4,70.0865853658537,65.4285339724563,0.664900387723116,9988459.0,6692253.0,66.9998550415039
YR1975,,78870.0,,,,,,,,,,,,,,,,,,,,,18.8,70.4146341463415,64.777056846408,0.699965181580971,10058620.0,6773900.0,67.3442306518555
YR1976,,78870.0,,,,,,,,,,,,,,,,,,,,,18.1,70.5326829268293,64.1841008039483,0.667037110958035,10125939.0,7035722.0,69.4821701049805
YR1977,,78870.0,,,,,,,,,,,,,,,,,,,,,17.3,70.5734146341463,63.6789757941026,0.59879976253946,10186755.0,7171604.0,70.4012603759766
YR1978,,78870.0,,,,,,,,,,,,,,,,,,,,,16.4,70.6439024390244,63.2948049552633,0.541813437966295,10242098.0,7142104.0,69.7328186035156
YR1979,,78870.0,,,,,,,,,,,,,,,,,,,,,15.6,70.749512195122,63.0810081361244,0.489354496250338,10292341.0,7216698.0,70.1171722412109
YR1980,,78870.0,,,,,,,,,,,,,,,,,,,,,14.7,70.2780487804878,63.1116998525508,0.115087337589653,10304193.0,7695877.0,74.6868468928695
YR1981,,78870.0,,,,,,,,,,,,,,,,,,,,,13.9,70.7221951219512,63.3975114566884,-0.034962754636898,10300591.0,7776765.0,75.4982454715088
YR1982,,78870.0,,,,,,,,,,,,,,,,,,,,10.4,13.2,70.8078048780488,63.8148905304817,0.138100551275644,10314826.0,7786585.0,75.4892493933998
YR1983,,78870.0,,,,,,,,,,,,,,,,,,,,10.0,12.7,70.5914634146341,64.2751850478458,0.087505593392119,10323856.0,7791745.0,75.4732018705868
YR1984,,78870.0,,,,,,,,,,,,,,,,,,,,9.4,12.4,70.8375609756098,64.6222368920804,0.0615568796708922,10330213.0,7794224.0,75.4507619753134
YR1985,,78870.0,,,,,,,,,,,,,,,,,,,,8.8,12.2,71.0463414634146,64.7603097656709,0.0668204351778328,10337118.0,7796522.0,75.4225887798231
YR1986,,78870.0,,,,,,,,,,,,,,,,,,,,8.3,11.9,70.9973170731707,64.8237760403386,0.0494116240523893,10342227.0,7796937.0,75.3893413563594
YR1987,,78870.0,,,,,,,,,,,,,,,,,,,,8.0,11.5,71.4456097560976,64.9306167205274,0.049213263053871,10347318.0,7796878.0,75.351678777166
YR1988,,78870.0,,,,,,,,,,,,,,,,,,,,7.8,11.1,71.6414634146342,65.1493367659509,0.0768792586277848,10355276.0,7798585.0,75.3102601144864
YR1989,,78870.0,,,,,,,,,,,,,,,,,,,,7.6,10.8,71.6756097560976,65.5336828842169,0.055917203835936,10361068.0,7798335.0,75.2657444405642
YR1990,,78870.0,,,,,,8917304795.85585,705647310000.0,63.0512785845125,,,,,41016881802.4843,736376079000.0,,3969.36733543794,731762449652.573,,,7.3,10.4,71.3839024390244,66.0204629426639,-0.267830773210837,10333355.0,7772625.0,75.218790827643
YR1991,,78870.0,,,,,,6433657427.82508,811244534000.0,70.771227667197,,,,36.1923885973458,30071014282.3218,886403288000.0,-11.6149423646776,2917.08655474323,880872737934.042,,,6.8,9.9,71.8982926829268,66.4795221742811,-0.240064841789636,10308578.0,7748576.0,75.1662908993883
