Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,1.53661234295201,5803679710.257,3.75239529712865,,,,,,,,84619845881.2608,181714847850.595,,1162.12266831735,182554227792.813,,,,,69.0640731707317,67.2403638536341,,72814900.0,55120327.0,75.6992409865797
YR1961,700.0,356970.0,,210.172806690917,2.29369500700884,6311406819.85587,3.72257751371672,,,,,,,5.06399483595229,96558204043.1028,199123324996.082,4.29843956416359,1315.90787834504,199664854162.322,,,,,69.6448780487805,66.6082636931087,0.769854344284138,73377632.0,55893025.0,76.1717481632679
YR1962,700.0,356970.0,,212.029284220777,2.84327019799061,8255461035.95974,4.47513526890496,,,,,,,3.95726648204877,105895435234.343,216573896835.731,4.62347095715678,1430.52095516263,217197295843.096,1370.0,,,,69.7992195121951,66.0635580065317,0.879431691508147,74025784.0,56759910.0,76.6758651852156
YR1963,700.0,356970.0,,214.001526651963,2.9669597758771,9544595064.55742,4.87658326540949,,,,,,,3.16247041794733,112232503744.1,229534263055.822,2.73529640413561,1502.15452905146,230211066173.469,1480.0,,,,69.9140731707317,65.5777949478025,0.925875063469895,74714353.0,57686775.0,77.2097631126453
YR1964,700.0,356970.0,,215.731495431501,2.33573581177832,9366857783.34151,4.36398517673384,,,,,,,3.0465668976446,123330404665.086,252231328739.871,6.63946990966824,1637.45522773672,252804501894.917,1620.0,,,,70.4355609756098,65.0942052409339,0.805140883333687,75318337.0,58556231.0,77.7449869109102
YR1965,700.0,356970.0,,217.579970211669,3.24231923668133,9539910370.79844,4.07211656897412,,,,,,,3.83413668141006,134774688191.161,275636804851.756,5.24416405342727,1774.1986904555,276060530777.304,1760.0,,,,70.4103658536585,64.6956043945629,0.85319043680184,75963695.0,59447318.0,78.2575384070784
YR1966,700.0,356970.0,,219.403405608226,3.53306035477689,9702937713.61114,3.89118320865712,,,,,,,3.42040623547915,143304275683.979,293081239521.041,2.81218127523877,1870.80540291774,293653147178.134,1870.0,,,,70.5215853658537,64.2998160408519,0.834560800634988,76600311.0,60302384.0,78.7234194282177
YR1967,700.0,356970.0,,220.408833385845,1.79604992213174,10255731577.1714,4.05878248265452,,,,,,,1.58905537962004,145100667772.69,296755162141.369,-0.330256485487652,1885.61596607874,297448932193.364,1910.0,,,,70.7317317073171,63.8139745764078,0.457208526697556,76951336.0,60882844.0,79.1186318013963
YR1968,700.0,356970.0,,221.391212442357,1.470289313277,9250415035.26816,3.3906038798747,,,,,,,2.0878359350889,156527292653.157,320124523366.113,5.66877305970866,2025.08159465853,321548473244.105,2080.0,,,23.4,70.3784634146342,63.442393393415,0.444717326246995,77294314.0,61386508.0,79.4191773536822
YR1969,700.0,356970.0,,223.153787987283,1.91267848797595,10336308309.826,3.38287545977261,,,,,,,4.20898794994764,177733486326.06,358345207418.062,7.41810275269879,2281.27598218229,360167929439.238,2300.0,,14.4,22.7,70.2288048780488,63.2987728673812,0.792983738181533,77909682.0,62016931.0,79.6010579121433
YR1970,700.0,356970.0,,223.897370606937,3.45024936360894,10813210134.4907,2.99867169564358,35081779511.5695,424600075000.0,31.5904531520063,,,,7.63243443776041,216629229947.096,405378278000.0,5.1031445446857,2771.28310514754,407101842000.0,2600.0,,14.1,22.1,70.4471951219512,63.1781589954441,0.332661392813347,78169289.0,62271833.0,79.6627851870384
YR1971,700.0,356970.0,0.43975074163459,224.308544095323,5.24097448273094,12191447038.3843,3.04603413911262,43379490882.7302,472898013000.0,30.7269071881612,,,,7.62133644215733,250900942396.699,449940660000.0,3.13269976979846,3203.82884836051,451229683000.0,2980.0,,13.9,21.4,70.676756097561,63.0842158473901,0.183475313574861,78312842.0,62412884.0,79.6968705005988
