Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,43.421,53.4722868036827,,86024.0,43699.0,50.7989009774412
YR1961,220.0,23200.0,,3.85634167385677,,,,,,,,,,,,,,,,,,,,43.781,53.620091732856,3.8382492011536,89390.0,46375.0,51.8796954147937
YR1962,220.0,23200.0,,4.02428817946506,,,,,,,,,,,,,,,,,,,,44.092,53.764887492898,4.26290642202511,93283.0,49456.0,53.0176451756564
YR1963,220.0,23200.0,,4.22226056945643,,,,,,,,,,,,,,,,,,,,44.442,53.9137853522969,4.80226191801968,97872.0,53051.0,54.2039700819635
YR1964,220.0,23200.0,,4.45202761000863,,,,,,,,,,,,,,,,,,,,44.812,54.0163279149204,5.29889705145004,103198.0,57203.0,55.4298682615396
YR1965,220.0,23200.0,,4.70629853321829,,,,,,,,,,,,,,,,,,,,45.234,53.9342939903934,5.5542089913012,109092.0,61840.0,56.6865378422092
YR1966,220.0,23200.0,,4.97277825711821,,,,,,,,,,,,,,,,,,,,45.62,53.7032779703217,5.50769643634537,115269.0,66816.0,57.9651769517971
YR1967,220.0,23200.0,,5.24801553062985,,,,,,,,,,,,,,,,,,,,46.103,53.454200198933,5.38713216004184,121649.0,72086.0,59.2569837181277
YR1968,220.0,23200.0,,5.5327868852459,,,,,,,,,,,,,,,,,,,,46.552,53.2103188681526,5.28416351592854,128250.0,77659.0,60.5531562690257
YR1969,220.0,23200.0,,5.87049180327869,,,,,,,,,,,,,,,,,,,,47.067,52.9753046954515,5.92467666918025,136078.0,84157.0,61.8448927323157
