Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,81.8,60.076,49.8273596981742,,59372.0,22475.0,37.8540096053616
YR1961,2083.0,750.0,,80.2786666666667,,,,,,,,,,,,,,,,,,,75.6,61.022,49.5162643148393,1.39991080391268,60209.0,22845.0,37.9427941408211
YR1962,2083.0,750.0,,81.264,,,,,,,,,,,,,,,,,,,69.7,61.894,49.2362341668307,1.2199198805463,60948.0,23167.0,38.0117459043053
YR1963,2083.0,750.0,,82.3186666666667,,,,,,,,,,,,,,,,,,,64.3,62.612,48.9026385267011,1.28947803807603,61739.0,23502.0,38.0664532292997
YR1964,2083.0,750.0,,83.4493333333333,,,,,,,,,,,,,,,,,,,59.4,63.278,48.4985020970641,1.36417668206257,62587.0,23854.0,38.112611028362
YR1965,2083.0,750.0,,84.6733333333333,,,,,,,,,,,,,,,,,,,54.8,63.913,48.017069656481,1.45610541477885,63505.0,24231.0,38.1559142140497
YR1966,2083.0,750.0,,86.0093333333333,,,,,,,,,,,,,,,,,,,50.6,64.457,47.4584153657743,1.56551020885838,64507.0,24643.0,38.2020576989206
YR1967,2083.0,750.0,,87.4466666666667,0.952456544255429,,,,,,,,,,,,,,,,,,46.8,64.856,46.8380486242938,1.65732662222422,65585.0,25091.0,38.2567363955323
YR1968,2083.0,750.0,,88.976,5.36991901857967,,,,,,,,,,,,,,,,,,43.3,65.277,46.1854882215429,1.73375867263181,66732.0,25575.0,38.3256452164424
YR1969,2083.0,750.0,,90.5786666666667,4.21578868850822,,,,,,,,,,,,,,,,,19.4,40.0,65.704,45.5527014992382,1.78520476216238,67934.0,26096.0,38.4144790742085
YR1970,2083.0,750.0,,91.8773333333333,12.3934989618913,,,,,,,,,,,,,,,,,18.5,37.0,66.208,45.4373947872526,1.42356359690716,68908.0,26556.0,38.538517528523
YR1971,2083.0,750.0,,92.7093333333333,3.63740603887183,,,,,,,,,,,,,,,,111.81714630127,17.6,34.3,66.763,45.9996835989185,0.901479667517113,69532.0,26973.0,38.7929096363652
YR1972,2083.0,750.0,,93.4133333333333,3.68799557454747,,,,,,,,,,,,,,,,111.063858032227,16.9,31.8,67.468,46.7556380245504,0.756493951004689,70060.0,27481.0,39.2249737607288
YR1973,2083.0,750.0,,94.1133333333333,12.099116723085,,,,,,,,,,,,,,,,109.307983398438,16.4,29.6,68.097,47.4969717147532,0.746563956682217,70585.0,28100.0,39.8099084965934
YR1974,2083.0,750.0,,94.788,34.3760742523203,,,,,,,,,,,,,,,,106.052879333496,16.1,27.5,68.585,48.2195230023702,0.714308918233858,71091.0,28812.0,40.5281301479447
YR1975,2083.0,750.0,,95.4266666666667,19.9027884369402,,,,,,,,,,,,,,,,110.02864074707,16.0,25.7,69.059,48.9133092545113,0.671524523200478,71570.0,29601.0,41.3600550187683
YR1976,2083.0,750.0,,96.0226666666667,10.9024962662686,,,,,,,,,,,,,,,,107.935111999512,15.7,24.1,69.411,49.5709346404321,0.622621050681881,72017.0,30453.0,42.2860994130499
YR1977,2083.0,750.0,0.174394723952448,96.5413333333333,9.50365525201994,,,,,,10.3062784732691,67670000.0,54.6356063419546,,45872947.4074074,123856958.0,,633.551741670682,123856958.0,,111.982147216797,15.3,22.6,69.715,50.2192482719093,0.538696662875115,72406.0,31342.0,43.2866796347751
YR1978,2083.0,750.0,0.0,96.9653333333333,7.71257905832726,,,,,,10.1210021949726,83420000.0,54.0804826235105,12.6695272344279,57130215.5555556,154251582.0,10.5357457303524,785.575814800555,153711582.0,,112.495956420898,15.0,21.3,70.115,50.8597633502238,0.438228497095032,72724.0,32247.0,44.3422119879295
YR1979,2083.0,750.0,0.0,97.2786666666667,,,,,,,10.1679801718434,87170000.0,58.6813891318015,17.9587700780419,55017758.8888889,148547949.0,-18.3592854062593,754.091460805232,148277949.0,730.0,108.744247436523,14.7,22.4,69.195,51.5131786345756,0.322618567476872,72959.0,33148.0,45.4331127764989
YR1980,2083.0,750.0,0.0,97.444,,,,,,,13.7127030606367,113020000.0,57.4953074326283,16.7098742344591,72804653.3333333,196572564.0,13.3831821469051,996.191362332325,197382564.0,990.0,104.662551879883,14.2,19.2,71.013,52.226235923539,0.169814203856558,73083.0,34013.0,46.5397983044688
YR1981,2083.0,750.0,5.84600221130451,97.3146666666667,13.2666874934914,,,,,,13.3737335398271,121390000.0,54.7566530258141,1.75796252431775,82107391.1111111,221689956.0,10.829331110484,1124.97453088416,223039956.0,1200.0,101.716438293457,13.8,18.4,71.46,53.1793768667964,-0.132813963618067,72986.0,34799.0,47.6785350198007
