Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,1.25523012552924,1113000000.0,2.72887755602413,,,,,,,,6361166544.50349,43937466474.659,,1389.0213943225,43624630202.1156,,,16.1,21.4,72.1765853658537,64.2020006147171,,4579603.0,3387140.0,73.9614295653425
YR1961,703.0,42920.0,,115.292175,3.45162858557825,1180000000.0,2.58681164503683,,,,,,,4.30662538245008,7058361229.35415,48753087615.4709,6.37883247557379,1530.53779004389,48359208821.0347,,,15.9,20.9,72.4382926829268,64.5267052966256,0.698142052204406,4611687.0,3436378.0,74.5145508810535
YR1962,703.0,42920.0,,116.193175,7.3778195481846,1551000000.0,3.01827310409247,,,,,,,6.63590469250536,7953274741.29303,54934380331.7431,5.66682217271797,1711.2181376602,54505142873.6145,1630.0,,15.5,20.3,72.319756097561,64.8091960631458,0.778454921649097,4647727.0,3489792.0,75.0859892821741
YR1963,703.0,42920.0,,117.112075,6.10503282302932,1651000000.0,3.0415238937401,,,,,,,5.77348480270339,8466044979.87996,58476156043.7127,0.637021234202479,1807.25279179793,57991051025.4967,1720.0,,15.0,19.6,72.4004878048781,64.9467883492086,0.787727452841454,4684483.0,3544829.0,75.6717203124532
YR1964,703.0,42920.0,,118.0518,3.09278350515448,1764000000.0,2.84291447082145,,,,,,,4.61103122256739,9677401337.17309,66843163724.6264,9.26993821451785,2049.39724281483,66290289051.7636,1970.0,,14.5,18.8,72.4851219512195,64.9253762952173,0.799212891013953,4722072.0,3601361.0,76.2665399441275
YR1965,703.0,42920.0,,118.9753,5.4499999992505,1974000000.0,2.83213773314204,,,,,,,7.43646978605699,10870670865.3211,75085243148.4921,4.55525481407106,2284.22850484956,74454817185.5025,2180.0,,14.0,17.9,72.3707317073171,64.8233727743507,0.779239735049149,4759012.0,3658026.0,76.8652441494335
YR1966,703.0,42920.0,,119.934525,7.06495969658814,2080000000.0,2.63674969892882,2138006392.5769,83710290000.0,57.6554018034611,28.546251217539,44515629000.0,54.0145145864308,6.83265872288,11931740293.0378,82414198000.0,2.74091010903241,2487.13627144432,81741647000.0,2370.0,,13.4,17.0,72.4441463414634,64.655805415089,0.803006033242491,4797381.0,3716177.0,77.462628900608
YR1967,703.0,42920.0,,120.88385,8.20785355844022,2249000000.0,2.58821092365411,2434167430.20369,92728068000.0,55.5458272413802,28.1412058369195,49744978000.0,54.757517873695,4.10317183511751,13059064805.8774,90845933000.0,5.88623124121932,2700.74637883336,89940210000.0,2640.0,,12.8,16.0,72.9221951219512,64.4933242403263,0.788419835109815,4835354.0,3774163.0,78.0534901698876
YR1968,703.0,42920.0,,121.622075,8.00520710366458,2591000000.0,2.67593414991841,2631170666.66667,102694119000.0,55.3277665915049,27.6231090202894,55328321000.0,54.6227016625609,5.33329377643987,13505574133.3333,101291806000.0,5.85299737649714,2776.13544525805,100004924000.0,2870.0,,12.2,15.3,73.1214634146341,64.4135848656346,0.608832365935992,4864883.0,3825385.0,78.632623929509
YR1969,703.0,42920.0,,122.2965,3.48791924395193,2640000000.0,2.39160763140253,3047134266.66667,118011641000.0,55.5108074203864,26.9227432466435,63664341000.0,55.0673525714553,6.87104587143999,15414902666.6667,115611770000.0,6.79912047392293,3151.13324311543,114058019000.0,3140.0,,11.6,14.6,73.2209756097561,64.3940092387279,0.552993324651806,4891860.0,3874100.0,79.1948261517088
