Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,213000000.0,1.61363636363636,726263484.745982,16797453600.0,106.186804301314,,,,,2723615451.30098,13446652900.0,,238.392476666447,15904923600.0,,,,162.0,40.839,51.3405693273004,,11424922.0,3580718.0,31.3412936756611
YR1961,89.0,2381740.0,,4.88251572379857,,227000000.0,1.92372881355932,566839799.394782,14334939400.0,113.7483279283,,,,3.47172028312757,2434747055.94018,12020492300.0,-13.6054413245993,209.370672655334,14673574900.0,,,,161.5,40.792,50.8057931786831,1.76948075825483,11628883.0,3823922.0,32.8829705018944
YR1962,89.0,2381740.0,,4.95468481026476,,,,389702373.477333,10136129900.0,40.6125193571122,,,,2.35127905149631,2001444543.91885,9881251800.0,-19.6850418256566,169.60286272133,10876915700.0,180.0,,,161.3,39.527,50.2826234947964,1.46729511141391,11800771.0,4072654.0,34.5117600471594
YR1963,89.0,2381740.0,,5.03082536296993,,328000000.0,2.5114854517611,513698597.951007,14880092500.0,61.510197197341,,,,0.549331893043714,2702982017.63803,13344784400.0,34.3137287803281,225.584660210993,13647450100.0,230.0,,,161.5,43.143,49.7584358625078,1.5250503398561,11982118.0,4320233.0,36.0556697016157
YR1964,89.0,2381740.0,,5.11382980510047,,493000000.0,3.49645390070922,495984816.87482,14906215400.0,54.5238212566159,,,,1.69518281504695,2909316435.2874,14363469800.0,5.83941300772857,238.863801545015,14365736900.0,240.0,,,161.7,42.987,49.3326826938969,1.63645374073926,12179813.0,4552618.0,37.3783887750792
YR1965,89.0,2381740.0,,5.19199240891113,,521000000.0,3.41863517060367,513698597.951007,15984024300.0,48.4370219064117,,,,1.50133145684521,3136284306.85469,15484023800.0,6.20689821107077,253.622059985778,15084023800.0,250.0,,,162.1,42.846,49.0674027293682,1.51689212029344,12365976.0,4741561.0,38.3436065773656
YR1966,89.0,2381740.0,,5.286080344622,,516000000.0,3.51259360108918,536033327.526909,14807967200.0,50.6397695218843,,,,1.81781454211509,3039859187.45164,15007967200.0,-4.80497094328264,241.44896961658,14407967200.0,230.0,,,162.4,42.745,48.9574123859051,1.79594982522896,12590069.0,4889772.0,38.8383231189227
YR1967,89.0,2381740.0,,5.40618119526061,,490000000.0,3.01910043130006,603037455.489704,16342188800.0,45.066186093677,,,,1.31204101872765,3370870376.29682,16642189300.0,9.45296256280155,261.792442124002,16242189300.0,260.0,,,162.4,42.731,48.9668178315397,2.24659491499711,12876118.0,5034779.0,39.1016836642956
YR1968,89.0,2381740.0,,5.53066833491481,,490000000.0,2.61472785485592,647706914.641507,19218280400.0,47.3228889614156,,,,3.14205629857732,3852147026.77302,19018281000.0,10.7962385711022,292.436036368561,18718281000.0,290.0,,,162.0,42.806,49.0714675158628,2.27656997261579,13172614.0,5178374.0,39.3116643992892
YR1969,89.0,2381740.0,,5.65803152317213,,490000000.0,2.38686735837108,714711062.859273,21918314500.0,51.8595349042921,,,,1.92108454415403,4257253264.08834,21018314800.0,8.4332802824936,315.914655734237,21018314800.0,320.0,,71.1,160.9,42.991,49.2283128336799,2.27673798425895,13475960.0,5319510.0,39.474071107059
