Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,0.332829047091751,,,655004278.633824,1493500000.0,41.691698525396,21.5592572364828,603400000.0,41.193336974331,,4206270352.22633,1464800000.0,,156.387397481519,,,,67.1,172.7,44.436,54.0374522628036,,26896479.0,10173955.0,37.8263442369778
YR1961,18.1,1001450.0,,27.727056105279,0.693606754935329,,,734833822.456797,1598000000.0,37.3881932021467,22.05468949655,640800000.0,40.9404548939433,1.60997143777944,4494575611.21289,1565200000.0,5.16111414342448,162.841644181754,,,,65.8,168.7,45.146,53.9340712755071,2.58529225783425,27600898.0,10604597.0,38.4212039315716
YR1962,18.1,1001450.0,,28.4665357376061,-3.00307658790783,101000000.0,6.67547918043622,610894239.398352,1705200000.0,34.5708509465172,24.7564785884948,664500000.0,40.7094284138945,0.396026870374854,4035462027.39753,1632300000.0,3.87561672369634,142.409576739705,,,,64.5,164.7,45.844,53.95970199752,2.63205215522906,28337013.0,11064993.0,39.0478469857571
YR1963,18.1,1001450.0,,29.2248420312422,0.746645708135429,146000000.0,8.6646884272997,731859341.326593,1926600000.0,41.3457841252403,25.0480637187586,729600000.0,40.0769019500137,0.915371108625678,4187146231.56839,1820500000.0,10.5180926173666,143.928402522656,,,,63.2,160.8,46.493,54.0276803803839,2.62898893480294,29091869.0,11542597.0,39.6763686992294
YR1964,18.1,1001450.0,,29.9954010748908,3.66098294885467,195000000.0,10.3283898305085,924139168.274749,2180100000.0,43.2722832722833,25.040293040293,809400000.0,39.5311355311355,0.862295139785658,4709245761.67881,2047500000.0,11.5075774740325,157.716536507206,,,,62.2,157.4,47.075,54.0696421335915,2.60249703249022,29858922.0,12024208.0,40.2700684313894
YR1965,18.1,1001450.0,,30.7691737405194,14.839004461624,224000000.0,10.1174345076784,942114460.463084,2333600000.0,37.2632972853675,24.0697417788568,869900000.0,38.397704700949,5.46455767944256,4948667540.41066,2265500000.0,4.91404229223662,161.567123566919,2247300000.0,160.0,,61.4,154.5,47.577,54.1109482743478,2.54692638043565,30629174.0,12494328.0,40.7922455416376
YR1966,18.1,1001450.0,,31.5500939273695,9.03644065817629,209500000.0,8.71826883062838,1040146773.14915,2546800000.0,36.8175683965158,23.9929660982293,952800000.0,38.9645442277021,2.75119762106486,5278005611.91453,2445300000.0,5.04640371248233,168.054342944501,2427000000.0,170.0,,61.0,152.4,47.988,54.1829589864264,2.50632298668899,31406541.0,12942190.0,41.2085805892811
YR1967,18.1,1001450.0,,32.3435230297855,0.701897484353739,221000000.0,8.90769850866586,1080053073.86112,2592800000.0,35.939719109989,23.8085845037084,1003200000.0,39.5770869496607,2.83201329328801,5605484298.98275,2534800000.0,0.805264127039209,174.103044536176,2523500000.0,170.0,,60.8,151.0,48.13,54.2785457734974,2.48372193600409,32196360.0,13382110.0,41.5640472029535
YR1968,18.1,1001450.0,,33.1491476216786,-1.6757594245691,282000000.0,11.1330438215555,1314018691.58879,2682800000.0,29.26348956282,22.7294210319023,966400000.0,38.062229224104,1.80143115336028,5932242990.65421,2539000000.0,-1.60679234956356,179.774096694265,2529200000.0,170.0,,60.8,150.3,48.602,54.3979960675875,2.46032180928797,32998319.0,13830959.0,41.9141314114464
YR1969,18.1,1001450.0,,33.9661610326988,3.40982028243742,386500000.0,14.3360534124629,1560774818.40194,2777600000.0,29.9858977213687,24.1186075855415,1001100000.0,37.1520819416611,0.806310204656143,6524455205.81114,2694600000.0,5.27951751357089,192.964908828257,2670200000.0,190.0,,60.9,150.0,48.7,54.5295966272181,2.43477617367652,33811615.0,14285813.0,42.2511994269619
YR1970,18.1,1001450.0,0.0084553973013493,34.7822492340148,3.76289859580536,475000000.0,15.9878828677213,1793268023.10977,3314500000.0,30.6627936031984,21.4205397301349,1346500000.0,42.0570964517741,12.5161736901605,8042200452.1477,3201600000.0,5.59851503851672,232.272492342671,3176100000.0,220.0,,61.2,150.0,49.0,54.6500454547562,2.3742411895118,34623990.0,14739271.0,42.5695332872464
YR1971,18.1,1001450.0,0.02683150161448,35.5953267366518,3.14042171394198,550500000.0,17.1870121760849,2094873756.69472,3529000000.0,31.0246763634209,22.1228189708801,1456100000.0,43.1347572355363,1.32672970163317,8609283346.08518,3375700000.0,4.05734632653112,242.971070265891,3347000000.0,240.0,69.7712783813477,61.3,150.0,49.48,54.7450069486057,2.31071806354681,35433368.0,15187952.0,42.8634150300458
YR1972,18.1,1001450.0,0.0003225932000778,36.4240574614496,2.10236334610112,463500000.0,13.5645302897278,2394260599.79317,3764900000.0,30.0853465291485,21.6674543382169,1576200000.0,43.8186316755164,3.39909361924914,9299638055.84281,3597100000.0,3.05568062514286,256.482815640115,3570600000.0,260.0,70.8477096557617,61.2,149.6,49.908,54.8196555009376,2.30151178035637,36258328.0,15637175.0,43.1271266931065
YR1973,18.1,1001450.0,0.0069316987740805,37.2716289115475,5.11218403908756,495000000.0,13.5135135135135,2462102071.75341,4181900000.0,31.6962722041531,20.4953715286465,1644700000.0,41.1483612709532,7.35261504267174,10098534613.4411,3997000000.0,3.50683016247268,272.182710085295,3947900000.0,290.0,71.5309982299805,60.7,148.4,50.098,54.8822830980262,2.30029426366805,37102043.0,16085572.0,43.3549503141744
YR1974,18.1,1001450.0,0.0014086089286116,38.143218644834,10.0243177516483,725000000.0,17.2742435072671,2321421151.04924,4927400000.0,51.6648281140953,23.2760755532542,1886100000.0,42.4615592426664,9.42497991709395,9228963224.60004,4441900000.0,1.55893857170508,243.061473902314,4384600000.0,300.0,69.1116790771484,59.9,146.2,51.044,54.9289621107291,2.31155686409287,37969667.0,16532436.0,43.5411679309957
YR1975,18.1,1001450.0,0.0687747333509215,39.05301823296,9.66969548151244,754000000.0,15.4318460908719,2946295484.43665,6228800000.0,53.7142426412392,25.4079825123431,2244900000.0,42.3039234161233,9.66387925086825,11632178868.9171,5306600000.0,8.93914715890884,299.217518322538,5195300000.0,330.0,70.3415908813477,58.8,143.0,51.734,54.953238785017,2.35721779159737,38875327.0,16980767.0,43.6800615813166
YR1976,18.1,1001450.0,0.458095934134773,39.9774544176001,10.3174158877413,861500000.0,13.7268961121734,3120953326.71301,7425400000.0,45.0854637114817,23.7747218327715,2826000000.0,42.1501655579751,11.5332789914898,13315988083.4161,6704600000.0,13.2796894430741,334.609918474469,6532400000.0,340.0,69.4763565063477,57.7,139.0,52.484,54.9368664446637,2.33954908535335,39795557.0,17415632.0,43.7627538490255
YR1977,18.1,1001450.0,0.727581477333194,40.9351248179215,12.7321627929891,1076500000.0,13.1120584652862,2976319943.8695,9012800000.0,52.9519238967588,24.7018843104057,3334300000.0,40.6131621578826,12.3379171369074,14400806875.9867,8209900000.0,9.00304426675032,353.403833676533,7967600000.0,370.0,68.564582824707,56.6,134.6,53.272,54.9059416237302,2.36728363479195,40748870.0,17849594.0,43.8038991538137
YR1978,18.1,1001450.0,2.1480724692318,41.9523140288312,11.0781003826139,972500000.0,9.94071348257181,2790479078.22923,11140800000.0,53.8393825871563,26.1683964871338,4170800000.0,42.6907408544699,9.5476216915936,14811704063.0685,9769800000.0,8.62876764493188,354.674246269687,9332500000.0,380.0,68.0165786743164,55.4,129.9,54.075,54.8817508193146,2.45451009876174,41761431.0,18306004.0,43.8347149234644
YR1979,18.1,1001450.0,6.74942923338636,43.0143432618414,9.90436051231129,807000000.0,6.4689378757515,2920142857.14286,14693100000.0,69.4642630644343,34.7293569254186,5156800000.0,40.8802638254693,23.4998656374623,18020571428.5714,12614400000.0,4.54768962839718,420.85821686233,11866100000.0,410.0,67.6101608276367,54.1,125.1,54.876,54.843970012304,2.50000313172668,42818628.0,18781409.0,43.8627061415982
YR1980,18.1,1001450.0,2.53017091999671,44.1513014214677,20.8192249324218,953000000.0,6.16031027795734,3395569575.0,17527609740.0,73.3830375629879,33.3886582528562,6367556528.0,40.8115643090134,12.4308665172017,21669908176.3889,15602333887.0,10.0113290379907,493.053573271061,14551333887.0,480.0,68.3611221313477,52.6,120.0,55.673,54.8065771304584,2.60887795832063,43950413.0,19288829.0,43.8877089226138
YR1981,18.1,1001450.0,3.39975005914541,45.353582801748,10.3172842245395,1272000000.0,7.41690962099125,3838243243.24324,18434300000.0,74.459577429536,31.2813249739022,6828400000.0,41.6856422497207,-2.19823538128443,22136081081.0811,16380700000.0,7.3485538963286,490.308796861598,15148600000.0,510.0,68.3809280395508,51.0,114.6,56.454,54.7857017742663,2.68667729012378,45147224.0,19823947.0,43.9095593809095
YR1982,18.1,1001450.0,1.06154257365756,46.6197307750264,14.8230088495576,1615000000.0,7.18896060538616,4413916256.15763,24570100000.0,64.2019950124688,30.0454221588885,10726000000.0,47.764517278233,24.7308589706012,27655172413.7931,22456000000.0,9.90717113397825,595.918898169378,21007399900.0,540.0,69.4625473022461,49.3,108.8,57.219,54.7789779568701,2.75346819227803,46407611.0,20385979.0,43.9280936308841
YR1983,18.1,1001450.0,1.58236842331316,48.0048239489678,16.0798738833419,2103000000.0,7.95867393278837,4889406286.37951,29600000000.0,57.1428571428571,28.5864661654135,12742000000.0,47.9022556390977,12.7118644063102,30966239813.7369,26600000000.0,5.09440684048046,648.013629771434,24986599900.0,550.0,71.5307388305664,47.3,102.7,57.967,54.7885274978434,2.92776460855633,47786402.0,20998849.0,43.9431477869359
