Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,37.443,55.7401111412153,,972547.0,101159.0,10.4014621683306
YR1961,,,,,,,,,,,,,,,,,,,,,,,,37.912,55.8218232113567,2.34000474270375,995573.0,106407.0,10.6880395167343
YR1962,,,,,,,,,,,,,,,,,,,,,,,,38.346,55.8729637301889,2.40315907380125,1019788.0,111823.0,10.9653120610397
YR1963,,,,,,,,,,,,,,,,,,,,,,,,38.833,55.8303001075503,2.45101572625981,1045092.0,117394.0,11.2329340037658
YR1964,,,,,,,,,,,,,,,,,,,,,,,,39.184,55.7280168619614,2.47558096040955,1071287.0,123097.0,11.4905595474322
YR1965,,,,,,,,,,,,,,,,,,,,,,,,39.576,55.5121363190027,2.49346673126522,1098335.0,128921.0,11.737842894558
YR1966,,,,,,,,,,,,,,,,,,,,,,,,37.634,55.2218241327554,2.3949415967781,1124957.0,134707.0,11.9744382476625
YR1967,,,,,,,,,,,,,,,,,,,,,,,,40.151,54.9471357591541,2.404897711419,1152339.0,140585.0,12.1999998092651
YR1968,,,,,,,,,,,,,,,,,,,,,,,,40.483,54.6575930177358,2.51916001781858,1181737.0,146673.0,12.4116549253264
YR1969,,,,,,,,,,,,,,,,,,,,,,,,40.792,54.3906360160907,2.52906230551052,1212005.0,152811.0,12.608156796719
YR1970,,,,,,,,,,,,,,,,,,,,,,,,41.162,54.1287849239175,2.56161739538421,1243453.0,159058.0,12.7915984083304
YR1971,,,,,,,,,,,,,,,,,,,,,,,,41.527,53.8605450439367,2.59586802903634,1276154.0,165442.0,12.9640727450477
YR1972,,,,,,,,,,,,,,,,,,,,,,,,40.723,53.6219829220816,2.5592129875472,1309235.0,171872.0,13.1276727917584
YR1973,,,,,,,,,,,,,,,,,,,,,,,,41.131,53.4556344655181,2.52164268510179,1342669.0,178367.0,13.2844915333498
YR1974,,,,,,,,,,,,,,,,,,,,,,,,39.001,53.3917574333715,2.42945455929058,1375688.0,184846.0,13.4366219547092
YR1975,,,,,,,,,,,,,,,,,,,,,,,121.3,39.031,53.3809588058599,2.3365424726951,1408210.0,191322.0,13.5861570407239
YR1976,,,,,,,,,,,,,,,,,,,,,,,97.4,42.587,53.3209424805393,2.49639806864051,1443807.0,198310.0,13.7351897762813
YR1977,,,,,,,,,,,,,,,,,,,,,,46.7,96.2,42.984,53.2345630714336,2.64903207571349,1482565.0,205866.0,13.8858131462687
YR1978,,,,,,,,,,,,,,,,,,,,,,45.8,95.1,43.38,53.1687268208027,2.6499890243089,1522378.0,213744.0,14.0401201355734
YR1979,,,,,,,,,,,,,,,,,,,,,,44.8,94.3,43.78,53.1132072756162,2.65458548829139,1563332.0,221996.0,14.2002037290828
YR1980,,,,,,,,,,,,,,,,,,,,,,43.5,93.6,44.625,53.067556774749,2.6800765627777,1605797.0,230723.0,14.3681569116842
YR1981,,,,,,,,,,,,,,,,,,,,,,42.4,93.0,44.974,53.0276110124038,2.71181109930966,1649939.0,240001.0,14.5460726682648
YR1982,,,,,,,,,,,,,,,,,,,,,,41.5,92.3,44.891,52.9890690496567,2.72163627225935,1695461.0,249844.0,14.7360439837122
YR1983,,,,,,,,,,,,,,,,,,,,,,42.3,147.8,37.173,53.0634696504154,2.37210976350436,1736160.0,259385.0,14.9401638429135
YR1984,,,,,,,,,,,,,,,,,,,,,,41.6,146.3,37.679,53.2277905697283,2.02806924804498,1771730.0,268649.0,15.1630640122333
YR1985,,,,,,,,,,,,,,,,,,,,,,41.1,144.4,38.586,53.3470072875206,2.01630165093614,1807816.0,279107.0,15.4389057159424
YR1986,,,,,,,,,,,,,,,,,,,,,,38.9,88.7,39.541,53.4359547444021,2.04486755514246,1845164.0,290917.0,15.7664384841919
YR1987,,,,,,,,,,,,,,,,,,,,,,38.1,87.2,47.363,53.3802111434031,2.33041857479192,1888669.0,305936.0,16.1984958648682
YR1988,,,,,,,,,,,,,,,,,,,,,,37.0,85.5,48.094,53.1849919605501,2.5915735581277,1938255.0,323345.0,16.6822948455811
YR1989,,,,,,,,,,,,,,,,,,,,,40.9028282165527,35.9,83.4,47.802,52.9689227621102,2.48464353843628,1987017.0,351193.0,17.6743583679199
YR1990,,,,,,,,,,,,,,,,,,,,,36.2437210083008,34.7,80.8,49.733,52.7245531517358,2.27486416634711,2032737.0,377449.0,18.5684947967529
YR1991,,,,,,,,,,,,,,,,,,,,,33.617259979248,33.7,77.9,50.516,52.6079141141208,-5.72814372342133,1919571.0,380652.0,19.8300696376343
YR1992,,,2.09598939040563e-06,,,,,103855300.765824,2919900000.0,56.3771893721132,10.760506699593,,,,477101651.648376,2186700000.0,,265.240962963337,2186700000.0,,64.2883605957031,32.8,74.6,52.436,52.4244085330463,-6.50108562382429,1798748.0,385499.0,21.4315344055512
YR1993,384.0,117600.0,2.13733344232813e-06,18.376297029703,,539200000.0,21.3291139240506,145854050.332747,3459800000.0,102.060001634922,13.6107250878771,,,-1.38317062735574,467872714.755603,2446600000.0,13.4547625007102,252.085777069472,2446600000.0,,76.8191680908203,32.1,71.1,53.189,52.5807695177792,3.13359997818341,1856006.0,431887.0,23.2697147008939
YR1994,384.0,117600.0,1.88080117244748e-06,18.9496534653465,,438700000.0,12.7159420289855,160422077.922078,5080400000.0,110.881778212018,12.7992183683439,,,10.4321476871899,531688311.688312,3275200000.0,21.2214111876814,277.801423620334,3276432000.0,310.0,83.0738677978516,31.3,67.5,54.027,52.6706253934997,3.07240153138472,1913915.0,483100.0,25.2414361240526
YR1995,384.0,117600.0,,20.0521485148515,,770500000.0,19.5391124143288,253828125.0,5948100000.0,105.322628605412,15.0839347984754,,,9.81004035440252,578015625.0,3699300000.0,2.8583790589487,285.402184008331,3747620000.0,300.0,86.2234420776367,30.3,63.9,54.822,53.5858481869304,5.65506612874117,2025267.0,551754.0,27.2435242754175
YR1996,384.0,117600.0,5.2873318249158,21.073900990099,,968100000.0,20.3448190649491,268629949.5021,6972200000.0,116.617520301229,18.9062287347457,,,9.07483488878513,693535954.190067,4408600000.0,9.25883856340832,325.838705371605,4359653400.0,310.0,87.8335723876953,29.4,60.6,55.498,54.0978376895263,4.96990491051363,2128464.0,620933.0,29.1728047553789
YR1997,384.0,117600.0,5.94284422038848,21.3082673267327,,634200000.0,11.8604149677876,205419519.715552,7719700000.0,115.414776658722,20.980605584847,,,3.89715179110848,686490090.140141,4942660000.0,7.90868457794079,318.980960831984,4919800500.0,330.0,84.1628875732422,28.4,57.7,56.155,53.2216271798998,1.10597798501552,2152135.0,665571.0,30.9261031643271
YR1998,384.0,117600.0,0.0061021954325007,21.5883069306931,,1936200000.0,32.4970666110039,390150408.928094,9070200000.0,94.9275656742685,19.280352024027,,,9.10917293901807,745523116.900052,5488489000.0,1.77258309100318,341.91736400208,5520201900.0,330.0,,27.5,55.1,49.997,52.4830668974786,1.30566874934995,2180419.0,706461.0,32.4002451026521
YR1999,384.0,117600.0,12.080107518727,21.9087128712871,,2224500000.0,34.3777684538841,428048594.85273,9951900000.0,96.2592361791151,20.8742099172082,,,2.31856149221601,688918537.115555,5616500000.0,0.0134800959108077,311.336209255125,5666215000.0,320.0,86.28955078125,27.0,60.9,44.506,51.9475609984813,1.47325833975698,2212780.0,741106.0,33.4920561707444
YR2000,384.0,117600.0,3.94553531730238,22.2478316831683,,2220200000.0,32.6556711938037,387068374.025974,10098974200.0,67.8813619265146,19.160680418751,,,24.9775947531466,706370815.584416,6798819100.0,-3.14198590251638,314.357396753501,6803397300.0,310.0,95.3378219604492,26.1,50.8,56.285,51.5953941000369,1.53601457156771,2247031.0,766201.0,34.0983619689941
YR2001,384.0,117600.0,1.61245168864149,22.8918712871287,,1883600000.0,22.1367915582472,320884044.602692,12801540700.0,72.0627109589752,18.5335104260986,,,15.0772695786828,752371688.743186,8508911500.0,8.75543552816325,325.409161513593,8482247500.0,320.0,94.5260620117188,25.6,49.1,58.359,51.8172285240315,2.85373304958379,2312079.0,793629.0,34.3253211975098
