Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,1.17777108409631,83963667.508114,2.25074702204848,,,,,,,,12424514013.7604,4480370035.17475,,407.96302786933,4447621552.95658,,,19.8,46.8,69.1092682926829,64.3949156483247,,30455000.0,17193199.0,56.4544385988162
YR1961,636.0,505990.0,,61.5055624474769,0.809252873882166,86310842.6493569,2.03124482602107,,,,,,,2.46638975371505,14238126759.7335,5134371969.85562,11.8386741948328,463.19044087717,5098079843.20245,,,20.7,44.8,69.4804878048781,64.2599937038199,0.92901553460921,30739250.0,17564481.0,57.140239011971
YR1962,636.0,505990.0,,62.074044579615,5.70647719271308,111352446.207477,2.26774589192604,,,,,,,6.09584162348517,16609632790.5843,5989554276.9537,9.9534381030183,535.391059454488,5948388361.20146,520.0,,21.2,42.8,69.5190243902439,64.1097498847096,0.920032286529714,31023366.0,17980514.0,57.9579730363808
YR1963,636.0,505990.0,,62.6208551762776,8.74369768409153,114139439.836519,1.96963291958044,,,,,,,7.84537469002147,19631714759.6491,7079338994.73371,9.59649887419791,627.278450964262,7030186310.3169,590.0,,21.1,40.9,69.6812195121951,64.0738634409935,0.877043251659206,31296651.0,18441844.0,58.9259338215885
YR1964,636.0,505990.0,,63.2462183360679,6.97924673989605,139490000.0,1.93055857347098,,,,,,,6.25431961479734,21966876027.2517,7921415116.10796,5.30851024557084,694.952086797899,7853418986.75344,650.0,,20.7,39.0,70.399756097561,64.0038396947752,0.993696426233108,31609195.0,18962646.0,59.9909163499255
YR1965,636.0,505990.0,,63.9367161551083,13.2141378382198,158460000.0,1.88486682463102,,,,,,,9.1648666470406,25479619606.5284,9188135975.88671,6.25313489898529,797.377066170904,9124127079.24952,750.0,,20.3,37.2,70.8092682926829,63.7337083738028,1.08584474209375,31954292.0,19528071.0,61.1125122272394
YR1966,636.0,505990.0,,64.5948097162752,6.24036708297987,202280000.0,2.07961936015824,,,,,,,8.17374335983313,29559436182.9186,10659347479.0186,7.24606030950727,915.62923367863,10542633535.5853,860.0,,20.0,35.5,71.0551219512195,63.41111796001,1.02402785233795,32283194.0,20096389.0,62.2503130593783
YR1967,636.0,505990.0,,65.3946676537677,6.39163108782115,202330000.0,1.85195694357998,,,,,,,8.53771908823975,32570905397.2885,12071564284.1407,4.34033841707546,996.571863525297,11937655655.9086,960.0,,19.6,33.7,71.2529268292683,63.1646144106303,1.23066581815604,32682947.0,20709193.0,63.3639104521899
YR1968,636.0,505990.0,,66.2554203849694,4.95436611736463,281350000.0,2.29767251939567,,,,,,,5.9111301089348,32394326463.759,13628567766.1121,6.5970201375833,978.292373768035,13470106344.5213,1040.0,,19.1,31.8,71.5378048780488,62.9457812792691,1.30765578581186,33113134.0,21329129.0,64.4128960115223
YR1969,636.0,505990.0,,66.9115490815959,2.16034713599866,338970000.0,2.43416753437938,,,,,,,5.13325064181105,37090689287.8552,15604367419.6116,8.90701555527092,1109.13637135526,15398292273.0879,1140.0,,18.3,29.8,71.0575609756098,62.7370002249907,0.985430559578259,33441054.0,21856023.0,65.3568613432232
YR1970,636.0,505990.0,0.541943031090436,67.6588318860299,5.73114484293531,361450000.0,2.28661622551749,4046004278.58331,17559270000.0,25.8528842334683,,,,5.942586320003,40963715236.5106,17233435000.0,4.24497076715365,1211.42343321309,17010151000.0,1190.0,,17.3,27.7,72.0273170731707,62.5314101440455,1.11063144876766,33814531.0,22370138.0,66.1553980531405
YR1971,636.0,505990.0,0.433605548258958,68.4791108087558,8.23688714893602,376020000.0,2.1079717457114,4681686227.54491,19444057000.0,25.9266965745753,,,,7.846019387144,46586119760.479,19449705000.0,4.64947364578497,1361.19251917206,19231533000.0,1320.0,,16.2,25.6,71.630243902439,62.379148256701,1.20508483293956,34224490.0,22861157.0,66.7976567883342
YR1972,636.0,505990.0,0.453544088053662,69.2394033374685,8.27228754941942,485230000.0,2.31778209800765,5869166450.94486,22981707000.0,27.2143538211121,,,,8.51792227714836,59090176028.993,22826535000.0,8.14974586367205,1707.58800052655,22598718000.0,1590.0,,15.0,23.6,72.8180487804878,62.3061938831438,1.10413658971046,34604469.0,23320395.0,67.3912798464124
YR1973,636.0,505990.0,0.496288302886083,70.0086978270439,11.4167076137084,532690000.0,2.11074172547559,7794805825.24272,28004021000.0,28.141361461061,,,,11.8495983569851,78583355225.5854,27519891000.0,7.7884653422601,2245.9479911066,27315011000.0,2080.0,,14.0,21.8,72.6107317073171,62.2692221285637,1.1049376041377,34988947.0,23783196.0,67.9734532985709
YR1974,636.0,505990.0,0.368295620686602,70.7820610305153,15.6803733985389,682373466.0,2.20756393740679,10038214594.7505,35710356000.0,31.7321293898947,,,,15.9451092704638,97204522642.0536,33700808000.0,5.61878564719633,2747.96036737994,33580439000.0,2730.0,,13.2,20.1,72.969756097561,62.3156414309282,1.09260761038069,35373335.0,24244429.0,68.5387144411232
YR1975,636.0,505990.0,0.595174112452752,71.5687608830535,16.9532859334982,727388854.0,2.00426223337861,12508959420.2899,41518654000.0,29.1198999357995,,,,16.7817823842656,114695060869.565,39569796000.0,0.542203343297047,3207.54465082024,39270333000.0,3240.0,,12.5,18.6,73.3187804878049,62.3680692542183,1.08129360308283,35757900.0,24703888.0,69.0865174619117
YR1976,636.0,505990.0,0.403320215300682,72.3378345377024,17.6248800527481,1013687074.0,2.32104693213536,13951740860.4825,50233248000.0,30.1123441469801,,,,16.4899211499741,118422534195.474,47617701000.0,3.30379140860018,3276.97023260494,47095673000.0,3430.0,,11.9,17.2,73.6426829268293,62.3562359092754,1.05685172472306,36137812.0,25157814.0,69.6163165487787
YR1977,636.0,505990.0,0.45912606534724,73.0905192777355,24.5380632929205,1282351032.0,2.31423266289489,15876976998.9047,62235385000.0,29.1985265451841,,,,23.3830685423693,132354665936.473,60419905000.0,2.83857436106388,3624.99940255962,59664710000.0,3640.0,,11.1,15.9,74.1319512195122,62.365302217953,1.02913180859153,36511638.0,25604723.0,70.1275658895667
YR1978,636.0,505990.0,0.734122494525176,73.7991672171841,19.7736704973661,1599237380.0,2.35795730062073,19960188802.0833,74036470000.0,27.7598226101619,,,,20.6310431232925,160484969618.056,73951474000.0,1.46300333315605,4353.3273744052,72978687000.0,4030.0,,10.0,14.6,74.2956097560976,62.4522579514533,0.96287655038845,36864898.0,26033888.0,70.6197196721181
YR1979,636.0,505990.0,0.651349561955394,74.4511550626576,15.6602355971771,1981221234.0,2.4970649013133,27794903321.765,87026314000.0,27.8704940660692,,,,16.9316322478676,214448666336.143,86508592000.0,0.0415465166768456,5766.09296672485,85598521000.0,5000.0,,9.2,13.5,74.8187804878049,62.6476433992166,0.88158450134584,37191330.0,26440147.0,71.0922320842751
YR1980,636.0,505990.0,0.641742740873184,75.0618956093459,15.5619020957245,2373754596.0,2.48989578488601,31668530981.6663,103517230000.0,31.5983694308493,,,,13.3548266040901,232600556973.776,100227580000.0,2.20872810257116,6204.14321544225,98908464000.0,6210.0,,8.8,12.4,75.3492682926829,62.8807004780505,0.802963561910836,37491165.0,26822888.0,71.5445573138803
YR1981,636.0,505990.0,0.842169847243306,75.5989088215272,14.5493457170321,2761978440.0,2.58210874483481,29490522616.6877,115867195000.0,35.4228067524618,,,,12.3511919127025,202663023968.283,112457712000.0,-0.13246859717357,5367.32976278411,110390704000.0,6310.0,,8.7,11.5,75.5285365853659,63.2259759201353,0.710878010512537,37758631.0,27177209.0,71.976149548776
YR1982,636.0,505990.0,0.910198417224102,76.0541624954951,14.4150020548327,3272443328.0,2.66030674579303,28842432227.7753,132896810000.0,36.5726058076023,,,,13.5823236351368,195856752991.065,129324214000.0,1.2464617922282,5156.02303792945,126852796000.0,5680.0,,8.2,10.7,76.1341463414634,63.6590963440408,0.600390137240396,37986012.0,27496731.0,72.3864629768046
YR1983,636.0,505990.0,0.949714762135756,76.4301804056625,12.1740727351699,4112720000.0,2.93627289991861,25907525522.0418,149779534000.0,39.817262967199,,,,11.8842453434335,170829074245.94,147254662000.0,1.77011581051299,4475.30126831295,144096646000.0,4850.0,,7.4,10.1,75.9090243902439,64.0639065800537,0.487183210573659,38171525.0,27779309.0,72.7749517858085
YR1984,636.0,505990.0,1.03025351456358,76.7466842864008,11.2802765604037,4687920000.0,2.96600550441302,25673200165.5972,164390915000.0,41.5938348404492,,,,10.8647340209194,171979977230.387,166167054000.0,1.78468751370853,4486.78173863382,162702657000.0,4580.0,,6.7,9.6,76.2953658536586,64.483796512948,0.415255702373565,38330364.0,28035238.0,73.1410701636301
YR1985,636.0,505990.0,1.08920479535639,77.0252923274067,8.81445506678387,5189230000.0,2.95472170818505,27455210371.82,183073287000.0,40.9180792623493,,,,8.59547962292207,180664322896.282,184638938000.0,2.3214357659951,4696.29879620729,182091315000.0,4550.0,,6.2,9.2,76.259512195122,64.8867677352285,0.362365564916491,38469512.0,28269041.0,73.4842722981117
YR1986,636.0,505990.0,1.37396544143913,77.2557744674035,8.7949393229032,5278030000.0,2.6250366796807,37674950695.022,209442925000.0,35.3920090023813,,,,10.8788163151549,251141555185.933,211385847000.0,3.25332169179885,6508.8506547565,208666714000.0,5400.0,,6.0,8.8,76.5104878048781,65.2480500193807,0.298782366814399,38584624.0,28477001.0,73.8040123770958
YR1987,636.0,505990.0,1.43497964271408,77.4563811468845,5.24801863489593,5878710000.0,2.6147006889558,49364952162.7813,238790054000.0,36.3648005439518,,,,5.94419828568171,318520253335.13,236373880000.0,5.54712273579352,8233.72822993027,233383226000.0,7100.0,,5.8,8.4,76.7280487804878,65.5853656681516,0.259329063201825,38684815.0,28665349.0,74.0997445884247
YR1988,636.0,505990.0,1.86771026284268,77.6208133109082,4.83727066490361,6231180000.0,2.48937521722977,57684636480.5028,269160028000.0,36.7581428262889,,,,5.93612617591543,375891716897.586,263161791000.0,5.09432412898086,9696.1928538538,259403867000.0,9400.0,,5.5,8.1,76.7470731707317,65.9224788577116,0.212064999269184,38766939.0,28831330.0,74.3709231199409
YR1989,636.0,505990.0,2.03357704001565,77.7425997116771,6.79143584025099,6618700000.0,2.35967514225005,65677402670.4146,307818993000.0,37.4285579561832,,,,6.89619412581477,414460794096.978,294888855000.0,4.82703031299745,10674.3410230107,291627593000.0,10690.0,,5.1,7.8,76.8136585365854,66.2771298393532,0.156776197618463,38827764.0,28972114.0,74.6170021594867
YR1990,636.0,505990.0,2.60802970996431,77.8218044209515,6.72181952228656,7164790000.0,2.29330520898016,87184722494.2866,342926153000.0,35.652904977259,,,,7.32625121093244,536175326477.31,328461005000.0,3.7813935513235,13795.0159385128,324688367000.0,12190.0,,4.9,7.4,76.8375609756098,66.6658897270995,0.101828842607043,38867322.0,29087307.0,74.8374358949045
YR1991,636.0,505990.0,2.16605085432865,78.0201345506968,5.93421344335924,7294570000.0,2.12919223112803,97661945556.4451,375304812000.0,35.5206586037759,,,,6.93513950036797,576753902321.857,360182812000.0,2.54600049647455,14801.3226152172,356139947000.0,13680.0,,4.7,7.1,76.9712195121951,67.0651500612511,0.254527424551043,38966376.0,29236745.0,75.0307020244923
YR1992,636.0,505990.0,2.10570224260596,78.403181563351,5.92453126228489,7537680000.0,2.04280367601027,112339151633.35,402768421000.0,36.020774482446,,,,6.71077121153706,630465353486.104,387925332000.0,0.929215482921151,16100.6799428032,383182897000.0,15590.0,,4.4,6.7,77.41,67.4328488571973,0.48975790543999,39157685.0,29446231.0,75.1991108679216
YR1993,636.0,505990.0,2.05987295164996,78.8107920871376,4.56907173681813,7680260000.0,2.0118717370405,96326090992.2866,408115748000.0,36.9951619593819,,,,4.53724123553553,524700572623.872,401343468000.0,-1.03149183695307,13330.3798192211,398026146000.0,15000.0,,4.1,6.3,77.5465853658537,67.7634414996552,0.518543520866421,39361262.0,29656485.0,75.3443453546763
YR1994,636.0,505990.0,1.65463950244582,79.1869053339741,4.71841373967329,8125650000.0,2.00133740218861,94237853682.7723,431395347000.0,41.6958801099563,,,,3.87984187647956,530183651720.283,426850858000.0,2.38319537908909,13405.704414883,417794258000.0,14460.0,,3.8,5.9,77.9014634146342,68.0606142387335,0.476100555169168,39549108.0,29848650.0,75.4723725309182
YR1995,636.0,505990.0,1.34842263683776,79.5371816434406,4.67380337624704,8573020000.0,1.91702239465122,108255938083.8,465314000000.0,44.8306279725111,28.3640298179938,277635000000.0,60.3214711716664,4.93312976632123,614170002668.802,460259000000.0,2.75749400293542,15460.9110266653,456382999000.0,14810.0,,3.6,5.5,77.9807317073171,68.3188171595013,0.441365749537872,39724050.0,30026733.0,75.588297274636
