Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,29.0,68.749268292683,66.1567057477838,,1211537.0,697731.0,57.5905914306641
YR1961,,45230.0,,,,,,,,,,,,,,,,,,,,,27.2,69.0778780487805,65.9306126497014,1.11138977039487,1225077.0,720595.0,58.8204193115234
YR1962,,45230.0,,,,,,,,,,,,,,,,,,,,,25.6,69.2920243902439,65.9014367916122,1.34156955956572,1241623.0,746142.0,60.094123840332
YR1963,,45230.0,,,,,,,,,,,,,,,,,,,,,24.1,69.3215609756098,65.9503891574006,1.37847716433837,1258857.0,767298.0,60.9519653320312
YR1964,,45230.0,,,,,,,,,,,,,,,,,,,,,22.7,70.0720975609756,66.0427194643053,1.43767537202878,1277086.0,788051.0,61.7069664001465
YR1965,,45230.0,,,,,,,,,,,,,,,,,,,,,21.5,70.1765853658537,66.1166735251438,1.35945837225877,1294566.0,808496.0,62.4530448913574
YR1966,,45230.0,,,,,,,,,,,,,,,,,,,,,20.4,70.1464634146342,66.2145084573474,1.0780067078473,1308597.0,825129.0,63.0544891357422
YR1967,,45230.0,,,,,,,,,,,,,,,,,,,,,19.5,70.4324146341464,66.2993455565799,0.787736186645794,1318946.0,839065.0,63.6162986755371
YR1968,,45230.0,,,,,,,,,,,,,,,,,,,,,18.8,70.0807804878049,66.2514923566607,0.925837506546126,1331214.0,854301.0,64.1745529174805
YR1969,,45230.0,,,,,,,,,,,,,,,,,,,,,18.2,69.7894634146342,66.1986487748962,1.04878181744335,1345249.0,869473.0,64.6328659057617
YR1970,,45230.0,,,,,,,,,,,,,,,,,,,,,17.8,69.9242195121951,66.1723569618292,1.09614545086791,1360076.0,886428.0,65.1748926604344
YR1971,,45230.0,,,,,,,,,,,,,,,,,,,,,17.5,70.1225609756098,66.0795138938149,1.233395893442,1376955.0,902555.0,65.5471649169922
YR1972,,45230.0,,,,,,,,,,,,,,,,,,,,,17.3,69.9291951219512,65.9702698650242,1.12390796531781,1392518.0,920538.0,66.1060028076172
YR1973,,45230.0,,,,,,,,,,,,,,,,,,,,,17.2,70.2300243902439,65.9436599286164,0.960032301392228,1405951.0,937239.0,66.6622848510742
YR1974,,45230.0,,,,,,,,,,,,,,,,,,,,,17.2,70.3461951219512,65.9803038793607,0.865266081367352,1418169.0,952834.0,67.1876220703125
YR1975,,45230.0,,,,,,,,,,,,,,,,,,,,,17.3,69.7081219512195,66.0280076585692,0.785459176187127,1429352.0,967646.0,67.6982269287109
YR1976,,45230.0,,,,,,,,,,,,,,,,,,,,,17.3,69.3450731707317,66.0498866971711,0.712743106958176,1439576.0,981921.0,68.2090377807617
YR1977,,45230.0,,,,,,,,,,,,,,,,,,,,,17.4,69.4489512195122,66.0150536028824,0.73604373010673,1450211.0,996529.0,68.7161407470703
YR1978,,45230.0,,,,,,,,,,,,,,,,,,,,,17.3,69.2972682926829,65.9572075199721,0.685613146650277,1460188.0,1010635.0,69.2126617431641
YR1979,,45230.0,,,,,,,,,,,,,,,,,,,,,17.2,69.0543170731707,65.8990580866438,0.556254915149304,1468333.0,1022120.0,69.6109237264603
YR1980,,45230.0,,,,,,,,,,,,,,,,,,,,,17.0,69.1147804878049,65.8742887563048,0.60335223799787,1477219.0,1033895.0,69.9892807006836
YR1981,,45230.0,,,,,,,,,,,,,,,,,,,,,16.8,68.9780487804878,65.938213431412,0.704718276463133,1487666.0,1046318.0,70.3328552246094
YR1982,,45230.0,,,,,,,,,,,,,,,,,,,,,16.4,69.1268292682927,66.0670201554142,0.719876655375138,1498414.0,1058470.0,70.6393508911133
YR1983,,45230.0,,,,,,,,,,,,,,,,,,,,,16.0,69.3756097560976,66.1546433702323,0.687096401884296,1508745.0,1068890.0,70.8462982177734
YR1984,,45230.0,,,,,,,,,,,,,,,,,,,,,15.5,69.2780487804878,66.2646611808648,0.652187283315182,1518617.0,1077814.0,70.973388671875
YR1985,,45230.0,,,,,,,,,,,,,,,,,,,,,15.1,69.3804878048781,66.4527714428733,0.667063356294738,1528781.0,1087103.0,71.1091384887695
YR1986,,45230.0,,,,,,,,,,,,,,,,,,,,,14.8,70.0853658536585,66.5426971860382,0.743509962008971,1540190.0,1097322.0,71.2458877563477
YR1987,,45230.0,,,,,,,,,,,,,,,,,,,,,14.5,70.6439024390244,66.5097758642809,0.778102309212138,1552221.0,1107215.0,71.3310165405273
YR1988,,45230.0,,,,,,,,,,,,,,,,,,,,10.5,14.3,70.6975609756098,66.3993003642493,0.621622035077344,1561900.0,1115275.0,71.4050140380859
YR1989,,45230.0,,,,,,,,,,,,,,,,,,,,10.1,14.1,70.0390243902439,66.239184020291,0.398143547527793,1568131.0,1120176.0,71.4338586887699
YR1990,,45230.0,,,,,,,,,,,,,,53011999.2968421,,,50975019.4991357,,,9.9,14.0,69.4756097560976,66.1253063500145,0.0664901906843683,1569174.0,1118344.0,71.2695807435219
YR1991,,45230.0,,,,,,,,,,,,132.570428952058,,113427208.26065,-7.99984359444035,,109068781.210136,,,9.7,13.9,69.3731707317073,66.0658873688141,-0.502159185195728,1561314.0,1107844.0,70.9558713666771
YR1992,626.0,45230.0,,36.1663364000944,,4346000.0,,,,,,,,873.642867607686,,870594380.738244,-21.1686562081087,,834391050.129141,,,9.7,13.7,68.8634146341464,65.9748463198573,-1.82418155532121,1533091.0,1081340.0,70.5333354332329
YR1993,626.0,45230.0,4.19555688939601,35.2471809389007,89.8119490277274,11110000.0,0.761751960945642,826295316.221223,1583817000.0,132.126372731459,,,,84.8055269927086,4013091682.2914,1516547346.73792,-5.7404942203392,2685.90889287357,1453022375.31637,,,9.5,13.4,67.909756097561,65.8722218750789,-2.57431997803655,1494128.0,1046437.0,70.0366053397264
YR1994,626.0,45230.0,5.29825375133825,34.5013918376976,47.6546906187628,20870000.0,1.04163027365878,959244013.457352,2260347000.0,148.143069423797,,,,39.6690078143544,4123011419.74174,2083357670.3955,-1.64242462249874,2819.12612100926,1988399887.64215,,,9.1,13.0,66.5,65.8162421715861,-2.13858863504971,1462514.0,1016452.0,69.500313482695
YR1995,626.0,45230.0,4.592689682119,33.8908704883227,28.7766137208513,26630000.0,0.930586008373083,1106445318.64673,3058908000.0,139.087473677663,27.3814507635138,1632430000.0,57.0453006285211,31.4085715427652,4502970889.06373,2861638000.0,4.52668179218811,3134.38975345407,2767695154.68806,3020.0,,8.5,12.4,67.5439024390244,65.7878669609995,-1.78539953576165,1436634.0,990690.0,68.959092258676
