Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,3.41812725350792,48200000.0,1.76904104762464,,,,,,,,5279481824.12983,2841424465.18532,,1191.85508873415,2808010075.14117,,,15.8,21.9,68.819756097561,62.2923638665494,,4429634.0,2461856.0,55.5769661212511
YR1961,536.0,338150.0,,14.6459338783282,1.69100191533953,56700000.0,1.8361815196588,,,,,,,5.34177802217019,5984433774.41601,3220830585.90881,7.60467047924413,1341.49900625891,3180975900.41896,,,15.2,20.6,68.8441463414634,62.7879094237945,0.705711483663754,4461005.0,2509355.0,56.2508965736239
YR1962,536.0,338150.0,,14.7458649331889,4.38398278172668,83100000.0,2.51317830864007,,,,,,,3.97394498888666,6407796042.70357,3448684747.89314,2.98194553610338,1426.6675637882,3402706462.74954,1370.0,,14.8,19.5,68.5778048780488,63.4002863706983,0.679995399829919,4491443.0,2553054.0,56.842618967401
YR1963,536.0,338150.0,,14.8504842575265,4.99638188645285,69200000.0,1.92714178695058,,,,,,,5.14661010790797,6958916548.12933,3745298570.906,3.28509963570336,1538.45703402737,3691459552.60998,1470.0,,14.2,18.4,69.0126829268293,63.9648966483222,0.706977468183943,4523309.0,2595307.0,57.3763002065869
YR1964,536.0,338150.0,,14.9333300502315,10.2758607417486,75300000.0,1.85927303165209,,,,,,,7.17576838987179,7848987792.54261,4224336153.35865,5.23868659789332,1725.60483489826,4160271221.28801,1620.0,,13.6,17.5,69.2209756097561,64.4200033984841,0.556315625077213,4548543.0,2631840.0,57.8611708794806
YR1965,536.0,338150.0,,14.9831970846055,4.94058806755308,80500000.0,1.79734038277768,,,,,,,5.02328993982665,8680393838.88018,4671800044.56277,5.30285780228283,1902.03847177709,4598350943.39072,1810.0,,13.0,16.6,68.9778048780488,64.8122251884551,0.333374795369662,4563732.0,2660951.0,58.3064615743814
YR1966,536.0,338150.0,,15.0394596014314,3.87365401861324,82300000.0,1.71395131378637,,,,,,,4.7238436262714,9306142171.60056,5008578668.08491,2.37282301528172,2031.52331393903,4927900343.23692,1970.0,,12.4,15.8,69.4770731707317,65.1348052790808,0.374800826434961,4580869.0,2689951.0,58.7214028795882
YR1967,536.0,338150.0,,15.1211267605634,5.37778183372857,85100000.0,1.61552115269617,,,,,,,7.36206437144888,9468272357.09549,5493938181.03101,2.16882888287391,2055.75306771186,5397413778.31645,2060.0,,11.9,15.1,69.6665853658537,65.4356707624489,0.541550205582204,4605744.0,2722696.0,59.1152253834001
YR1968,536.0,338150.0,,15.1891690469155,9.19166799519512,106000000.0,1.755074400253,,,,,,,12.0637665122272,8916565040.54632,6298521033.67364,2.30328998355675,1927.29380452918,6181543106.05691,2080.0,,11.4,14.4,69.6163414634146,65.7411360357682,0.448972197973546,4626469.0,2752618.0,59.4971596741163
YR1969,536.0,338150.0,,15.180357201484,2.20561093521245,99100000.0,1.43747769806296,,,,,,,4.15032590096314,10177524838.9004,7189243164.49808,9.59328778480038,2201.12415237742,7052491474.38879,2260.0,,10.9,13.8,69.5034146341464,65.9815544008284,-0.0580308405654956,4623785.0,2768558.0,59.8764363400358
