Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,112328422.113084,89200000.0,,277.431535497766,85800000.0,,,,61.6,58.602,50.1694915254237,,404887.0,103844.0,25.6475547589689
YR1961,2592.0,18270.0,,22.8465243568692,,,,,,,,,,0.608978744452671,116987784.913739,92900000.0,3.51758199167958,280.273366731046,89400000.0,,,,58.8,59.102,50.2677851633483,3.04513534106385,417406.0,114161.0,27.3501385947638
YR1962,2592.0,18270.0,,23.5651888341544,,,,,,,,,,1.40252478838146,122906434.957814,97600000.0,3.60610217922461,285.473073001593,93800000.0,280.0,,,56.2,59.654,50.3977014724652,3.09715748245868,430536.0,124461.0,28.9084011052576
YR1963,2592.0,18270.0,,24.3172413793103,,,,,,,22.8599221789883,31500000.0,30.6420233463035,-0.969269454354816,129454728.623599,102800000.0,6.35877194090916,291.38357377756,97500000.0,280.0,,,53.8,60.155,50.5371092101428,3.14150468622573,444276.0,134622.0,30.3014754524823
YR1964,2592.0,18270.0,,25.0861521620142,,,,,,,23.6510791366906,36600000.0,32.9136690647482,3.1407426456675,140032741.468329,111200000.0,4.87728074374567,305.532203132127,107900000.0,300.0,,,51.5,60.714,50.6971604118052,3.11303666617003,458324.0,144411.0,31.5084947984699
YR1965,2592.0,18270.0,,25.8661740558292,,,,,,,22.6883561643836,42800000.0,36.6438356164384,7.95093462201062,147084750.031482,116800000.0,-2.70026693997207,311.241072912198,111900000.0,290.0,,,49.4,61.413,50.8351593240854,3.06201069073722,472575.0,153627.0,32.5085923052523
YR1966,2592.0,18270.0,,26.627640941434,,,,,,,22.4728487886383,47100000.0,39.3483709273183,2.48287671232876,150603925.515853,119700000.0,0.0,309.5744090096,116700000.0,300.0,,,47.7,61.565,51.003212829942,2.90137152928469,486487.0,161873.0,33.2737659978748
YR1967,2592.0,18270.0,,27.3055829228243,,,,,,,23.0886850152905,52400000.0,40.0611620795107,-3.5982175131138,162625885.863484,130800000.0,13.3518282945216,325.9865454003,126600000.0,330.0,,,46.3,61.442,51.2435542147543,2.51413745514904,498873.0,168960.0,33.8682897886002
YR1968,2592.0,18270.0,,27.9147235905857,,300000.0,0.205761316872428,,,,22.7023319615912,58000000.0,39.7805212620027,3.29113480412013,166952937.135005,145800000.0,7.91622158052871,327.357416510141,139000000.0,340.0,,,45.3,61.719,51.5212210160166,2.20630929387433,510002.0,175417.0,34.3953934011238
YR1969,2592.0,18270.0,,28.5055829228243,,300000.0,0.188323917137476,,,,21.1550533584432,68000000.0,42.6867545511613,6.49423183317947,182182067.703568,159300000.0,2.59641050832793,349.813973013608,151400000.0,340.0,,,44.6,61.397,51.8505290929095,2.09456832297953,520797.0,181604.0,34.8704744401824
YR1970,2592.0,18270.0,2.91069864442127,29.0743295019157,4.12417856333567,360000.0,0.187695516162669,,,,20.7507820646507,80900000.0,42.1793534932221,6.8312878034418,219878482.173564,191800000.0,12.7027111303008,413.93721652892,183600000.0,390.0,102.900413513184,,44.1,61.652,52.2474152277536,1.97556770365074,531188.0,187498.0,35.2979355618661
YR1971,2592.0,18270.0,2.62361963190184,29.6180076628353,9.138193688792,460000.0,0.217083529966966,,,,18.7824445493157,99100000.0,46.7673430863615,3.3592606577289,247749327.721267,211900000.0,6.88898664332798,457.844599860784,201800000.0,430.0,104.666397094727,,43.8,61.74,52.7176428953572,1.85269061818193,541121.0,193084.0,35.6821794222653
