Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,4.13993575518436,2453735333.33333,5.42848588493053,9183552631.46641,45346100000.0,28.4417854117748,30.5286971812109,21921900000.0,47.0089099038245,,61959085885.3427,46633500000.0,,1306.79629911648,46918900000.0,,,18.5,23.7,69.8682926829268,61.9835040320973,,47412964.0,29244982.0,61.6814049817776
YR1961,867.0,549086.0,,88.8876185174877,2.4004610454631,2611650656.71642,5.29560753876716,10205276007.2763,49292100000.0,27.9140988990336,30.8733542381767,24298200000.0,48.0709841433136,3.28218717578079,67158050215.0488,50546500000.0,4.94642545980355,1401.87190432812,50832700000.0,,,17.2,22.4,70.1170731707317,61.9108940439612,1.03446883809664,47905982.0,29956858.0,62.532604923054
YR1962,867.0,549086.0,,89.784796363299,5.33128007065639,2840711873.13433,5.15887134953187,11673422080.4491,55728000000.0,26.338498506988,30.2173260066788,27172500000.0,48.0104952559323,4.7857759737752,75196980365.0325,56597000000.0,6.85626464484753,1553.99323202639,57024500000.0,1530.0,,16.4,21.3,70.3146341463415,62.0557499217704,1.00427968918453,48389516.0,30707912.0,63.4598445709101
YR1963,867.0,549086.0,,90.6903553205307,4.99915289796849,2925893750.49751,4.74008571749863,13400652754.77,62760500000.0,26.3902362845637,29.808073016489,31158600000.0,49.1507858011575,5.56622909728127,84227606649.8725,63393900000.0,6.1033388581149,1723.23648290171,63913300000.0,1680.0,,16.1,20.3,70.5146341463415,62.2070046516546,1.00353599767787,48877567.0,31561863.0,64.5733094041364
YR1964,867.0,549086.0,,91.6624770386863,3.21119170293105,3109167922.88557,4.54025026669875,14888728412.6465,69982400000.0,27.2967488057432,30.2790130795825,34665500000.0,49.2998007557345,4.0681132611071,93424179943.3453,70315700000.0,6.58280685437494,1891.12061521027,70862000000.0,1850.0,,16.0,19.4,70.6634146341463,62.2640924486011,1.06620875015002,49401492.0,32535956.0,65.8602703980992
YR1965,867.0,549086.0,,92.5461081732999,2.70310455873084,3239750455.72139,4.39531951376613,16108418996.5131,74817800000.0,27.2492470038124,30.334820018114,37732200000.0,49.6716831307791,3.04551929078967,100927668584.29,75963200000.0,4.83875011249243,2023.50184544884,76527200000.0,2020.0,,15.8,18.6,70.8121951219512,62.2971888241876,0.959388414203965,49877725.0,33510064.0,67.1844272221459
YR1966,867.0,549086.0,,93.3512143983672,2.60200076636451,3423150624.37811,4.29010327424386,17539363178.239,81508100000.0,27.9096678363966,30.0882341858546,41278400000.0,50.1744870833369,2.98440260782351,109306730313.216,82269700000.0,5.16354274190655,2172.59339649824,82818700000.0,2190.0,,15.2,17.8,70.9609756097561,62.2894343309019,0.866189192765792,50311637.0,34424657.0,68.4228523195035
YR1967,867.0,549086.0,,94.1140940718063,2.79177709435142,3702274358.20896,4.29524594691896,19217434210.2908,88247000000.0,27.9884877710696,29.7003580132179,45219600000.0,50.877481171115,3.08431269009408,118088635380.954,88879400000.0,4.80177080876672,2328.11785496887,89476100000.0,2350.0,,13.9,17.1,71.1609756097561,62.2509907179053,0.813893398089106,50722791.0,35228306.0,69.4526181333994
YR1968,867.0,549086.0,,94.8380740328416,4.54320486402014,3875393231.34328,4.13684603777682,21522622841.0192,96412700000.0,28.3406280322894,29.1793463674464,50852100000.0,52.4930321861387,4.25740952779701,128710572572.436,96874000000.0,4.54401821190027,2518.15825593491,97385400000.0,2540.0,,11.9,16.5,71.309756097561,62.2411852055682,0.766314047828995,51112980.0,35873033.0,70.1838035411656
YR1969,867.0,549086.0,,95.6229965673996,6.045962841739,3930747592.0398,3.67975172675766,23764590235.7124,111498500000.0,30.4363166891717,28.6788577010371,58352700000.0,52.3895157583245,7.36077325071143,140660914840.59,111382400000.0,7.09364697994077,2729.37124785377,111799300000.0,2800.0,,10.0,15.8,71.4585365853659,62.2668102728819,0.824238754775053,51536014.0,36480685.0,70.786779752051
YR1970,867.0,549086.0,0.421696228379577,96.4972056777066,5.29964124562667,4183748099.50249,3.45855771733226,25234439588.9926,123630800000.0,32.8978319535508,28.9766358961531,65808000000.0,52.7604469821967,5.4455908143203,147312861698.358,124729800000.0,6.20017438615466,2832.54913756906,125278600000.0,3000.0,,9.1,15.1,71.6585365853659,62.3091586171473,0.910071021991229,52007169.0,37112304.0,71.3599779089291
YR1971,867.0,549086.0,0.319170842088541,97.4108043417757,5.3975186559511,4469927624.37811,3.31609304824223,28812596187.9957,137293100000.0,33.4786065274459,29.4232488865503,73684000000.0,52.9654133349435,5.92763152412856,164694210962.472,139117200000.0,5.29344622836985,3137.05929958055,139874600000.0,3220.0,,8.9,14.3,71.9073170731707,62.3202234828693,0.942308081213309,52499553.0,37734123.0,71.875132564358
YR1972,867.0,549086.0,0.325503430514731,98.2695166527507,6.06300309718186,4864967925.37313,3.23030459043129,35414824447.3342,153410500000.0,33.9689642458417,28.8364106094476,81825800000.0,52.7441516283651,6.69896435030859,201738881664.499,155137200000.0,4.51410759995832,3809.09946046394,155828100000.0,3630.0,,8.8,13.7,72.1073170731707,62.3288542555671,0.877674176847892,52962356.0,38299582.0,72.3147256282583
YR1973,867.0,549086.0,0.429620545406331,99.0670025048706,7.38060106398917,5414647646.76617,3.14371920479698,46540954625.8103,176110000000.0,35.9979665469989,29.1346690240325,94501100000.0,53.142573397756,7.93839740535296,261970536240.424,177825600000.0,6.19458406640176,4906.53555379458,178469700000.0,4630.0,,8.4,13.1,72.3560975609756,62.3678847196083,0.808254039339957,53392161.0,38795406.0,72.6612390105508
YR1974,867.0,549086.0,0.653126351906491,99.7245959736525,13.6493174728137,6130936434.0796,3.08644058078624,51477086743.0442,208928900000.0,44.2144498621351,28.6655276009578,114069400000.0,55.0250742386558,11.648408051032,282739225313.693,207304400000.0,4.41471376407343,5260.60025882755,207867600000.0,5730.0,,8.1,12.7,72.6048780487805,62.4699152147937,0.661593218642967,53746571.0,39179721.0,72.897154621156
YR1975,867.0,549086.0,0.437655611214163,100.20011689396,11.6859272493228,7154572119.40298,3.1971454640285,70642496558.0542,230436900000.0,38.3696751774209,28.5447265189361,130688600000.0,55.949557951374,13.7519359039847,357324307786.446,233582900000.0,-0.945609616912307,6616.76722499173,234330500000.0,6650.0,,8.0,12.3,72.8536585365854,62.5981212909146,0.475700887805125,54002853.0,39429732.0,73.0141655469367
YR1976,867.0,549086.0,0.265342186881213,100.626000556638,9.62549578155532,8182449679.10448,3.15613958423347,74008467631.7946,271287800000.0,41.3695542154604,28.075657498364,151848800000.0,56.2996194137897,10.668544343929,368363152144.223,269715500000.0,4.33755647481964,6792.3099035538,270656700000.0,7070.0,,7.9,11.8,73.1024390243903,62.7772633085571,0.424132385282009,54232383.0,39634111.0,73.0820015754495
YR1977,867.0,549086.0,0.466572683411896,101.097443176547,9.49455467190425,9448040199.00498,3.23156861034418,82722653115.8064,303257900000.0,42.361582746312,27.9882806330353,174457600000.0,57.4048920196692,8.80968474088657,406401711687.617,303907200000.0,3.55415568976466,7458.76424117602,304784500000.0,7730.0,,7.6,11.4,73.3512195121951,62.9674472616125,0.467415655328551,54486467.0,39848089.0,73.1339199821614
YR1978,867.0,549086.0,0.492594800818636,101.556786343817,9.2505584672444,10907076990.0498,3.15148731411781,104117732558.14,340204500000.0,41.1188563628231,27.877720559095,197640900000.0,57.256282402783,9.26746271872088,501724418604.651,345186400000.0,3.94936216342872,9166.59011961391,346476300000.0,8740.0,,6.9,11.0,73.6024390243903,63.1395716327491,0.453327774115543,54734030.0,40051447.0,73.1746727920795
YR1979,867.0,549086.0,0.425555763573006,102.012897300306,10.6467341716662,12349314278.607,3.13939544307514,125610545790.934,391366700000.0,42.6375432012829,27.4718332959011,225523400000.0,57.168256987619,10.2107264491423,608218624730.188,394490600000.0,3.69531078677157,11062.5731730373,396459800000.0,10720.0,,6.2,10.5,73.8512195121951,63.3565526315154,0.448113600779868,54979851.0,40251100.0,73.2106388615716
YR1980,867.0,549086.0,0.472661675842858,102.559020317284,13.5625788483016,14299736517.4129,3.15520508491915,147593914933.251,452983600000.0,45.2426904107299,27.5913652560695,259562700000.0,58.0137666156999,11.5460875895279,694529183483.39,447415700000.0,1.67641337198611,12565.1639377144,450993900000.0,12950.0,,5.7,10.1,74.0512195121951,63.6959653055397,0.533919142662461,55274184.0,40487343.0,73.2481970470056
YR1981,867.0,549086.0,0.405399422026104,103.169780128027,13.3144055680072,16609584111.9403,3.24613261046416,133901025950.513,510989500000.0,47.3463750243705,26.8559583570433,297550500000.0,58.9547930136459,11.480775951215,609184791792.396,504709600000.0,1.18831474293866,10955.9002996167,508211400000.0,13040.0,,5.4,9.8,74.3,64.2193397727016,0.593754110995282,55603353.0,40753769.0,73.2937262047492
