Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,97.3,54.195,51.3237035832888,,43061.0,9908.0,23.0080980906817
YR1961,,700.0,,,,,,,,,,,,,,,,,,,,,93.5,54.736,50.9616677874916,3.53403340644192,44610.0,10377.0,23.261703858866
YR1962,,700.0,,,,,,,,,,,,,,,,,,,,,90.2,55.393,50.6052902039271,3.54112834587104,46218.0,10864.0,23.5068228095967
YR1963,,700.0,,,,,,,,,,,,,,,,,,,,,86.7,56.004,50.2481987265416,3.24840719824119,47744.0,11336.0,23.7434788767321
YR1964,,700.0,,,,,,,,,,,,,,,,,,,,,83.6,56.655,50.0676067220398,2.96539654689184,49181.0,11790.0,23.971695994131
YR1965,,700.0,,,,,,,,,,,,,,,,,,,,,80.5,57.199,50.062643661152,3.01029088864477,50684.0,12261.0,24.1914980956519
YR1966,,700.0,,,,,,,,,,,,,,,,,,,,,77.6,57.75,50.0674544323781,3.05827102359584,52258.0,12752.0,24.4029091151533
YR1967,,700.0,,,,,,,,,,,,,,,,,,,,,74.7,58.305,50.0366783356393,2.99351312623089,53846.0,13249.0,24.6059529864939
YR1968,,700.0,,,,,,,,,,,,,,,,,,,,,71.9,58.827,49.9648376219413,2.94798252495928,55457.0,13754.0,24.8006536435321
YR1969,,700.0,,,,,,,,,,,,,,,,,,,,,69.2,59.309,49.8971922548582,2.99839516650394,57145.0,14279.0,24.9870350201266
YR1970,,700.0,,,,,,,,,,,,,19885926.0,19885926.0,,337.4957740742,20879304.0,,,,66.8,59.774,49.8243440480635,3.06226380000692,58922.0,14828.0,25.1651210501359
YR1971,,700.0,,,,,,,,,,,,7.07613942869409,21783158.0,21783158.0,2.30157453484256,359.244640147767,22871309.0,,214.589263916016,,64.4,60.182,49.6582091644472,2.86742407481415,60636.0,15362.0,25.3349356674186
YR1972,,700.0,,,,,,,,,,,,14.014457473182,25100928.0,25100928.0,1.06691546739171,403.046469058094,26354815.0,410.0,212.533355712891,,62.2,60.608,49.4231464011882,2.67194573144977,62278.0,15879.0,25.4965028058332
YR1973,,700.0,,,,,,,,,,,,3.58083111689305,34821467.0,34821467.0,33.9300078411578,544.204466602069,36560933.0,610.0,214.642623901367,,60.1,60.955,49.2209233269778,2.70560760181313,63986.0,16412.0,25.6498413157285
