Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,1.00357570390172,1832092550.65522,7.09248637082215,12866019524.0268,,,,,,,73233967692.1028,26155000000.0,,1397.5948032844,29701374941.3441,,,16.0,22.9,71.1268292682927,64.9559380194906,,52400000.0,41160363.0,78.5503107965497
YR1961,1220.0,243610.0,,218.244946885463,3.4474962304662,1895827232.00239,6.92138752285922,13677881965.8656,,,,,,3.36343951979212,77741965703.3544,27765000000.0,2.7013141929652,1472.38571407868,31482681447.8215,,,15.6,22.5,70.8780487804878,64.9147308898297,0.760459938521921,52800000.0,41377455.0,78.3663913939232
YR1962,1220.0,243610.0,,220.104989046418,4.19649888238551,1998976782.07743,6.94416604105903,14553083179.7618,,,,,,3.37351333953978,81247564156.8246,29017000000.0,1.09869626167405,1525.77585271032,33165851066.5243,1720.0,,15.1,22.1,70.9268292682927,64.9687273515531,0.848661387731873,53250000.0,41634849.0,78.1875107335425
YR1963,1220.0,243610.0,,221.758359856157,2.01854355976229,2075290676.84839,6.80074341068238,14901433826.0835,,,,,,1.6035240637718,86561961812.3249,30915000000.0,4.85954517089937,1613.45688373392,35223311297.6873,1830.0,,14.6,21.5,70.8268292682927,64.9105875585262,0.748366448717305,53650000.0,41843248.0,77.9930058788831
YR1964,1220.0,243610.0,,223.205059314678,3.28158694697213,2199964658.7819,6.59605601313516,15871638998.0677,,,,,,3.28496288742026,94407558351.1616,33717000000.0,5.59481102476671,1748.2881176141,38428750162.4147,1970.0,,14.1,20.8,71.6243902439024,64.687220640427,0.650257748756685,54000000.0,42008134.0,77.792841598491
YR1965,1220.0,243610.0,,224.643698590501,4.77377455386914,2312618503.44379,6.43697857340144,17930088889.962,,,,,,5.60679436920393,101824755078.991,36366000000.0,2.13033310359295,1873.56777435421,41443619960.6579,2080.0,,13.7,20.2,71.6243902439024,64.3961106694334,0.642468779443559,54348050.0,42171351.0,77.5949669582873
YR1966,1220.0,243610.0,,225.885586739966,3.90961779211889,2390050550.51909,6.24903679676674,19499115797.7701,,,,,,4.98153648760002,108572752102.045,38776000000.0,1.56744967539477,1986.74715869685,43984919447.2233,2210.0,,13.3,19.6,71.5731707317073,64.0906074480766,0.55130324946533,54648500.0,42301945.0,77.407331024193
YR1967,1220.0,243610.0,,227.105361054851,2.48211560474804,2510531461.31134,6.2357037120617,21236698808.5322,,,,,,2.77946162574175,113116888210.787,40960000000.0,2.77573771674906,2058.78188198056,46282017188.7576,2340.0,,13.0,19.1,72.1243902439024,63.7570481252831,0.538543769542258,54943600.0,42437273.0,77.2378828621291
YR1968,1220.0,243610.0,,228.213532840078,4.69742798827245,2591877041.45181,5.9411052003122,19620434825.5699,,,,,,3.93129961943276,107759910067.889,44900000000.0,5.47269304472715,1951.75859587532,50056884641.1643,2410.0,,12.6,18.8,71.7243902439025,63.4146518074268,0.486768279639266,55211700.0,42565224.0,77.0945715380164
YR1969,1220.0,243610.0,,229.164427727028,5.44666363048887,2583211361.0932,5.5021956389853,20590228416.219,,,,,,6.02203764764022,116464702803.218,48527000000.0,1.93913774928538,2100.66786858672,53943579348.2864,2430.0,,12.4,18.4,71.7219512195122,63.105361344902,0.415803269484986,55441750.0,42682023.0,76.9853461177761
YR1970,1220.0,243610.0,1.13872859052871,230.079981812921,6.36656841727441,2830043482.27547,5.19741323809566,23157237820.9743,59135622000.0,43.004308460818,,,,9.2485509064928,130671946244.3,54451000000.0,2.70858153682569,2347.54431773747,59296625000.0,2490.0,,12.1,18.1,71.9731707317073,62.8418449182082,0.39872245794476,55663250.0,42815145.0,76.9181556673291
YR1971,1220.0,243610.0,1.19585291667596,231.042958707064,9.44483742337133,3089454816.88151,5.07633062254603,26754619128.7418,66083780000.0,42.6502218205718,,,,9.57376804142478,148113896325.14,60860000000.0,2.00453760135888,2649.80151387223,66004652000.0,2750.0,,12.0,17.7,72.2731707317073,62.6362551317425,0.417666617474017,55896223.0,42985487.0,76.9023108087531
YR1972,1220.0,243610.0,0.710712760088409,231.82765676022,7.07109839479797,3519104839.82278,5.1710477559332,31308111888.1119,74288483000.0,41.5839774296882,,,,7.90744736411204,169965034965.035,68054000000.0,3.62637105743457,3030.43251411977,73766617000.0,3190.0,,11.8,17.2,72.1243902439024,62.4981831511658,0.3390575157182,56086065.0,43167430.0,76.9664092010843
YR1973,1220.0,243610.0,1.41412745627602,232.275976522134,9.19603316657812,3855948221.50413,4.90616105746511,35112822146.0069,88388394000.0,47.4470277629336,,,,7.61709836564329,192537971582.558,78594000000.0,7.31352424220155,3426.27622050378,85354245000.0,3940.0,,11.5,16.7,72.3243902439024,62.4405563162895,0.19319818644469,56194527.0,43331464.0,77.1097588679539
YR1974,1220.0,243610.0,2.12182327411176,232.422494109866,16.0440111889861,4470372912.73699,5.06942711490535,41483557737.2604,103137617000.0,58.7410657382942,,,,14.1175062832133,206131369798.971,88183000000.0,-1.67969792645223,3665.8627976419,96641888000.0,4420.0,,11.1,16.1,72.5243902439024,62.4695134284713,0.0630592101531556,56229974.0,43471951.0,77.3109917306611
YR1975,1220.0,243610.0,1.37267618730267,232.405241185467,24.2072876743291,5834798262.1035,5.33960343915615,54153181415.9292,125770738000.0,52.7585454911507,,,,24.761783651838,241756637168.142,109274000000.0,-0.676870194049812,4299.74561799284,121079817000.0,4940.0,,10.7,15.4,72.7243902439024,62.598049266773,-0.0074233627201987,56225800.0,43602744.0,77.5493534649081
YR1976,1220.0,243610.0,1.29235580557936,232.348067622866,16.5595225588084,6699689069.50771,5.17550333681554,51505883198.5624,149872809000.0,57.4208829663963,,,,15.2318222482954,232614555256.065,129450000000.0,2.80465599545295,4138.16778761535,143453212000.0,5050.0,,10.2,14.8,72.7756097560976,62.8340230406011,-0.024603832530328,56211968.0,43735210.0,77.8040897463968
YR1977,1220.0,243610.0,1.68267205120844,232.271698425164,15.8402667458768,7425090376.94596,4.92327762103886,54591423338.5662,169400165000.0,58.9312652503713,,,,13.8153580299512,263066457352.172,150816000000.0,2.36335094409922,4681.43993173038,164812589000.0,5250.0,,9.6,14.1,73.2243902439024,63.129334832519,-0.0328738482390269,56193492.0,43861519.0,78.0544462508291
YR1978,1220.0,243610.0,1.12758624698224,232.284148307362,8.26314103860768,8290540260.50235,4.73304308586993,67987129434.3241,193767954000.0,54.9850773279745,,,,12.3208153896653,335883029721.956,175163000000.0,3.40337382855367,5976.93816899991,190652349000.0,5940.0,,8.8,13.4,73.1756097560976,63.4267290258175,0.0053599076571216,56196504.0,43990437.0,78.279668653907
YR1979,1220.0,243610.0,1.47370581928106,232.492667300459,13.4212799774012,9700809854.34665,4.67975756747534,87078763235.917,229050291000.0,54.6607627850434,,,,15.1792045184447,438994070309.191,207293000000.0,2.74677219709527,7804.76208051155,223291385000.0,7540.0,,8.1,12.7,73.2756097560976,63.725866753774,0.0897286611918231,56246951.0,44130797.0,78.4590026313326
YR1980,1220.0,243610.0,1.79181968888777,232.770702269251,17.9659242656857,12203234711.4515,5.01990345888742,120186404833.837,262187427000.0,51.3102802584976,,,,19.8845777840884,564947710899.373,243097000000.0,-2.17910220206564,10032.062080015,259579287000.0,9550.0,,7.5,12.1,73.6756097560976,64.0298266750978,0.119517254129019,56314216.0,44247033.0,78.5716938588077
YR1981,1220.0,243610.0,1.08723167304469,232.85177117348,11.8766265142296,13410559662.0588,4.98376336921746,117426141479.1,286698491000.0,49.3910296003122,,,,12.1749716825063,540765675241.158,269085000000.0,-1.3234581733779,9599.30622221965,285554781000.0,10660.0,,6.9,11.4,74.0268292682927,64.3642179696837,0.0348217320561183,56333829.0,44277753.0,78.5988698930662
YR1982,1220.0,243610.0,1.05101856977298,232.768325548712,8.59886383332186,15864903970.0772,5.38132652115477,111171443046.82,316186912000.0,49.6135434545171,,,,7.31547585982375,515048916841.37,294814000000.0,2.09306886432368,9146.07735701852,312110854000.0,10690.0,,6.4,10.8,74.1780487804878,64.7673787218922,-0.0358427938348334,56313641.0,44250721.0,78.5790435793683
YR1983,1220.0,243610.0,1.05771880105628,232.847716281569,4.60930327269779,17431994424.6047,5.39688559001511,104577864180.688,349081577000.0,50.8133148194588,,,,5.72895974357945,489618008185.539,323001000000.0,3.62434641923983,8691.51881306514,343372013000.0,9870.0,,6.1,10.3,74.3780487804878,65.211012397337,0.0341013738761532,56332848.0,44241872.0,78.5365448356556
YR1984,1220.0,243610.0,-0.0752615937834715,233.216517174389,4.96071097821927,19110061495.3376,5.50807949805952,97195724926.8422,378152508000.0,55.4082940861114,,,,4.61899494521043,461487097632.349,346946000000.0,2.67092491032817,8179.19444064991,369199226000.0,9320.0,,5.7,10.0,74.7780487804878,65.5334724850999,0.158261863204096,56422072.0,44278675.0,78.4775775496664
YR1985,1220.0,243610.0,1.11928039047476,233.746405985202,6.07139434015119,20285239567.1952,5.32070461905547,99206348819.3018,410738924000.0,54.950881440311,,,,6.06984746656354,489285164271.047,381251000000.0,3.59938143817158,8652.21654247593,400890401000.0,9180.0,,5.5,9.7,74.6292682926829,65.6265369006899,0.226951225450001,56550268.0,44339966.0,78.4080567918043
YR1986,1220.0,243610.0,1.42482066983063,234.288414004051,3.42760940369314,20761013372.6903,5.05982373679728,121783894752.272,448958657000.0,50.5278201169357,,,,3.47068969862579,601452653180.885,410311000000.0,4.01232987098167,10611.112210096,433304734000.0,10330.0,,5.2,9.4,74.9292682926829,65.6245935985693,0.231610229834337,56681396.0,44400747.0,78.3338976324727
YR1987,1220.0,243610.0,1.75464033712155,234.787128508246,4.14892232052945,21369567764.3254,4.68666844260533,145619361006.7,496949828000.0,49.8948735100282,,,,6.27818524489476,745162608269.325,455965000000.0,4.56208082572655,13118.586534629,477449273000.0,12730.0,,5.0,9.1,75.280487804878,65.6298018440329,0.212637260699709,56802050.0,44453861.0,78.2610151420751
YR1988,1220.0,243610.0,2.90410516796534,235.3090852726,4.15535171583102,21563287651.0517,4.21428762838849,170769212024.191,569820924000.0,47.3603219647,,,,6.84082662710344,910122732123.799,511671000000.0,5.0321018040183,15987.1680775688,534213706000.0,16120.0,,4.8,8.8,75.3804878048781,65.4118656825905,0.222063893961785,56928327.0,44515290.0,78.1953243910149
YR1989,1220.0,243610.0,2.92466121996993,235.92241970818,5.76024909185262,22892491202.8316,4.04095433156431,169997200589.005,628647352000.0,48.6770133730618,,,,8.24839062115159,926884816753.927,566512000000.0,2.28144671930745,16239.2821960944,584413849000.0,17390.0,,4.6,8.4,75.5829268292683,65.1290326055676,0.260311450078262,57076711.0,44601306.0,78.1427404496957
YR1990,1220.0,243610.0,3.78380567982468,236.628719050965,8.06346090938833,24523595876.7823,3.983217694585,202703817471.591,669189673000.0,48.2498264500798,27.6255190661276,422965973000.0,68.6997761798877,7.83749804109193,1093169389204.55,615673000000.0,0.779266119883417,19095.4669984608,631500708000.0,18640.0,,4.5,7.9,75.8804878048781,64.9810315399239,0.298930554095876,57247586.0,44715619.0,78.1091783885209
