Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,2841.0,,,,,,,,61.347,63.8253613893137,,3645600.0,1554349.0,42.6363105773926
YR1961,,69700.0,,,,,,,,,,,,0.696775523784282,,3000.0,4.86594070054342,,,,,,,61.72,63.397915514509,1.57843586242192,3703600.0,1615979.0,43.6326637268066
YR1962,,69700.0,,,,,,,,,,,,5.25179185280902,,3319.0,5.11301649671694,,,,,,,62.078,63.1307780228685,1.51934218612588,3760300.0,1669326.0,44.3934364318848
YR1963,,69700.0,,,,,,,,,,,,-3.59872180117573,,3334.0,4.20187909672116,,,,,,,62.457,62.9981299586508,1.47302172404034,3816100.0,1705990.0,44.7050704956055
YR1964,,69700.0,,,,,,,,,,,,2.1330602798289,,3590.0,5.42958764979345,,,,,,,62.818,62.9458063528771,1.41030647236467,3870300.0,1749363.0,45.1996841430664
YR1965,,69700.0,,,,,,,,,,,,-0.606065024453827,,3945.0,10.5586366152245,,,,,,,63.097,62.9780584929251,1.31677103746475,3921600.0,1795397.0,45.7822456359863
YR1966,,69700.0,,,,,,,,,,,,-1.82170616766616,,4165.0,7.53566314896325,,,,,,,63.397,62.7723009522067,1.14347809836994,3966700.0,1836961.0,46.3095397949219
YR1967,,69700.0,,,,,,,,,,,,1.27804505260754,,4482.0,6.25308215800375,,,,,,,63.772,62.2908948523675,0.98087961095848,4005800.0,1872547.0,46.7458992004395
YR1968,,69700.0,,,,,,,,,,,,0.625857201131907,,4711.0,4.45558340295182,,,,,,,64.139,61.8960331796318,0.907052602504574,4042300.0,1907082.0,47.1781425476074
YR1969,,69700.0,,,,,,,,,,,,3.20053117968911,,5094.0,4.7765040433662,,,,,,,64.509,61.6520395831524,0.935667821463932,4080300.0,1942654.0,47.6105690002441
YR1970,,69700.0,,,,,,,,,,,,-0.174016459378734,,5698.0,12.0520758237564,,,,,,,64.869,61.7491265191593,0.965837609752831,4119900.0,1975663.0,47.954139183804
