Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,1486.5,1.70665901262916,121863082.005257,93200.0,63.6363636363636,,,,,1217230094.97205,86900.0,,174.858856531804,85900.0,,,,122.0,46.942,51.673777614524,,6961215.0,1621013.0,23.2863556454639
YR1961,1187.0,238540.0,,31.4787158301837,,1960.0,2.10300429184549,141473233.132539,102600.0,62.5806451612903,,,,3.47084986522219,1302674324.88378,93000.0,3.42967401462874,181.870010833085,91600.0,,,,121.0,47.127,51.1026794281152,2.85283695739167,7162667.0,1715397.0,23.949136595321
YR1962,1187.0,238540.0,,32.2465280829744,,1995.0,2.00100300902708,142873958.213059,102900.0,52.6849037487335,,,,1.94014981856301,1382515654.47343,98700.0,4.10915860625774,188.421016299893,97700.0,190.0,,,120.0,47.335,50.4699909708854,2.40987515836032,7337375.0,1806722.0,24.6235472406362
YR1963,1187.0,238540.0,,33.0259031379098,,2220.0,2.01634877384196,175090635.065024,116900.0,48.6363636363636,,,,6.74564909494586,1540797588.57221,110000.0,4.40597419943647,205.037422391885,108200.0,190.0,,,119.3,47.476,49.9400176773195,2.38818160278714,7514714.0,1900838.0,25.2948762183993
YR1964,1187.0,238540.0,,33.8214775424101,,2377.5,1.92198868229588,203105136.675428,128500.0,43.7702265372168,,,,9.93481623446407,1731296199.52296,123600.0,2.20932750184639,224.968154393354,122400.0,210.0,,,118.7,47.637,49.5344923687311,2.38038338050605,7695739.0,1997213.0,25.9521989290125
YR1965,1187.0,238540.0,,34.642726553573,26.4447848490173,2540.0,1.73260572987722,296953717.07028,160700.0,43.8608458390177,18.6221009549795,,,17.0065952727131,2053462968.0426,146600.0,1.36899886970954,260.50559523622,144700.0,230.0,,61.0,118.2,47.689,49.2210253817075,2.39917607900612,7882606.0,2095559.0,26.5845907728776
YR1966,1187.0,238540.0,,35.4861606750461,13.2378854626539,3380.0,2.2266139657444,277343565.942998,159400.0,34.2555994729908,18.3794466403162,,,8.15251497850737,2126300672.22965,151800.0,-4.25829036972007,263.334589411514,150400.0,240.0,,60.9,117.8,47.708,48.9682855490747,2.40549886068672,8074521.0,2194746.0,27.1811271503967
YR1967,1187.0,238540.0,,36.3536652896194,-8.42248589780283,0.0,,261381130.387764,154200.0,37.3670212765958,20.4787234042553,,,-3.87835660497238,1747187644.9031,150400.0,3.07536405007809,211.219296540365,147200.0,240.0,,60.8,117.4,47.734,48.7644816864007,2.41522518388045,8271913.0,2293875.0,27.7308834619717
YR1968,1187.0,238540.0,,37.2494023028918,7.89473684210539,4515.0,2.65588235294118,279452477.959314,170800.0,41.1764705882353,20.3529411764706,,,12.6165172380079,1666909517.65205,170000.0,0.368860328659636,196.668571830464,164800.0,220.0,,60.6,116.9,47.758,48.5963892547538,2.43408669636776,8475729.0,2392099.0,28.2229351080045
YR1969,1187.0,238540.0,,38.1927705018898,7.31707316260125,5000.0,2.50125062531266,279452477.959314,201300.0,40.07996001999,19.1404297851074,,,11.0368168556395,1962050555.7775,200100.0,6.00617496624768,225.772621963554,195200.0,220.0,,60.4,116.1,47.895,48.4658098498075,2.50103446876383,8690383.0,2489478.0,28.6463574888971
YR1970,1187.0,238540.0,3.06090857036055,39.2274457238288,3.03030303053265,4785.0,2.11819389110226,284355153.011232,229000.0,44.0460380699424,18.2381584772023,,,2.88915449133818,2215028588.45646,225900.0,9.72347258708628,248.159869409818,221400.0,240.0,,60.1,114.8,47.888,48.4078116137887,2.67304040000564,8925813.0,2587809.0,28.9924166743913
YR1971,1187.0,238540.0,1.26597540071215,40.3281357124022,9.55882353746772,4255.0,1.70131947221112,313257271.647549,261200.0,36.0,18.28,,,5.18201257417248,2417108577.52739,250000.0,5.2161245570606,263.408787882235,245400.0,260.0,59.0911407470703,59.5,113.1,47.949,48.4607243209219,2.76727341653774,9176264.0,2687340.0,29.2857724049612
YR1972,1187.0,238540.0,0.544431973957769,41.4792432099851,10.0671140939595,4025.0,1.42984014209591,266381568.168632,266100.0,35.9147424511545,17.7264653641208,,,15.4725593609425,2112293279.98507,281500.0,-2.48765540214929,223.80286383233,277900.0,250.0,56.8842086791992,58.8,110.8,48.274,48.5862803947411,2.81437565083333,9438187.0,2788134.0,29.5409923443974
YR1973,1187.0,238540.0,0.478919755234764,42.6941065307199,17.6829268231711,4780.0,1.36493432324386,328073379.52699,332400.0,37.8463296201085,18.5946872322194,,,20.8824921164568,3006766758.43977,350100.0,2.8845841948016,309.509552300391,347500.0,290.0,57.423469543457,57.9,107.9,48.577,48.7495105957091,2.88677518527538,9714617.0,2891550.0,29.7649445120356
